Date,Open,High,Low,Close
2007-01-02,12.3077,12.3077,12.3077,12.3077
2007-01-03,12.3017,12.3017,12.3017,12.3017
2007-01-04,12.3563,12.3563,12.3563,12.3563
2007-01-05,12.4311,12.4311,12.4311,12.4311
2007-01-08,12.4722,12.4722,12.4722,12.4722
2007-01-09,12.456,12.456,12.456,12.456
2007-01-10,12.4284,12.4284,12.4284,12.4284
2007-01-11,12.408,12.408,12.408,12.408
2007-01-12,12.4334,12.4334,12.4334,12.4334
2007-01-15,12.4807,12.4807,12.4807,12.4807
2007-01-16,12.4325,12.4325,12.4325,12.4325
2007-01-17,12.4028,12.4028,12.4028,12.4028
2007-01-18,12.3724,12.3724,12.3724,12.3724
2007-01-19,12.3735,12.3735,12.3735,12.3735
2007-01-22,12.3438,12.3438,12.3438,12.3438
2007-01-23,12.3642,12.3642,12.3642,12.3642
2007-01-24,12.4072,12.4072,12.4072,12.4072
2007-01-25,12.4069,12.4069,12.4069,12.4069
2007-01-26,12.4317,12.4317,12.4317,12.4317
2007-01-29,12.4077,12.4077,12.4077,12.4077
2007-01-30,12.395,12.395,12.395,12.395
2007-01-31,12.3554,12.3554,12.3554,12.3554
2007-02-01,12.3452,12.3452,12.3452,12.3452
2007-02-02,12.3503,12.3503,12.3503,12.3503
2007-02-05,12.3115,12.3115,12.3115,12.3115
2007-02-06,12.2696,12.2696,12.2696,12.2696
2007-02-07,12.2359,12.2359,12.2359,12.2359
2007-02-08,12.22,12.22,12.22,12.22
2007-02-09,12.1826,12.1826,12.1826,12.1826
2007-02-12,12.1483,12.1483,12.1483,12.1483
2007-02-13,12.1334,12.1334,12.1334,12.1334
2007-02-14,12.0846,12.0846,12.0846,12.0846
2007-02-15,12.055,12.055,12.055,12.055
2007-02-16,12.0474,12.0474,12.0474,12.0474
2007-02-21,11.9956,11.9956,11.9956,11.9956
2007-02-22,12.0031,12.0031,12.0031,12.0031
2007-02-23,12.0401,12.0401,12.0401,12.0401
2007-02-26,11.9914,11.9914,11.9914,11.9914
2007-02-27,12.0689,12.0689,12.0689,12.0689
2007-02-28,12.0949,12.0949,12.0949,12.0949
2007-03-01,12.1074,12.1074,12.1074,12.1074
2007-03-02,12.0692,12.0692,12.0692,12.0692
2007-03-05,12.106,12.106,12.106,12.106
2007-03-06,11.9957,11.9957,11.9957,11.9957
2007-03-07,11.9359,11.9359,11.9359,11.9359
2007-03-08,11.9934,11.9934,11.9934,11.9934
2007-03-09,11.9724,11.9724,11.9724,11.9724
2007-03-12,11.9296,11.9296,11.9296,11.9296
2007-03-13,11.9562,11.9562,11.9562,11.9562
2007-03-14,11.9363,11.9363,11.9363,11.9363
2007-03-15,11.95,11.95,11.95,11.95
2007-03-16,11.9631,11.9631,11.9631,11.9631
2007-03-19,11.9467,11.9467,11.9467,11.9467
2007-03-20,11.9424,11.9424,11.9424,11.9424
2007-03-21,11.9018,11.9018,11.9018,11.9018
2007-03-22,11.9032,11.9032,11.9032,11.9032
2007-03-23,11.9064,11.9064,11.9064,11.9064
2007-03-26,11.9034,11.9034,11.9034,11.9034
2007-03-27,11.917,11.917,11.917,11.917
2007-03-28,11.92,11.92,11.92,11.92
2007-03-29,11.8985,11.8985,11.8985,11.8985
2007-03-30,11.8371,11.8371,11.8371,11.8371
2007-04-02,11.8158,11.8158,11.8158,11.8158
2007-04-03,11.7944,11.7944,11.7944,11.7944
2007-04-04,11.7988,11.7988,11.7988,11.7988
2007-04-05,11.8018,11.8018,11.8018,11.8018
2007-04-09,11.7642,11.7642,11.7642,11.7642
2007-04-10,11.7254,11.7254,11.7254,11.7254
2007-04-11,11.7497,11.7497,11.7497,11.7497
2007-04-12,11.7901,11.7901,11.7901,11.7901
2007-04-13,11.7428,11.7428,11.7428,11.7428
2007-04-16,11.6968,11.6968,11.6968,11.6968
2007-04-17,11.6786,11.6786,11.6786,11.6786
2007-04-18,11.6338,11.6338,11.6338,11.6338
2007-04-19,11.3872,11.3872,11.3872,11.3872
2007-04-20,11.325,11.325,11.325,11.325
2007-04-23,11.3346,11.3346,11.3346,11.3346
2007-04-24,11.3499,11.3499,11.3499,11.3499
2007-04-25,11.2758,11.2758,11.2758,11.2758
2007-04-26,11.3047,11.3047,11.3047,11.3047
2007-04-27,11.309,11.309,11.309,11.309
2007-04-30,11.3033,11.3033,11.3033,11.3033
2007-05-02,11.2477,11.2477,11.2477,11.2477
2007-05-03,11.2191,11.2191,11.2191,11.2191
2007-05-04,11.1476,11.1476,11.1476,11.1476
2007-05-07,11.1472,11.1472,11.1472,11.1472
2007-05-08,11.1548,11.1548,11.1548,11.1548
2007-05-09,11.1327,11.1327,11.1327,11.1327
2007-05-10,11.1472,11.1472,11.1472,11.1472
2007-05-11,11.1256,11.1256,11.1256,11.1256
2007-05-14,11.1105,11.1105,11.1105,11.1105
2007-05-15,11.0402,11.0402,11.0402,11.0402
2007-05-16,10.9344,10.9344,10.9344,10.9344
2007-05-17,10.9232,10.9232,10.9232,10.9232
2007-05-18,10.9244,10.9244,10.9244,10.9244
2007-05-21,10.911,10.911,10.911,10.911
2007-05-22,10.9062,10.9062,10.9062,10.9062
2007-05-23,10.935,10.935,10.935,10.935
2007-05-24,11.0588,11.0588,11.0588,11.0588
2007-05-25,11.0035,11.0035,11.0035,11.0035
2007-05-28,10.986,10.986,10.986,10.986
2007-05-29,11.0182,11.0182,11.0182,11.0182
2007-05-30,11.0133,11.0133,11.0133,11.0133
2007-05-31,10.977,10.977,10.977,10.977
2007-06-01,10.877,10.877,10.877,10.877
2007-06-04,10.9674,10.9674,10.9674,10.9674
2007-06-05,11.0066,11.0066,11.0066,11.0066
2007-06-06,11.0401,11.0401,11.0401,11.0401
2007-06-08,10.8338,10.8338,10.8338,10.8338
2007-06-11,10.811,10.811,10.811,10.811
2007-06-12,10.8593,10.8593,10.8593,10.8593
2007-06-13,10.8456,10.8456,10.8456,10.8456
2007-06-14,10.7931,10.7931,10.7931,10.7931
2007-06-15,10.7703,10.7703,10.7703,10.7703
2007-06-18,10.7708,10.7708,10.7708,10.7708
2007-06-19,10.7601,10.7601,10.7601,10.7601
2007-06-20,10.8212,10.8212,10.8212,10.8212
2007-06-21,10.799,10.799,10.799,10.799
2007-06-22,10.8558,10.8558,10.8558,10.8558
2007-06-25,10.9499,10.9499,10.9499,10.9499
2007-06-26,10.8669,10.8669,10.8669,10.8669
2007-06-27,10.8145,10.8145,10.8145,10.8145
2007-06-28,10.7801,10.7801,10.7801,10.7801
2007-06-29,10.755,10.755,10.755,10.755
2007-07-02,10.7704,10.7704,10.7704,10.7704
2007-07-03,10.7802,10.7802,10.7802,10.7802
2007-07-04,10.8865,10.8865,10.8865,10.8865
2007-07-05,10.8727,10.8727,10.8727,10.8727
2007-07-06,10.7735,10.7735,10.7735,10.7735
2007-07-09,10.7723,10.7723,10.7723,10.7723
2007-07-10,10.799,10.799,10.799,10.799
2007-07-11,10.7727,10.7727,10.7727,10.7727
2007-07-12,10.7105,10.7105,10.7105,10.7105
2007-07-13,10.6997,10.6997,10.6997,10.6997
2007-07-16,10.7297,10.7297,10.7297,10.7297
2007-07-17,10.7075,10.7075,10.7075,10.7075
2007-07-18,10.6913,10.6913,10.6913,10.6913
2007-07-19,10.7666,10.7666,10.7666,10.7666
2007-07-20,10.7934,10.7934,10.7934,10.7934
2007-07-23,10.8091,10.8091,10.8091,10.8091
2007-07-24,10.8528,10.8528,10.8528,10.8528
2007-07-25,10.857,10.857,10.857,10.857
2007-07-26,11.0609,11.0609,11.0609,11.0609
2007-07-27,10.975,10.975,10.975,10.975
2007-07-30,10.9413,10.9413,10.9413,10.9413
2007-07-31,10.9345,10.9345,10.9345,10.9345
2007-08-01,11.0207,11.0207,11.0207,11.0207
2007-08-02,10.9739,10.9739,10.9739,10.9739
2007-08-03,11.0863,11.0863,11.0863,11.0863
2007-08-06,11.0827,11.0827,11.0827,11.0827
2007-08-07,11.0359,11.0359,11.0359,11.0359
2007-08-08,10.9826,10.9826,10.9826,10.9826
2007-08-09,11.0881,11.0881,11.0881,11.0881
2007-08-10,11.1042,11.1042,11.1042,11.1042
2007-08-13,11.0625,11.0625,11.0625,11.0625
2007-08-14,11.1776,11.1776,11.1776,11.1776
2007-08-15,11.3211,11.3211,11.3211,11.3211
2007-08-16,11.9107,11.9107,11.9107,11.9107
2007-08-17,11.5785,11.5785,11.5785,11.5785
2007-08-20,11.6543,11.6543,11.6543,11.6543
2007-08-21,11.6574,11.6574,11.6574,11.6574
2007-08-22,11.5726,11.5726,11.5726,11.5726
2007-08-23,11.6291,11.6291,11.6291,11.6291
2007-08-24,11.5104,11.5104,11.5104,11.5104
2007-08-27,11.4615,11.4615,11.4615,11.4615
2007-08-28,11.4798,11.4798,11.4798,11.4798
2007-08-29,11.434,11.434,11.434,11.434
2007-08-30,11.4093,11.4093,11.4093,11.4093
2007-08-31,11.3668,11.3668,11.3668,11.3668
2007-09-03,11.304,11.304,11.304,11.304
2007-09-04,11.2816,11.2816,11.2816,11.2816
2007-09-05,11.3821,11.3821,11.3821,11.3821
2007-09-06,11.358,11.358,11.358,11.358
2007-09-10,11.4398,11.4398,11.4398,11.4398
2007-09-11,11.3928,11.3928,11.3928,11.3928
2007-09-12,11.3182,11.3182,11.3182,11.3182
2007-09-13,11.3924,11.3924,11.3924,11.3924
2007-09-14,11.3433,11.3433,11.3433,11.3433
2007-09-17,11.3858,11.3858,11.3858,11.3858
2007-09-18,11.3116,11.3116,11.3116,11.3116
2007-09-19,11.2283,11.2283,11.2283,11.2283
2007-09-20,11.2345,11.2345,11.2345,11.2345
2007-09-21,11.1547,11.1547,11.1547,11.1547
2007-09-24,11.1825,11.1825,11.1825,11.1825
2007-09-25,11.1503,11.1503,11.1503,11.1503
