Date,Open,High,Low,Close
2013-06-11,2.76,2.76,2.76,2.76
2013-06-12,2.76,2.76,2.76,2.76
2013-06-13,2.76,2.76,2.76,2.76
2013-06-14,2.76,2.76,2.76,2.76
2013-06-17,2.76,2.76,2.76,2.76
2013-06-18,2.76,2.76,2.76,2.76
2013-06-19,3.25,3.25,3.25,3.25
2013-06-20,3.25,3.25,3.25,3.25
2013-06-21,3.25,3.25,3.25,3.2
2013-06-24,3.25,3.6,3.25,3.6
2013-06-25,3.775,3.775,3.775,3.775
2013-06-26,3.8,3.8,3.7,3.7
2013-06-27,3.675,3.675,3.675,3.675
2013-06-28,3.675,3.675,3.675,3.675
2013-07-01,3.675,3.675,3.675,3.675
2013-07-02,3.675,3.675,3.675,3.675
2013-07-03,3.6,3.6,3.09,3.09
2013-07-04,3.375,3.375,3.375,3.375
2013-07-05,3.35,3.35,3.325,3.325
2013-07-08,3.325,3.325,3.325,3.325
2013-07-09,3.325,3.325,3.325,3.325
2013-07-10,3.05,3.05,3.05,3.05
2013-07-11,3.05,3.05,3.05,3.05
2013-07-12,3.05,3.05,3.05,3.05
2013-07-15,3.05,3.075,3.05,3.075
2013-07-16,3.05,3.05,3.05,3.05
2013-07-17,3.15,3.15,3.075,3.075
2013-07-18,3.075,3.075,3.075,3.075
2013-07-19,3.1,3.1,3.1,3.1
2013-07-22,3.125,3.125,3.125,3.125
2013-07-23,3.18,3.18,3.18,3.18
2013-07-24,3.18,3.18,3.18,3.18
2013-07-25,3.18,3.18,3.125,3.125
2013-07-26,3.15,3.15,3.15,3.15
2013-07-29,3.1,3.1,3.0,3.0
2013-07-30,3.1,3.1,3.0,3.0
2013-07-31,3.1,3.1,3.1,3.1
2013-08-01,3.1,3.1,3.1,3.1
2013-08-02,3.1,3.1,3.1,3.1
2013-08-05,3.1,3.1,3.0,3.0
2013-08-06,3.0,3.1,3.0,3.1
2013-08-07,3.1,3.175,3.1,3.175
2013-08-08,3.175,3.175,3.09,3.09
2013-08-09,3.1,3.1,3.0,3.0
2013-08-12,3.1,3.1,2.99,3.05
2013-08-13,3.075,3.1,3.05,3.075
2013-08-14,3.075,3.075,3.075,3.075
2013-08-15,3.075,3.075,3.075,3.075
2013-08-16,3.075,3.075,3.075,3.075
2013-08-19,3.075,3.075,3.0,3.025
2013-08-20,3.025,3.075,3.025,3.075
2013-08-21,3.025,3.025,3.025,3.025
2013-08-22,3.05,3.075,3.05,3.075
2013-08-23,3.05,3.075,2.95,2.95
2013-08-26,2.95,2.95,2.95,2.95
2013-08-27,3.0,3.0,2.94,2.94
2013-08-28,3.0,3.0,2.85,2.85
2013-08-29,2.94,2.94,2.895,2.895
2013-08-30,2.925,2.925,2.895,2.895
2013-09-02,2.925,2.925,2.895,2.895
2013-09-03,2.925,2.925,2.87,2.87
2013-09-04,2.925,2.925,2.85,2.85
2013-09-05,2.9,2.9,2.85,2.85
2013-09-06,2.9,2.925,2.85,2.925
2013-09-09,2.9,2.9,2.875,2.875
2013-09-10,2.9,2.9,2.805,2.805
2013-09-11,2.825,2.825,2.825,2.825
2013-09-12,2.825,2.825,2.825,2.825
2013-09-13,2.815,2.815,2.815,2.815
2013-09-16,2.815,2.815,2.75,2.75
2013-09-17,2.815,2.815,2.815,2.815
2013-09-18,2.815,2.815,2.815,2.815
2013-09-19,2.815,2.815,2.725,2.725
2013-09-20,2.815,2.815,2.815,2.815
2013-09-23,2.815,2.815,2.75,2.75
2013-09-24,2.815,2.815,2.815,2.815
2013-09-25,2.815,2.815,2.815,2.815
2013-09-26,2.76,2.76,2.76,2.76
2013-09-27,2.75,2.75,2.75,2.75
2013-09-30,2.75,2.75,2.7,2.7
2013-10-01,2.75,2.75,2.75,2.75
2013-10-02,2.75,2.75,2.7,2.7
2013-10-03,2.75,2.75,2.75,2.75
2013-10-04,2.75,2.75,2.75,2.75
2013-10-07,2.75,2.75,2.7,2.7
2013-10-08,2.75,2.75,2.7,2.7
2013-10-09,2.75,2.75,2.71,2.71
2013-10-10,2.77,2.77,2.71,2.71
2013-10-11,2.77,2.77,2.625,2.665
2013-10-14,2.675,2.675,2.665,2.665
2013-10-15,2.675,2.675,2.665,2.665
2013-10-16,2.675,2.675,2.45,2.45
2013-10-17,2.675,2.675,2.45,2.45
2013-10-18,2.675,2.675,2.55,2.575
2013-10-21,2.625,2.625,2.575,2.6
2013-10-22,2.625,2.65,2.575,2.64
2013-10-23,2.64,2.7,2.6,2.64
2013-10-24,2.64,2.65,2.64,2.64
2013-10-25,2.64,2.65,2.64,2.64
2013-10-28,2.64,2.66,2.64,2.64
2013-10-29,2.64,2.66,2.62,2.66
2013-10-30,2.66,2.66,2.66,2.66
2013-10-31,2.66,2.7,2.65,2.69
2013-11-01,2.69,2.705,2.64,2.65
2013-11-04,2.65,2.65,2.6,2.65
2013-11-05,2.625,2.65,2.615,2.615
2013-11-06,2.635,2.635,2.6,2.615
2013-11-07,2.615,2.68,2.615,2.68
2013-11-08,2.645,2.68,2.6,2.68
2013-11-11,2.645,2.68,2.6,2.68
2013-11-12,2.68,2.71,2.6,2.71
2013-11-13,2.68,2.71,2.6,2.71
2013-11-14,2.68,2.71,2.68,2.71
2013-11-15,2.68,2.71,2.68,2.71
2013-11-18,2.68,2.755,2.68,2.715
2013-11-19,2.72,2.74,2.675,2.74
2013-11-20,2.715,2.755,2.675,2.71
2013-11-21,2.715,2.735,2.68,2.7
2013-11-22,2.715,2.715,2.68,2.7
2013-11-25,2.7,2.7,2.67,2.7
2013-11-26,2.685,2.7,2.665,2.675
2013-11-27,2.685,2.69,2.65,2.675
2013-11-28,2.685,2.685,2.65,2.675
2013-11-29,2.685,2.685,2.65,2.675
