Date,Open,High,Low,Close
2011-02-01,4.1,4.1,4.1,4.1
2011-02-02,4.15,4.15,4.15,4.15
2011-02-03,4.2,4.2,4.1,4.1
2011-02-04,4.1,4.1,4.05,4.05
2011-02-07,4.05,4.1,4.05,4.1
2011-02-08,3.95,3.985,3.925,3.985
2011-02-09,3.975,3.975,3.915,3.915
2011-02-10,3.975,3.975,3.85,3.88
2011-02-11,3.85,3.85,3.85,3.85
2011-02-15,3.9,3.95,3.85,3.95
2011-02-16,3.925,3.925,3.925,3.925
2011-02-17,3.975,3.975,3.975,3.975
2011-02-18,4.0,4.0,4.0,4.0
2011-02-21,4.0,4.0,4.0,4.0
2011-02-22,4.0,4.15,4.0,4.15
2011-02-23,4.05,4.125,4.05,4.125
2011-02-24,4.1,4.35,4.1,4.35
2011-02-25,4.1,4.4,4.1,4.4
2011-02-28,4.4,4.5,4.4,4.4
2011-03-01,4.045,4.575,4.425,4.45
2011-03-02,4.5,4.5,4.45,4.45
2011-03-03,4.525,4.525,4.45,4.485
2011-03-04,4.4,4.445,4.4,4.445
2011-03-07,4.425,4.425,4.275,4.275
2011-03-08,4.275,4.35,4.275,4.325
2011-03-09,4.325,4.325,4.3,4.3
2011-03-10,4.3,4.425,4.3,4.425
2011-03-11,4.425,4.425,4.31,4.31
2011-03-14,4.325,4.39,4.3,4.385
2011-03-15,4.475,4.475,4.375,4.4
2011-03-16,4.45,4.45,4.45,4.45
2011-03-17,4.375,4.375,4.35,4.37
2011-03-18,4.4,4.4,4.3,4.35
2011-03-22,4.35,4.45,4.35,4.37
2011-03-23,4.4,4.45,4.4,4.425
2011-03-24,4.4,4.5,4.4,4.5
2011-03-25,4.5,4.55,4.485,4.55
2011-03-28,4.475,4.535,4.42,4.42
2011-03-29,4.52,4.52,4.47,4.47
2011-03-30,4.45,4.485,4.45,4.47
2011-03-31,4.47,4.47,4.47,4.47
2011-04-01,4.47,4.485,4.45,4.45
2011-04-04,4.45,4.47,4.42,4.42
2011-04-05,4.45,4.56,4.4,4.56
2011-04-06,4.56,4.56,4.425,4.5
2011-04-07,4.45,4.475,4.45,4.47
2011-04-08,4.5,4.55,4.5,4.52
2011-04-11,4.52,4.55,4.51,4.55
2011-04-12,4.55,4.55,4.5,4.5
2011-04-13,4.5,4.62,4.485,4.62
2011-04-14,4.62,4.62,4.6,4.6
2011-04-15,4.6,4.625,4.57,4.57
2011-04-18,4.62,4.7,4.57,4.7
2011-04-19,4.57,4.67,4.57,4.67
2011-04-20,4.67,4.74,4.65,4.74
2011-04-25,4.74,4.81,4.74,4.81
2011-04-26,4.8,4.81,4.72,4.72
2011-04-27,4.72,4.77,4.72,4.77
2011-04-28,4.72,4.8,4.72,4.8
2011-04-29,4.77,4.77,4.75,4.75
2011-05-02,4.75,4.75,4.725,4.725
2011-05-03,4.7,4.725,4.7,4.7
2011-05-04,4.7,4.7,4.6,4.6
2011-05-05,4.7,4.72,4.6,4.72
2011-05-06,4.72,4.75,4.6,4.75
2011-05-09,4.75,4.75,4.7,4.7
2011-05-10,4.7,4.75,4.7,4.75
2011-05-11,4.72,4.82,4.72,4.82
2011-05-12,4.82,4.82,4.75,4.75
2011-05-13,4.75,4.85,4.75,4.85
2011-05-16,4.85,4.87,4.835,4.87
2011-05-17,4.87,4.87,4.85,4.85
2011-05-18,4.85,4.95,4.85,4.95
2011-05-19,4.91,4.97,4.91,4.96
2011-05-20,4.95,4.95,4.92,4.95
2011-05-23,4.95,4.95,4.9,4.9
2011-05-24,4.9,4.92,4.9,4.92
2011-05-25,4.95,5.0,4.95,5.0
2011-05-26,4.95,5.07,4.95,5.07
2011-05-27,5.02,5.02,4.97,5.02
2011-05-30,5.02,5.02,4.97,5.02
2011-05-31,4.97,5.07,4.97,5.07
2011-06-01,5.05,5.07,5.05,5.07
2011-06-02,5.07,5.12,5.07,5.1
2011-06-03,5.1,5.17,5.1,5.15
2011-06-07,5.15,5.17,5.15,5.17
2011-06-08,5.17,5.17,5.1,5.1
2011-06-09,5.1,5.1,5.07,5.07
2011-06-10,5.07,5.07,5.07,5.07
2011-06-13,5.07,5.07,5.05,5.05
2011-06-14,5.05,5.07,5.05,5.07
2011-06-15,5.07,5.1,5.07,5.1
2011-06-16,5.1,5.1,5.07,5.07
2011-06-17,5.1,5.16,5.07,5.16
2011-06-20,5.16,5.16,5.11,5.11
2011-06-21,5.11,5.12,5.05,5.05
2011-06-22,5.05,5.07,4.99,5.04
2011-06-23,5.04,5.04,4.99,5.02
2011-06-24,5.02,5.04,5.0,5.0
2011-06-28,5.0,5.0,4.97,4.97
2011-06-29,4.97,5.0,4.97,4.985
2011-06-30,4.97,5.0,4.97,4.97
