Date,Open,High,Low,Close
2001-11-28,13.2335,13.2335,13.2335,13.2335
2001-11-29,13.5988,13.5988,13.5988,13.5988
2001-11-30,13.229,13.229,13.229,13.229
2001-12-03,12.8639,12.8639,12.8639,12.8639
2001-12-04,12.72,12.72,12.72,12.72
2001-12-05,12.5266,12.5266,12.5266,12.5266
2001-12-06,12.5266,12.5266,12.5266,12.5266
2001-12-07,12.882,12.882,12.882,12.882
2001-12-10,12.8898,12.8898,12.8898,12.8898
2001-12-11,12.8672,12.8672,12.8672,12.8672
2001-12-12,12.8675,12.8675,12.8675,12.8675
2001-12-13,12.3187,12.3187,12.3187,12.3187
2001-12-14,12.3187,12.3187,12.3187,12.3187
2001-12-18,11.6555,11.6555,11.6555,11.6555
2001-12-19,11.6963,11.6963,11.6963,11.6963
2001-12-20,11.924,11.924,11.924,11.924
2001-12-21,11.2024,11.2024,11.2024,11.2024
2001-12-24,11.2834,11.2834,11.2834,11.2834
2001-12-26,11.2865,11.2865,11.2865,11.2865
2001-12-27,11.3761,11.3761,11.3761,11.3761
2001-12-28,11.0724,11.0724,11.0724,11.0724
2001-12-31,11.1657,11.1657,11.1657,11.1657
2002-01-01,11.1657,11.1657,11.1657,11.1657
2002-01-04,11.343,11.343,11.343,11.343
2002-01-07,11.1815,11.1815,11.1815,11.1815
2002-01-08,10.7739,10.7739,10.7739,10.7739
2002-01-09,10.8167,10.8167,10.8167,10.8167
2002-01-10,10.9171,10.9171,10.9171,10.9171
2002-01-11,10.6086,10.6086,10.6086,10.6086
2002-01-14,10.9739,10.9739,10.9739,10.9739
2002-01-15,10.6383,10.6383,10.6383,10.6383
2002-01-16,10.7741,10.7741,10.7741,10.7741
2002-01-17,10.4171,10.4171,10.4171,10.4171
2002-01-18,10.4054,10.4054,10.4054,10.4054
2002-01-21,10.4055,10.4055,10.4055,10.4055
2002-01-22,10.4179,10.4179,10.4179,10.4179
2002-01-23,10.4818,10.4818,10.4818,10.4818
2002-01-24,10.524,10.524,10.524,10.524
2002-01-25,10.7376,10.7376,10.7376,10.7376
2002-01-29,10.7391,10.7391,10.7391,10.7391
2002-01-30,10.7367,10.7367,10.7367,10.7367
2002-01-31,10.7365,10.7365,10.7365,10.7365
2002-02-04,10.7326,10.7326,10.7326,10.7326
2002-02-05,10.7326,10.7326,10.7326,10.7326
2002-02-06,10.7538,10.7538,10.7538,10.7538
2002-02-07,9.3032,9.3032,9.3032,9.3032
2002-02-08,10.7538,10.7538,10.7538,10.7538
2002-02-11,10.0032,10.0032,10.0032,10.0032
2002-02-13,9.1699,9.1699,9.1699,9.1699
2002-02-14,10.4395,10.4395,10.4395,10.4395
2002-02-15,10.0032,10.0032,10.0032,10.0032
2002-02-18,10.0032,10.0032,10.0032,10.0032
2002-02-19,10.7487,10.7487,10.7487,10.7487
2002-02-20,10.5875,10.5875,10.5875,10.5875
2002-02-21,10.6922,10.6922,10.6922,10.6922
2002-02-25,10.6273,10.6273,10.6273,10.6273
2002-02-26,10.6881,10.6881,10.6881,10.6881
2002-02-27,10.7856,10.7856,10.7856,10.7856
2002-02-28,10.8418,10.8418,10.8418,10.8418
2002-03-01,10.6768,10.6768,10.6768,10.6768
2002-03-04,10.6771,10.6771,10.6771,10.6771
2002-03-05,10.8222,10.8222,10.8222,10.8222
2002-03-06,10.561,10.561,10.561,10.561
2002-03-07,10.5287,10.5287,10.5287,10.5287
2002-03-08,10.654,10.654,10.654,10.654
2002-03-11,10.5573,10.5573,10.5573,10.5573
2002-03-13,10.7248,10.7248,10.7248,10.7248
2002-03-14,10.6183,10.6183,10.6183,10.6183
2002-03-15,10.4565,10.4565,10.4565,10.4565
2002-03-18,10.3569,10.3569,10.3569,10.3569
2002-03-19,10.4235,10.4235,10.4235,10.4235
2002-03-20,10.396,10.396,10.396,10.396
2002-03-21,10.396,10.396,10.396,10.396
2002-03-22,10.409,10.409,10.409,10.409
2002-03-25,10.3772,10.3772,10.3772,10.3772
2002-03-26,10.4533,10.4533,10.4533,10.4533
2002-03-27,10.1443,10.1443,10.1443,10.1443
2002-03-28,10.1443,10.1443,10.1443,10.1443
2002-03-29,10.1443,10.1443,10.1443,10.1443
2002-04-01,10.2193,10.2193,10.2193,10.2193
2002-04-02,10.3174,10.3174,10.3174,10.3174
2002-04-03,10.2772,10.2772,10.2772,10.2772
2002-04-04,10.2383,10.2383,10.2383,10.2383
2002-04-05,10.1104,10.1104,10.1104,10.1104
2002-04-08,10.2076,10.2076,10.2076,10.2076
2002-04-09,10.1204,10.1204,10.1204,10.1204
2002-04-10,10.0201,10.0201,10.0201,10.0201
2002-04-11,10.1194,10.1194,10.1194,10.1194
2002-04-12,9.7384,9.7384,9.7384,9.7384
2002-04-15,10.1079,10.1079,10.1079,10.1079
2002-04-16,9.4081,9.4081,9.4081,9.4081
2002-04-17,9.535,9.535,9.535,9.535
2002-04-18,9.4242,9.4242,9.4242,9.4242
2002-04-19,9.4736,9.4736,9.4736,9.4736
2002-04-22,9.4689,9.4689,9.4689,9.4689
2002-04-23,9.4441,9.4441,9.4441,9.4441
2002-04-24,9.1435,9.1435,9.1435,9.1435
2002-04-25,9.2373,9.2373,9.2373,9.2373
2002-04-26,9.2125,9.2125,9.2125,9.2125
2002-04-29,9.2194,9.2194,9.2194,9.2194
2002-04-30,9.2069,9.2069,9.2069,9.2069
2002-05-02,9.8624,9.8624,9.8624,9.8624
2002-05-03,9.5253,9.5253,9.5253,9.5253
2002-05-06,9.7095,9.7095,9.7095,9.7095
2002-05-07,9.682,9.682,9.682,9.682
2002-05-08,9.4595,9.4595,9.4595,9.4595
