Date,Open,High,Low,Close
2001-10-12,1117.5,1135.0,1100.0,1117.5
2001-10-16,1065.0,1082.5,1047.5,1065.0
2001-10-17,1065.0,1082.5,1047.5,1065.0
2001-10-18,1075.0,1092.5,1057.5,1075.0
2001-10-22,1050.0,1067.5,1032.5,1050.0
2001-10-23,1050.0,1067.5,1032.5,1050.0
2001-10-24,1060.0,1077.5,1042.5,1060.0
2001-10-25,1060.0,1077.5,1042.5,1060.0
2001-10-26,1070.0,1087.5,1052.5,1070.0
2001-10-29,1117.5,1135.0,1100.0,1117.5
2001-10-30,1107.5,1125.0,1090.0,1107.5
2001-10-31,1100.0,1117.5,1082.5,1100.0
2001-11-01,1110.0,1127.5,1092.5,1110.0
2001-11-05,1072.5,1090.0,1055.0,1072.5
2001-11-15,977.5,995.0,960.0,977.5
2001-11-16,965.0,987.5,942.5,965.0
2001-11-19,857.5,882.5,832.5,857.5
2001-11-20,862.5,887.5,837.5,862.5
2001-11-21,887.5,907.5,867.5,887.5
2001-11-26,847.5,870.0,825.0,847.5
2001-11-27,852.5,875.0,830.0,852.5
2001-11-28,882.5,900.0,865.0,882.5
2001-11-29,935.0,957.5,912.5,935.0
2001-12-03,902.5,925.0,880.0,902.5
2001-12-04,870.0,890.0,850.0,870.0
2001-12-05,855.0,875.0,835.0,855.0
2001-12-06,857.5,877.5,837.5,857.5
2001-12-07,852.5,872.5,832.5,852.5
2001-12-11,827.5,852.5,802.5,827.5
2001-12-12,822.5,842.5,802.5,822.5
2001-12-13,820.0,840.0,800.0,820.0
2001-12-14,820.0,840.0,800.0,820.0
2001-12-17,807.5,832.5,782.5,807.5
2001-12-18,832.5,855.0,810.0,832.5
2001-12-19,837.5,860.0,815.0,837.5
2001-12-20,862.5,885.0,840.0,862.5
2002-01-03,781.25,812.5,750.0,781.25
2002-01-14,831.25,862.5,800.0,831.25
2002-01-15,835.0,857.5,812.5,835.0
2002-01-16,840.0,862.5,817.5,840.0
2002-01-17,830.0,852.5,807.5,830.0
2002-01-18,822.5,845.0,800.0,822.5
2002-01-22,812.5,837.5,787.5,812.5
2002-01-23,797.5,822.5,772.5,797.5
2002-01-24,800.0,825.0,775.0,800.0
2002-01-28,805.0,830.0,780.0,805.0
2002-01-29,817.5,842.5,792.5,817.5
2002-01-30,827.5,852.5,802.5,827.5
2002-01-31,850.0,872.5,827.5,850.0
2002-02-01,868.75,892.5,845.0,868.75
2002-02-04,876.25,900.0,852.5,876.25
2002-02-05,873.75,897.5,850.0,873.75
2002-02-06,873.75,897.5,850.0,873.75
2002-02-07,881.25,905.0,857.5,881.25
2002-02-08,877.5,900.0,855.0,877.5
2002-02-11,872.5,895.0,850.0,872.5
2002-02-12,862.5,885.0,840.0,862.5
2002-02-13,815.0,842.5,787.5,815.0
2002-02-14,815.0,842.5,787.5,815.0
2002-02-15,820.0,842.5,797.5,820.0
2002-02-19,815.0,837.5,792.5,815.0
2002-02-20,807.5,830.0,785.0,807.5
2002-02-21,790.0,815.0,765.0,790.0
2002-02-28,760.0,785.0,735.0,760.0
2002-03-01,756.5,781.5,731.5,756.5
2002-03-04,772.5,797.5,747.5,772.5
2002-03-05,765.0,790.0,740.0,765.0
2002-03-06,787.5,810.0,765.0,787.5
2002-03-07,795.0,817.5,772.5,795.0
2002-03-08,790.0,812.5,767.5,790.0
2002-03-11,757.5,782.5,732.5,757.5
2002-03-12,752.5,777.5,727.5,752.5
2002-03-13,742.5,765.0,720.0,742.5
2002-03-14,720.0,742.5,697.5,720.0
2002-03-15,715.0,737.5,692.5,715.0
2002-03-18,702.5,725.0,680.0,702.5
2002-03-19,705.0,727.5,682.5,705.0
2002-03-20,705.0,727.5,682.5,705.0
2002-03-21,715.0,737.5,692.5,715.0
2002-03-22,723.75,745.0,702.5,723.75
2002-03-25,745.0,767.5,722.5,745.0
2002-03-26,730.0,750.0,710.0,730.0
2002-03-27,713.75,735.0,692.5,713.75
2002-03-28,716.25,735.0,697.5,716.25
2002-04-02,716.25,735.0,697.5,716.25
2002-04-03,722.5,742.5,702.5,722.5
2002-04-04,725.0,745.0,705.0,725.0
2002-04-05,732.5,755.0,710.0,732.5
2002-04-08,737.5,760.0,715.0,737.5
2002-04-09,737.5,760.0,715.0,737.5
2002-04-10,747.5,772.5,722.5,747.5
2002-04-11,750.0,775.0,725.0,750.0
2002-04-12,737.5,762.5,712.5,737.5
2002-04-15,752.5,777.5,727.5,752.5
2002-04-16,728.5,748.5,708.5,728.5
2002-04-17,732.5,755.0,710.0,732.5
2002-04-18,737.5,760.0,715.0,737.5
2002-04-19,735.0,757.5,712.5,735.0
2002-04-22,750.0,772.5,727.5,750.0
2002-04-23,765.0,787.5,742.5,765.0
2002-04-24,787.5,812.5,762.5,787.5
2002-04-29,835.0,855.0,815.0,835.0
2002-04-30,847.5,867.5,827.5,847.5
2002-05-02,882.5,902.5,862.5,882.5
2002-05-03,875.0,895.0,855.0,875.0
2002-05-07,950.0,977.5,922.5,950.0
2002-05-08,955.0,982.5,927.5,955.0
2002-05-09,977.5,1002.5,952.5,977.5
2002-05-10,1036.25,1062.5,1010.0,1036.25
2002-05-13,1022.75,1048.0,997.5,1022.75
2002-05-14,1061.25,1090.0,1032.5,1061.25
2002-05-15,1015.0,1042.5,987.5,1015.0
2002-05-16,985.0,1010.0,960.0,985.0
2002-05-17,985.0,1010.0,960.0,985.0
2002-05-20,1000.0,1025.0,975.0,1000.0
2002-05-21,997.5,1022.5,972.5,997.5
2002-05-22,1022.5,1047.5,997.5,1022.5
2002-05-23,1053.75,1080.0,1027.5,1053.75
2002-05-24,1053.75,1080.0,1027.5,1053.75
2002-05-28,1077.5,1102.5,1052.5,1077.5
2002-05-29,1067.5,1092.5,1042.5,1067.5
2002-05-30,1057.5,1080.0,1035.0,1057.5
2002-05-31,1061.25,1085.0,1037.5,1061.25
2002-06-03,1071.25,1095.0,1047.5,1071.25
2002-06-04,1130.0,1155.0,1105.0,1130.0
2002-06-05,1255.0,1292.5,1217.5,1255.0
2002-06-06,1406.25,1437.5,1375.0,1406.25
2002-06-07,1462.5,1500.0,1425.0,1462.5
2002-06-10,1405.0,1467.5,1342.5,1405.0
2002-06-11,1395.0,1440.0,1350.0,1395.0
2002-06-12,1540.0,1577.5,1502.5,1540.0
2002-06-13,1450.0,1487.5,1412.5,1450.0
2002-06-14,1505.0,1547.5,1462.5,1505.0
2002-06-17,1497.5,1547.5,1447.5,1497.5
2002-06-18,1445.0,1482.5,1407.5,1445.0
2002-06-19,1561.25,1595.0,1527.5,1561.25
2002-06-20,1750.0,1787.5,1712.5,1750.0
2002-06-21,2175.0,2237.5,2112.5,2175.0
2002-06-24,2000.0,2062.5,1937.5,2000.0
2002-06-25,2125.0,2212.5,2037.5,2125.0
2002-06-26,2325.0,2412.5,2237.5,2325.0
2002-06-27,2225.0,2325.0,2125.0,2225.0
2002-07-01,2225.0,2312.5,2137.5,2225.0
2002-07-02,2262.5,2350.0,2175.0,2262.5
2002-07-03,2362.5,2450.0,2275.0,2362.5
2002-07-05,2370.0,2457.5,2282.5,2370.0
2002-07-08,2370.0,2457.5,2282.5,2370.0
2002-07-09,2427.5,2515.0,2340.0,2427.5
2002-07-10,2427.5,2515.0,2340.0,2427.5
2002-07-11,2327.5,2427.5,2227.5,2327.5
2002-07-12,2315.0,2402.5,2227.5,2315.0
2002-07-15,2325.0,2412.5,2237.5,2325.0
2002-07-16,2370.0,2457.5,2282.5,2370.0
2002-07-17,2320.0,2407.5,2232.5,2320.0
2002-07-22,2340.0,2427.5,2252.5,2340.0
2002-07-23,2330.0,2417.5,2242.5,2330.0
2002-07-24,2525.0,2612.5,2437.5,2525.0
2002-07-25,2665.0,2777.5,2552.5,2665.0
2002-07-26,2690.0,2802.5,2577.5,2690.0
2002-07-31,3000.0,3112.5,2887.5,3000.0
2002-08-02,2800.0,2912.5,2687.5,2800.0
2002-08-05,2800.0,2912.5,2687.5,2800.0
2002-08-06,2875.0,2987.5,2762.5,2875.0
2002-08-19,3355.0,3512.5,3197.5,3355.0
2002-08-21,3135.0,3297.5,2972.5,3135.0
2002-08-22,3085.0,3297.5,2872.5,3085.0
2002-08-23,3105.0,3292.5,2917.5,3105.0
2002-08-26,3055.0,3242.5,2867.5,3055.0
2002-08-27,2980.0,3167.5,2792.5,2980.0
2002-08-28,2980.0,3167.5,2792.5,2980.0
2002-08-29,2880.0,3067.5,2692.5,2880.0
2002-08-30,2842.5,3030.0,2655.0,2842.5
2002-09-03,2812.5,3000.0,2625.0,2812.5
2002-09-04,2850.0,3037.5,2662.5,2850.0
2002-09-05,2850.0,3037.5,2662.5,2850.0
2002-09-06,2900.0,3087.5,2712.5,2900.0
2002-09-09,2900.0,3087.5,2712.5,2900.0
2002-09-10,2900.0,3087.5,2712.5,2900.0
2002-09-11,2882.5,3070.0,2695.0,2882.5
2002-09-12,2882.5,3070.0,2695.0,2882.5
2002-09-13,2907.5,3095.0,2720.0,2907.5
2002-09-16,2940.0,3127.5,2752.5,2940.0
2002-09-17,2987.5,3175.0,2800.0,2987.5
2002-09-18,3060.0,3247.5,2872.5,3060.0
2002-09-19,3196.5,3384.0,3009.0,3196.5
2002-09-20,3302.5,3485.0,3120.0,3302.5
2002-09-23,3480.0,3670.0,3290.0,3480.0
2002-09-24,3607.5,3795.0,3420.0,3607.5
2002-09-25,3535.0,3722.5,3347.5,3535.0
2002-09-26,3580.0,3767.5,3392.5,3580.0
2002-09-27,3730.0,3917.5,3542.5,3730.0
2002-09-30,3790.0,3967.5,3612.5,3790.0
2002-10-01,3632.5,3810.0,3455.0,3632.5
2002-10-02,3530.0,3717.5,3342.5,3530.0
2002-10-08,3557.5,3745.0,3370.0,3557.5
2002-10-09,3682.5,3870.0,3495.0,3682.5
2002-10-10,3712.5,3900.0,3525.0,3712.5
2002-10-11,3857.5,4047.5,3667.5,3857.5
2002-10-15,3951.5,4139.0,3764.0,3951.5
2002-10-16,3907.5,4095.0,3720.0,3907.5
2002-10-17,3760.0,3947.5,3572.5,3760.0
2002-10-18,3665.0,3852.5,3477.5,3665.0
2002-10-21,3572.5,3760.0,3385.0,3572.5
2002-10-22,3522.5,3710.0,3335.0,3522.5
2002-10-24,3265.0,3452.5,3077.5,3265.0
2002-10-25,3232.5,3420.0,3045.0,3232.5
2002-10-28,3217.5,3402.5,3032.5,3217.5
2002-10-29,3375.0,3560.0,3190.0,3375.0
2002-10-30,3302.5,3490.0,3115.0,3302.5
2002-10-31,3185.0,3375.0,2995.0,3185.0
2002-11-04,2935.0,3122.5,2747.5,2935.0
2002-11-05,3065.0,3227.5,2902.5,3065.0
2002-11-06,3172.5,3335.0,3010.0,3172.5
2002-11-07,2417.5,1815.0,3020.0,2417.5
2002-11-08,2375.0,1772.5,2977.5,2375.0
2002-11-13,3190.0,3352.5,3027.5,3190.0
2002-11-14,3150.0,3287.5,3012.5,3150.0
2002-11-15,3100.0,3262.5,2937.5,3100.0
2002-11-18,3000.0,3162.5,2837.5,3000.0
2002-11-19,2865.0,3027.5,2702.5,2865.0
2002-11-22,2742.5,2905.0,2580.0,2742.5
2002-11-27,2832.5,2940.0,2725.0,2832.5
2002-12-02,2587.5,2725.0,2450.0,2587.5
2002-12-03,2607.5,2745.0,2470.0,2607.5
2002-12-04,2597.5,2735.0,2460.0,2597.5
2002-12-05,2760.0,2897.5,2622.5,2760.0
2002-12-06,2710.0,2847.5,2572.5,2710.0
2002-12-09,2727.5,2865.0,2590.0,2727.5
2002-12-10,2727.5,2865.0,2590.0,2727.5
2002-12-11,2702.5,2840.0,2565.0,2702.5
2002-12-12,2612.5,2750.0,2475.0,2612.5
2002-12-16,2512.5,2650.0,2375.0,2512.5
2002-12-17,2395.0,2507.5,2282.5,2395.0
2002-12-18,2357.5,2470.0,2245.0,2357.5
2002-12-19,2240.0,2352.5,2127.5,2240.0
2002-12-20,2272.5,2272.5,2272.5,2272.5
2002-12-24,2272.5,2272.5,2272.5,2272.5
2002-12-27,2272.5,2272.5,2272.5,2272.5
2002-12-30,2290.0,2290.0,2290.0,2290.0
2002-12-31,2290.0,2290.0,2290.0,2290.0
2003-01-02,2152.5,2252.5,2052.5,2152.5
2003-01-03,2100.0,2200.0,2000.0,2100.0
2003-01-07,1890.0,1992.5,1787.5,1890.0
2003-01-08,1850.0,1950.0,1750.0,1850.0
2003-01-09,1809.0,1909.0,1709.0,1809.0
2003-01-10,1796.5,1896.5,1696.5,1796.5
2003-01-13,1737.5,1812.5,1662.5,1737.5
2003-01-14,1712.5,1787.5,1637.5,1712.5
2003-01-15,1710.0,1785.0,1635.0,1710.0
2003-01-16,1692.5,1767.5,1617.5,1692.5
2003-01-21,1775.0,1832.5,1717.5,1775.0
2003-01-22,1867.5,1917.5,1817.5,1867.5
2003-01-23,1837.5,1887.5,1787.5,1837.5
2003-01-24,1956.667,2065.0,1848.333,1956.667
2003-01-27,1990.0,2115.0,1865.0,1990.0
2003-01-28,1920.0,1995.0,1845.0,1920.0
2003-01-29,1891.667,1961.667,1821.667,1891.667
2003-01-30,1813.333,1863.333,1763.333,1813.333
2003-01-31,1733.333,1791.667,1675.0,1733.333
2003-02-03,1730.0,1788.333,1671.667,1730.0
2003-02-04,1803.333,1860.0,1746.667,1803.333
2003-02-05,1833.333,1900.0,1766.667,1833.333
2003-02-06,1825.0,1891.667,1758.333,1825.0
2003-02-07,1808.333,1873.333,1743.333,1808.333
2003-02-10,1796.667,1881.667,1711.667,1796.667
2003-02-11,1783.333,1851.667,1715.0,1783.333
2003-02-12,1803.333,1871.667,1735.0,1803.333
2003-02-13,1862.5,1912.5,1812.5,1862.5
2003-02-14,1825.0,1893.333,1756.667,1825.0
2003-02-18,1769.167,1856.667,1681.667,1769.167
2003-02-19,1789.167,1843.333,1735.0,1789.167
2003-02-20,1785.833,1840.0,1731.667,1785.833
2003-02-21,1740.0,1790.0,1690.0,1740.0
2003-02-24,1651.667,1710.0,1593.333,1651.667
2003-02-25,1645.0,1710.0,1580.0,1645.0
2003-02-26,1611.667,1676.667,1546.667,1611.667
2003-02-27,1561.667,1631.667,1491.667,1561.667
2003-02-28,1550.833,1616.667,1485.0,1550.833
2003-03-03,1502.5,1540.0,1465.0,1502.5
2003-03-04,1540.0,1598.333,1481.667,1540.0
2003-03-05,1506.667,1565.0,1448.333,1506.667
2003-03-06,1444.167,1498.333,1390.0,1444.167
