Date,Open,High,Low,Close,Volume
1987-12-31,100.0,100.0,100.0,100.0,
1988-01-01,100.0,100.0,100.0,100.0,
1988-01-04,99.38,99.38,99.38,99.38,
1988-01-05,104.89,104.89,104.89,104.89,
1988-01-06,109.44,109.44,109.44,109.44,
1988-01-07,109.51,109.51,109.51,109.51,
1988-01-08,111.92,111.92,111.92,111.92,
1988-01-11,113.11,113.11,113.11,113.11,
1988-01-12,118.72,118.72,118.72,118.72,
1988-01-13,116.02,116.02,116.02,116.02,
1988-01-14,115.83,115.83,115.83,115.83,
1988-01-15,120.2,120.2,120.2,120.2,
1988-01-18,121.55,121.55,121.55,121.55,
1988-01-19,125.37,125.37,125.37,125.37,
1988-01-20,124.06,124.06,124.06,124.06,
1988-01-21,123.83,123.83,123.83,123.83,
1988-01-22,121.05,121.05,121.05,121.05,
1988-01-25,121.05,121.05,121.05,121.05,
1988-01-26,118.63,118.63,118.63,118.63,
1988-01-27,116.98,116.98,116.98,116.98,
1988-01-28,120.2,120.2,120.2,120.2,
1988-01-29,123.67,123.67,123.67,123.67,
1988-02-01,125.17,125.17,125.17,125.17,
1988-02-02,129.57,129.57,129.57,129.57,
1988-02-03,131.03,131.03,131.03,131.03,
1988-02-04,128.35,128.35,128.35,128.35,
1988-02-05,126.74,126.74,126.74,126.74,
1988-02-08,132.98,132.98,132.98,132.98,
1988-02-09,136.36,136.36,136.36,136.36,
1988-02-10,135.1,135.1,135.1,135.1,
1988-02-11,132.64,132.64,132.64,132.64,
1988-02-12,129.86,129.86,129.86,129.86,
1988-02-15,129.86,129.86,129.86,129.86,
1988-02-16,129.86,129.86,129.86,129.86,
1988-02-17,129.86,129.86,129.86,129.86,
1988-02-18,129.18,129.18,129.18,129.18,
1988-02-19,128.39,128.39,128.39,128.39,
1988-02-22,127.51,127.51,127.51,127.51,
1988-02-23,127.32,127.32,127.32,127.32,
1988-02-24,126.95,126.95,126.95,126.95,
1988-02-25,122.82,122.82,122.82,122.82,
1988-02-26,117.49,117.49,117.49,117.49,
1988-02-29,115.35,115.35,115.35,115.35,
1988-03-01,116.21,116.21,116.21,116.21,
1988-03-02,116.34,116.34,116.34,116.34,
1988-03-03,115.22,115.22,115.22,115.22,
1988-03-04,118.74,118.74,118.74,118.74,
1988-03-07,123.55,123.55,123.55,123.55,
1988-03-08,128.28,128.28,128.28,128.28,
1988-03-09,130.1,130.1,130.1,130.1,
1988-03-10,130.41,130.41,130.41,130.41,
1988-03-11,132.72,132.72,132.72,132.72,
1988-03-14,134.12,134.12,134.12,134.12,
1988-03-15,136.25,136.25,136.25,136.25,
1988-03-16,133.94,133.94,133.94,133.94,
1988-03-17,138.68,138.68,138.68,138.68,
1988-03-18,144.63,144.63,144.63,144.63,
1988-03-21,143.56,143.56,143.56,143.56,
1988-03-22,146.08,146.08,146.08,146.08,
1988-03-23,158.98,158.98,158.98,158.98,
1988-03-24,158.3,158.3,158.3,158.3,
1988-03-25,157.46,157.46,157.46,157.46,
1988-03-28,162.01,162.01,162.01,162.01,
1988-03-29,158.96,158.96,158.96,158.96,
1988-03-30,163.97,163.97,163.97,163.97,
1988-03-31,165.28,165.28,165.28,165.28,
1988-04-01,165.28,165.28,165.28,165.28,
1988-04-04,159.33,159.33,159.33,159.33,
1988-04-05,158.43,158.43,158.43,158.43,
1988-04-06,160.74,160.74,160.74,160.74,
1988-04-07,161.41,161.41,161.41,161.41,
1988-04-08,162.71,162.71,162.71,162.71,
1988-04-11,166.07,166.07,166.07,166.07,
1988-04-12,169.38,169.38,169.38,169.38,
