Date,Open,High,Low,Close
2021-03-26,5.6534,5.7566,5.6476,5.7565
2021-03-25,5.6273,5.6795,5.6189,5.6476
2021-03-24,5.5226,5.6414,5.4916,5.6227
2021-03-23,5.5063,5.5478,5.4676,5.5213
2021-03-22,5.4977,5.5468,5.4965,5.5044
2021-03-19,5.5627,5.5627,5.45,5.491
2021-03-18,5.5865,5.5865,5.4776,5.5617
2021-03-17,5.6201,5.6792,5.5728,5.5879
2021-03-16,5.6167,5.6285,5.5595,5.625
2021-03-15,5.5509,5.6552,5.5328,5.6174
2021-03-12,5.5324,5.5856,5.5324,5.5552
2021-03-11,5.6062,5.6189,5.5283,5.5396
2021-03-10,5.8036,5.8133,5.6467,5.6721
2021-03-09,5.8775,5.8789,5.7714,5.8053
2021-03-08,5.6916,5.8221,5.6916,5.8169
2021-03-05,5.6732,5.7186,5.6547,5.6838
2021-03-04,5.5954,5.6826,5.5469,5.6688
2021-03-03,5.6806,5.772,5.5868,5.6232
2021-03-02,5.6395,5.7317,5.6395,5.6645
2021-03-01,5.5919,5.64,5.558,5.6347
2021-02-26,5.5368,5.6072,5.4923,5.6023
2021-02-25,5.4411,5.5375,5.4198,5.5197
2021-02-24,5.4306,5.4426,5.3913,5.4156
2021-02-23,5.4692,5.4829,5.4097,5.4411
2021-02-22,5.5098,5.5332,5.4328,5.4591
2021-02-19,5.4318,5.4682,5.3685,5.3872
2021-02-18,5.3894,5.4523,5.3877,5.4317
2021-02-17,5.3708,5.4325,5.3695,5.4129
2021-02-12,5.3672,5.4117,5.3565,5.3779
2021-02-11,5.3759,5.4102,5.3356,5.3852
2021-02-10,5.3799,5.4354,5.3524,5.3842
2021-02-09,5.3612,5.4467,5.3589,5.3825
2021-02-08,5.3862,5.4201,5.3069,5.3575
2021-02-05,5.427,5.4552,5.3461,5.3778
2021-02-04,5.3635,5.4552,5.3566,5.432
2021-02-03,5.3656,5.3926,5.3226,5.378
2021-02-02,5.3958,5.4202,5.3448,5.3593
2021-02-01,5.4508,5.4847,5.4205,5.4454
2021-01-29,5.4394,5.5041,5.4223,5.4715
2021-01-28,5.4127,5.4584,5.3924,5.4406
2021-01-27,5.3541,5.4191,5.351,5.4112
2021-01-26,5.4676,5.4776,5.3156,5.3523
2021-01-25,5.4672,5.4873,5.4652,5.4672
2021-01-22,5.3588,5.486,5.3588,5.4705
2021-01-21,5.2564,5.3995,5.2375,5.3598
2021-01-20,5.3455,5.3543,5.2841,5.308
2021-01-19,5.2965,5.3618,5.2446,5.3534
2021-01-18,5.2933,5.3221,5.2377,5.2969
2021-01-15,5.248,5.3099,5.2259,5.2992
2021-01-14,5.299,5.3011,5.1928,5.2039
2021-01-13,5.3247,5.3523,5.2723,5.3075
2021-01-12,5.4872,5.4921,5.3149,5.3208
2021-01-11,5.4181,5.5156,5.4181,5.5048
2021-01-08,5.4109,5.4393,5.3229,5.4205
2021-01-07,5.3168,5.416,5.3011,5.4014
2021-01-06,5.2862,5.357,5.2334,5.3023
2021-01-05,5.2993,5.3531,5.2538,5.2766
2021-01-04,5.1878,5.284,5.1213,5.2719
2020-12-31,5.1941,5.2214,5.1925,5.1935
2020-12-30,5.198,5.2333,5.1551,5.1926
2020-12-29,5.246,5.246,5.1664,5.2046
2020-12-28,5.1898,5.3102,5.1651,5.2466
2020-12-24,5.2168,5.2178,5.1927,5.2166
2020-12-23,5.16,5.2194,5.1301,5.2058
2020-12-22,5.1222,5.1714,5.1112,5.1628
2020-12-21,5.1024,5.2232,5.1024,5.1269
2020-12-18,5.1042,5.1162,5.0749,5.0838
2020-12-17,5.0841,5.0854,5.045,5.0659
2020-12-16,5.0659,5.1421,5.0651,5.0858
2020-12-15,5.1146,5.1235,5.0789,5.0828
2020-12-14,5.041,5.1292,5.0122,5.1164
2020-12-11,5.0444,5.0879,5.0301,5.061
2020-12-10,5.1709,5.1712,5.0166,5.019
2020-12-09,5.1207,5.1959,5.089,5.1684
2020-12-08,5.0993,5.1354,5.0639,5.1193
2020-12-07,5.1592,5.1691,5.0578,5.1075
2020-12-04,5.1542,5.1837,5.1181,5.1298
2020-12-03,5.2188,5.2294,5.122,5.1585
2020-12-02,5.2222,5.2543,5.2078,5.2315
2020-12-01,5.3323,5.3323,5.2143,5.2184
2020-11-30,5.3236,5.3944,5.2768,5.3583
2020-11-27,5.3361,5.3786,5.3205,5.3369
2020-11-26,5.3252,5.3573,5.2967,5.3323
2020-11-25,5.3742,5.3942,5.305,5.3169
2020-11-24,5.4453,5.4454,5.3713,5.375
2020-11-23,5.378,5.4491,5.3419,5.4341
2020-11-20,5.3053,5.3945,5.2871,5.3892
2020-11-19,5.3639,5.3759,5.2993,5.3091
2020-11-18,5.3396,5.3651,5.2759,5.3632
2020-11-17,5.4174,5.4217,5.3243,5.3244
2020-11-16,5.4203,5.4562,5.3663,5.4303
2020-11-13,5.455,5.5251,5.4527,5.4625
2020-11-12,5.4001,5.4893,5.3545,5.4584
2020-11-11,5.4153,5.4549,5.3751,5.4001
2020-11-10,5.3858,5.4158,5.3382,5.412
2020-11-09,5.3653,5.4242,5.2252,5.3813
2020-11-06,5.5259,5.5731,5.368,5.3775
2020-11-05,5.6641,5.6648,5.5346,5.5397
2020-11-04,5.7547,5.7641,5.6446,5.6656
2020-11-03,5.7101,5.7653,5.6501,5.752
2020-10-30,5.7795,5.8076,5.7242,5.7444
2020-10-29,5.7472,5.7885,5.7453,5.7793
2020-10-28,5.706,5.7906,5.703,5.7502
2020-10-27,5.6231,5.7114,5.6005,5.7064
2020-10-26,5.62,5.6632,5.6119,5.6244
2020-10-23,5.5922,5.6342,5.5658,5.6196
2020-10-22,5.6092,5.6255,5.5647,5.5927
2020-10-21,5.6098,5.6268,5.5719,5.606
2020-10-20,5.6061,5.6258,5.5487,5.6061
2020-10-19,5.6471,5.6471,5.5682,5.6091
2020-10-16,5.6129,5.6541,5.5988,5.646
2020-10-15,5.5948,5.6462,5.5904,5.614
2020-10-14,5.5717,5.6041,5.5372,5.5926
2020-10-13,5.5285,5.6245,5.5245,5.5706
2020-10-09,5.6013,5.6014,5.5121,5.5322
2020-10-08,5.6049,5.646,5.5781,5.5996
2020-10-07,5.5942,5.6377,5.5524,5.6113
2020-10-06,5.5751,5.6152,5.4849,5.594
2020-10-05,5.6834,5.6834,5.5513,5.5781
2020-10-02,5.6452,5.6912,5.6087,5.6845
2020-10-01,5.6111,5.6641,5.5766,5.648
2020-09-30,5.6356,5.6663,5.59,5.6103
2020-09-29,5.6605,5.6771,5.6083,5.6348
2020-09-28,5.5623,5.6742,5.5157,5.6613
2020-09-25,5.5103,5.5877,5.51,5.5627
2020-09-24,5.5934,5.6223,5.4956,5.51
2020-09-23,5.4716,5.5984,5.4715,5.5959
2020-09-22,5.4148,5.4961,5.3847,5.4721
2020-09-21,5.3901,5.4967,5.3891,5.4146
2020-09-18,5.2395,5.3983,5.2395,5.3899
2020-09-17,5.2379,5.2914,5.2282,5.2396
2020-09-16,5.2597,5.2739,5.2128,5.2375
2020-09-15,5.2583,5.2985,5.221,5.2771
2020-09-14,5.3079,5.3217,5.2629,5.2723
2020-09-11,5.3215,5.348,5.2603,5.3193
2020-09-10,5.3041,5.3314,5.27,5.3194
2020-09-09,5.3628,5.3631,5.2804,5.3077
2020-09-08,5.3579,5.4083,5.3172,5.3625
2020-09-04,5.291,5.3274,5.2479,5.3018
