Date,Open,High,Low,Close
2000-07-21,20.8232,20.8232,20.8232,20.8232
2000-07-25,18.8761,18.8761,18.8761,18.8761
2000-07-26,17.0449,17.4007,16.3824,16.9109
2000-07-27,17.41,18.12,17.41,18.105
2000-07-28,18.112,21.6687,15.1377,16.5955
2000-07-31,17.7492,20.1281,16.7802,20.0921
2000-08-01,19.4645,21.0989,19.3654,19.6602
2000-08-02,20.1255,20.8678,18.9134,18.9134
2000-08-03,18.9134,20.1103,17.6372,18.4473
2000-08-04,17.6617,20.0105,17.6617,19.003
2000-08-07,18.2927,18.2927,15.4735,17.0003
2000-08-08,17.0003,17.0003,15.2643,16.3889
2000-08-11,15.7303,16.5248,15.7253,16.5146
2000-08-14,16.3486,17.1292,15.148,16.0448
2000-08-15,16.0448,17.3105,15.5489,16.5039
2000-08-16,16.6621,17.9259,16.3456,17.2567
2000-08-17,17.5833,19.5583,16.7771,18.7185
2000-08-21,18.7185,18.7185,16.5766,16.866
2000-08-22,18.7185,19.1149,17.2017,17.2048
2000-08-23,17.2075,17.3937,15.9171,16.5583
2000-08-24,17.2075,17.6902,16.398,16.5638
2000-08-25,16.5638,16.7256,16.5638,16.7256
2000-08-28,16.5529,16.9794,15.0233,16.5077
2000-08-29,16.5077,17.8879,15.5693,17.7202
2000-08-30,17.7202,17.8356,15.4293,16.5604
2000-08-31,16.5604,18.2322,15.3828,17.5452
2000-09-01,17.5452,18.3834,17.3906,17.8747
2000-09-11,17.8747,18.2384,16.5592,16.5592
2000-09-12,16.5592,18.2214,16.5592,18.2214
2000-09-13,16.5592,19.056,16.5592,18.1058
2000-09-14,18.1058,18.8173,17.487,18.7675
2000-09-18,18.7675,20.0884,16.0556,17.6669
2000-09-19,17.6669,18.2214,16.6897,17.3171
2000-09-20,17.3171,19.2263,16.849,16.849
2000-09-22,16.6943,18.7835,16.4146,16.7603
2000-09-25,16.7603,18.9135,15.279,16.9148
2000-09-26,16.9148,16.9148,15.1801,15.4847
2000-09-27,16.9148,17.1992,15.9865,17.04
2000-09-28,17.04,17.435,15.6387,16.1333
2000-09-29,16.1333,18.1825,16.1333,16.4478
2000-10-02,16.085,16.335,15.395,15.635
2000-10-03,16.4478,16.4478,13.9702,14.1099
2000-10-04,15.6351,15.6351,13.3955,13.5531
2000-10-05,13.5531,14.6653,13.5531,14.6653
2000-10-06,14.8292,15.0421,13.1494,14.0118
2000-10-10,14.8292,15.2781,13.5456,14.8025
2000-10-11,14.4858,15.5773,12.1068,14.785
2000-10-13,14.785,17.553,14.1529,15.8299
2000-10-16,16.6156,16.6156,13.2222,14.2677
2000-10-17,14.2677,16.3004,12.9911,14.6327
2000-10-18,14.4806,15.658,13.9184,15.1915
2000-10-19,14.5682,15.0785,13.4133,14.7672
2000-10-20,15.0649,16.5597,13.749,13.749
2000-10-23,14.6746,16.3494,13.728,13.9962
2000-10-24,14.7135,15.8298,14.7135,15.8298
2000-10-25,15.8298,16.6745,13.292,14.2117
2000-10-26,15.4746,15.4746,14.3164,14.3164
2000-11-08,15.8298,15.8298,15.8298,15.8298
2000-11-09,14.6296,14.6296,14.6296,14.6296
2000-11-10,14.8929,16.2729,14.8929,16.2729
2000-11-13,14.0378,14.0378,14.0378,14.0378
2000-11-14,14.5994,14.5994,13.8225,13.8225
2000-11-15,14.0378,14.0378,14.0378,14.0378
2000-11-16,15.6314,15.9147,14.0517,14.3535
2000-11-17,14.0403,14.0403,14.0403,14.0403
2000-11-20,12.435,12.435,12.435,12.435
2000-11-21,15.1158,17.0485,14.2636,14.2636
2000-11-22,14.1178,14.1178,14.1178,14.1178
2000-11-27,15.2218,15.2218,15.2218,15.2218
2000-11-28,13.2646,13.2646,13.2646,13.2646
2000-11-29,14.3244,14.3244,14.3244,14.3244
2000-11-30,14.3244,16.1334,13.1527,15.0654
2000-12-01,15.0441,15.0441,15.0441,15.0441
2000-12-04,13.8376,13.8376,13.8376,13.8376
2000-12-05,13.9869,13.9869,13.9869,13.9869
2000-12-06,12.5505,13.9959,12.5505,13.0001
2000-12-08,13.9777,13.9777,13.9777,13.9777
2000-12-11,13.8279,13.8279,12.5412,12.5412
2000-12-12,13.4903,13.4903,13.4903,13.4903
2000-12-13,13.3349,13.3349,13.3349,13.3349
2000-12-14,11.0361,13.3349,11.0361,13.3102
2000-12-15,12.051,12.051,12.051,12.051
2000-12-18,13.2201,13.2201,13.2201,13.2201
2000-12-19,13.4234,13.4234,12.4527,12.4527
2000-12-20,12.7496,12.7496,12.7496,12.7496
2000-12-21,12.0268,12.7647,12.0268,12.7647
2000-12-22,14.1209,14.1209,14.1209,14.1209
2000-12-26,13.8201,13.8201,13.8201,13.8201
2000-12-27,13.8201,13.8201,13.8201,13.8201
2001-01-02,7.2487,7.2487,7.2487,7.2487
2001-01-03,13.829,13.829,13.829,13.829
2001-01-04,14.0277,14.0277,14.0277,14.0277
2001-01-05,14.2254,14.2254,14.2254,14.2254
2001-01-08,13.7199,13.7199,13.7199,13.7199
2001-01-09,13.436,14.1717,13.1566,14.0297
2001-01-10,13.9908,13.9908,13.9908,13.9908
2001-01-11,13.0948,13.0948,13.0948,13.0948
2001-01-12,13.3395,13.3395,13.3395,13.3395
2001-01-15,13.8605,13.8605,13.8605,13.8605
2001-01-16,13.836,13.836,13.836,13.836
2001-01-17,12.9249,12.9249,12.9249,12.9249
2001-01-18,12.8368,12.8368,12.8368,12.8368
2001-01-19,13.8936,13.8936,13.8936,13.8936
2001-01-22,14.1357,14.1357,14.1357,14.1357
2001-01-23,13.656,13.656,13.656,13.656
2001-01-24,13.0479,13.0479,13.0479,13.0479
2001-01-26,13.6574,13.6574,12.3083,13.2679
2001-01-29,13.2679,13.2679,12.0177,12.6821
2001-01-30,13.1744,13.1744,12.4869,12.4869
2001-01-31,12.8539,13.106,12.8539,13.106
2001-02-01,12.7747,13.3544,11.7461,13.3544
2001-02-02,13.3544,13.3544,12.0488,12.0488
2001-02-05,12.8741,13.2009,12.8741,13.2009
2001-02-06,14.6218,14.6218,14.6218,14.6218
2001-02-07,13.3241,13.3241,13.3241,13.3241
2001-02-08,14.2753,14.2753,13.3126,13.3126
2001-02-09,11.731,11.731,11.731,11.731
2001-02-12,13.0693,13.3868,12.9053,12.9053
2001-02-13,12.7414,12.7414,12.7414,12.7414
2001-02-14,12.3941,12.3941,12.3941,12.3941
2001-02-15,14.6521,14.6521,14.6521,14.6521
2001-02-16,13.046,13.046,13.046,13.046
2001-02-19,13.046,13.046,13.046,13.046
2001-02-20,13.9564,13.9564,13.9564,13.9564
2001-02-21,13.2811,13.2811,13.2811,13.2811
2001-02-22,12.5274,12.5274,12.5274,12.5274
2001-02-23,13.7485,13.7485,13.7485,13.7485
2001-02-28,12.4129,12.4129,12.4129,12.4129
2001-03-01,12.6631,12.6631,12.6631,12.6631
2001-03-02,13.8682,13.8682,13.8682,13.8682
