Date,Mid Price
2000-04-03,18.346
2000-04-04,18.566
2000-04-05,18.753
2000-04-06,18.857
2000-04-07,18.681
2000-04-10,18.681
2000-04-11,18.789
2000-04-12,18.802
2000-04-13,19.069
2000-04-14,19.196
2000-04-17,19.383
2000-04-18,18.854
2000-04-19,18.906
2000-04-20,18.998
2000-04-24,19.256
2000-04-25,19.204
2000-04-26,19.23
2000-04-27,19.173
2000-04-28,19.155
2000-05-02,19.273
2000-05-03,19.409
2000-05-04,19.877
2000-05-05,19.217
2000-05-08,19.207
2000-05-09,19.111
2000-05-10,19.085
2000-05-11,19.139
2000-05-12,19.295
2000-05-15,19.213
2000-05-16,19.098
2000-05-17,19.135
2000-05-18,19.32
2000-05-19,19.437
2000-05-22,19.616
2000-05-23,19.703
2000-05-24,19.349
2000-05-25,19.277
2000-05-26,19.164
2000-05-29,19.164
2000-05-30,19.077
2000-05-31,19.034
2000-06-01,18.956
2000-06-02,18.791
2000-06-05,18.77
2000-06-06,18.721
2000-06-07,18.618
2000-06-08,18.614
2000-06-09,18.614
2000-06-12,18.682
2000-06-13,18.575
2000-06-14,18.536
2000-06-15,18.513
2000-06-16,18.435
2000-06-19,18.39
2000-06-20,18.404
2000-06-21,17.502
2000-06-23,17.719
2000-06-26,17.633
2000-06-27,17.51
2000-06-28,17.411
2000-06-29,17.386
2000-06-30,17.492
2000-07-03,17.369
2000-07-04,17.419
2000-07-05,17.424
2000-07-06,17.437
2000-07-07,17.422
2000-07-10,17.253
2000-07-11,17.396
2000-07-12,17.374
2000-07-13,17.569
2000-07-14,17.387
2000-07-17,17.185
2000-07-18,17.258
2000-07-19,17.275
2000-07-20,16.967
2000-07-21,16.909
2000-07-24,16.843
2000-07-25,16.898
2000-07-26,16.864
2000-07-27,16.861
2000-07-28,16.906
2000-07-31,16.863
2000-08-01,16.809
2000-08-02,16.798
2000-08-03,16.605
2000-08-04,16.569
2000-08-07,16.563
2000-08-08,16.571
2000-08-09,16.558
2000-08-10,16.484
