Date,Mid Price
1994-07-04,172.09
1994-07-05,173.23
1994-07-06,173.46
1994-07-07,171.41
1994-07-08,166.01
1994-07-11,157.26
1994-07-12,160.07
1994-07-13,160.29
1994-07-14,156.61
1994-07-15,136.8
1994-07-18,130.73
1994-07-19,133.84
1994-07-20,133.06
1994-07-21,100.45
1994-07-22,82.04
1994-07-25,85.12
1994-07-26,80.22
1994-07-27,85.43
1994-07-28,69.52
1994-07-29,58.66
1994-08-01,59.06
1994-08-02,58.79
1994-08-03,59.06
1994-08-04,58.92
1994-08-05,55.11
1994-08-08,56.15
1994-08-09,56.28
1994-08-10,56.28
1994-08-11,56.28
1994-08-12,56.41
1994-08-15,56.15
1994-08-16,55.63
1994-08-17,55.63
1994-08-18,55.76
1994-08-19,55.76
1994-08-22,55.76
1994-08-23,55.5
1994-08-24,55.5
1994-08-25,55.5
1994-08-26,55.63
1994-08-29,55.5
1994-08-30,55.37
1994-08-31,56.28
1994-09-01,55.5
1994-09-02,56.41
1994-09-05,56.81
1994-09-06,56.81
1994-09-08,57.07
1994-09-09,56.81
1994-09-12,56.94
1994-09-13,57.33
1994-09-14,57.6
1994-09-15,57.33
1994-09-16,57.2
1994-09-19,57.07
1994-09-20,57.07
1994-09-21,57.07
1994-09-22,57.07
1994-09-23,56.94
1994-09-26,56.94
1994-09-27,57.33
1994-09-28,57.33
1994-09-29,57.46
1994-09-30,63.11
1994-10-04,60.26
1994-10-05,61.21
1994-10-06,60.67
1994-10-07,60.94
1994-10-10,60.53
1994-10-11,60.53
1994-10-13,60.67
1994-10-14,60.67
1994-10-17,60.53
1994-10-18,60.53
1994-10-19,60.67
1994-10-20,60.67
1994-10-21,60.67
1994-10-24,60.8
1994-10-25,60.8
1994-10-26,60.8
1994-10-27,60.94
1994-10-28,60.8
1994-10-31,66.01
1994-11-01,66.42
1994-11-03,66.42
1994-11-04,66.56
1994-11-07,66.98
1994-11-08,67.12
1994-11-09,67.26
1994-11-10,67.12
1994-11-11,66.7
1994-11-14,66.84
1994-11-16,66.7
1994-11-17,66.56
1994-11-18,66.56
1994-11-21,66.56
1994-11-22,66.42
1994-11-23,66.28
1994-11-24,66.14
1994-11-25,66.01
1994-11-28,66.01
1994-11-29,65.17
1994-11-30,58.66
1994-12-01,58.66
1994-12-02,58.66
1994-12-05,58.66
1994-12-06,55.5
1994-12-07,55.5
1994-12-08,55.37
1994-12-09,55.37
1994-12-12,55.24
1994-12-13,55.24
1994-12-14,54.46
1994-12-15,51.51
1994-12-16,51.63
1994-12-19,51.63
1994-12-20,51.51
1994-12-21,52.14
1994-12-22,52.27
1994-12-23,52.14
1994-12-26,52.78
1994-12-27,52.65
1994-12-28,52.65
1994-12-29,51.51
1994-12-30,51.51
1995-01-02,48.61
1995-01-03,50.12
1995-01-04,49.74
1995-01-05,48.74
1995-01-06,48.24
1995-01-09,48.11
1995-01-10,48.11
1995-01-11,46.63
1995-01-12,47.12
1995-01-13,47.37
1995-01-16,47.37
1995-01-17,47.37
1995-01-18,47.37
1995-01-19,47.62
1995-01-20,47.12
1995-01-23,47.12
1995-01-24,46.51
1995-01-25,46.26
1995-01-26,45.89
1995-01-27,45.77
1995-01-30,46.02
1995-01-31,56.67
1995-02-01,56.54
1995-02-02,56.54
1995-02-03,56.67
1995-02-06,56.94
1995-02-07,56.94
1995-02-08,56.81
1995-02-09,56.94
1995-02-10,57.07
1995-02-13,57.33
1995-02-14,57.2
1995-02-15,57.07
1995-02-16,57.33
1995-02-17,57.33
1995-02-20,57.33
1995-02-21,57.33
1995-02-22,57.33
1995-02-23,57.33
1995-02-24,42.51
1995-03-01,42.27
1995-03-02,42.27
1995-03-03,42.39
1995-03-06,42.51
1995-03-07,42.63
1995-03-08,42.99
1995-03-09,43.23
1995-03-10,87.3
1995-03-13,69.66
1995-03-14,66.84
1995-03-15,66.42
1995-03-16,66.42
1995-03-17,66.42
1995-03-20,66.28
1995-03-21,66.28
1995-03-22,66.14
1995-03-23,66.14
1995-03-24,66.14
1995-03-27,66.14
1995-03-28,66.28
1995-03-29,66.28
1995-03-30,66.14
1995-03-31,85.43
1995-04-03,85.74
1995-04-04,85.74
1995-04-05,85.74
