Date,Open,High,Low,Close
2003-10-01,13.0,13.0,12.5,12.65
2003-10-02,12.65,12.65,12.65,12.65
2003-10-16,12.65,12.65,12.5,12.5
2003-10-17,12.5,12.75,12.5,12.75
2003-10-20,13.0,13.15,13.0,13.15
2003-10-21,13.15,13.15,13.0,13.0
2003-10-22,13.0,13.0,12.45,12.5
2003-10-23,12.5,12.75,12.15,12.2
2003-10-24,12.2,12.2,12.0,12.0
2003-10-27,12.4,12.9,11.75,11.75
2003-10-28,11.75,12.0,11.75,11.75
2003-10-29,11.75,12.0,11.7,12.0
2003-10-30,12.0,12.25,12.0,12.0
2003-10-31,12.0,12.0,11.75,12.0
2003-11-03,12.05,12.05,11.7,11.75
2003-11-04,11.75,11.8,11.4,11.4
2003-11-05,11.4,11.5,10.65,10.65
2003-11-06,10.65,11.05,10.65,10.95
2003-11-07,10.5,10.5,10.25,10.25
2003-11-10,10.9,10.95,9.85,9.85
2003-11-11,9.85,9.85,9.85,9.85
2003-11-12,10.85,11.0,10.25,10.35
2003-11-13,10.35,10.75,10.1,10.65
2003-11-14,10.65,12.0,10.65,11.95
2003-11-17,12.0,12.4,12.0,12.4
2003-11-18,12.4,12.4,12.05,12.15
2003-11-19,12.15,12.75,12.0,12.0
2003-11-20,12.0,12.1,11.5,11.5
2003-11-21,11.5,11.85,10.75,11.0
2003-11-24,11.4,11.4,10.1,10.2
2003-11-25,10.2,10.2,9.9,10.0
2003-11-26,10.0,10.0,9.9,10.0
2003-11-27,10.0,10.0,10.0,10.0
2003-11-28,10.4,10.4,6.45,9.7
2003-12-01,10.15,10.15,9.2,9.2
2003-12-02,9.2,9.2,8.75,8.75
2003-12-03,8.75,8.75,8.75,8.75
2003-12-04,9.0,9.0,8.2,8.45
2003-12-05,8.45,8.55,8.0,8.05
2003-12-08,8.35,8.8,7.8,7.8
2003-12-09,7.8,7.8,7.5,7.5
2003-12-10,7.5,7.5,7.5,7.5
2003-12-11,7.5,7.85,7.5,7.75
2003-12-12,7.75,7.75,7.5,7.5
2003-12-15,7.55,7.8,7.35,7.45
2003-12-16,7.45,7.6,7.45,7.6
2003-12-17,7.6,8.1,7.5,7.5
2003-12-18,7.5,7.5,7.5,7.5
2003-12-19,7.5,7.5,7.5,7.5
2003-12-22,7.3,7.55,7.0,7.55
2003-12-23,7.55,7.55,7.4,7.4
2003-12-24,7.6,7.75,7.6,7.65
2003-12-25,7.65,7.65,7.65,7.65
2003-12-26,7.3,7.75,7.3,7.75
2003-12-29,7.75,7.75,7.75,7.75
2003-12-30,7.75,8.5,7.75,8.3
2003-12-31,8.3,8.3,8.3,8.3
2004-01-01,7.85,7.85,7.85,7.85
2004-01-02,8.25,8.3,8.2,8.2
2004-01-05,9.0,9.0,9.0,9.0
2004-01-06,9.0,11.25,9.0,11.25
2004-01-07,11.25,11.25,9.4,9.4
2004-01-08,9.4,9.5,8.5,8.5
2004-01-09,8.5,8.65,8.5,8.5
2004-01-12,8.8,9.5,8.5,9.5
2004-01-13,9.5,11.9,9.5,11.75
2004-01-14,11.75,11.75,10.75,11.75
2004-01-15,11.75,11.75,10.5,10.8
2004-01-16,10.8,10.85,9.75,9.8
2004-01-19,10.05,10.05,10.05,10.05
2004-01-20,10.05,10.15,9.75,9.75
2004-01-21,9.75,9.75,9.2,9.75
2004-01-22,9.75,9.75,9.15,9.15
2004-01-23,9.15,9.25,8.65,8.65
2004-01-26,8.6,8.75,8.55,8.55
2004-01-27,8.55,9.4,8.35,9.4
2004-01-28,9.4,9.65,9.15,9.65
2004-01-29,9.65,13.5,9.65,12.6
2004-01-30,12.6,13.0,11.5,11.5
2004-02-02,11.2,12.65,11.2,12.35
2004-02-03,12.35,12.35,12.0,12.0
2004-02-04,12.0,12.0,11.4,11.4
2004-02-05,11.4,12.25,11.4,12.25
2004-02-06,12.25,12.7,12.25,12.7
2004-02-09,12.65,12.65,11.55,11.55
2004-02-10,11.55,11.55,10.5,10.5
2004-02-11,10.5,10.5,10.0,10.25
2004-02-12,10.25,10.5,10.25,10.5
2004-02-13,10.5,10.75,10.5,10.75
2004-02-16,11.75,11.75,11.75,11.75
2004-02-17,11.8,11.8,10.4,10.4
2004-02-18,10.4,10.5,10.4,10.5
2004-02-19,10.5,10.5,10.5,10.5
2004-02-20,13.75,14.5,13.65,14.5
2004-02-23,13.15,13.15,13.15,13.15
2004-02-24,13.1,13.2,13.1,13.2
2004-02-25,13.2,13.3,13.2,13.25
2004-02-26,13.25,13.25,13.0,13.0
2004-02-27,13.0,13.0,11.75,11.75
2004-03-01,12.65,12.65,11.1,11.1
2004-03-02,11.1,12.0,11.1,12.0
2004-03-03,12.0,12.0,11.25,11.3
2004-03-04,11.3,11.5,11.25,11.4
2004-03-05,11.4,11.4,10.5,10.5
2004-03-08,11.05,11.15,11.05,11.15
2004-03-09,11.1,11.15,10.25,10.25
2004-03-10,10.25,10.9,10.25,10.75
2004-03-11,10.75,12.0,10.45,11.0
2004-03-12,11.0,11.0,10.25,10.25
2004-03-15,10.0,10.2,9.8,9.8
2004-03-16,9.8,10.0,9.8,9.9
2004-03-17,9.9,10.0,9.75,10.0
2004-03-18,10.0,10.0,9.8,9.8
2004-03-19,9.8,9.8,9.4,9.4
2004-03-22,10.25,10.25,9.5,9.5
2004-03-23,9.5,9.5,9.25,9.25
2004-03-24,9.25,10.25,9.25,10.25
2004-03-25,10.25,10.5,10.15,10.25
2004-03-26,10.25,10.25,10.25,10.25
2004-03-29,10.2,10.2,9.75,9.75
2004-03-30,9.75,10.0,9.5,9.75
2004-03-31,9.75,9.75,9.75,9.75
2004-04-01,9.75,9.75,9.25,9.25
2004-04-02,9.25,9.35,9.0,9.15
2004-04-05,9.5,10.1,8.5,8.5
2004-04-06,8.5,8.75,8.5,8.75
2004-04-07,8.75,8.75,8.35,8.5
2004-04-08,8.5,8.5,8.5,8.5
2004-04-12,10.1,10.1,8.65,8.65
2004-04-13,8.65,8.65,8.4,8.5
2004-04-14,8.5,8.5,8.5,8.5
2004-04-15,8.5,9.0,8.5,9.0
2004-04-16,9.0,9.4,9.0,9.15
2004-04-19,9.25,9.3,9.15,9.15
2004-04-20,9.15,9.9,9.15,9.65
2004-04-21,9.65,11.0,9.65,11.0
2004-04-22,11.0,11.5,11.0,11.25
2004-04-23,11.25,11.25,10.15,10.15
2004-04-26,9.6,9.6,9.3,9.35
2004-04-27,9.35,10.0,9.2,9.4
2004-04-28,9.4,11.0,9.4,10.85
2004-04-29,10.85,12.75,10.85,12.75
2004-04-30,12.75,12.75,11.75,11.75
2004-05-03,11.75,13.9,11.5,13.25
2004-05-04,13.25,13.25,13.25,13.25
2004-05-05,13.25,13.25,13.0,13.0
2004-05-06,13.0,13.5,13.0,13.25
2004-05-07,13.25,18.0,13.25,18.0
2004-05-10,17.75,18.5,17.75,18.5
2004-05-11,18.5,18.75,14.9,18.25
2004-05-12,18.25,21.5,15.6,21.5
2004-05-13,21.5,21.65,18.85,21.5
2004-05-14,21.5,21.5,21.25,21.25
2004-05-18,20.2,20.75,11.15,20.75
2004-05-19,20.75,20.75,18.75,20.0
2004-05-20,20.0,23.0,20.0,23.0
2004-05-21,23.0,23.0,23.0,23.0
2004-06-07,16.15,16.15,16.15,16.15
2004-06-08,16.15,16.975,16.15,16.975
2004-06-09,14.4,14.4,14.0,14.0
2004-06-10,16.4,16.4,16.4,16.4
2004-06-11,14.2,14.2,14.2,14.2
2004-06-14,14.2,14.2,14.2,14.2
2004-06-15,14.95,15.15,14.15,14.35
2004-06-16,15.3,16.05,14.75,14.75
2004-06-17,14.25,14.95,14.25,14.95
2004-06-18,14.95,14.95,14.95,14.95
2004-06-21,14.05,14.05,14.05,14.05
2004-06-22,13.25,13.25,13.15,13.15
2004-06-23,13.15,13.5,13.15,13.5
2004-06-24,12.95,12.95,12.95,12.95
2004-06-25,12.75,12.85,12.7,12.7
2004-06-28,12.95,12.95,12.75,12.75
2004-06-29,12.75,12.95,12.75,12.85
2004-06-30,12.5,12.5,12.0,12.0
2004-07-01,12.3,12.3,12.3,12.3
2004-07-02,12.3,12.5,12.3,12.5
2004-07-05,12.3,12.3,12.3,12.3
2004-07-06,12.3,12.3,12.3,12.3
2004-07-07,11.25,11.25,11.25,11.25
2004-07-08,11.25,11.9,11.0,11.9
2004-07-09,11.9,11.95,11.45,11.95
2004-07-12,11.85,11.85,11.85,11.85
2004-07-13,11.45,11.45,11.45,11.45
2004-07-14,11.4,11.45,11.4,11.45
2004-07-15,11.45,11.85,11.45,11.8
2004-07-16,11.45,11.75,11.45,11.75
2004-07-19,11.2,11.2,11.2,11.2
2004-07-20,11.25,11.25,11.25,11.25
2004-07-21,11.2,11.2,11.2,11.2
2004-07-22,11.2,12.15,11.2,12.15
2004-07-23,11.2,11.2,11.2,11.2
2004-07-27,11.5,11.5,11.5,11.5
2004-07-28,11.0,11.3,11.0,11.3
2004-07-29,10.35,11.1,10.35,11.05
2004-07-30,12.05,12.05,12.05,12.05
2004-08-02,12.05,12.05,10.9,11.0
2004-08-03,12.8,12.8,10.85,10.85
2004-08-04,10.85,11.2,10.45,10.6
2004-08-05,10.6,10.7,10.5,10.65
2004-08-06,10.7,10.9,10.35,10.35
2004-08-09,10.5,10.5,9.9,10.05
2004-08-10,10.05,10.05,9.65,9.65
2004-08-11,9.65,9.9,9.45,9.85
2004-08-12,9.45,9.75,9.45,9.75
2004-08-13,9.45,9.6,9.45,9.45
2004-08-16,9.25,10.0,9.25,9.85
2004-08-17,9.85,10.0,9.45,10.0
2004-08-18,10.0,10.0,9.45,10.0
2004-08-19,10.0,10.0,9.65,9.9
2004-08-20,9.9,10.1,9.75,9.75
2004-08-23,9.65,9.75,9.65,9.75
2004-08-24,9.8,9.8,9.45,9.5
2004-08-25,9.5,9.65,9.0,9.05
2004-08-26,9.05,9.25,8.9,8.95
2004-08-27,9.15,9.3,9.15,9.3
2004-09-01,9.25,9.7,9.25,9.5
2004-09-02,9.5,9.6,9.15,9.3
2004-09-03,9.3,9.6,9.0,9.0
2004-09-07,9.4,9.4,9.4,9.4
2004-09-08,9.4,9.4,8.9,9.0
2004-09-09,9.0,9.15,8.75,8.9
2004-09-10,8.9,9.15,8.75,8.75
2004-09-13,8.75,8.75,8.75,8.75
2004-09-14,8.8,8.8,8.8,8.8
2004-09-15,8.8,8.8,8.8,8.8
2004-09-16,8.8,9.0,8.8,9.0
2004-09-17,8.3,8.5,8.3,8.35
2004-09-20,7.75,8.0,7.65,8.0
2004-09-21,8.0,8.1,7.65,8.1
2004-09-22,8.1,8.25,7.85,8.25
2004-09-23,8.25,8.45,7.85,8.4
2004-09-24,8.4,8.5,8.4,8.5
2004-09-27,8.5,8.65,8.25,8.25
2004-09-28,8.25,8.25,7.85,7.85
2004-09-29,7.85,8.75,7.85,8.75
2004-09-30,8.75,9.0,8.3,8.8
2004-10-01,8.8,9.0,8.3,8.5
2004-10-04,8.5,8.5,8.5,8.5
2004-10-05,8.3,8.5,8.3,8.5
2004-10-06,8.5,8.5,8.3,8.5
2004-10-07,8.5,9.0,8.3,9.0
2004-10-08,9.0,9.0,8.3,9.0
2004-10-11,8.85,8.85,8.85,8.85
2004-10-12,8.85,8.85,8.85,8.85
2004-10-13,8.85,9.25,8.85,9.25
2004-10-14,9.25,9.9,9.25,9.9
2004-10-15,9.6,11.75,9.6,10.45
2004-10-18,10.5,10.65,10.5,10.5
2004-10-19,10.55,10.85,10.25,10.5
2004-10-20,10.5,10.75,10.5,10.65
2004-10-21,10.75,10.85,10.3,10.3
2004-10-22,10.3,10.85,6.15,10.4
2004-10-25,10.25,10.75,10.25,10.75
