Date,Last Price
2000-01-04,2.57
2000-01-05,2.56
2000-01-06,2.57
2000-01-07,2.58
2000-01-10,2.58
2000-01-11,2.56
2000-01-12,2.56
2000-01-13,2.56
2000-01-14,2.56
2000-01-17,2.57
2000-01-18,2.55
2000-01-19,2.55
2000-01-20,2.55
2000-01-21,2.53
2000-01-24,2.55
2000-01-25,2.53
2000-01-26,2.52
2000-01-27,2.55
2000-01-28,2.53
2000-01-31,2.51
2000-02-01,2.5
2000-02-02,2.5
2000-02-03,2.5
2000-02-04,2.5
2000-02-12,2.57
2000-02-13,2.57
2000-02-14,2.52
2000-02-15,2.52
2000-02-16,2.51
2000-02-17,2.51
2000-02-18,2.51
2000-02-21,2.51
2000-02-22,2.52
2000-02-23,2.51
2000-02-24,2.51
2000-02-25,2.49
2000-02-28,2.5
2000-02-29,2.49
2000-03-01,2.49
2000-03-02,2.49
2000-03-03,2.48
2000-03-06,2.48
2000-03-07,2.49
2000-03-08,2.48
2000-03-09,2.48
2000-03-10,2.47
2000-03-13,2.47
2000-03-14,2.46
2000-03-15,2.45
2000-03-16,2.46
2000-03-17,2.45
2000-03-20,2.45
2000-03-21,2.455
2000-03-22,2.45
2000-03-23,2.445
2000-03-24,2.45
2000-03-27,2.45
2000-03-28,2.445
2000-03-29,2.44
2000-03-30,2.44
2000-03-31,2.43
2000-04-03,2.43
2000-04-04,2.44
2000-04-05,2.435
2000-04-06,2.425
2000-04-07,2.43
2000-04-10,2.425
2000-04-11,2.42
2000-04-12,2.42
2000-04-13,2.43
2000-04-14,2.42
2000-04-17,2.42
2000-04-18,2.56
2000-04-19,2.42
2000-04-20,2.42
2000-04-21,2.42
2000-04-24,2.415
2000-04-25,2.41
2000-04-26,2.4
2000-04-27,2.41
2000-04-28,2.4
2000-04-29,2.4
2000-04-30,2.4
2000-05-08,2.405
2000-05-09,2.4
2000-05-10,2.41
2000-05-11,2.395
2000-05-12,2.4
2000-05-15,2.4
2000-05-16,2.4
2000-05-17,2.39
2000-05-18,2.395
2000-05-19,2.395
2000-05-22,2.395
2000-05-23,2.39
2000-05-24,2.39
2000-05-25,2.4
2000-05-26,2.39
2000-05-29,2.39
2000-05-30,2.38
2000-05-31,2.38
2000-06-01,2.38
2000-06-02,2.38
2000-06-05,2.38
2000-06-06,2.375
2000-06-07,2.38
2000-06-08,2.38
2000-06-09,2.375
2000-06-12,2.375
2000-06-13,2.375
2000-06-14,2.375
2000-06-15,2.375
2000-06-16,2.38
2000-06-19,2.375
2000-06-20,2.375
2000-06-21,2.365
2000-06-22,2.37
2000-06-23,2.375
2000-06-26,2.37
2000-06-27,2.37
2000-06-28,2.365
2000-06-29,2.37
2000-06-30,2.365
2000-07-03,2.37
2000-07-04,2.37
2000-07-05,2.37
2000-07-06,2.365
2000-07-07,2.365
2000-07-10,2.36
2000-07-11,2.36
2000-07-12,2.36
2000-07-13,2.37
2000-07-14,2.36
2000-07-17,2.36
2000-07-18,2.36
2000-07-19,2.355
2000-07-20,2.36
2000-07-21,2.36
2000-07-24,2.35
2000-07-25,2.35
2000-07-26,2.35
2000-07-27,2.355
2000-07-28,2.35
2000-07-31,2.345
2000-08-01,2.34
2000-08-02,2.35
2000-08-03,2.35
2000-08-04,2.34
2000-08-07,2.34
2000-08-08,2.34
2000-08-09,2.335
2000-08-10,2.33
2000-08-11,2.335
2000-08-14,2.33
2000-08-15,2.325
2000-08-16,2.33
2000-08-17,2.325
2000-08-18,2.325
2000-08-21,2.32
2000-08-22,2.32
2000-08-23,2.32
2000-08-24,2.32
2000-08-25,2.32
2000-08-28,2.33
2000-08-29,2.32
2000-08-30,2.315
2000-08-31,2.315
2000-09-01,2.315
2000-09-04,2.315
2000-09-05,2.31
2000-09-06,2.32
2000-09-07,2.32
2000-09-08,2.31
2000-09-11,2.31
2000-09-12,2.31
2000-09-13,2.31
2000-09-14,2.315
2000-09-15,2.32
2000-09-18,2.31
2000-09-19,2.305
2000-09-20,2.305
2000-09-21,2.305
2000-09-22,2.305
2000-09-25,2.32
2000-09-26,2.31
2000-09-27,2.305
2000-09-28,2.305
2000-09-29,2.305
2000-09-30,2.3
2000-10-08,2.305
2000-10-09,2.305
2000-10-10,2.305
2000-10-11,2.305
2000-10-12,2.305
2000-10-13,2.31
2000-10-16,2.305
2000-10-17,2.305
2000-10-18,2.31
2000-10-19,2.305
2000-10-20,2.305
2000-10-23,2.305
2000-10-24,2.305
2000-10-25,2.305
2000-10-26,2.31
2000-10-27,2.305
2000-10-30,2.305
