Date,Open,High,Low,Close
2003-01-24,83.0,84.5,81.5,83.0
2003-01-27,83.5,86.0,81.0,83.5
2003-01-28,83.5,86.0,81.0,83.5
2003-01-29,83.5,86.0,81.0,83.5
2003-01-30,83.5,86.0,81.0,83.5
2003-01-31,83.5,86.0,81.0,83.5
2003-02-03,83.5,86.0,81.0,83.5
2003-02-04,83.0,85.0,81.0,83.0
2003-02-05,83.0,85.0,81.0,83.0
2003-02-06,83.0,85.0,81.0,83.0
2003-02-07,83.0,85.0,81.0,83.0
2003-02-10,84.0,85.5,82.5,84.0
2003-02-11,84.0,85.5,82.5,84.0
2003-02-12,84.5,86.0,83.0,84.5
2003-02-13,89.0,91.5,86.5,89.0
2003-02-14,89.0,91.5,86.5,89.0
2003-02-18,87.5,90.0,85.0,87.5
2003-02-19,86.25,87.5,85.0,86.25
2003-02-20,85.75,87.0,84.5,85.75
2003-02-21,85.75,87.0,84.5,85.75
2003-02-24,84.25,85.5,83.0,84.25
2003-02-25,84.25,85.5,83.0,84.25
2003-02-26,84.25,85.5,83.0,84.25
2003-02-27,84.25,85.5,83.0,84.25
2003-02-28,85.0,86.5,83.5,85.0
2003-03-03,85.0,86.5,83.5,85.0
2003-03-04,85.5,87.0,84.0,85.5
2003-03-05,85.5,87.0,84.0,85.5
2003-03-06,89.5,91.0,88.0,89.5
2003-03-07,89.0,90.5,87.5,89.0
2003-03-10,89.5,91.0,88.0,89.5
2003-03-11,89.5,91.0,88.0,89.5
2003-03-12,90.5,92.0,89.0,90.5
2003-03-13,90.5,92.0,89.0,90.5
2003-03-14,90.5,92.0,89.0,90.5
2003-03-18,89.0,90.5,87.5,89.0
2003-03-19,89.0,90.5,87.5,89.0
2003-03-20,87.5,89.0,86.0,87.5
2003-03-21,87.5,89.0,86.0,87.5
2003-03-24,83.75,85.0,82.5,83.75
2003-03-25,84.25,85.5,83.0,84.25
2003-03-26,83.75,85.0,82.5,83.75
2003-03-27,85.75,87.0,84.5,85.75
2003-03-31,85.75,87.0,84.5,85.75
2003-04-01,85.75,87.0,84.5,85.75
2003-04-02,84.75,86.0,83.5,84.75
2003-04-03,84.75,86.0,83.5,84.75
2003-04-04,84.75,86.0,83.5,84.75
2003-04-07,84.75,86.0,83.5,84.75
2003-04-08,44.75,46.0,43.5,44.75
2003-04-09,44.75,46.0,43.5,44.75
2003-04-10,44.75,46.0,43.5,44.75
2003-04-11,44.75,46.0,43.5,44.75
2003-04-14,44.75,46.0,43.5,44.75
2003-04-15,44.75,46.0,43.5,44.75
2003-04-16,42.75,44.0,41.5,42.75
2003-04-17,42.5,44.0,41.0,42.5
2003-04-24,42.5,44.0,41.0,42.5
2003-04-28,37.5,40.0,35.0,37.5
2003-04-29,36.75,38.0,35.5,36.75
2003-04-30,36.75,38.0,35.5,36.75
2003-05-01,36.75,38.0,35.5,36.75
2003-05-02,36.25,37.5,35.0,36.25
2003-05-05,37.5,40.0,35.0,37.5
2003-05-06,35.0,37.5,32.5,35.0
2003-05-07,34.25,35.5,33.0,34.25
2003-05-08,34.25,35.5,33.0,34.25
2003-05-09,35.25,36.5,34.0,35.25
2003-05-12,35.5,36.5,34.5,35.5
2003-05-13,35.0,37.5,32.5,35.0
2003-05-14,35.5,36.5,34.5,35.5
2003-05-15,35.0,36.0,34.0,35.0
2003-05-16,35.5,36.5,34.5,35.5
2003-05-19,35.5,36.5,34.5,35.5
2003-05-20,35.25,36.5,34.0,35.25
2003-05-21,35.25,36.5,34.0,35.25
2003-05-22,35.5,38.0,33.0,35.5
2003-05-23,35.25,36.5,34.0,35.25
2003-05-27,35.25,36.5,34.0,35.25
2003-05-28,35.5,38.0,33.0,35.5
2003-05-29,33.75,35.0,32.5,33.75
2003-05-30,33.75,35.0,32.5,33.75
2003-06-02,34.5,37.0,32.0,34.5
2003-06-03,34.5,37.0,32.0,34.5
2003-06-04,34.25,35.5,33.0,34.25
2003-06-05,34.75,36.0,33.5,34.75
2003-06-06,34.75,36.0,33.5,34.75
2003-06-09,34.25,35.5,33.0,34.25
2003-06-10,34.75,36.0,33.5,34.75
2003-06-11,34.75,36.0,33.5,34.75
2003-06-12,34.25,35.5,33.0,34.25
2003-06-13,34.25,35.5,33.0,34.25
2003-06-16,33.25,34.5,32.0,33.25
2003-06-17,34.25,35.5,33.0,34.25
2003-06-18,35.25,36.5,34.0,35.25
2003-06-19,34.25,35.5,33.0,34.25
2003-06-20,34.25,35.5,33.0,34.25
2003-06-23,34.25,35.5,33.0,34.25
2003-06-24,33.75,35.0,32.5,33.75
2003-06-25,33.167,35.0,31.333,33.167
2003-06-26,32.5,34.333,30.667,32.5
2003-06-27,33.25,34.5,32.0,33.25
2003-06-30,32.5,34.333,30.667,32.5
2003-07-01,32.5,34.333,30.667,32.5
2003-07-02,32.5,34.333,30.667,32.5
2003-07-03,32.5,34.333,30.667,32.5
2003-07-07,30.833,32.667,29.0,30.833
2003-07-08,30.5,32.333,28.667,30.5
2003-07-09,30.167,32.0,28.333,30.167
2003-07-10,30.167,32.0,28.333,30.167
2003-07-11,30.167,32.0,28.333,30.167
2003-07-14,29.75,31.0,28.5,29.75
2003-07-15,28.167,30.0,26.333,28.167
2003-07-16,26.167,28.333,24.0,26.167
2003-07-17,26.25,27.5,25.0,26.25
2003-07-18,26.25,27.5,25.0,26.25
2003-07-21,26.25,27.5,25.0,26.25
2003-07-22,26.25,27.5,25.0,26.25
2003-07-23,26.167,28.333,24.0,26.167
2003-07-24,26.25,27.5,25.0,26.25
2003-07-25,26.25,27.5,25.0,26.25
2003-07-30,26.25,27.5,25.0,26.25
2003-07-31,26.167,28.333,24.0,26.167
2003-08-01,26.25,27.5,25.0,26.25
2003-08-04,26.167,28.333,24.0,26.167
2003-08-05,26.25,27.5,25.0,26.25
2003-08-07,26.25,27.5,25.0,26.25
2003-08-08,26.25,27.5,25.0,26.25
2003-08-11,26.167,28.333,24.0,26.167
2003-08-12,26.25,27.5,25.0,26.25
2003-08-13,26.083,27.667,24.5,26.083
2003-08-14,25.75,27.0,24.5,25.75
2003-08-15,25.75,27.0,24.5,25.75
2003-08-18,26.333,28.0,24.667,26.333
2003-08-19,31.25,33.75,28.75,31.25
2003-08-20,25.25,26.5,24.0,25.25
2003-08-21,25.167,27.0,23.333,25.167
2003-08-22,25.25,26.5,24.0,25.25
