Date,Open,High,Low,Close
2021-03-26,6.5483,6.5501,6.538,6.5401
2021-03-25,6.5292,6.5534,6.5258,6.5482
2021-03-24,6.5204,6.5295,6.5159,6.5292
2021-03-23,6.5071,6.5203,6.5029,6.5203
2021-03-22,6.5166,6.5176,6.502,6.5071
2021-03-19,6.5072,6.5222,6.504,6.5079
2021-03-18,6.4861,6.5146,6.4853,6.5072
2021-03-17,6.5011,6.5104,6.4851,6.4861
2021-03-16,6.498,6.5059,6.4928,6.5011
2021-03-15,6.5004,6.5168,6.4935,6.498
2021-03-12,6.4788,6.5142,6.4761,6.4962
2021-03-11,6.4948,6.505,6.4769,6.4788
2021-03-10,6.519,6.5283,6.4937,6.4948
2021-03-09,6.5515,6.5626,6.511,6.5187
2021-03-08,6.5144,6.5534,6.5061,6.5515
2021-03-05,6.4919,6.5288,6.4794,6.5163
2021-03-04,6.4776,6.4926,6.4702,6.4918
2021-03-03,6.4748,6.4785,6.458,6.4774
2021-03-02,6.4699,6.4836,6.4637,6.4748
2021-03-01,6.4787,6.4814,6.4648,6.4699
2021-02-26,6.4892,6.5085,6.465,6.4807
2021-02-25,6.4476,6.4974,6.4445,6.4892
2021-02-24,6.4601,6.4647,6.4412,6.4476
2021-02-23,6.4667,6.4741,6.4527,6.4601
2021-02-22,6.4598,6.4761,6.4453,6.4667
2021-02-19,6.46,6.4678,6.4427,6.4542
2021-02-18,6.4355,6.4714,6.4297,6.46
2021-02-17,6.4251,6.4501,6.4249,6.4355
2021-02-16,6.406,6.4298,6.4009,6.4251
2021-02-15,6.4224,6.4233,6.4009,6.406
2021-02-12,6.4233,6.4376,6.4189,6.4217
2021-02-11,6.429,6.4339,6.4171,6.4233
2021-02-10,6.4204,6.4334,6.4128,6.429
2021-02-09,6.4411,6.4489,6.418,6.4204
2021-02-08,6.4627,6.4628,6.439,6.4411
2021-02-05,6.4726,6.4879,6.4576,6.4593
2021-02-04,6.4595,6.4783,6.4569,6.4726
2021-02-03,6.4589,6.4678,6.4557,6.4595
2021-02-02,6.4741,6.4761,6.4548,6.4589
2021-02-01,6.4475,6.4792,6.4432,6.4743
2021-01-29,6.4743,6.4811,6.4398,6.4522
2021-01-28,6.4961,6.5151,6.4688,6.4743
2021-01-27,6.4727,6.5006,6.4669,6.4961
2021-01-26,6.4871,6.4904,6.4691,6.4727
2021-01-25,6.4941,6.497,6.4823,6.4871
2021-01-22,6.4652,6.4992,6.4642,6.497
2021-01-21,6.4618,6.4704,6.4552,6.4653
2021-01-20,6.4808,6.4818,6.4602,6.4617
2021-01-19,6.4971,6.4984,6.4738,6.4808
2021-01-18,6.481,6.5074,6.4787,6.4971
2021-01-15,6.4643,6.4857,6.4626,6.4847
2021-01-14,6.467,6.4773,6.4578,6.4643
2021-01-13,6.4424,6.4698,6.4401,6.467
2021-01-12,6.4795,6.4795,6.442,6.4424
2021-01-11,6.4643,6.4902,6.462,6.4794
2021-01-08,6.4714,6.4771,6.4525,6.4649
2021-01-07,6.4498,6.4779,6.4365,6.4714
2021-01-06,6.4369,6.4574,6.425,6.4498
2021-01-05,6.4551,6.4577,6.4118,6.437
2021-01-04,6.4963,6.4986,6.4401,6.4551
2020-12-31,6.5062,6.5171,6.4886,6.5028
2020-12-30,6.518,6.5235,6.5014,6.5062
2020-12-29,6.5332,6.5346,6.5135,6.518
2020-12-28,6.5145,6.5365,6.5143,6.5332
2020-12-25,6.5178,6.5241,6.5086,6.5104
2020-12-24,6.5339,6.5347,6.515,6.5178
2020-12-23,6.54,6.5473,6.5198,6.5339
2020-12-22,6.5359,6.5482,6.5302,6.5401
2020-12-21,6.5189,6.5531,6.5189,6.5359
2020-12-18,6.5169,6.5328,6.5117,6.518
2020-12-17,6.5126,6.5171,6.5,6.5168
2020-12-16,6.5171,6.5287,6.5048,6.5125
2020-12-15,6.5291,6.545,6.5161,6.5171
2020-12-14,6.5386,6.54,6.5168,6.529
2020-12-11,6.5357,6.5417,6.5224,6.5397
2020-12-10,6.5285,6.5461,6.5248,6.5356
2020-12-09,6.5202,6.5421,6.4971,6.5284
2020-12-08,6.5196,6.5269,6.5075,6.5202
2020-12-07,6.5134,6.5356,6.5101,6.5196
2020-12-04,6.5356,6.5422,6.507,6.5173
2020-12-03,6.5436,6.5536,6.5254,6.5356
2020-12-02,6.5524,6.5624,6.5411,6.5436
2020-12-01,6.5839,6.5841,6.5479,6.5524
2020-11-30,6.5717,6.5876,6.5651,6.5839
2020-11-27,6.5695,6.5804,6.5635,6.5754
2020-11-26,6.5632,6.5734,6.5556,6.5695
2020-11-25,6.5752,6.583,6.5611,6.5631
2020-11-24,6.5814,6.5971,6.5687,6.5751
2020-11-23,6.5586,6.5884,6.5447,6.5815
2020-11-20,6.5769,6.5797,6.5508,6.552
2020-11-19,6.5615,6.591,6.5559,6.5771
2020-11-18,6.548,6.5672,6.5321,6.5618
2020-11-17,6.5747,6.5758,6.5458,6.5481
2020-11-16,6.6019,6.6049,6.5663,6.5743
2020-11-13,6.6174,6.6278,6.5941,6.6001
2020-11-12,6.618,6.6349,6.6016,6.6174
2020-11-11,6.5989,6.6291,6.5823,6.618
2020-11-10,6.6161,6.6284,6.5862,6.599
2020-11-09,6.5879,6.6495,6.5475,6.6163
2020-11-06,6.6092,6.6289,6.5858,6.5915
2020-11-05,6.6239,6.6632,6.6016,6.6092
2020-11-04,6.6828,6.7745,6.6202,6.6237
