Date,Open,High,Low,Close
2010-09-21,0.15,0.15,0.15,0.15
2010-09-29,0.22,0.22,0.22,0.22
2010-12-06,-0.275,-0.275,-0.275,-0.275
2010-12-28,-0.55,-0.55,-0.55,-0.55
2010-12-29,-0.55,-0.55,-0.55,-0.55
2010-12-30,-0.55,-0.55,-0.6,-0.6
2010-12-31,-0.55,-0.55,-0.55,-0.55
2011-01-03,-0.55,-0.55,-0.575,-0.575
2011-01-04,-0.55,-0.55,-0.55,-0.55
2011-01-05,-0.55,-0.51,-0.55,-0.515
2011-01-06,-0.55,-0.53,-0.56,-0.56
2011-01-07,-0.55,-0.51,-0.555,-0.555
2011-01-10,-0.55,-0.55,-0.86,-0.86
2011-01-11,-0.86,-0.86,-0.885,-0.885
2011-01-12,-0.91,-0.91,-0.91,-0.91
2011-01-13,-0.91,-0.91,-0.91,-0.91
2011-01-14,-0.91,-0.91,-0.91,-0.91
2011-01-17,-0.91,-0.91,-0.91,-0.91
2011-01-18,-0.91,-0.91,-0.91,-0.91
2011-01-19,-0.91,-0.91,-0.91,-0.91
2011-01-20,-0.91,-0.91,-0.91,-0.91
2011-01-21,-0.91,-0.91,-0.91,-0.91
2011-01-24,-0.91,-0.91,-0.91,-0.91
2011-01-25,-0.91,-0.91,-0.91,-0.91
2011-01-26,-0.91,-0.91,-0.91,-0.91
2011-01-27,-0.91,-0.91,-0.91,-0.91
2011-01-28,-0.91,-0.91,-0.91,-0.91
2011-01-31,-0.91,-0.775,-0.91,-0.775
2011-02-01,-0.75,-0.75,-0.75,-0.75
2011-02-02,-0.75,-0.75,-0.75,-0.75
2011-02-03,-0.75,-0.75,-0.75,-0.75
2011-02-04,-0.75,-0.75,-0.75,-0.75
2011-02-07,-0.75,-0.75,-0.75,-0.75
2011-02-08,-0.75,-0.575,-0.75,-0.575
2011-02-09,-0.375,-0.375,-0.375,-0.375
2011-02-10,-0.375,-0.375,-0.375,-0.375
2011-02-11,-0.375,-0.375,-0.375,-0.375
2011-02-14,-0.375,-0.375,-0.375,-0.375
2011-02-15,-0.375,-0.375,-0.375,-0.7
2011-02-16,-0.85,-0.85,-0.85,-0.85
2011-02-17,-0.85,-0.85,-0.95,-0.95
2011-02-18,-0.95,-0.95,-0.95,-0.95
2011-02-21,-0.95,-0.95,-0.95,-0.95
2011-02-22,-1.15,-1.15,-1.15,-1.15
2011-02-23,-1.15,-1.15,-1.15,-1.15
2011-02-24,-1.05,-1.05,-1.05,-1.05
2011-02-25,-1.025,-0.8,-1.025,-0.95
2011-02-28,-1.0,-1.0,-1.0,-1.0
2011-03-01,-1.0,-1.0,-1.0,-1.0
2011-03-02,-1.0,-1.0,-1.2,-1.2
2011-03-03,-1.3,-1.3,-1.3,-1.3
2011-03-04,-1.3,-1.3,-1.3,-1.3
2011-03-07,-1.3,-1.3,-1.3,-1.3
2011-03-08,-1.3,-1.3,-1.3,-1.3
2011-03-09,-1.3,-1.3,-1.3,-1.3
2011-03-10,-1.3,-1.3,-1.3,-1.3
2011-03-11,-1.3,-1.3,-1.3,-1.3
2011-03-14,-1.3,-1.3,-1.3,-1.3
2011-03-15,-1.3,-1.3,-1.3,-1.3
2011-03-16,-1.3,-1.3,-1.3,-1.3
2011-03-17,-1.3,-1.3,-1.3,-1.3
2011-03-18,-1.3,-1.3,-1.3,-1.3
2011-03-21,-0.8,-0.8,-0.8,-0.8
2011-03-22,-0.79,-0.79,-0.79,-0.79
2011-03-23,-0.55,-0.55,-0.55,-0.55
2011-03-24,-0.8,-0.595,-0.8,-0.645
2011-03-25,-0.625,-0.6,-0.625,-0.6
2011-03-28,-0.625,-0.6,-0.625,-0.61
2011-03-29,-0.625,-0.61,-0.635,-0.62
2011-03-30,-0.625,-0.57,-0.625,-0.57
2011-03-31,-0.625,-0.5,-0.94,-0.93
2011-04-01,-0.625,-0.625,-0.93,-0.92
2011-04-04,-0.625,-0.625,-0.92,-0.92
2011-04-05,-0.625,-0.625,-0.625,-0.77
2011-04-06,-0.625,-0.625,-0.92,-0.85
2011-04-07,-0.625,-0.625,-0.85,-0.85
2011-04-08,-0.625,-0.625,-0.95,-0.95
2011-04-11,-0.625,-0.625,-0.95,-0.95
2011-04-12,-0.625,-0.625,-0.95,-0.95
2011-04-13,-0.625,-0.625,-0.95,-0.95
2011-04-14,-0.625,-0.625,-1.21,-1.21
2011-04-15,-0.625,-0.625,-1.21,-1.21
2011-04-18,-1.1,-1.1,-1.21,-1.21
2011-04-19,-1.1,-1.03,-1.21,-1.05
2011-04-20,-1.2,-1.05,-1.3,-1.15
2011-04-21,-1.3,-1.15,-1.3,-1.15
2011-04-22,-1.3,-1.15,-1.3,-1.15
2011-04-25,-1.3,-1.05,-1.3,-1.05
2011-04-26,-1.3,-1.05,-1.3,-1.15
2011-04-27,-1.16,-1.15,-1.16,-1.15
2011-04-28,-1.16,-1.15,-1.16,-1.15
2011-04-29,-1.16,-1.15,-1.295,-1.15
2011-05-02,-1.16,-1.16,-1.16,-1.16
2011-05-03,-1.16,-1.15,-1.3,-1.3
2011-05-04,-1.3,-1.15,-1.335,-1.3
2011-05-05,-1.3,-1.15,-1.3,-1.15
2011-05-06,-1.15,-1.095,-1.15,-1.1
2011-05-09,-1.1,-1.05,-1.1,-1.05
2011-05-10,-1.1,-1.05,-1.1,-1.05
2011-05-11,-1.1,-1.05,-1.11,-1.1
2011-05-12,-1.1,-1.05,-1.1,-1.1
2011-05-13,-1.05,-1.0,-1.1,-1.0
2011-05-16,-1.05,-0.85,-1.05,-0.85
2011-05-17,-0.93,-0.85,-0.93,-0.91
2011-05-18,-0.915,-0.88,-1.03,-0.88
2011-05-19,-0.95,-0.82,-0.985,-0.87
2011-05-20,-0.885,-0.85,-0.9,-0.89
2011-05-23,-0.885,-0.8,-0.89,-0.8
2011-05-24,-0.885,-0.7,-0.885,-0.7
2011-05-25,-0.7,-0.55,-0.795,-0.7
2011-05-26,-0.73,-0.7,-0.775,-0.71
2011-05-27,-0.715,-0.71,-0.715,-0.71
2011-05-30,-0.715,-0.71,-0.84,-0.82
2011-05-31,-0.78,-0.78,-0.9,-0.85
2011-06-01,-0.78,-0.78,-0.88,-0.78
2011-06-02,-0.78,-0.6,-0.8,-0.67
2011-06-03,-0.78,-0.67,-0.78,-0.68
2011-06-06,-0.78,-0.78,-0.78,-0.78
2011-06-07,-0.78,-0.6,-0.78,-0.78
2011-06-08,-0.78,-0.55,-0.78,-0.55
2011-06-09,-0.78,-0.44,-0.78,-0.44
2011-06-10,-0.7,-0.35,-0.7,-0.35
2011-06-13,-0.7,-0.35,-0.7,-0.35
2011-06-14,-0.7,-0.35,-0.7,-0.43
2011-06-15,-0.7,-0.36,-0.79,-0.36
2011-06-16,-0.79,-0.3,-0.79,-0.36
2011-06-17,-0.79,-0.29,-0.79,-0.29
2011-06-20,-0.79,-0.28,-0.79,-0.28
2011-06-21,-0.79,-0.28,-0.79,-0.28
2011-06-22,-0.79,-0.28,-0.79,-0.34
2011-06-23,-0.305,-0.3,-0.34,-0.3
