Date,Open,High,Low,Close
2010-09-29,0.6112,0.6112,0.6112,0.6112
2011-02-18,-0.4859,-0.3319,-0.4865,-0.3639
2011-02-21,-0.3716,-0.3094,-0.4029,-0.4029
2011-02-22,-0.4032,-0.2461,-0.4042,-0.2774
2011-02-23,-0.2754,-0.2754,-0.4664,-0.466
2011-02-24,-0.4306,-0.4037,-0.505,-0.422
2011-02-25,-0.4071,-0.407,-0.4725,-0.4702
2011-02-28,-0.4703,-0.4702,-0.6836,-0.6836
2011-03-01,-0.6836,-0.6836,-1.0478,-0.9267
2011-03-02,-0.8879,-0.6088,-0.8994,-0.7114
2011-03-03,-0.7445,-0.6387,-0.7755,-0.7145
2011-03-04,-0.7145,-0.5935,-0.7754,-0.7153
2011-03-07,-0.7152,-0.6544,-0.7154,-0.6552
2011-03-08,-0.6551,-0.4128,-0.6855,-0.4129
2011-03-09,-0.3973,-0.3079,-0.4863,-0.3082
2011-03-10,-0.3216,-0.2916,-0.5032,-0.4266
2011-03-11,-0.4268,-0.3186,-0.4268,-0.351
2011-03-14,-0.3508,-0.2604,-0.4419,-0.3814
2011-03-15,-0.382,-0.3517,-0.5033,-0.4419
2011-03-16,-0.4258,-0.4257,-0.5297,-0.5295
2011-03-17,-0.5478,-0.3512,-0.5478,-0.4117
2011-03-18,-0.4117,-0.3815,-0.533,-0.5024
2011-03-21,-0.4115,-0.4115,-0.5031,-0.5031
2011-03-22,-0.5031,-0.3226,-0.595,-0.4139
2011-03-23,-0.3984,-0.3982,-0.4573,-0.4283
2011-03-24,-0.4444,-0.323,-0.4444,-0.3529
2011-03-25,-0.3529,-0.3226,-0.4146,-0.4146
2011-03-28,-0.4146,-0.3238,-0.4449,-0.4449
2011-03-29,-0.4532,-0.4532,-0.5147,-0.5144
2011-03-30,-0.5144,-0.3923,-0.5147,-0.4564
2011-03-31,-0.4542,-0.4236,-1.0089,-1.0089
2011-04-01,-1.0083,-0.8857,-1.2535,-0.9494
2011-04-04,-0.9511,-0.8594,-1.014,-0.8642
2011-04-05,-0.742,-0.742,-0.8683,-0.8682
2011-04-06,-0.8677,-0.8065,-1.0216,-0.9007
2011-04-07,-0.8079,-0.7471,-0.901,-0.7503
2011-04-08,-0.6883,-0.6883,-1.1228,-0.9108
2011-04-11,-0.9414,-0.9107,-1.0954,-1.0052
2011-04-12,-0.943,-0.8495,-1.0056,-1.0056
2011-04-13,-1.0056,-0.9747,-1.1307,-1.1029
2011-04-14,-1.1029,-1.0408,-1.3194,-1.1666
2011-04-15,-1.1666,-1.0438,-1.1669,-1.0752
2011-04-18,-1.0751,-0.9832,-1.0758,-1.0758
2011-04-19,-1.0758,-0.9522,-1.1066,-1.0767
2011-04-20,-1.088,-1.0863,-1.2444,-1.1835
2011-04-21,-1.1775,-1.1767,-1.3294,-1.2984
2011-04-22,-1.2985,-1.2985,-1.2994,-1.2994
2011-04-25,-1.3462,-1.3009,-1.3462,-1.3009
2011-04-26,-1.3004,-1.1977,-1.3004,-1.2671
2011-04-27,-1.2783,-1.2777,-1.4667,-1.3737
2011-04-28,-1.3463,-1.3184,-1.4718,-1.349
2011-04-29,-1.3462,-1.167,-1.3462,-1.1676
2011-05-03,-1.1676,-1.0123,-1.2291,-1.0131
2011-05-04,-0.9856,-0.8938,-1.0159,-0.9567
2011-05-05,-0.9834,-0.6455,-0.9834,-0.6783
2011-05-06,-0.6783,-0.616,-0.6783,-0.6174
2011-05-09,-0.6164,-0.5856,-0.678,-0.587
2011-05-10,-0.588,-0.588,-0.59,-0.59
2011-05-11,-0.5713,-0.5713,-0.6925,-0.6342
2011-05-12,-0.6537,-0.5592,-0.6713,-0.5608
2011-05-13,-0.5608,-0.4998,-0.6842,-0.6838
2011-05-16,-0.684,-0.4561,-0.684,-0.5294
2011-05-17,-0.5294,-0.4561,-0.6533,-0.6533
2011-05-18,-0.5736,-0.5437,-0.6343,-0.5437
2011-05-19,-0.5612,-0.5306,-0.6108,-0.5935
2011-05-20,-0.5935,-0.5785,-0.656,-0.656
2011-05-23,-0.6562,-0.4101,-0.6562,-0.4108
2011-05-24,-0.4108,-0.4108,-0.5661,-0.5661
2011-05-25,-0.5495,-0.394,-0.5496,-0.4007
2011-05-26,-0.4141,-0.3228,-0.4466,-0.3236
2011-05-27,-0.326,-0.3255,-0.5099,-0.4972
2011-05-30,-0.4946,-0.4767,-0.5384,-0.5264
2011-05-31,-0.5264,-0.4471,-0.5545,-0.4482
2011-06-01,-0.4257,-0.3371,-0.4268,-0.3652
2011-06-02,-0.3862,-0.2021,-0.4166,-0.2949
2011-06-03,-0.2948,-0.2643,-0.326,-0.2802
2011-06-06,-0.2811,-0.2811,-0.2816,-0.2815
2011-06-07,-0.2817,-0.1741,-0.3279,-0.1742
2011-06-08,-0.1561,-0.0091,-0.186,-0.0113
2011-06-09,-0.0193,0.1749,-0.0496,0.0709
2011-06-10,0.0691,0.0692,-0.4099,-0.4099
2011-06-13,-0.4099,-0.0235,-0.4099,-0.0864
2011-06-14,-0.0864,-0.0864,-0.2339,-0.2111
2011-06-15,-0.2013,-0.0513,-0.2164,-0.0514
2011-06-16,-0.0579,0.0342,-0.1189,-0.0562
2011-06-17,-0.0562,-0.0134,-0.1366,-0.1184
2011-06-20,-0.1184,0.0353,-0.1185,0.0352
2011-06-21,0.0352,0.0352,-0.058,-0.058
2011-06-22,-0.0515,-0.0515,-0.172,-0.1118
2011-06-23,-0.1197,-0.014,-0.1197,-0.014
2011-06-24,-0.014,-0.0108,-0.0723,-0.0264
2011-06-27,-0.0264,0.0383,-0.0417,0.0041
2011-06-28,0.0041,0.0621,-0.0605,0.0345
2011-06-29,0.0594,0.0847,0.0004,0.0145
2011-06-30,0.0094,0.0944,-0.0345,0.0518
2011-07-01,0.052,0.0779,0.0086,0.009
2011-07-04,0.0058,0.1212,-0.0104,0.0778
2011-07-05,0.0756,0.1969,0.0756,0.165
2011-07-06,0.1611,0.175,0.1011,0.175
2011-07-07,0.1723,0.246,0.1506,0.2157
2011-07-08,0.2157,0.2218,0.0958,0.1573
2011-07-11,0.1573,0.2342,0.1573,0.2096
2011-07-12,0.2096,0.2924,0.1937,0.2524
2011-07-13,0.2524,0.2825,0.1759,0.2527
2011-07-14,0.2527,0.2589,0.1746,0.2225
2011-07-15,0.2225,0.2563,0.1926,0.2379
2011-07-18,0.284,0.284,0.1741,0.2393
2011-07-19,0.2393,0.27,0.1975,0.2217
2011-07-20,0.2375,0.2375,0.1351,0.1813
2011-07-21,0.1796,0.1796,0.1026,0.1335
2011-07-22,0.1335,0.1641,0.1179,0.1333
2011-07-25,0.1333,0.1642,0.1324,0.1324
2011-07-26,0.1324,0.1755,0.1199,0.1328
2011-07-27,0.1958,0.1958,0.1051,0.1055
2011-07-28,0.1022,0.2872,0.1022,0.2574
2011-07-29,0.2574,0.3808,0.2111,0.259
2011-08-01,0.259,0.2745,0.2127,0.2144
2011-08-02,0.2299,0.3082,0.2113,0.2526
2011-08-03,0.2529,0.2922,0.2227,0.2569
2011-08-04,0.2566,0.3215,0.2473,0.2639
2011-08-05,0.2639,0.3185,0.2454,0.3185
2011-08-08,0.297,0.297,0.2167,0.22
2011-08-09,0.2186,0.2905,0.218,0.2788
2011-08-10,0.3426,0.3426,0.155,0.1633
2011-08-11,0.1607,0.2041,-1.0214,-0.3624
2011-08-12,-0.3623,-0.2678,-0.6742,-0.4213
2011-08-15,-0.3277,-0.0467,-0.4222,-0.0467
2011-08-16,-0.0467,0.059,-0.1718,0.0164
2011-08-17,0.0223,0.1535,0.0102,0.117
2011-08-18,0.113,0.1462,0.0507,0.1462
2011-08-19,0.1462,0.162,0.0684,0.1359
2011-08-22,0.1373,0.1373,0.0729,0.1272
2011-08-23,0.1258,0.1258,0.0135,0.098
2011-08-24,0.1027,0.1179,0.011,0.0746
2011-08-25,0.0658,0.0972,-0.0422,0.04
2011-08-26,0.0418,0.1085,0.0098,0.1085
2011-08-29,0.1069,0.1224,0.0278,0.0436
2011-08-30,0.0435,0.0907,-0.0515,-0.0012
2011-08-31,-0.0011,0.0239,-0.08,0.0002
2011-09-01,0.0016,0.0788,-0.0163,0.0201
2011-09-02,0.0181,0.1287,0.018,0.0982
2011-09-05,0.1141,0.1553,0.0824,0.1323
