Date,Ask Price
2013-06-24,4.06
2013-06-25,4.0
2013-06-26,3.58
2013-06-27,3.58
2013-06-28,3.58
2013-07-02,3.53
2013-07-03,3.505
2013-07-04,3.4575
2013-07-05,3.28
2013-07-08,3.0713
2013-07-09,2.938
2013-07-10,2.9075
2013-07-11,2.926
2013-07-12,2.928
2013-07-15,2.938
2013-07-16,2.97
2013-07-17,2.96111
2013-07-18,2.986
2013-07-19,3.0025
2013-07-22,3.0055
2013-07-23,3.0
2013-07-24,3.005
2013-07-25,3.0
2013-07-26,2.965
2013-07-29,2.85099
2013-07-30,2.884
2013-07-31,2.888
2013-08-01,2.903
2013-08-02,2.907
2013-08-05,2.905
2013-08-06,2.908
2013-08-07,2.92889
2013-08-08,2.932
2013-08-09,2.924
2013-08-12,2.924
2013-08-13,2.924
2013-08-15,2.92111
2013-08-16,2.842
2013-08-19,2.809
2013-08-20,2.804
2013-08-21,2.804
2013-08-22,2.804
2013-08-23,2.803
2013-08-26,2.798
2013-08-27,2.792
2013-08-28,2.771
2013-08-29,2.766
2013-08-30,2.77
2013-09-02,2.77222
2013-09-03,2.766
2013-09-04,2.772
2013-09-05,2.742
2013-09-06,2.74
2013-09-09,2.74
2013-09-10,2.72
2013-09-11,2.7
2013-09-12,2.695
2013-09-13,2.695
2013-09-16,2.7
2013-09-17,2.7
2013-09-18,2.7
2013-09-19,2.695
2013-09-23,2.68889
2013-09-24,2.67
2013-09-25,2.647
2013-09-26,2.632
2013-09-27,2.63333
2013-09-30,2.62
2013-10-02,2.616
2013-10-03,2.611
2013-10-04,2.606
2013-10-07,2.604
2013-10-08,2.604
2013-10-09,2.6135
2013-10-10,2.6035
2013-10-11,2.5805
2013-10-15,2.5755
2013-10-16,2.515
2013-10-17,2.495
2013-10-18,2.473
2013-10-21,2.469
2013-10-22,2.476
2013-10-23,2.457
2013-10-24,2.47
2013-10-25,2.468
2013-10-28,2.456
2013-10-29,2.438
2013-10-30,2.447
2013-10-31,2.459
2013-11-01,2.456
2013-11-04,2.46
2013-11-05,2.47
2013-11-06,2.473
2013-11-07,2.494
2013-11-08,2.494
2013-11-11,2.48778
2013-11-12,2.489
2013-11-13,2.492
2013-11-14,2.48556
2013-11-15,2.494
2013-11-18,2.493
2013-11-19,2.487
2013-11-20,2.472
2013-11-21,2.473
2013-11-22,2.463
2013-11-25,2.456
2013-11-26,2.458
2013-11-27,2.454
2013-11-28,2.43556
2013-11-29,2.4345
2013-12-02,2.4383
2013-12-03,2.4463
2013-12-04,2.442
2013-12-05,2.4513
2013-12-06,2.4398
2013-12-09,2.426
2013-12-10,2.40556
2013-12-11,2.385
2013-12-12,2.4033
2013-12-13,2.4003
2013-12-16,2.4053
2013-12-17,2.4055
2013-12-18,2.40333
2013-12-19,2.4058
2013-12-20,2.4058
2013-12-23,2.3973
2013-12-24,2.3973
2013-12-27,2.4003
2013-12-30,2.387
2013-12-31,2.3865
2014-01-02,2.382
2014-01-03,2.3958
2014-01-06,2.3878
2014-01-07,2.388
2014-01-08,2.406
2014-01-09,2.4038
2014-01-10,2.3958
2014-01-13,2.3938
2014-01-14,2.409
2014-01-15,2.4258
2014-01-16,2.4363
2014-01-17,2.4453
2014-01-20,2.458
2014-01-21,2.4195
2014-01-22,2.422
2014-01-23,2.425
2014-01-24,2.425
2014-01-27,2.43
2014-01-28,2.425
2014-01-29,2.424
2014-01-30,2.419
2014-02-04,2.4133
2014-02-05,2.4148
2014-02-06,2.4157
2014-02-07,2.4098
2014-02-10,2.3965
2014-02-11,2.39056
2014-02-12,2.367
2014-02-13,2.371
2014-02-14,2.371
2014-02-17,2.363
2014-02-18,2.36333
2014-02-19,2.364
2014-02-20,2.355
2014-02-21,2.352
2014-02-24,2.361
2014-02-25,2.362
2014-02-26,2.344
2014-02-27,2.345
2014-02-28,2.356
2014-03-03,2.362
2014-03-04,2.347
2014-03-05,2.356
2014-03-06,2.35
2014-03-07,2.3425
2014-03-10,2.3385
2014-03-11,2.3465
2014-03-12,2.3395
2014-03-13,2.3415
2014-03-14,2.34278
2014-03-17,2.3325
2014-03-18,2.3305
2014-03-19,2.3365
2014-03-20,2.3325
2014-03-21,2.3315
2014-03-24,2.3285
2014-03-25,2.3365
2014-03-26,2.315
2014-03-27,2.305
2014-03-28,2.3015
2014-03-31,2.303
2014-04-01,2.3055
2014-04-02,2.3055
2014-04-03,2.3055
2014-04-04,2.3165
2014-04-07,2.3085
2014-04-08,2.3125
2014-04-09,2.3065
2014-04-10,2.3125
2014-04-11,2.3115
2014-04-14,2.3095
2014-04-15,2.3135
2014-04-16,2.3125
2014-04-17,2.3095
2014-04-22,2.3125
2014-04-23,2.309
2014-04-24,2.3095
2014-04-25,2.3125
2014-04-28,2.3125
2014-04-29,2.312
2014-04-30,2.3175
2014-05-02,2.3115
2014-05-05,2.3145
2014-05-07,2.322
2014-05-08,2.318
2014-05-09,2.312
2014-05-12,2.319
2014-05-13,2.32
2014-05-14,2.3225
2014-05-15,2.347
2014-05-16,2.321
2014-05-19,2.332
2014-05-20,2.337
2014-05-21,2.352
2014-05-22,2.345
2014-05-23,2.344
2014-05-26,2.351
2014-05-27,2.508
2014-05-28,2.54
2014-05-29,2.561
2014-05-30,2.555
2014-06-03,2.583
2014-06-04,2.584
2014-06-05,2.602
2014-06-06,2.602
2014-06-09,2.594
2014-06-10,2.602
2014-06-11,2.5975
2014-06-12,2.6025
2014-06-13,2.6505
2014-06-16,2.8895
2014-06-17,2.8985
2014-06-18,2.852
2014-06-19,2.879
2014-06-20,2.9245
2014-06-23,2.9375
2014-06-24,2.93278
2014-06-25,2.93944
2014-06-26,2.965
2014-06-27,2.97667
2014-06-30,2.99333
2014-07-02,2.99889
2014-07-03,3.0
2014-07-04,3.0
2014-07-07,3.0
2014-07-08,2.95167
2014-07-09,2.89333
2014-07-10,2.91556
2014-07-11,3.00111
2014-07-14,3.06111
2014-07-15,3.08
2014-07-16,3.08889
2014-07-17,3.09556
2014-07-18,3.19111
2014-07-21,3.08389
2014-07-22,3.06944
2014-07-23,3.02722
2014-07-24,3.01222
2014-07-25,3.05778
2014-07-28,3.03056
2014-07-29,3.045
2014-07-30,3.05556
2014-07-31,3.11444
2014-08-01,3.10444
2014-08-04,3.11333
2014-08-05,3.11875
2014-08-06,3.10278
2014-08-07,3.10056
2014-08-08,3.10833
2014-08-11,3.10278
2014-08-12,3.045
2014-08-13,3.05944
2014-08-14,3.05444
2014-08-15,3.11056
2014-08-18,3.09444
2014-08-19,3.05889
2014-08-20,3.06011
2014-08-21,3.07111
2014-08-22,3.14111
2014-08-25,3.12889
2014-08-26,3.13333
2014-08-27,3.03667
2014-08-28,3.03556
2014-08-29,3.09667
2014-09-01,3.06444
2014-09-02,3.07111
2014-09-03,3.07333
2014-09-04,3.08889
2014-09-05,3.15389
2014-09-08,3.12444
2014-09-10,3.11944
2014-09-11,3.13444
2014-09-12,3.18556
2014-09-15,3.19444
2014-09-16,3.25056
2014-09-17,3.24889
2014-09-18,3.33667
2014-09-19,3.35389
2014-09-22,3.35056
2014-09-23,3.31167
2014-09-24,3.31556
2014-09-25,3.30889
2014-09-26,3.31889
2014-09-29,3.28
2014-09-30,3.28556
2014-10-03,3.27333
2014-10-06,3.24333
2014-10-07,3.24889
2014-10-08,3.22222
2014-10-09,3.18611
2014-10-10,3.20056
2014-10-13,3.19278
2014-10-14,3.19167
2014-10-15,3.22444
2014-10-16,3.29688
2014-10-17,3.28667
2014-10-20,3.2935
2014-10-21,3.2935
2014-10-22,3.3065
2014-10-23,3.331
2014-10-24,3.332
2014-10-27,3.333
2014-10-28,3.3175
2014-10-29,3.3515
2014-10-30,3.3535
2014-10-31,3.342
2014-11-03,3.344
2014-11-04,3.349
2014-11-05,3.347
2014-11-06,3.397
2014-11-07,3.382
2014-11-10,3.462
2014-11-11,3.46778
2014-11-12,3.361
2014-11-13,3.3605
2014-11-14,3.44056
2014-11-17,3.386
2014-11-18,3.4005
2014-11-19,3.3705
2014-11-20,3.3775
2014-11-21,3.398
2014-11-24,3.382
2014-11-25,3.401
2014-11-26,3.445
2014-11-27,3.455
2014-11-28,3.461
2014-12-01,3.472
2014-12-02,3.4905
2014-12-03,3.5645
2014-12-04,3.676
2014-12-05,3.651
2014-12-08,3.6205
2014-12-09,3.889
2014-12-10,4.038
2014-12-11,4.067
2014-12-12,4.137
2014-12-15,4.165
2014-12-16,4.301
2014-12-17,4.353
2014-12-18,4.393
2014-12-19,4.6859
2014-12-22,4.864
2014-12-23,4.739
2014-12-24,4.7709
2014-12-29,4.405
2014-12-30,4.288
2014-12-31,4.189
2015-01-02,4.225
2015-01-05,4.2389
