Date,Open,High,Low,Close
2012-02-09,2.7854,2.7854,2.7854,2.7854
2012-02-10,2.7747,2.7747,2.7747,2.7747
2012-02-13,2.6951,2.6951,2.6951,2.6951
2012-02-14,2.8978,2.8978,2.8978,2.8978
2012-02-15,2.8668,2.8668,2.8668,2.8668
2012-02-16,2.8718,2.8718,2.8718,2.8718
2012-02-17,2.7775,2.7775,2.7775,2.7775
2012-02-20,2.5833,2.5833,2.5833,2.5833
2012-02-21,2.5939,2.5939,2.5939,2.5939
2012-02-22,2.596,2.596,2.596,2.596
2012-02-23,2.5474,2.5474,2.5474,2.5474
2012-02-24,2.5215,2.5215,2.5215,2.5215
2012-02-27,2.4766,2.4766,2.4766,2.4766
2012-02-28,2.3905,2.3905,2.3905,2.3905
2012-02-29,2.3243,2.3243,2.3243,2.3243
2012-03-01,2.2857,2.2857,2.2857,2.2857
2012-03-02,2.2474,2.2474,2.2474,2.2474
2012-03-05,2.2352,2.2352,2.2352,2.2352
2012-03-06,2.2515,2.2515,2.2515,2.2515
2012-03-07,2.2059,2.2059,2.2059,2.2059
2012-03-08,2.2096,2.2096,2.2096,2.2096
2012-03-09,2.2318,2.2318,2.2318,2.2318
2012-03-12,2.3242,2.3242,2.3242,2.3242
2012-03-13,2.4124,2.4124,2.4124,2.4124
2012-03-14,2.4258,2.4258,2.4258,2.4258
2012-03-15,2.595,2.595,2.595,2.595
2012-03-16,2.5412,2.5412,2.5412,2.5412
2012-03-19,2.6318,2.6318,2.6318,2.6318
2012-03-20,2.6599,2.6599,2.6599,2.6599
2012-03-21,2.6695,2.6695,2.6695,2.6695
2012-03-22,2.7024,2.7024,2.7024,2.7024
2012-03-23,2.7346,2.7346,2.7346,2.7346
2012-03-26,2.7536,2.7536,2.7536,2.7536
2012-03-27,2.8264,2.8264,2.8264,2.8264
2012-03-28,2.8437,2.8437,2.8437,2.8437
2012-03-29,2.8551,2.8551,2.8551,2.8551
2012-03-30,2.8581,2.8581,2.8581,2.8581
2012-04-02,2.8633,2.8633,2.8633,2.8633
2012-04-03,2.852,2.852,2.852,2.852
2012-04-04,2.8753,2.8753,2.8753,2.8753
2012-04-05,2.8729,2.8729,2.8729,2.8729
2012-04-06,2.8752,2.8752,2.8752,2.8752
2012-04-09,2.8478,2.8478,2.8478,2.8478
2012-04-10,2.722,2.722,2.722,2.722
2012-04-11,2.6812,2.6812,2.6812,2.6812
2012-04-12,2.4319,2.4319,2.4319,2.4319
2012-04-13,2.3163,2.3163,2.3163,2.3163
2012-04-16,2.3914,2.3914,2.3914,2.3914
2012-04-17,2.3551,2.3551,2.3551,2.3551
2012-04-18,2.3379,2.3379,2.3379,2.3379
2012-04-19,2.3143,2.3143,2.3143,2.3143
2012-04-20,2.2814,2.2814,2.2814,2.2814
2012-04-23,2.1906,2.1906,2.1906,2.1906
2012-04-24,2.1758,2.1758,2.1758,2.1758
2012-04-25,2.0797,2.0797,2.0797,2.0797
2012-04-26,2.0837,2.0837,2.0837,2.0837
2012-04-27,2.1274,2.1274,2.1274,2.1274
2012-04-30,2.1326,2.1326,2.1326,2.1326
2012-05-01,2.1159,2.1159,2.1159,2.1159
2012-05-02,2.1219,2.1219,2.1219,2.1219
2012-05-03,2.1061,2.1061,2.1061,2.1061
2012-05-04,2.0727,2.0727,2.0727,2.0727
2012-05-07,2.0869,2.0869,2.0869,2.0869
2012-05-08,2.0571,2.0571,2.0571,2.0571
2012-05-09,2.0583,2.0583,2.0583,2.0583
2012-05-10,2.0089,2.0089,2.0089,2.0089
2012-05-11,1.99,1.99,1.99,1.99
2012-05-14,1.8987,1.8987,1.8987,1.8987
2012-05-15,1.7591,1.7591,1.7591,1.7591
2012-05-16,1.7138,1.7138,1.7138,1.7138
2012-05-17,1.682,1.682,1.682,1.682
2012-05-18,1.6604,1.6604,1.6604,1.6604
2012-05-21,1.6577,1.6577,1.6577,1.6577
2012-05-22,1.6675,1.6675,1.6675,1.6675
2012-05-23,1.6718,1.6718,1.6718,1.6718
2012-05-24,1.6947,1.6947,1.6947,1.6947
2012-05-25,1.6615,1.6615,1.6615,1.6615
2012-05-28,1.59,1.59,1.59,1.59
2012-05-29,1.5985,1.5985,1.5985,1.5985
2012-05-30,1.6589,1.6589,1.6589,1.6589
2012-05-31,1.6913,1.6913,1.6913,1.6913
2012-06-01,1.7121,1.7121,1.7121,1.7121
2012-06-04,1.7229,1.7229,1.7229,1.7229
2012-06-05,1.6751,1.6751,1.6751,1.6751
2012-06-06,1.7021,1.7021,1.7021,1.7021
2012-06-07,1.7761,1.7761,1.7761,1.7761
2012-06-08,1.8279,1.8279,1.8279,1.8279
2012-06-11,1.8812,1.8812,1.8812,1.8812
2012-06-12,1.9064,1.9064,1.9064,1.9064
2012-06-13,1.8993,1.8993,1.8993,1.8993
2012-06-14,1.8249,1.8249,1.8249,1.8249
2012-06-15,1.9071,1.9071,1.9071,1.9071
2012-06-18,1.9698,1.9698,1.9698,1.9698
2012-06-19,1.9694,1.9694,1.9694,1.9694
2012-06-20,1.9841,1.9841,1.9841,1.9841
2012-06-21,1.9856,1.9856,1.9856,1.9856
2012-06-22,2.0221,2.0221,2.0221,2.0221
2012-06-25,2.0631,2.0631,2.0631,2.0631
2012-06-26,2.0593,2.0593,2.0593,2.0593
