Date,Bid Price
2009-12-11,8.146
2009-12-14,8.137
2009-12-15,8.369
2009-12-16,8.272
2009-12-17,8.302
2009-12-18,8.274
2009-12-21,8.416
2009-12-22,8.493
2009-12-23,8.421
2009-12-24,8.466
2009-12-28,8.507
2009-12-29,8.497
2009-12-30,8.488
2009-12-31,8.487
2010-01-04,8.546
2010-01-05,8.442
2010-01-06,8.632
2010-01-07,8.66
2010-01-08,8.609
2010-01-12,8.889
2010-01-13,8.87
2010-01-14,8.862
2010-01-15,8.805
2010-01-18,8.616
2010-01-19,8.578
2010-01-20,8.623
2010-01-21,8.47
2010-01-22,8.571
2010-01-25,8.539
2010-01-26,8.565
2010-01-27,8.687
2010-01-28,8.71
2010-01-29,8.731
2010-02-01,8.812
2010-02-02,9.052
2010-02-03,8.929
2010-02-04,9.035
2010-02-05,8.936
2010-02-08,8.867
2010-02-09,8.858
2010-02-10,8.934
2010-02-11,8.767
2010-02-12,8.818
2010-02-15,8.951
2010-02-16,8.95
2010-02-17,8.963
2010-02-18,9.113
2010-02-19,9.139
2010-02-22,9.155
2010-02-23,9.028
2010-02-24,9.011
2010-02-25,9.084
2010-02-26,9.039
2010-03-01,8.908
2010-03-02,8.889
2010-03-03,8.966
2010-03-04,8.923
2010-03-05,8.894
2010-03-08,8.903
2010-03-09,8.901
2010-03-10,8.852
2010-03-11,8.809
2010-03-12,8.774
2010-03-15,8.785
2010-03-16,8.822
2010-03-17,8.819
2010-03-18,8.835
2010-03-19,8.828
2010-03-23,8.777
2010-03-24,8.819
2010-03-25,8.795
2010-03-26,8.796
2010-03-29,8.807
2010-03-30,8.808
2010-03-31,8.78
2010-04-05,8.793
2010-04-06,8.644
2010-04-07,8.592
2010-04-08,8.601
2010-04-09,8.522
2010-04-12,8.492
2010-04-13,8.555
2010-04-14,8.447
2010-04-15,8.424
2010-04-16,8.386
2010-04-19,8.315
2010-04-20,8.347
2010-04-21,8.345
2010-04-22,8.343
2010-04-23,8.296
2010-04-26,8.282
2010-04-27,8.385
2010-04-28,8.438
2010-04-29,8.306
2010-04-30,8.337
2010-05-03,7.928
2010-05-04,8.033
2010-05-05,7.992
2010-05-06,8.238
2010-05-07,8.246
2010-05-10,8.121
2010-05-11,8.138
2010-05-12,8.066
2010-05-13,8.192
2010-05-14,8.254
2010-05-18,8.353
2010-05-19,8.295
