Date,Open,High,Low,Close
2003-01-24,792.5,817.5,767.5,792.5
2003-01-27,798.75,817.5,780.0,798.75
2003-01-28,785.0,797.5,772.5,785.0
2003-01-29,801.25,820.0,782.5,801.25
2003-01-30,822.5,835.0,810.0,822.5
2003-01-31,805.0,817.5,792.5,805.0
2003-02-03,807.5,830.0,785.0,807.5
2003-02-04,850.0,862.5,837.5,850.0
2003-02-05,835.0,847.5,822.5,835.0
2003-02-06,837.5,850.0,825.0,837.5
2003-02-07,838.75,852.5,825.0,838.75
2003-02-10,848.75,862.5,835.0,848.75
2003-02-11,830.0,842.5,817.5,830.0
2003-02-12,837.5,850.0,825.0,837.5
2003-02-13,846.25,860.0,832.5,846.25
2003-02-14,845.0,857.5,832.5,845.0
2003-02-18,832.5,845.0,820.0,832.5
2003-02-19,832.5,842.5,822.5,832.5
2003-02-20,827.5,837.5,817.5,827.5
2003-02-21,820.0,830.0,810.0,820.0
2003-02-24,802.5,815.0,790.0,802.5
2003-02-25,802.5,815.0,790.0,802.5
2003-02-26,790.0,802.5,777.5,790.0
2003-02-27,790.0,802.5,777.5,790.0
2003-02-28,787.5,800.0,775.0,787.5
2003-03-03,782.5,795.0,770.0,782.5
2003-03-04,782.5,795.0,770.0,782.5
2003-03-05,777.5,790.0,765.0,777.5
2003-03-06,768.5,778.5,758.5,768.5
2003-03-07,768.5,778.5,758.5,768.5
2003-03-10,767.5,777.5,757.5,767.5
2003-03-11,772.5,782.5,762.5,772.5
2003-03-12,792.5,802.5,782.5,792.5
2003-03-13,772.5,785.0,760.0,772.5
2003-03-14,765.0,775.0,755.0,765.0
2003-03-18,760.0,770.0,750.0,760.0
2003-03-19,752.5,762.5,742.5,752.5
2003-03-20,755.0,762.5,747.5,755.0
2003-03-21,755.0,762.5,747.5,755.0
2003-03-24,755.0,762.5,747.5,755.0
2003-03-25,742.5,752.5,732.5,742.5
2003-03-26,735.0,742.5,727.5,735.0
2003-03-27,730.0,737.5,722.5,730.0
2003-03-31,710.0,720.0,700.0,710.0
2003-04-01,707.5,717.5,697.5,707.5
2003-04-02,682.5,692.5,672.5,682.5
2003-04-03,672.5,682.5,662.5,672.5
2003-04-04,652.5,662.5,642.5,652.5
2003-04-07,610.0,620.0,600.0,610.0
2003-04-08,617.5,627.5,607.5,617.5
2003-04-09,637.5,650.0,625.0,637.5
2003-04-10,637.5,650.0,625.0,637.5
2003-04-11,647.5,660.0,635.0,647.5
2003-04-14,635.0,647.5,622.5,635.0
2003-04-15,627.5,640.0,615.0,627.5
2003-04-16,622.5,635.0,610.0,622.5
2003-04-17,627.5,640.0,615.0,627.5
2003-04-24,600.0,612.5,587.5,600.0
2003-04-28,560.0,572.5,547.5,560.0
2003-04-29,537.5,537.5,537.5,537.5
2003-04-30,515.0,527.5,502.5,515.0
