Date,Open,High,Low,Close
2000-07-21,17.078352,17.078352,17.078352,17.078352
2000-07-25,17.115452,17.115452,17.115452,17.115452
2000-07-26,17.115452,17.115452,16.973612,16.973612
2000-07-28,17.005701,17.009731,16.977991,16.985632
2000-07-31,16.985632,17.060112,16.980742,17.042501
2000-08-01,17.044952,17.065832,17.024672,17.024672
2000-08-02,17.026781,17.026781,16.951532,16.961653
2000-08-03,16.961653,16.992561,16.961653,16.964672
2000-08-04,16.249783,17.681803,16.237553,17.672043
2000-08-07,16.964672,16.965792,16.897192,16.897192
2000-08-08,16.897192,16.927973,16.888401,16.925192
2000-08-11,17.349901,17.349901,17.323381,17.326033
2000-08-14,17.328142,17.383612,17.328142,17.369242
2000-08-15,17.369242,17.382853,17.347021,17.353203
2000-08-16,17.351631,17.351631,17.267332,17.271002
2000-08-17,17.272041,17.382782,17.272041,17.379631
2000-08-21,17.379631,17.379631,17.353642,17.353642
2000-08-22,17.379631,17.379631,17.341251,17.341251
2000-08-23,17.336222,17.336222,17.230131,17.230131
2000-08-24,17.336222,17.336222,17.225142,17.236782
2000-08-25,17.236782,17.236782,17.235493,17.235493
2000-08-28,17.237452,17.470491,16.974371,17.243122
2000-08-29,17.243122,17.274092,16.996702,17.235922
2000-08-30,17.235922,17.235922,17.166952,17.174742
2000-08-31,17.174742,17.237862,17.174742,17.207241
2000-09-01,17.207241,17.209812,17.157711,17.162333
2000-09-11,17.162333,17.180641,17.140022,17.169222
2000-09-12,17.169222,17.169222,17.135422,17.143682
2000-09-13,17.169222,17.169222,17.074812,17.093592
2000-09-14,17.093592,17.127802,17.084513,17.099142
2000-09-18,17.063513,17.067383,17.053461,17.066092
2000-09-19,17.066092,17.066092,17.018322,17.022432
2000-09-20,17.022432,17.022432,16.965462,16.965462
2000-09-22,16.953491,16.953491,16.882061,16.944082
2000-09-25,16.944082,16.986841,16.942812,16.982521
2000-09-26,16.982521,16.999573,16.982521,16.999573
2000-09-27,16.939041,16.991892,16.933983,16.986282
2000-09-28,16.986282,17.065163,16.824022,16.824022
2000-09-29,16.824022,16.824022,16.800873,16.808502
2000-10-03,16.808502,16.808502,15.384642,15.418522
2000-10-04,15.431612,15.431612,13.472301,13.482872
2000-10-05,13.482872,13.520391,13.482872,13.520391
2000-10-06,13.547102,13.557582,13.519552,13.557582
2000-10-10,13.547102,13.574412,13.544302,13.574412
2000-10-11,13.574412,13.574412,13.510142,13.527562
2000-10-13,13.527562,13.537882,13.452161,13.463002
2000-10-16,13.465441,13.465922,13.460302,13.465922
2000-10-17,13.465922,13.502001,13.465922,13.502001
2000-10-18,13.502001,13.610271,13.439811,13.610271
2000-10-19,14.218061,14.286472,14.218061,14.274572
2000-10-20,14.274572,14.283302,14.240062,14.245072
2000-10-23,14.248562,14.265562,14.226592,14.257891
2000-10-24,14.265562,14.265562,14.235001,14.235001
2000-10-25,14.235001,14.235001,14.142252,14.182112
2000-10-26,14.261021,14.268032,14.261021,14.268032
