Date,Mid Price
2012-08-01,4.75
2012-08-02,4.76
2012-08-03,4.76
2012-08-06,4.75
2012-08-08,4.745
2012-08-09,4.75
2012-08-10,4.75
2012-08-13,4.743
2012-08-14,4.745
2012-08-15,4.74
2012-08-16,4.733
2012-08-17,4.732
2012-08-21,4.731
2012-08-22,4.703
2012-08-23,4.673
2012-08-24,4.66
2012-08-27,4.595
2012-08-28,4.62
2012-08-29,4.624
2012-08-30,4.625
2012-08-31,4.623
2012-09-03,4.61
2012-09-04,4.575
2012-09-05,4.56
2012-09-06,4.515
2012-09-07,4.475
2012-09-10,4.45
2012-09-11,4.427
2012-09-12,4.425
2012-09-13,4.44
2012-09-14,4.445
2012-09-17,4.45
2012-09-18,4.446
2012-09-19,4.466
2012-09-20,4.435
2012-09-21,4.453
2012-09-24,4.449
2012-09-25,4.465
2012-09-26,4.458
2012-09-27,4.437
2012-09-28,4.43
2012-10-01,4.5
2012-10-02,4.515
2012-10-03,4.535
2012-10-04,4.52
2012-10-05,4.513
2012-10-08,4.545
2012-10-09,4.555
2012-10-10,4.565
2012-10-11,4.567
2012-10-12,4.569
2012-10-16,4.578
2012-10-17,4.581
2012-10-18,4.588
2012-10-19,4.526
2012-10-22,4.511
2012-10-23,4.535
2012-10-24,4.546
2012-10-25,4.555
2012-10-26,4.557
2012-10-29,4.563
2012-10-30,4.57
2012-10-31,4.567
2012-11-01,4.566
2012-11-02,4.57
2012-11-06,4.565
2012-11-07,4.56
2012-11-08,4.561
2012-11-09,4.558
2012-11-13,4.557
2012-11-14,4.555
2012-11-15,4.555
2012-11-16,4.558
2012-11-19,4.56
2012-11-20,4.563
2012-11-21,4.567
2012-11-22,4.57
2012-11-23,4.565
2012-11-26,4.373
2012-11-27,4.373
2012-11-28,4.37
2012-11-29,4.368
2012-11-30,4.368
2012-12-03,4.36
2012-12-04,4.368
2012-12-05,4.37
2012-12-06,4.368
2012-12-07,4.364
2012-12-10,4.368
2012-12-11,4.367
2012-12-12,4.362
2012-12-13,4.365
2012-12-14,4.369
2012-12-17,4.365
2012-12-18,4.365
2012-12-19,4.363
2012-12-20,4.361
2012-12-21,4.205
2012-12-24,4.121
2012-12-26,4.108
2012-12-27,4.102
2012-12-28,4.095
2013-01-02,4.093
2013-01-03,4.085
2013-01-04,4.08
2013-01-08,3.92
2013-01-09,3.875
2013-01-10,3.915
2013-01-11,3.89
2013-01-14,3.905
2013-01-15,3.893
2013-01-16,3.873
2013-01-17,3.87
2013-01-18,3.864
2013-01-21,3.85
2013-01-22,3.835
2013-01-23,3.828
2013-01-24,3.82
2013-01-25,3.815
2013-01-28,3.805
2013-01-29,3.798
2013-01-30,3.793
2013-01-31,3.783
2013-02-01,3.77
