Date,Mid Price
2008-01-02,8.95
2008-01-03,8.97
2008-01-04,8.951
2008-01-08,8.96
2008-01-09,8.97
2008-01-10,8.975
2008-01-11,8.978
2008-01-14,8.98
2008-01-15,8.97
2008-01-16,8.97
2008-01-17,8.978
2008-01-18,8.99
2008-01-21,8.992
2008-01-22,8.985
2008-01-23,8.98
2008-01-24,8.978
2008-01-25,8.965
2008-01-28,8.965
2008-01-29,8.957
2008-01-30,8.952
2008-01-31,8.955
2008-02-01,8.951
2008-02-04,8.959
2008-02-05,8.97
2008-02-06,8.978
2008-02-07,8.988
2008-02-08,8.992
2008-02-11,8.997
2008-02-12,9.0
2008-02-13,8.995
2008-02-14,8.993
2008-02-15,8.998
2008-02-18,9.014
2008-02-19,9.042
2008-02-20,9.053
2008-02-21,9.06
2008-02-22,9.064
2008-02-25,9.216
2008-02-26,9.218
2008-02-27,9.222
2008-02-28,9.229
2008-02-29,9.233
2008-03-03,9.241
2008-03-04,9.236
2008-03-05,9.246
2008-03-06,9.253
2008-03-07,9.256
2008-03-10,9.252
2008-03-11,9.25
2008-03-12,9.249
2008-03-13,9.239
2008-03-14,9.23
2008-03-17,9.225
2008-03-18,9.236
2008-03-19,9.218
2008-03-25,9.205
2008-03-26,9.215
2008-03-27,9.228
2008-03-28,9.232
2008-03-31,9.22
2008-04-01,9.22
2008-04-02,9.218
2008-04-03,9.213
2008-04-04,9.213
2008-04-07,9.21
2008-04-08,9.208
2008-04-09,9.208
2008-04-10,9.212
2008-04-11,9.212
2008-04-14,9.21
2008-04-15,9.205
2008-04-16,9.209
2008-04-17,9.211
2008-04-18,9.215
2008-04-21,9.219
2008-04-22,9.225
2008-04-23,9.227
2008-04-24,9.231
2008-04-25,9.219
2008-04-28,9.198
2008-04-29,9.189
2008-04-30,9.203
2008-05-02,9.21
2008-05-06,9.211
2008-05-07,9.213
2008-05-08,9.228
2008-05-09,9.231
2008-05-12,9.233
2008-05-13,9.236
2008-05-14,9.236
2008-05-15,9.238
2008-05-16,9.236
2008-05-19,9.237
2008-05-20,9.239
2008-05-21,9.239
2008-05-22,9.24
2008-05-23,9.229
2008-05-27,9.228
2008-05-28,9.23
2008-05-29,9.231
2008-05-30,9.232
2008-06-03,9.228
2008-06-04,9.226
2008-06-05,9.222
2008-06-06,9.22
2008-06-09,9.223
2008-06-10,9.225
2008-06-11,9.226
2008-06-12,9.226
2008-06-13,9.228
2008-06-16,9.227
2008-06-17,9.227
2008-06-18,9.225
2008-06-19,9.226
2008-06-20,9.224
2008-06-23,9.226
2008-06-24,9.226
2008-06-25,9.226
2008-06-26,9.227
2008-06-27,9.226
2008-07-01,9.226
2008-07-02,9.227
2008-07-03,9.227
2008-07-04,9.227
2008-07-07,9.228
2008-07-08,9.229
2008-07-09,9.231
2008-07-10,9.232
2008-07-11,9.232
2008-07-14,9.232
2008-07-15,9.231
2008-07-16,9.229
2008-07-17,9.23
2008-07-18,9.228
2008-07-21,9.226
2008-07-22,9.226
2008-07-23,9.226
2008-07-24,9.226
2008-07-25,9.225
2008-07-28,9.441
2008-07-29,9.436
2008-07-30,9.438
2008-07-31,9.434
2008-08-01,9.432
2008-08-04,9.433
2008-08-05,9.438
2008-08-06,9.431
2008-08-08,9.433
2008-08-11,9.434
2008-08-12,9.433
2008-08-13,9.434
2008-08-14,9.434
2008-08-15,9.433
2008-08-19,9.435
2008-08-20,9.434
2008-08-21,9.434
2008-08-22,9.435
2008-08-25,9.431
2008-08-26,9.427
2008-08-27,9.428
2008-08-28,9.415
2008-08-29,9.408
2008-09-01,9.407
2008-09-02,9.409
2008-09-03,9.415
2008-09-04,9.42
2008-09-05,9.419
2008-09-08,9.42
2008-09-09,9.419
2008-09-10,9.415
2008-09-11,9.412
2008-09-12,9.41
2008-09-15,9.403
2008-09-16,9.402
2008-09-17,9.401
2008-09-18,9.4
2008-09-19,9.398
2008-09-22,9.4
2008-09-23,9.402
2008-09-24,9.4
2008-09-25,9.397
2008-09-26,9.396
2008-09-29,9.394
2008-09-30,9.389
2008-10-01,9.4
2008-10-02,9.403
2008-10-03,9.399
2008-10-06,9.408
2008-10-07,9.414
2008-10-08,9.417
2008-10-09,9.42
2008-10-10,9.426
2008-10-14,9.402
2008-10-15,9.414
2008-10-16,9.416
2008-10-17,9.42
2008-10-20,9.419
2008-10-21,9.424
2008-10-22,9.43
2008-10-23,9.432
2008-10-24,9.435
2008-10-27,9.438
2008-10-28,9.433
2008-10-29,9.439
2008-10-30,9.44
2008-10-31,9.422
2008-11-04,9.408
2008-11-05,9.4
2008-11-06,9.398
2008-11-07,9.389
2008-11-10,9.385
2008-11-11,9.369
2008-11-12,9.349
2008-11-13,9.344
2008-11-14,9.325
2008-11-18,9.3
2008-11-19,9.283
2008-11-20,9.251
2008-11-21,9.21
2008-11-24,9.15
2008-11-25,9.025
2008-11-26,9.0
2008-11-27,8.97
2008-11-28,8.92
2008-12-01,8.87
2008-12-02,8.8
2008-12-03,8.79
2008-12-04,8.765
2008-12-05,8.72
2008-12-09,8.67
2008-12-10,8.66
2008-12-11,8.685
2008-12-12,8.72
2008-12-15,8.68
2008-12-16,8.675
2008-12-17,8.65
2008-12-18,8.635
2008-12-19,8.625
2008-12-22,8.4
2008-12-23,8.385
2008-12-24,8.368
2008-12-26,8.383
2008-12-29,8.354
2008-12-30,8.355
2009-01-02,8.343
2009-01-05,8.342
2009-01-06,8.36
2009-01-07,8.38
2009-01-08,8.418
2009-01-09,8.423
2009-01-13,8.435
2009-01-14,8.445
2009-01-15,8.466
2009-01-16,8.503
2009-01-19,8.547
2009-01-20,8.568
2009-01-21,8.605
2009-01-22,8.621
2009-01-23,8.656
2009-01-26,8.702
2009-01-27,8.748
2009-01-28,8.788
2009-01-29,8.823
2009-01-30,8.856
2009-02-02,8.46
2009-02-03,8.484
2009-02-04,8.497
2009-02-05,8.508
2009-02-06,8.523
2009-02-09,8.557
2009-02-10,8.598
2009-02-11,8.611
2009-02-12,8.627
2009-02-13,8.616
2009-02-16,8.607
2009-02-17,8.599
2009-02-18,8.57
2009-02-19,8.554
2009-02-20,8.518
2009-02-23,8.495
2009-02-24,8.5
2009-02-25,8.5
2009-02-26,8.48
2009-02-27,8.473
2009-03-02,7.571
2009-03-03,7.542
2009-03-04,7.556
2009-03-05,7.546
2009-03-06,7.545
2009-03-09,7.582
2009-03-10,7.597
2009-03-11,7.607
2009-03-12,7.598
2009-03-13,7.618
2009-03-16,7.611
2009-03-17,7.605
2009-03-18,7.61
2009-03-19,7.619
2009-03-20,7.619
2009-03-24,6.698
2009-03-25,6.701
2009-03-26,6.71
2009-03-27,6.696
2009-03-30,6.73
2009-03-31,6.715
