Date,Open,High,Low,Close
2007-12-12,10.6588,10.6588,10.6588,10.6588
2007-12-13,10.4834,10.4834,10.4834,10.4834
2007-12-14,11.0662,11.0662,11.0662,11.0662
2007-12-17,11.0969,11.0969,11.0969,11.0969
2007-12-18,10.8203,10.8203,10.8203,10.8203
2007-12-19,10.8337,10.8337,10.8337,10.8337
2007-12-20,9.7258,9.7258,9.7258,9.7258
2007-12-21,9.8088,9.8088,9.8088,9.8088
2007-12-24,9.6404,9.6404,9.6404,9.6404
2007-12-25,9.5978,9.5978,9.5978,9.5978
2007-12-26,9.5748,9.5748,9.5748,9.5748
2007-12-27,8.9788,8.9788,8.9788,8.9788
2007-12-28,9.0282,9.0282,9.0282,9.0282
2007-12-31,8.3902,8.3902,8.3902,8.3902
2008-01-01,8.2486,8.2486,8.2486,8.2486
2008-01-02,8.3865,8.3865,8.3865,8.3865
2008-01-03,7.9575,7.9575,7.9575,7.9575
2008-01-04,7.7831,7.7831,7.7831,7.7831
2008-01-07,7.6761,7.6761,7.6761,7.6761
2008-01-08,7.7288,7.7288,7.7288,7.7288
2008-01-09,7.8147,7.8147,7.8147,7.8147
2008-01-10,7.2655,7.2655,7.2655,7.2655
2008-01-11,7.1744,7.1744,7.1744,7.1744
2008-01-14,7.3012,7.3012,7.3012,7.3012
2008-01-15,7.6693,7.6693,7.6693,7.6693
2008-01-16,7.8582,7.8582,7.8582,7.8582
2008-01-17,8.622,8.622,8.622,8.622
2008-01-18,8.7852,8.7852,8.7852,8.7852
2008-01-21,9.5433,9.5433,9.5433,9.5433
2008-01-22,10.1724,10.1724,10.1724,10.1724
2008-01-23,11.0898,11.0898,11.0898,11.0898
2008-01-24,12.4777,12.4777,12.4777,12.4777
2008-01-25,12.8739,12.8739,12.8739,12.8739
2008-01-28,12.8375,12.8375,12.8375,12.8375
2008-01-29,13.9358,13.9358,13.9358,13.9358
2008-01-30,14.5218,14.5218,14.5218,14.5218
2008-01-31,14.6136,14.6136,14.6136,14.6136
2008-02-01,14.6238,14.6238,14.6238,14.6238
2008-02-04,14.6807,14.6807,14.6807,14.6807
2008-02-05,14.7424,14.7424,14.7424,14.7424
2008-02-06,14.7235,14.7235,14.7235,14.7235
2008-02-07,14.8566,14.8566,14.8566,14.8566
2008-02-08,15.4432,15.4432,15.4432,15.4432
2008-02-11,15.3198,15.3198,15.3198,15.3198
2008-02-12,15.3344,15.3344,15.3344,15.3344
2008-02-13,15.097,15.097,15.097,15.097
2008-02-14,14.9857,14.9857,14.9857,14.9857
2008-02-15,14.5938,14.5938,14.5938,14.5938
2008-02-18,14.5894,14.5894,14.5894,14.5894
2008-02-19,14.115,14.115,14.115,14.115
2008-02-20,14.47,14.47,14.47,14.47
2008-02-21,14.3759,14.3759,14.3759,14.3759
2008-02-22,13.264,13.264,13.264,13.264
2008-02-25,12.922,12.922,12.922,12.922
2008-02-26,12.9079,12.9079,12.9079,12.9079
2008-02-27,12.1544,12.1544,12.1544,12.1544
2008-02-28,11.5393,11.5393,11.5393,11.5393
2008-02-29,11.3796,11.3796,11.3796,11.3796
2008-03-03,11.6137,11.6137,11.6137,11.6137
2008-03-04,12.3643,12.3643,12.3643,12.3643
2008-03-05,12.7459,12.7459,12.7459,12.7459
2008-03-06,13.0745,13.0745,13.0745,13.0745
2008-03-07,13.7778,13.7778,13.7778,13.7778
2008-03-10,15.7464,15.7464,15.7464,15.7464
2008-03-11,15.8456,15.8456,15.8456,15.8456
2008-03-12,15.6618,15.6618,15.6618,15.6618
2008-03-13,15.9529,15.9529,15.9529,15.9529
2008-03-14,16.9897,16.9897,16.9897,16.9897
2008-03-17,17.4582,17.4582,17.4582,17.4582
2008-03-18,17.916,17.916,17.916,17.916
2008-03-19,18.1856,18.1856,18.1856,18.1856
2008-03-20,17.653,17.653,17.653,17.653
2008-03-21,17.2626,17.2626,17.2626,17.2626
2008-03-24,17.2742,17.2742,17.2742,17.2742
2008-03-25,17.361,17.361,17.361,17.361
2008-03-26,17.3916,17.3916,17.3916,17.3916
2008-03-27,17.1536,17.1536,17.1536,17.1536
2008-03-28,17.2328,17.2328,17.2328,17.2328
2008-03-31,17.3668,17.3668,17.3668,17.3668
2008-04-01,17.2355,17.2355,17.2355,17.2355
2008-04-02,16.7931,16.7931,16.7931,16.7931
2008-04-03,16.4697,16.4697,16.4697,16.4697
2008-04-04,16.2553,16.2553,16.2553,16.2553
2008-04-07,15.5961,15.5961,15.5961,15.5961
2008-04-08,12.9752,12.9752,12.9752,12.9752
2008-04-09,12.9015,12.9015,12.9015,12.9015
2008-04-10,12.4137,12.4137,12.4137,12.4137
2008-04-11,12.0775,12.0775,12.0775,12.0775
2008-04-14,10.5763,10.5763,10.5763,10.5763
2008-04-15,9.7718,9.7718,9.7718,9.7718
2008-04-16,8.9146,8.9146,8.9146,8.9146
2008-04-17,8.2408,8.2408,8.2408,8.2408
2008-04-18,8.0542,8.0542,8.0542,8.0542
2008-04-21,7.9017,7.9017,7.9017,7.9017
2008-04-22,7.7304,7.7304,7.7304,7.7304
2008-04-23,7.4901,7.4901,7.4901,7.4901
2008-04-24,7.3387,7.3387,7.3387,7.3387
2008-04-25,7.4045,7.4045,7.4045,7.4045
2008-04-28,7.3634,7.3634,7.3634,7.3634
2008-04-29,7.5711,7.5711,7.5711,7.5711
2008-04-30,7.7167,7.7167,7.7167,7.7167
2008-05-01,7.4953,7.4953,7.4953,7.4953
2008-05-02,7.8838,7.8838,7.8838,7.8838
2008-05-05,8.0624,8.0624,8.0624,8.0624
2008-05-06,8.1368,8.1368,8.1368,8.1368
2008-05-07,8.9852,8.9852,8.9852,8.9852
2008-05-08,9.5443,9.5443,9.5443,9.5443
2008-05-09,9.5794,9.5794,9.5794,9.5794
2008-05-12,9.5806,9.5806,9.5806,9.5806
2008-05-13,9.5397,9.5397,9.5397,9.5397
2008-05-14,9.56,9.56,9.56,9.56
2008-05-15,9.4501,9.4501,9.4501,9.4501
2008-05-16,9.5392,9.5392,9.5392,9.5392
2008-05-19,9.6328,9.6328,9.6328,9.6328
2008-05-20,9.7032,9.7032,9.7032,9.7032
2008-05-21,9.7851,9.7851,9.7851,9.7851
2008-05-22,9.7152,9.7152,9.7152,9.7152
2008-05-23,9.7772,9.7772,9.7772,9.7772
2008-05-26,9.5804,9.5804,9.5804,9.5804
2008-05-27,9.4416,9.4416,9.4416,9.4416
2008-05-28,8.9539,8.9539,8.9539,8.9539
2008-05-29,8.7565,8.7565,8.7565,8.7565
2008-05-30,9.0326,9.0326,9.0326,9.0326
2008-06-02,8.6518,8.6518,8.6518,8.6518
2008-06-03,8.6636,8.6636,8.6636,8.6636
2008-06-04,8.452,8.452,8.452,8.452
2008-06-05,7.8706,7.8706,7.8706,7.8706
2008-06-06,7.0004,7.0004,7.0004,7.0004
2008-06-09,7.0753,7.0753,7.0753,7.0753
2008-06-10,7.7088,7.7088,7.7088,7.7088
2008-06-11,7.9823,7.9823,7.9823,7.9823
2008-06-12,8.0143,8.0143,8.0143,8.0143
2008-06-13,8.1306,8.1306,8.1306,8.1306
2008-06-16,8.9257,8.9257,8.9257,8.9257
2008-06-17,10.257,10.257,10.257,10.257
2008-06-18,10.9186,10.9186,10.9186,10.9186
2008-06-19,12.026,12.026,12.026,12.026
2008-06-20,12.2656,12.2656,12.2656,12.2656
2008-06-23,13.1079,13.1079,13.1079,13.1079
2008-06-24,13.7058,13.7058,13.7058,13.7058
2008-06-25,14.8056,14.8056,14.8056,14.8056
2008-06-26,17.0122,17.0122,17.0122,17.0122
2008-06-27,27.2327,27.2327,27.2327,27.2327
