Date,Open,High,Low,Close
1999-09-10,17.0,17.0,16.0,17.0
1999-09-13,16.0,17.0,16.0,17.0
1999-09-16,13.0,13.5,13.0,13.5
1999-09-20,17.0,17.0,17.0,17.0
1999-09-22,16.25,16.25,16.25,16.25
1999-09-23,17.0,17.0,16.5,16.5
1999-09-27,16.0,16.0,16.0,16.0
1999-09-28,15.0,15.0,15.0,15.0
1999-09-29,11.0,11.0,11.0,11.0
1999-09-30,15.0,15.0,15.0,15.0
1999-11-22,9.0,9.0,9.0,9.0
1999-11-23,8.5,8.5,8.5,8.5
1999-11-24,8.0,8.0,8.0,8.0
1999-11-30,7.0,7.0,7.0,7.0
1999-12-01,6.0,6.0,6.0,6.0
1999-12-07,5.0,6.0,5.0,6.0
1999-12-10,5.0,6.0,5.0,6.0
1999-12-13,5.0,6.0,5.0,6.0
2000-01-06,6.0,6.0,6.0,6.0
2000-01-12,9.0,9.0,9.0,9.0
2000-01-20,64.0,64.0,64.0,64.0
2000-01-21,9.0,9.0,9.0,9.0
2000-01-25,9.0,9.0,9.0,9.0
2000-01-26,9.0,9.0,9.0,9.0
2000-02-01,8.5,8.5,8.5,8.5
2000-02-02,9.0,9.0,9.0,9.0
2000-02-08,9.0,9.0,9.0,9.0
2000-02-09,9.0,9.0,9.0,9.0
2000-02-11,9.0,9.0,9.0,9.0
2000-03-02,7.0,7.0,7.0,7.0
2000-03-08,8.0,8.0,8.0,8.0
2000-03-09,8.0,8.0,8.0,8.0
2000-03-10,8.0,8.0,8.0,8.0
2000-03-16,6.0,6.0,6.0,6.0
2000-03-21,6.0,6.0,6.0,6.0
2000-03-23,6.0,6.0,6.0,6.0
2000-03-24,5.0,5.0,5.0,5.0
2000-03-28,5.0,5.0,5.0,5.0
2000-03-29,6.0,6.0,6.0,6.0
2000-04-06,8.0,8.0,8.0,8.0
2000-04-10,9.0,9.0,9.0,9.0
2000-04-24,7.0,7.0,7.0,7.0
2000-04-27,8.5,8.5,8.5,8.5
2000-05-17,8.5,8.5,8.5,8.5
2000-05-29,7.5,7.5,7.5,7.5
2002-11-22,18.75,18.75,18.75,18.75
2002-11-25,15.0,15.0,15.0,15.0
2002-11-26,15.0,15.0,15.0,15.0
2002-11-27,19.5,19.5,19.5,19.5
2002-11-29,11.25,11.25,11.25,11.25
2002-12-02,13.0,13.0,13.0,13.0
2002-12-03,13.0,13.0,13.0,13.0
2002-12-04,13.0,13.0,13.0,13.0
2002-12-05,13.0,13.0,13.0,13.0
2002-12-06,13.0,13.0,13.0,13.0
2002-12-09,13.0,13.0,13.0,13.0
2002-12-10,13.0,13.0,13.0,13.0
2002-12-11,13.0,13.0,13.0,13.0
2002-12-12,11.75,13.0,11.75,13.0
2002-12-17,13.0,13.0,13.0,13.0
2002-12-18,13.0,13.0,13.0,13.0
2002-12-19,13.0,13.0,13.0,13.0
2002-12-20,13.0,13.0,13.0,13.0
2002-12-23,13.0,13.0,13.0,13.0
