Date,Last Price
2001-08-22,10.964
2001-08-23,10.993
2001-08-24,11.07
2001-08-27,11.1
2001-08-28,11.087
2001-08-29,11.139
2001-08-30,11.206
2001-08-31,11.243
2001-09-03,11.26
2001-09-04,11.391
2001-09-05,11.455
2001-09-06,11.348
2001-09-07,11.295
2001-09-10,11.353
2001-09-12,11.773
2001-09-13,11.87
2001-09-14,11.985
2001-09-17,11.886
2001-09-18,11.695
2001-09-25,12.069
2001-09-26,11.98
2001-09-27,12.055
2001-09-28,11.99
2001-10-01,11.9
2001-10-02,11.854
2001-10-03,11.788
2001-10-04,11.916
2001-10-08,11.978
2001-10-09,11.838
2001-10-10,11.413
2001-10-11,11.768
2001-10-12,11.788
2001-10-15,11.697
2001-10-16,11.387
2001-10-17,11.104
2001-10-18,11.09
2001-10-19,10.989
2001-10-22,10.789
2001-10-23,10.638
2001-10-24,10.578
2001-10-25,10.6
2001-10-26,10.7
2001-10-29,10.89
2001-10-30,10.97
2001-10-31,10.936
2001-11-01,10.829
2001-11-02,10.869
2001-11-05,10.806
2001-11-06,10.812
2001-11-07,10.858
2001-11-08,10.742
2001-11-09,10.812
2001-11-12,10.87
2001-11-13,10.84
2001-11-14,10.769
2001-11-15,10.74
2001-11-16,10.803
2001-11-19,10.813
2001-11-21,10.745
2001-11-23,10.59
2001-11-26,10.537
2001-11-27,10.564
2001-11-28,10.679
2001-11-29,10.727
2001-11-30,10.643
2001-12-03,10.582
2001-12-04,10.523
2001-12-05,10.582
2001-12-06,10.565
2001-12-07,10.588
2001-12-10,10.443
2001-12-11,10.045
2001-12-13,10.099
2001-12-17,9.988
2001-12-18,10.136
2001-12-19,10.172
2001-12-24,10.015
2001-12-26,9.99
2001-12-31,10.143
2002-01-02,10.092
2002-01-03,9.962
2002-01-04,10.027
2002-01-07,10.187
2002-01-08,10.123
2002-01-09,10.009
2002-01-10,10.07
2002-01-11,10.153
2002-01-14,10.078
2002-01-15,10.02
2002-01-16,9.975
2002-01-17,9.792
2002-01-18,9.768
2002-01-21,9.795
2002-01-22,9.771
2002-01-23,9.776
2002-01-25,9.826
2002-01-28,9.894
2002-01-29,9.93
2002-01-30,9.942
2002-01-31,9.979
2002-02-01,9.901
2002-02-04,9.913
2002-02-06,9.839
2002-02-07,9.823
2002-02-08,9.854
2002-02-11,9.893
2002-02-12,9.842
2002-02-13,9.816
2002-02-14,9.801
2002-02-15,9.8
2002-02-18,9.804
2002-02-19,9.8
2002-02-20,9.776
2002-02-21,9.779
2002-02-22,9.777
2002-02-25,9.756
2002-02-26,9.755
2002-02-27,9.803
2002-02-28,9.841
2002-03-01,9.828
2002-03-04,9.81
2002-03-05,9.832
2002-03-06,9.81
2002-03-07,9.833
2002-03-08,9.856
2002-03-11,9.873
2002-03-12,9.866
2002-03-13,9.886
2002-03-14,9.897
2002-03-15,9.901
2002-03-18,9.874
2002-03-19,9.883
2002-03-20,9.897
2002-03-22,9.929
2002-03-25,9.904
2002-03-26,9.893
2002-03-27,9.878
2002-04-01,9.864
2002-04-02,9.839
2002-04-03,9.855
2002-04-04,9.872
2002-04-05,9.87
2002-04-08,9.869
2002-04-09,9.841
2002-04-10,9.807
2002-04-11,9.789
2002-04-12,9.696
2002-04-15,9.458
2002-04-16,9.302
2002-04-17,9.336
2002-04-18,9.354
2002-04-19,9.309
2002-04-22,9.291
2002-04-23,9.222
2002-04-24,9.212
2002-04-25,9.236
2002-04-26,9.232
2002-04-29,9.236
2002-04-30,9.296
2002-05-02,9.431
2002-05-03,9.467
2002-05-06,9.543
2002-05-07,9.595
2002-05-08,9.527
2002-05-09,9.53
2002-05-10,9.492
2002-05-13,9.388
2002-05-14,9.347
2002-05-15,9.267
2002-05-16,9.237
2002-05-17,9.155
2002-05-20,9.202
2002-05-21,9.189
2002-05-22,9.182
2002-05-23,9.17
2002-05-24,9.201
2002-05-27,9.168
2002-05-28,9.144
2002-05-29,9.257
2002-05-30,9.338
2002-05-31,9.187
2002-06-03,9.186
2002-06-04,9.319
2002-06-05,9.446
2002-06-06,9.529
2002-06-07,9.547
2002-06-10,9.542
2002-06-11,9.501
2002-06-12,9.512
2002-06-13,9.478
2002-06-14,9.501
2002-06-17,9.446
2002-06-18,9.453
2002-06-19,9.46
2002-06-20,9.527
2002-06-21,9.674
2002-06-24,9.86
2002-06-25,9.847
2002-06-26,10.08
2002-06-27,10.133
2002-06-28,10.089
2002-07-01,9.992
2002-07-02,10.071
2002-07-03,10.079
2002-07-04,10.026
2002-07-05,10.04
2002-07-08,9.998
2002-07-09,9.966
2002-07-10,9.967
2002-07-11,10.004
2002-07-12,9.939
2002-07-15,10.006
2002-07-16,10.074
2002-07-17,10.147
2002-07-18,10.136
2002-07-19,10.108
2002-07-22,10.126
2002-07-23,10.156
2002-07-24,10.094
2002-07-25,10.135
2002-07-26,10.158
2002-07-29,10.177
2002-07-30,10.283
2002-07-31,10.277
2002-08-01,10.267
2002-08-02,10.23
2002-08-05,10.201
2002-08-06,10.084
2002-08-07,10.036
2002-08-08,9.945
2002-08-09,9.97
2002-08-12,10.04
2002-08-13,10.106
2002-08-14,10.181
2002-08-15,10.191
2002-08-16,10.155
2002-08-19,10.126
2002-08-20,10.146
2002-08-21,10.103
2002-08-22,10.111
2002-08-23,10.079
2002-08-26,10.049
2002-08-27,10.04
2002-08-28,10.057
2002-08-29,10.01
2002-08-30,9.965
2002-09-02,9.965
2002-09-03,10.006
2002-09-04,10.043
2002-09-05,10.049
2002-09-06,10.06
2002-09-09,10.075
2002-09-10,10.044
2002-09-11,10.066
2002-09-12,10.128
2002-09-13,10.116
2002-09-17,10.168
2002-09-18,10.254
2002-09-19,10.601
2002-09-20,11.272
2002-09-23,11.091
2002-09-24,11.156
2002-09-25,10.808
2002-09-26,10.47
2002-09-27,10.678
2002-09-30,10.865
2002-10-01,10.649
2002-10-02,10.634
2002-10-03,10.773
2002-10-04,10.767
2002-10-07,11.039
2002-10-08,11.166
2002-10-09,11.257
2002-10-10,11.199
2002-10-11,11.144
2002-10-14,11.19
2002-10-15,11.182
2002-10-16,10.997
2002-10-17,10.834
2002-10-18,10.837
2002-10-21,10.799
2002-10-22,10.836
2002-10-23,10.805
2002-10-24,10.642
2002-10-25,10.67
2002-10-28,10.685
2002-10-29,10.834
2002-10-30,10.823
2002-10-31,10.785
2002-11-01,10.792
2002-11-04,10.742
2002-11-05,10.753
2002-11-06,10.73
2002-11-07,10.802
2002-11-08,10.928
2002-11-11,11.036
2002-11-12,11.02
2002-11-13,10.832
2002-11-14,10.809
2002-11-15,10.855
2002-11-18,10.689
2002-11-19,10.7
2002-11-21,10.625
2002-11-22,10.675
2002-11-25,10.707
2002-11-26,10.646
2002-11-27,10.371
2002-11-28,10.101
2002-11-29,10.125
2002-12-02,10.043
2002-12-03,10.003
2002-12-04,10.043
2002-12-05,10.089
2002-12-06,10.117
2002-12-09,10.106
2002-12-10,10.029
2002-12-11,9.919
2002-12-13,9.815
2002-12-16,9.625
2002-12-17,9.566
2002-12-18,9.596
2002-12-19,9.578
2002-12-20,9.389
2002-12-23,9.279
2002-12-26,9.344
2002-12-27,9.426
2002-12-30,9.525
2002-12-31,9.529
2003-01-02,9.717
2003-01-03,9.883
2003-01-06,9.954
2003-01-07,9.918
2003-01-08,10.008
2003-01-09,10.115
2003-01-13,10.15
2003-01-14,10.163
2003-01-15,10.165
2003-01-16,10.215
2003-01-17,10.242
2003-01-20,10.441
