Date,Open,High,Low,Close
2001-10-12,330.0,350.0,310.0,330.0
2001-10-16,317.5,337.5,297.5,317.5
2001-10-17,306.25,325.0,287.5,306.25
2001-10-18,305.0,330.0,280.0,305.0
2001-10-22,300.0,320.0,280.0,300.0
2001-10-23,295.0,317.5,272.5,295.0
2001-10-24,297.5,320.0,275.0,297.5
2001-10-25,300.0,322.5,277.5,300.0
2001-10-26,301.25,322.5,280.0,301.25
2001-10-29,308.75,327.5,290.0,308.75
2001-10-30,313.75,332.5,295.0,313.75
2001-10-31,311.25,330.0,292.5,311.25
2001-11-01,316.25,332.5,300.0,316.25
2001-11-05,311.25,327.5,295.0,311.25
2001-11-06,313.75,330.0,297.5,313.75
2001-11-07,311.25,327.5,295.0,311.25
2001-11-08,305.0,322.5,287.5,305.0
2001-11-09,305.0,322.5,287.5,305.0
2001-11-15,280.0,297.5,262.5,280.0
2001-11-16,257.5,275.0,240.0,257.5
2001-11-19,245.0,262.5,227.5,245.0
2001-11-20,240.0,257.5,222.5,240.0
2001-11-21,257.5,275.0,240.0,257.5
2001-11-26,250.0,267.5,232.5,250.0
2001-11-27,247.5,265.0,230.0,247.5
2001-11-28,256.25,277.5,235.0,256.25
2001-11-29,266.25,287.5,245.0,266.25
2001-12-03,265.0,282.5,247.5,265.0
2001-12-04,250.0,267.5,232.5,250.0
2001-12-05,240.0,257.5,222.5,240.0
2001-12-06,242.5,260.0,225.0,242.5
2001-12-07,230.0,250.0,210.0,230.0
2001-12-11,232.5,252.5,212.5,232.5
2001-12-12,232.5,252.5,212.5,232.5
2001-12-13,232.5,255.0,210.0,232.5
2001-12-14,230.0,252.5,207.5,230.0
2001-12-17,202.5,222.5,182.5,202.5
2001-12-18,205.0,227.5,182.5,205.0
2001-12-19,212.5,235.0,190.0,212.5
2001-12-20,212.5,235.0,190.0,212.5
2002-01-03,205.0,227.5,182.5,205.0
2002-01-14,225.0,250.0,200.0,225.0
2002-01-15,222.5,245.0,200.0,222.5
2002-01-16,222.5,245.0,200.0,222.5
2002-01-17,217.5,240.0,195.0,217.5
2002-01-18,215.0,237.5,192.5,215.0
2002-01-22,210.0,232.5,187.5,210.0
2002-01-23,205.0,227.5,182.5,205.0
2002-01-24,205.0,227.5,182.5,205.0
2002-01-28,202.5,222.5,182.5,202.5
2002-01-29,207.5,227.5,187.5,207.5
2002-01-30,212.5,232.5,192.5,212.5
2002-01-31,217.5,240.0,195.0,217.5
2002-02-01,215.0,237.5,192.5,215.0
2002-02-04,215.0,237.5,192.5,215.0
2002-02-05,210.0,232.5,187.5,210.0
2002-02-06,207.5,230.0,185.0,207.5
2002-02-07,209.0,231.5,186.5,209.0
2002-02-08,206.5,229.0,184.0,206.5
2002-02-11,207.5,230.0,185.0,207.5
2002-02-12,203.5,226.0,181.0,203.5
2002-02-13,200.0,220.0,180.0,200.0
2002-02-14,200.0,220.0,180.0,200.0
2002-02-15,200.0,220.0,180.0,200.0
2002-02-19,200.0,220.0,180.0,200.0
2002-02-20,200.0,217.5,182.5,200.0
2002-02-21,200.0,217.5,182.5,200.0
2002-02-28,194.0,214.0,174.0,194.0
2002-03-01,185.5,205.5,165.5,185.5
2002-03-04,184.5,204.5,164.5,184.5
2002-03-05,183.5,203.5,163.5,183.5
2002-03-06,178.25,197.0,159.5,178.25
2002-03-07,175.5,195.5,155.5,175.5
2002-03-08,168.0,185.5,150.5,168.0
2002-03-11,172.5,190.0,155.0,172.5
2002-03-12,172.5,190.0,155.0,172.5
2002-03-13,172.5,190.0,155.0,172.5
2002-03-14,171.5,189.0,154.0,171.5
2002-03-15,172.5,190.0,155.0,172.5
2002-03-18,172.5,190.0,155.0,172.5
2002-03-19,173.75,192.5,155.0,173.75
2002-03-20,173.75,192.5,155.0,173.75
2002-03-21,174.75,193.5,156.0,174.75
2002-03-22,176.25,195.0,157.5,176.25
2002-03-25,180.0,197.5,162.5,180.0
2002-03-26,180.0,197.5,162.5,180.0
2002-03-27,176.25,195.0,157.5,176.25
