Date,Open,High,Low,Close,Volume
1987-12-31,100.0,100.0,100.0,100.0,
1988-01-01,100.0,100.0,100.0,100.0,
1988-01-04,97.34,97.34,97.34,97.34,
1988-01-05,95.3,95.3,95.3,95.3,
1988-01-06,91.21,91.21,91.21,91.21,
1988-01-07,89.44,89.44,89.44,89.44,
1988-01-08,90.19,90.19,90.19,90.19,
1988-01-11,89.48,89.48,89.48,89.48,
1988-01-12,89.21,89.21,89.21,89.21,
1988-01-13,88.61,88.61,88.61,88.61,
1988-01-14,86.66,86.66,86.66,86.66,
1988-01-15,90.83,90.83,90.83,90.83,
1988-01-18,99.09,99.09,99.09,99.09,
1988-01-19,104.26,104.26,104.26,104.26,
1988-01-20,106.99,106.99,106.99,106.99,
1988-01-21,111.19,111.19,111.19,111.19,
1988-01-22,120.41,120.41,120.41,120.41,
1988-01-25,127.52,127.52,127.52,127.52,
1988-01-26,122.37,122.37,122.37,122.37,
1988-01-27,124.05,124.05,124.05,124.05,
1988-01-28,127.53,127.53,127.53,127.53,
1988-01-29,121.06,121.06,121.06,121.06,
1988-02-01,116.76,116.76,116.76,116.76,
1988-02-02,115.29,115.29,115.29,115.29,
1988-02-03,126.13,126.13,126.13,126.13,
1988-02-04,130.9,130.9,130.9,130.9,
1988-02-05,130.9,130.9,130.9,130.9,
1988-02-08,131.84,131.84,131.84,131.84,
1988-02-09,134.14,134.14,134.14,134.14,
1988-02-10,138.57,138.57,138.57,138.57,
1988-02-11,138.18,138.18,138.18,138.18,
1988-02-12,141.73,141.73,141.73,141.73,
1988-02-15,142.58,142.58,142.58,142.58,
1988-02-16,142.53,142.53,142.53,142.53,
1988-02-17,142.06,142.06,142.06,142.06,
1988-02-18,140.83,140.83,140.83,140.83,
1988-02-19,138.79,138.79,138.79,138.79,
1988-02-22,131.58,131.58,131.58,131.58,
1988-02-23,137.14,137.14,137.14,137.14,
1988-02-24,139.89,139.89,139.89,139.89,
1988-02-25,142.57,142.57,142.57,142.57,
1988-02-26,144.24,144.24,144.24,144.24,
1988-02-29,156.08,156.08,156.08,156.08,
1988-03-01,170.5,170.5,170.5,170.5,
1988-03-02,166.44,166.44,166.44,166.44,
1988-03-03,168.34,168.34,168.34,168.34,
1988-03-04,165.81,165.81,165.81,165.81,
1988-03-07,165.81,165.81,165.81,165.81,
1988-03-08,153.24,153.24,153.24,153.24,
1988-03-09,139.83,139.83,139.83,139.83,
1988-03-10,142.0,142.0,142.0,142.0,
1988-03-11,146.13,146.13,146.13,146.13,
1988-03-14,144.52,144.52,144.52,144.52,
1988-03-15,136.87,136.87,136.87,136.87,
1988-03-16,133.67,133.67,133.67,133.67,
1988-03-17,136.02,136.02,136.02,136.02,
1988-03-18,136.43,136.43,136.43,136.43,
1988-03-21,136.43,136.43,136.43,136.43,
1988-03-22,131.07,131.07,131.07,131.07,
1988-03-23,129.59,129.59,129.59,129.59,
1988-03-24,133.98,133.98,133.98,133.98,
1988-03-25,133.25,133.25,133.25,133.25,
1988-03-28,137.56,137.56,137.56,137.56,
1988-03-29,141.33,141.33,141.33,141.33,
1988-03-30,140.47,140.47,140.47,140.47,
1988-03-31,140.47,140.47,140.47,140.47,
1988-04-01,140.47,140.47,140.47,140.47,
1988-04-04,136.08,136.08,136.08,136.08,
1988-04-05,132.09,132.09,132.09,132.09,
1988-04-06,132.08,132.08,132.08,132.08,
1988-04-07,132.56,132.56,132.56,132.56,
1988-04-08,131.37,131.37,131.37,131.37,
1988-04-11,130.17,130.17,130.17,130.17,
1988-04-12,130.27,130.27,130.27,130.27,
