Date,Open,High,Low,Close
2021-03-26,20.6772,20.7339,20.5397,20.5834
2021-03-25,20.9418,20.9606,20.5776,20.6772
2021-03-24,20.8474,20.9695,20.6643,20.9418
2021-03-23,20.5778,20.8621,20.5396,20.8474
2021-03-22,20.6608,20.8813,20.5293,20.5778
2021-03-19,20.4855,20.55,20.2881,20.5061
2021-03-18,20.4002,20.595,20.2829,20.4855
2021-03-17,20.6104,20.8139,20.3126,20.4002
2021-03-16,20.6488,20.7309,20.5236,20.6104
2021-03-15,20.706,20.8267,20.6288,20.6488
2021-03-12,20.6053,20.9322,20.5925,20.6931
2021-03-11,20.8985,20.9275,20.5843,20.6053
2021-03-10,21.1914,21.2851,20.8719,20.8983
2021-03-09,21.4932,21.5727,21.1289,21.1914
2021-03-08,21.2918,21.6357,21.2141,21.4932
2021-03-05,21.1255,21.4181,21.0874,21.3127
2021-03-04,20.9451,21.171,20.76,21.1255
2021-03-03,20.606,20.9988,20.5524,20.9453
2021-03-02,20.6568,20.7897,20.5556,20.606
2021-03-01,20.8626,20.877,20.5777,20.6568
2021-02-26,20.8525,21.0477,20.7808,20.8554
2021-02-25,20.3775,21.0363,20.3714,20.8525
2021-02-24,20.532,20.5557,20.3504,20.3775
2021-02-23,20.732,20.7666,20.5004,20.5322
2021-02-22,20.4523,20.8333,20.444,20.732
2021-02-19,20.3087,20.5263,20.2535,20.4288
2021-02-18,20.2245,20.4737,20.1456,20.3087
2021-02-17,20.155,20.3833,20.1471,20.2245
2021-02-16,19.9642,20.2483,19.9222,20.1546
2021-02-15,19.9446,19.9786,19.8924,19.9642
2021-02-12,19.964,20.0872,19.9074,19.9526
2021-02-11,20.043,20.0577,19.9058,19.964
2021-02-10,20.0969,20.1478,20.0042,20.0429
2021-02-09,20.11,20.1481,20.0135,20.0969
2021-02-08,20.0925,20.2452,20.076,20.11
2021-02-05,20.396,20.4233,20.0825,20.0872
2021-02-04,20.1952,20.4944,20.1796,20.396
2021-02-03,20.136,20.2431,20.0742,20.195
2021-02-02,20.3896,20.3937,20.1161,20.136
2021-02-01,20.4884,20.5158,20.2667,20.3895
2021-01-29,20.2496,20.5996,20.086,20.574
2021-01-28,20.2911,20.4589,20.1293,20.2496
2021-01-27,19.9863,20.3313,19.9858,20.2911
2021-01-26,20.1068,20.2915,19.9356,19.9863
2021-01-25,19.945,20.2387,19.8546,20.1072
2021-01-22,19.7313,20.0061,19.7194,19.9745
2021-01-21,19.6045,19.8069,19.5494,19.7313
2021-01-20,19.6721,19.6757,19.5528,19.6045
2021-01-19,19.6887,19.7315,19.5981,19.6721
2021-01-18,19.8012,19.9669,19.6588,19.6884
2021-01-15,19.6973,19.8974,19.6876,19.7986
2021-01-14,19.8532,19.8885,19.6397,19.6963
2021-01-13,19.7904,19.8919,19.7409,19.8533
2021-01-12,20.0673,20.1142,19.7817,19.7904
2021-01-11,20.0136,20.2631,19.9942,20.0673
2021-01-08,20.0129,20.1494,19.871,20.0151
2021-01-07,19.6493,20.0877,19.6195,20.0129
2021-01-06,19.8957,19.992,19.601,19.6496
2021-01-05,19.9739,20.105,19.8153,19.8958
2021-01-04,19.9265,19.9923,19.7158,19.9739
2021-01-01,19.9075,19.9075,19.9035,19.9035
2020-12-31,19.9001,19.9585,19.8414,19.9143
2020-12-30,19.9107,20.043,19.8116,19.9001
2020-12-29,20.0152,20.0688,19.8665,19.9107
2020-12-28,19.9065,20.1209,19.8365,20.0152
2020-12-25,19.8787,19.9399,19.8555,19.8646
2020-12-24,20.0689,20.0749,19.8353,19.8671
2020-12-23,20.1371,20.2082,20.0118,20.0689
2020-12-22,19.984,20.1863,19.9579,20.1371
2020-12-21,20.0144,20.6641,19.8918,19.984
2020-12-18,19.7952,20.0389,19.7936,19.9476
2020-12-17,19.8613,19.8905,19.7378,19.816
2020-12-16,19.9162,19.9984,19.8196,19.8639
2020-12-15,20.2425,20.2611,19.8944,19.9159
2020-12-14,20.1091,20.2505,19.993,20.2425
2020-12-11,20.0118,20.1934,19.9532,20.1317
2020-12-10,19.883,20.0476,19.8204,20.0118
