Date,Open,High,Low,Close
2000-07-21,16.2077,16.2077,16.2077,16.2077
2001-01-12,17.28,17.28,17.28,17.28
2001-01-15,17.65,17.65,17.65,17.65
2001-01-16,18.03,18.03,18.03,18.03
2001-01-17,18.17,18.17,18.17,18.17
2001-01-18,18.17,18.17,18.17,18.17
2001-01-19,18.21,18.21,18.21,18.21
2001-01-22,18.3,18.3,18.3,18.3
2001-01-23,18.12,18.12,18.12,18.12
2001-01-24,17.95,17.95,17.95,17.95
2001-01-25,17.71,17.71,17.71,17.71
2001-01-29,17.8,17.8,17.8,17.8
2001-01-31,17.69,17.69,17.69,17.69
2001-02-01,17.89,17.89,17.89,17.89
2001-02-02,18.08,18.08,18.08,18.08
2001-02-06,17.65,17.845,17.65,17.845
2001-02-07,18.14,18.14,18.14,18.14
2001-02-08,18.03,18.03,18.03,18.03
2001-02-09,17.5,17.5,17.5,17.5
2001-02-12,17.855,17.855,17.76,17.76
2001-02-13,18.21,18.21,18.02,18.02
2001-02-15,17.87,17.87,17.87,17.87
2001-02-16,17.905,18.065,17.905,18.065
2001-02-20,17.91,17.91,17.91,17.91
2001-02-22,17.91,17.91,17.91,17.91
2001-02-23,17.85,17.85,17.8,17.8
2001-02-26,17.69,17.69,17.69,17.69
2001-02-27,17.6,17.6,17.6,17.6
2001-02-28,17.6,17.6,17.45,17.45
2001-03-01,17.39,17.39,17.39,17.39
2001-03-02,17.45,17.45,17.45,17.45
2001-03-05,17.25,17.25,17.25,17.25
2001-03-06,17.22,17.22,17.22,17.22
2001-03-07,17.25,17.25,17.25,17.25
2001-03-08,17.1167,17.25,17.1167,17.25
2001-03-09,17.122,17.25,17.122,17.25
2001-03-12,17.05,17.05,17.05,17.05
2001-03-13,16.911,16.911,16.75,16.75
2001-03-19,16.82,16.82,16.82,16.82
2001-03-20,16.9836,17.27,16.9836,17.27
2001-03-23,17.06,17.06,17.06,17.06
2001-03-26,16.8764,16.8764,16.7,16.7
2001-03-27,16.58,16.58,16.58,16.58
2001-03-29,16.8,16.8,16.8,16.8
2001-04-03,16.75,16.75,16.75,16.75
2001-04-04,16.655,16.655,16.655,16.655
2001-04-05,16.47,16.47,16.47,16.47
2001-04-06,16.356,16.4685,16.356,16.4685
2001-04-10,16.2189,16.3993,15.89,16.3993
2001-04-16,16.33,16.33,16.33,16.33
2001-04-17,16.5786,16.5786,16.35,16.35
2001-04-18,16.295,16.295,16.295,16.295
2001-04-23,16.4225,16.4225,16.4225,16.4225
2001-04-24,16.55,16.55,16.55,16.55
2001-04-26,16.15,16.15,16.0,16.0
2001-04-27,16.05,16.05,16.05,16.05
2001-04-30,16.125,16.125,16.125,16.125
2001-05-02,16.25,16.25,16.25,16.25
2001-05-03,16.2,16.2,16.2,16.2
2001-05-07,16.25,16.25,16.165,16.165
2001-05-08,16.165,16.165,15.83,15.83
2001-05-09,15.88,15.88,15.88,15.88
2001-05-10,15.71,15.71,15.71,15.71
2001-05-14,15.85,15.85,15.85,15.85
2001-05-15,15.75,15.75,15.75,15.75
2001-05-16,15.55,15.55,15.55,15.55
2001-05-17,15.2,15.2,15.2,15.2
2001-05-18,14.99,14.99,14.99,14.99
2001-05-21,14.7665,14.7665,14.5475,14.5475
2001-05-22,14.5475,14.5475,14.5475,14.5475
2001-05-24,14.105,14.105,14.105,14.105
2001-05-25,13.87,13.87,13.87,13.87
2001-05-28,13.95,13.95,13.95,13.95
2001-05-29,14.01,14.05,14.01,14.05
2001-05-30,14.295,14.295,14.295,14.295
2001-05-31,14.65,14.65,14.65,14.65
2001-06-01,14.35,14.35,14.35,14.35
2001-06-04,14.25,14.25,14.25,14.25
2001-06-05,14.22,14.22,14.22,14.22
2001-06-06,14.02,14.02,14.02,14.02
2001-06-07,13.92,13.92,13.92,13.92
2001-06-08,13.685,13.685,13.685,13.685
2001-06-11,13.5,13.535,13.5,13.535
2001-06-12,13.28,13.28,13.28,13.28
2001-06-13,13.417,13.417,13.29,13.29
2001-06-15,13.22,13.22,13.22,13.22
2001-06-18,13.215,13.215,13.13,13.13
2001-06-19,13.0038,13.215,13.0038,13.13
2001-06-20,13.21,13.21,13.21,13.21
2001-06-22,13.615,13.615,13.615,13.615
2001-06-26,13.615,13.615,13.22,13.22
2001-06-27,13.28,13.28,13.19,13.19
2001-06-28,13.35,13.35,13.275,13.275
2001-06-29,13.225,13.325,13.225,13.325
2001-07-02,13.325,13.325,13.235,13.235
2001-07-03,13.185,13.24,13.185,13.24
2001-07-04,13.36,13.42,13.36,13.42
2001-07-05,13.535,13.69,13.535,13.69
2001-07-06,13.69,14.04,13.69,14.04
2001-07-10,13.65,13.65,13.65,13.65
2001-07-11,13.65,14.0,13.65,14.0
2001-07-12,13.875,14.0,13.875,14.0
2001-07-13,13.875,14.0,13.875,14.0
2001-07-16,13.875,14.0,13.875,14.0
2001-07-17,13.875,14.35,13.875,14.35
2001-07-18,14.1,14.1,14.1,14.1
2001-07-20,13.925,14.45,13.925,13.925
2001-07-23,13.75,13.75,13.75,13.75
2001-07-24,13.3,13.3,13.3,13.3
2001-07-25,13.24,13.24,13.24,13.24
2001-07-26,13.45,13.45,13.45,13.45
2001-07-30,13.2,13.2,13.2,13.2
2001-07-31,13.24,13.24,13.135,13.135
2001-08-01,13.035,13.035,13.035,13.035
2001-08-02,12.87,12.87,12.87,12.87
2001-08-03,12.87,12.87,12.65,12.65
2001-08-06,12.65,12.65,12.65,12.65
