Date,Open,High,Low,Close
2001-01-12,17.9,18.0,17.9,18.0
2001-01-15,17.9,18.85,17.9,18.85
2001-01-16,18.75,18.85,18.75,18.85
2001-01-17,18.75,18.85,18.75,18.85
2001-01-18,18.75,18.85,18.75,18.85
2001-01-19,18.78,18.78,18.78,18.78
2001-01-22,18.75,18.85,18.75,18.85
2001-01-23,18.74,18.74,18.74,18.74
2001-01-24,18.63,18.63,18.63,18.63
2001-01-25,18.35,18.35,18.35,18.35
2001-01-29,18.35,18.35,18.35,18.35
2001-01-31,18.11,18.11,18.11,18.11
2001-02-01,18.34,18.34,18.34,18.34
2001-02-02,18.6,18.6,18.6,18.6
2001-02-06,18.5,18.5,18.45,18.45
2001-02-07,18.385,18.385,18.385,18.385
2001-02-08,18.25,18.25,18.25,18.25
2001-02-09,18.3,18.3,18.3,18.3
2001-02-12,18.1,18.225,18.1,18.22
2001-02-13,18.425,18.425,18.05,18.05
2001-02-15,17.87,17.87,17.61,17.775
2001-02-16,17.65,17.775,17.65,17.775
2001-02-20,17.95,17.95,17.95,17.95
2001-02-22,17.95,17.95,17.95,17.95
2001-02-23,17.6,17.6,17.6,17.6
2001-02-26,17.455,17.455,17.455,17.455
2001-02-27,17.225,17.225,17.225,17.225
2001-02-28,17.225,17.225,17.225,17.225
2001-03-01,17.1,17.1,17.1,17.1
2001-03-02,17.245,17.245,17.245,17.245
2001-03-05,16.9,16.9,16.9,16.9
2001-03-06,16.78,16.78,16.78,16.78
2001-03-07,16.995,16.995,16.995,16.995
2001-03-08,16.85,16.85,16.85,16.85
2001-03-09,16.85,16.85,16.85,16.85
2001-03-12,16.85,16.85,16.85,16.85
2001-03-13,16.75,16.75,16.75,16.75
2001-03-19,16.95,16.95,16.95,16.95
2001-03-20,16.75,16.875,16.75,16.875
2001-03-23,16.75,16.875,16.75,16.875
2001-03-26,16.945,16.945,16.945,16.945
2001-03-27,16.63,16.63,16.63,16.63
2001-03-29,16.76,16.76,16.76,16.76
2001-04-03,16.75,16.75,16.75,16.75
2001-04-04,16.685,16.685,16.685,16.685
2001-04-05,16.55,16.55,16.55,16.55
2001-04-06,16.306,16.435,16.306,16.435
2001-04-16,16.425,16.425,16.425,16.425
2001-04-17,16.45,16.45,16.45,16.45
2001-04-18,16.25,16.25,16.25,16.25
2001-04-26,15.825,15.825,14.0,15.7
2001-04-27,15.775,15.775,15.775,15.775
2001-04-30,15.65,15.65,15.65,15.65
2001-05-02,15.9,15.9,15.9,15.9
2001-05-07,16.05,16.05,15.865,15.865
2001-05-08,15.45,15.805,15.45,15.6
2001-05-09,15.52,15.52,15.52,15.52
2001-05-10,15.25,15.25,15.25,15.25
2001-05-14,15.22,15.22,15.22,15.22
2001-05-15,15.1,15.1,15.1,15.1
2001-05-16,15.075,15.075,15.075,15.075
2001-05-17,14.58,14.58,14.58,14.58
2001-05-18,14.45,14.45,14.45,14.45
2001-05-21,13.25,13.25,13.25,13.25
2001-05-22,13.075,13.075,13.075,13.075
2001-05-24,13.25,13.25,13.25,13.25
2001-05-25,12.95,12.95,12.95,12.95
2001-05-28,13.1,13.1,13.1,13.1
2001-05-29,13.055,13.2,13.055,13.2
2001-05-30,13.25,13.375,13.25,13.375
2001-05-31,13.25,13.375,13.25,13.375
2001-06-04,13.25,13.375,13.25,13.375
2001-06-05,13.25,13.375,13.25,13.375
2001-06-06,13.19,13.19,13.19,13.19
2001-06-07,12.89,12.89,12.89,12.89
2001-06-08,12.69,12.69,12.69,12.69
2001-06-11,13.25,13.375,12.375,12.375
2001-06-12,12.1,12.1,12.1,12.1
2001-06-13,12.15,12.15,12.15,12.15
2001-06-15,12.22,12.22,12.22,12.22
2001-06-18,11.95,11.95,11.95,11.95
2001-06-19,12.05,12.05,12.05,12.05
2001-06-20,12.075,12.075,12.075,12.075
2001-06-22,11.95,12.075,11.95,12.075
2001-06-26,12.68,12.68,12.14,12.14
2001-06-27,12.12,12.12,12.12,12.12
2001-06-28,12.05,12.05,12.05,12.05
2001-06-29,11.95,12.075,11.95,12.075
2001-07-02,11.95,13.625,11.95,12.075
2001-07-03,11.84,11.945,11.84,11.945
2001-07-04,11.945,12.03,11.945,12.03
2001-07-05,12.15,12.41,12.15,12.41
2001-07-10,12.32,12.32,12.32,12.32
2001-07-11,12.4,12.525,12.4,12.525
2001-07-13,12.4,12.525,12.4,12.525
2001-07-18,12.34,12.34,12.34,12.34
2001-07-23,11.95,11.95,11.95,11.95
2001-07-24,11.49,11.49,11.49,11.49
2001-07-25,11.34,11.34,11.34,11.34
2001-07-26,11.5,11.5,11.5,11.5
2001-07-30,11.325,11.325,11.325,11.325
2001-07-31,11.34,11.34,11.19,11.19
2001-08-01,11.06,11.06,11.06,11.06
2001-08-02,10.87,10.87,10.87,10.87
2001-08-06,10.69,10.69,10.69,10.69
2001-08-07,10.79,10.79,10.79,10.79
2001-08-08,10.74,10.74,10.74,10.74
2001-08-09,10.905,10.905,10.905,10.905
2001-08-13,10.8,10.8,10.8,10.8
2001-08-14,10.8,11.1,10.8,11.025
2001-08-15,11.1,11.1,10.78,10.78
2001-08-16,10.7,10.7,10.7,10.7
2001-08-20,10.5,10.5,10.5,10.5
2001-08-21,10.42,10.42,10.42,10.42
2001-08-23,9.95,10.45,9.95,10.45
2001-08-24,10.45,10.45,10.45,10.45
2001-08-27,10.55,10.55,10.55,10.55
2001-08-28,10.75,10.75,10.75,10.75
2001-08-29,10.75,10.75,10.75,10.75
2001-08-30,10.75,10.875,10.75,10.875
2001-08-31,10.75,10.875,10.75,10.875
2001-09-04,10.75,10.875,10.75,10.875
2001-09-06,10.75,10.875,10.75,10.875
2001-09-10,10.46,10.46,10.46,10.46
2001-09-12,10.46,10.46,10.46,10.46
2001-09-13,10.46,10.46,10.46,10.46
2001-09-17,12.78,12.78,12.24,12.24
2001-09-18,12.24,12.24,12.24,12.24
2001-09-19,12.24,12.24,11.36,12.15
2001-09-20,12.15,12.15,12.15,12.15
2001-09-21,12.45,12.45,12.45,12.45
2001-09-25,12.16,12.16,12.16,12.16
2001-09-27,12.6,12.6,12.45,12.45
2001-10-01,12.24,12.24,12.24,12.24
2001-10-02,12.35,12.35,12.35,12.35
2001-10-04,12.35,12.35,12.16,12.16
2001-10-09,12.47,12.47,12.47,12.47
2001-10-10,11.87,11.87,11.87,11.87
2001-10-16,11.725,11.725,11.725,11.725
2001-10-22,10.63,10.63,10.63,10.63
2001-10-23,10.64,10.64,10.64,10.64
2001-10-24,10.64,10.64,10.375,10.375
2001-10-30,10.375,10.375,10.375,10.375
2001-11-09,10.375,10.375,10.31,10.31
2001-11-13,10.23,10.23,10.23,10.23
2001-11-16,10.325,10.325,10.325,10.325
2001-11-22,10.15,10.15,10.15,10.15
2001-11-26,10.25,10.375,10.25,10.375
2001-11-27,10.25,10.375,10.25,10.375
