Date,Last Price
1995-03-20,90.5
1995-03-22,88.465
1995-03-29,88.6
1995-04-05,88.6944
1995-04-12,88.7071
1995-04-19,74.88
1995-04-26,69.595
1995-05-03,62.255
1995-05-10,58.345
1995-05-17,51.59
1995-05-24,53.745
1995-05-31,53.575
1995-06-07,49.025
1995-06-14,47.0
1995-06-21,44.155
1995-06-28,44.185
1995-07-05,45.1
1995-07-12,42.77
1995-07-19,39.945
1995-07-26,37.5112
1995-08-02,37.675
1995-08-09,37.5375
1995-08-16,36.655
1995-08-23,38.614
1995-08-30,36.1005
1995-09-06,35.275
1995-09-13,34.395
1995-09-20,36.15
1995-09-27,41.0868
1995-10-04,42.875
1995-10-10,42.425
1995-10-18,43.955
1995-10-25,47.89
1995-10-31,59.75
1995-11-08,69.7362
1995-11-15,55.365
1995-11-22,53.43
1995-11-29,50.07
1995-12-06,55.535
1995-12-13,50.9701
1995-12-20,48.85
1995-12-27,45.975
1996-01-03,42.9
1996-01-10,43.0651
1996-01-17,38.69
1996-01-23,38.0
1996-01-31,38.05
1996-02-07,40.185
1996-02-14,42.035
1996-02-21,42.2575
1996-02-28,44.3625
1996-03-07,46.25
1996-03-14,43.41
1996-03-20,40.465
1996-03-28,40.1585
1996-03-29,39.08
1996-04-01,39.07
1996-04-02,39.275
1996-04-03,39.125
1996-04-08,39.77
1996-04-09,40.0875
1996-04-10,39.215
1996-04-11,39.16
1996-04-12,38.68
1996-04-15,37.6885
1996-04-16,37.269
1996-04-17,35.78
1996-04-18,35.13
1996-04-19,33.36
1996-04-22,33.8
1996-04-23,34.275
1996-04-24,33.59
1996-04-25,32.5
1996-04-26,32.36
1996-04-29,33.06
1996-04-30,32.475
1996-05-02,32.885
1996-05-03,32.925
1996-05-06,33.865
1996-05-07,32.79
1996-05-08,31.675
1996-05-09,31.85
1996-05-10,30.565
1996-05-13,30.65
1996-05-14,30.545
1996-05-15,29.845
1996-05-16,30.035
1996-05-17,29.78
1996-05-20,29.13
1996-05-21,28.45
1996-05-22,28.45
1996-05-23,28.45
1996-05-24,28.525
1996-05-27,28.26
1996-05-28,28.16
1996-05-29,28.35
1996-05-30,29.15
1996-05-31,29.0
1996-06-03,29.605
1996-06-04,28.65
1996-06-05,28.815
1996-06-06,29.0
1996-06-07,28.74
1996-06-10,30.05
1996-06-11,31.35
1996-06-12,31.115
1996-06-13,32.03
1996-06-14,30.975
1996-06-17,30.7
1996-06-18,29.72
1996-06-19,29.075
1996-06-20,29.09
1996-06-21,29.175
1996-06-24,31.1
1996-06-25,30.575
1996-06-26,31.5
1996-06-27,31.84
1996-06-28,31.32
1996-07-01,32.265
1996-07-02,32.49
1996-07-03,32.735
1996-07-04,31.89
1996-07-05,33.525
1996-07-08,35.75
1996-07-09,35.05
1996-07-10,33.275
1996-07-11,33.85
1996-07-12,34.55
1996-07-15,34.925
1996-07-16,35.75
1996-07-17,35.75
1996-07-18,34.86
1996-07-19,33.875
1996-07-22,33.725
1996-07-23,32.385
1996-07-24,32.17
1996-07-25,32.18
1996-07-26,32.325
1996-07-29,32.835
1996-07-30,32.785
1996-07-31,32.79
1996-08-01,31.825
1996-08-02,31.4
1996-08-05,30.94
1996-08-06,29.88
1996-08-07,29.875
1996-08-08,30.07
1996-08-09,30.1075
1996-08-12,30.35
1996-08-13,30.02
1996-08-14,30.01
1996-08-15,30.33
1996-08-16,29.465
1996-08-19,27.85
1996-08-20,27.85
1996-08-21,27.68
1996-08-22,27.3
1996-08-23,27.15
1996-08-26,27.6
1996-08-27,28.025
1996-08-28,27.3
1996-08-29,28.05
1996-08-30,28.9
1996-09-02,28.635
1996-09-03,28.9
1996-09-04,28.15
1996-09-05,28.015
1996-09-06,26.945
1996-09-09,26.675
1996-09-10,26.41
1996-09-11,26.36
1996-09-12,26.31
1996-09-13,26.1
1996-09-17,25.995
1996-09-18,25.945
1996-09-19,26.2
1996-09-20,26.35
1996-09-23,26.5
1996-09-24,26.1
1996-09-25,26.005
1996-09-26,26.05
1996-09-27,25.9
1996-09-30,26.11
1996-10-01,25.55
1996-10-02,25.775
1996-10-03,25.875
1996-10-04,25.75
1996-10-07,25.3
1996-10-08,25.11
1996-10-09,25.925
1996-10-10,26.075
1996-10-11,26.8
1996-10-14,27.3
1996-10-15,29.125
1996-10-16,30.965
1996-10-17,29.865
1996-10-18,30.38
1996-10-21,30.0
1996-10-22,30.6
1996-10-23,32.305
1996-10-24,31.015
1996-10-25,31.95
1996-10-28,31.55
1996-10-29,32.745
1996-10-30,33.675
1996-10-31,34.2
1996-11-01,32.96
1996-11-04,31.75
1996-11-05,32.165
1996-11-06,31.93
1996-11-07,32.6
1996-11-08,32.635
1996-11-11,32.465
1996-11-12,32.415
1996-11-13,32.76
1996-11-14,32.545
1996-11-15,32.35
1996-11-18,32.34
1996-11-19,31.925
1996-11-21,32.0
1996-11-22,32.035
1996-11-25,32.5
1996-11-26,32.315
1996-11-27,31.08
1996-11-28,30.71
1996-11-29,30.58
1996-12-02,30.05
1996-12-03,29.15
1996-12-04,28.75
1996-12-05,29.25
1996-12-06,30.225
1996-12-09,30.26
1996-12-10,29.85
1996-12-11,30.6
1996-12-13,30.785
1996-12-16,31.0
1996-12-17,30.93
1996-12-18,30.165
1996-12-19,30.09
1996-12-20,30.25
1996-12-23,30.35
1996-12-24,29.835
1996-12-26,29.1
1996-12-27,28.525
1996-12-30,28.64
1996-12-31,27.65
1997-01-02,28.36
1997-01-03,27.81
1997-01-06,27.2
1997-01-07,26.5
1997-01-08,25.77
1997-01-09,26.025
1997-01-10,26.25
1997-01-13,26.25
1997-01-14,25.865
1997-01-15,25.885
1997-01-16,25.65
1997-01-17,25.91
1997-01-20,25.87
1997-01-21,25.775
1997-01-22,25.3
1997-01-23,24.81
1997-01-24,24.95
1997-01-27,25.165
1997-01-28,24.62
1997-01-29,24.8
1997-01-30,24.7
1997-01-31,24.325
1997-02-03,23.975
1997-02-04,23.54
1997-02-06,23.3
1997-02-07,23.355
1997-02-10,22.97
1997-02-11,22.64
1997-02-12,22.975
1997-02-13,22.58
1997-02-14,21.725
1997-02-17,20.975
1997-02-18,21.175
1997-02-19,21.3
1997-02-20,20.76
1997-02-21,20.68
1997-02-24,20.0
1997-02-25,20.005
1997-02-26,21.15
1997-02-27,22.59
1997-02-28,23.02
1997-03-03,23.8
1997-03-04,23.99
1997-03-05,24.55
1997-03-06,24.0
1997-03-07,23.985
1997-03-10,24.09
1997-03-11,24.825
1997-03-12,25.49
1997-03-13,25.45
1997-03-14,24.535
1997-03-17,24.635
1997-03-18,23.925
1997-03-19,23.59
1997-03-20,23.345
1997-03-24,22.845
1997-03-25,22.5
1997-03-26,22.54
1997-03-31,23.245
1997-04-01,23.52
1997-04-02,25.215
1997-04-03,25.56
1997-04-04,25.425
1997-04-07,25.03
1997-04-08,24.9
1997-04-09,25.225
1997-04-10,25.155
1997-04-11,25.0
1997-04-14,25.475
1997-04-15,25.5
1997-04-16,25.83
1997-04-17,26.04
1997-04-18,23.9
1997-04-21,22.9
1997-04-22,22.275
1997-04-23,21.425
1997-04-24,21.4175
