Date,Open,High,Low,Close
2007-04-02,5.549,5.549,5.549,5.549
2007-04-03,5.534,5.534,5.534,5.534
2007-04-04,5.29,5.29,5.29,5.29
2007-04-05,5.247,5.247,5.247,5.247
2007-04-06,5.227,5.227,5.227,5.227
2007-04-09,4.972,4.972,4.972,4.972
2007-04-10,4.878,4.878,4.878,4.878
2007-04-11,4.777,4.777,4.777,4.777
2007-04-12,4.733,4.733,4.733,4.733
2007-04-13,4.765,4.765,4.765,4.765
2007-04-16,4.828,4.828,4.828,4.828
2007-04-17,4.904,4.904,4.904,4.904
2007-04-18,4.902,4.902,4.902,4.902
2007-04-19,4.858,4.858,4.858,4.858
2007-04-20,4.548,4.548,4.548,4.548
2007-04-23,4.492,4.492,4.492,4.492
2007-04-24,4.304,4.304,4.304,4.304
2007-04-25,4.359,4.359,4.359,4.359
2007-04-26,4.349,4.349,4.349,4.349
2007-04-27,4.291,4.291,4.291,4.291
2007-04-30,4.282,4.282,4.282,4.282
2007-05-01,4.286,4.286,4.286,4.286
2007-05-02,4.152,4.152,4.152,4.152
2007-05-03,4.143,4.143,4.143,4.143
2007-05-04,4.192,4.192,4.192,4.192
2007-05-07,4.191,4.191,4.191,4.191
2007-05-08,4.234,4.234,4.234,4.234
2007-05-09,4.178,4.178,4.178,4.178
2007-05-10,4.256,4.256,4.256,4.256
2007-05-11,4.245,4.245,4.245,4.245
2007-05-14,4.18,4.18,4.18,4.18
2007-05-15,4.078,4.078,4.078,4.078
2007-05-16,3.965,3.965,3.965,3.965
2007-05-17,4.026,4.026,4.026,4.026
2007-05-18,3.956,3.956,3.956,3.956
2007-05-21,3.93,3.93,3.93,3.93
2007-05-22,3.992,3.992,3.992,3.992
2007-05-23,4.001,4.001,4.001,4.001
2007-05-24,4.017,4.017,4.017,4.017
2007-05-25,4.127,4.127,4.127,4.127
2007-05-28,4.028,4.028,4.028,4.028
2007-05-29,3.979,3.979,3.979,3.979
2007-05-30,4.152,4.152,4.152,4.152
2007-05-31,4.221,4.221,4.221,4.221
2007-06-01,4.318,4.318,4.318,4.318
