Date,Open,High,Low,Close
1998-08-20,8.5,8.5,8.5,8.5
1998-11-18,13.5,13.5,13.5,13.5
1999-02-09,15.5,15.5,15.5,15.5
1999-02-19,11.5,11.5,11.5,11.5
1999-02-23,14.0,14.0,14.0,14.0
1999-03-17,11.0,11.0,11.0,11.0
1999-04-05,10.0,10.0,10.0,10.0
1999-04-21,9.0,9.0,9.0,9.0
1999-06-01,15.5,15.5,15.5,15.5
1999-06-04,14.5,14.5,14.5,14.5
1999-08-23,13.5,13.5,12.75,12.75
1999-10-21,14.0,14.0,14.0,14.0
1999-12-23,7.0,7.8,7.0,7.8
1999-12-27,7.5,8.0,7.5,8.0
1999-12-28,8.5,10.3,8.5,9.0
1999-12-29,9.0,9.5,9.0,9.5
2000-01-03,8.5,8.8,8.5,8.8
2000-01-04,9.0,10.0,9.0,10.0
2000-01-05,9.8,11.0,9.8,10.5
2000-01-07,11.5,11.5,10.5,10.7
2000-01-10,10.3,10.5,10.0,10.3
2000-01-11,10.5,10.7,10.3,10.3
2000-01-12,10.5,11.7,10.5,11.7
2000-01-13,11.5,11.5,10.7,10.7
2000-01-14,10.3,10.3,9.8,10.0
2000-01-17,9.5,9.5,9.5,9.5
2000-01-18,10.0,10.0,9.0,9.0
2000-01-19,8.8,9.4,8.8,9.1
2000-01-21,9.0,9.0,9.0,9.0
2000-01-24,8.8,10.0,8.8,10.0
2000-01-25,10.3,10.5,9.5,10.3
2000-01-26,10.0,10.0,9.5,9.5
2000-01-27,9.0,10.0,9.0,10.0
2000-01-28,10.0,11.5,10.0,11.5
2000-02-01,10.7,10.7,10.5,10.7
2000-02-02,10.5,10.5,9.3,9.3
2000-02-03,9.0,9.0,8.8,8.8
2000-02-04,8.5,8.5,8.5,8.5
2000-02-07,8.3,8.3,8.3,8.3
2000-02-14,8.25,8.25,8.25,8.25
2000-02-15,7.8,8.3,7.8,7.8
2000-02-16,7.5,8.075,7.5,8.075
2000-02-17,8.0,8.1,7.8,7.8
2000-02-18,7.75,8.0,7.75,8.0
2000-02-22,8.25,8.25,8.25,8.25
2000-02-23,8.5,8.5,8.0,8.0
2000-02-24,7.8,8.8,7.8,8.0
2000-02-25,8.5,8.5,7.8,7.8
2000-02-28,8.0,8.0,7.75,7.75
2000-02-29,7.75,7.75,7.75,7.75
2000-03-01,8.05,8.05,8.05,8.05
2000-03-02,8.05,8.4,8.05,8.4
2000-03-03,7.0,7.75,7.0,7.0
2000-03-06,7.3,8.5,7.3,7.875
2000-03-07,7.6,7.6,7.3,7.5
2000-03-08,7.3,8.15,7.3,8.0
2000-03-09,7.5,7.5,7.3,7.375
2000-03-10,7.3,8.0,7.3,8.0
2000-03-13,8.3,8.3,8.3,8.3
2000-03-14,8.0,8.5,8.0,8.5
2000-03-15,8.8,9.0,8.775,8.8
2000-03-16,8.5,8.5,8.3,8.4
2000-03-17,8.5,8.5,8.3,8.3
2000-03-20,8.0,8.1,7.7,8.0
2000-03-21,7.8,7.9,7.5,7.6
2000-03-22,7.8,7.8,7.15,7.5
2000-03-23,7.6,7.6,7.15,7.5
2000-03-24,7.3,8.0,7.3,8.0
2000-03-27,8.1,8.1,8.1,8.1
2000-03-28,7.9,8.5,7.9,8.5
2000-03-29,8.8,8.8,8.8,8.8
2000-03-30,8.5,10.5,8.5,9.8
2000-03-31,9.6,10.0,9.5,9.5
2000-04-03,9.5,10.0,9.5,10.0
2000-04-04,11.2,11.5,11.2,11.5
2000-04-05,11.5,11.75,11.1,11.1
2000-04-06,11.2,11.2,11.2,11.2
2000-04-07,9.5,10.25,9.5,10.25
2000-04-10,9.25,9.3,9.25,9.3
2000-04-11,9.25,12.0,9.25,10.5
2000-04-12,9.25,11.2,9.25,11.0
2000-04-13,11.2,11.2,10.75,10.75
2000-04-14,10.75,12.0,10.75,12.0
2000-04-17,10.75,10.75,10.75,10.75
2000-04-18,10.75,10.75,10.75,10.75
2000-04-19,10.75,10.75,10.0,10.7
2000-04-20,10.7,10.7,10.0,10.3
2000-04-25,10.75,10.75,10.75,10.75
2000-04-26,10.75,10.75,10.75,10.75
2000-04-27,10.75,10.75,10.75,10.75
2000-04-28,10.75,10.75,10.75,10.75
2000-05-01,10.0,10.0,10.0,10.0
2000-05-02,10.75,10.75,10.75,10.75
2000-05-03,10.75,11.1,10.3,11.0
2000-05-04,10.75,11.2,10.7,11.2
2000-05-05,12.0,12.0,12.0,12.0
2000-05-08,10.75,12.0,10.75,12.0
2000-05-09,11.0,11.0,11.0,11.0
2000-05-10,12.05,12.5,12.05,12.5
2000-05-11,12.05,12.275,12.05,12.2
2000-05-12,12.5,12.5,11.5,11.5
2000-05-16,11.5,11.5,11.2,11.2
2000-05-17,10.75,10.75,10.75,10.75
2000-05-18,10.5,10.5,10.5,10.5
2000-05-19,10.75,10.75,10.75,10.75
2000-05-23,10.75,10.75,10.75,10.75
2000-05-24,10.75,10.75,10.75,10.75
2000-05-25,10.75,10.75,10.75,10.75
2000-05-26,10.75,10.75,10.75,10.75
2000-05-29,10.75,10.75,10.75,10.75
2000-05-30,9.45,9.45,9.45,9.45
2000-05-31,9.75,9.75,9.75,9.75
2000-06-01,9.75,9.75,9.75,9.75
2000-06-02,9.75,9.75,9.75,9.75
2000-06-05,9.75,9.75,9.75,9.75
2000-06-06,10.75,10.75,10.75,10.75
2000-06-08,14.5,14.5,14.5,14.5
2000-06-09,15.0,15.0,15.0,15.0
2000-06-12,14.0,14.0,14.0,14.0
2000-06-14,14.0,14.0,14.0,14.0
2000-06-15,12.5,12.5,12.5,12.5
2000-06-16,12.75,12.75,12.75,12.75
2000-06-19,13.5,13.5,13.5,13.5
2000-06-20,13.5,13.5,13.5,13.5
2000-06-21,13.975,13.975,13.5,13.5
2000-06-22,14.05,14.125,13.875,14.0
2000-06-23,15.25,15.75,14.65,14.65
2000-06-26,16.25,16.25,15.0,15.0
2000-06-27,16.0,17.0,14.75,14.75
2000-06-28,16.25,16.25,14.875,15.0
2000-06-29,15.25,15.25,14.5,14.5
2000-06-30,14.5,14.5,14.5,14.5
2000-07-03,14.0,14.5,12.0,12.25
2000-07-04,15.75,15.75,15.75,15.75
2000-07-05,13.0,13.0,11.5,11.5
2000-07-06,11.5,11.5,11.5,11.5
2000-07-07,11.0,11.0,11.0,11.0
2000-07-10,10.25,10.25,9.75,9.75
2000-07-11,9.5,9.5,9.125,9.125
2000-07-12,9.25,9.375,9.25,9.25
2000-07-13,9.25,9.25,9.25,9.25
2000-07-14,9.25,9.375,9.25,9.375
2000-07-17,8.25,8.625,8.25,8.25
2000-07-18,8.25,8.5,8.25,8.5
2000-07-19,8.75,9.0,8.25,8.25
2000-07-20,9.25,9.25,8.25,8.25
2000-07-21,8.25,9.375,8.25,9.375
2000-07-24,11.0,11.0,11.0,11.0
2000-07-25,9.0,9.0,9.0,9.0
2000-07-26,9.05,9.05,9.05,9.05
2000-07-27,9.3,9.3,8.5,8.5
2000-07-28,8.5,8.5,8.5,8.5
2000-07-31,8.5,8.5,8.5,8.5
2000-08-01,8.5,8.5,8.5,8.5
2000-08-02,8.5,8.5,8.5,8.5
2000-08-03,8.5,8.5,8.5,8.5
2000-08-04,8.0,8.0,8.0,8.0
2000-08-07,8.5,8.5,8.25,8.25
2000-08-08,8.5,8.5,8.5,8.5
2000-08-10,8.175,8.175,8.0,8.0
2000-08-11,7.825,7.825,7.75,7.75
2000-08-14,7.625,8.0,7.4,8.0
2000-08-15,8.0,8.0,7.45,7.45
2000-08-16,8.0,8.0,7.0,7.0
2000-08-17,6.75,7.25,6.75,7.25
2000-08-18,8.0,8.0,8.0,8.0
2000-08-21,8.0,8.0,8.0,8.0
2000-08-22,8.75,8.75,8.75,8.75
2000-08-23,8.7,9.25,8.7,9.25
2000-08-24,8.7,8.875,8.5,8.5
2000-08-25,8.7,8.7,8.4,8.4
2000-08-28,8.075,8.075,8.075,8.075
2000-08-29,8.25,8.25,8.1,8.1
2000-08-30,8.375,8.375,8.375,8.375
2000-08-31,8.125,8.125,8.125,8.125
2000-09-01,8.0,8.0,8.0,8.0
2000-09-05,8.1,8.25,8.0,8.25
2000-09-06,8.0,8.0,8.0,8.0
2000-09-07,9.0,9.0,9.0,9.0
2000-09-08,8.575,8.575,8.575,8.575
2000-09-11,8.75,8.975,8.75,8.975
2000-09-12,8.55,8.875,8.55,8.75
2000-09-13,8.55,8.55,8.55,8.55
2000-09-14,8.55,8.975,8.55,8.975
2000-09-15,8.775,8.775,8.575,8.575
2000-09-18,9.3,10.0,9.3,10.0
2000-09-19,10.0,10.0,10.0,10.0
2000-09-20,10.25,10.25,10.25,10.25
2000-09-21,10.25,10.25,10.25,10.25
2000-09-22,10.5,10.5,10.5,10.5
2000-09-25,10.25,10.5,10.25,10.5
2000-09-26,9.6,9.6,9.6,9.6
2000-09-27,9.8,9.8,9.5,9.5
2000-09-28,9.8,9.8,9.5,9.75
2000-10-02,9.3,9.9,8.9,8.9
2000-10-03,8.95,8.95,8.9,8.95
2000-10-04,9.25,9.25,8.95,9.0
2000-10-05,9.05,9.05,9.05,9.05
2000-10-06,9.05,9.05,9.05,9.05
2000-10-10,9.5,9.5,9.5,9.5
2000-10-12,10.25,10.25,10.25,10.25
2000-10-16,8.5,11.0,8.5,10.5
2000-10-17,10.125,10.125,10.125,10.125
2000-10-18,11.125,11.125,11.125,11.125
2000-10-19,11.125,11.125,10.25,10.25
2000-10-23,10.125,10.25,10.125,10.25
2000-10-24,10.25,10.25,10.25,10.25
2000-10-25,11.0,11.0,11.0,11.0
2000-10-26,11.5,11.5,11.5,11.5
2000-10-30,10.375,10.375,10.25,10.25
2000-10-31,9.875,9.875,9.5,9.5
2000-11-06,9.875,10.375,9.875,10.375
2000-11-07,11.25,11.25,10.5,10.5
2000-11-08,9.375,9.375,9.375,9.375
2000-11-09,10.75,10.75,10.75,10.75
2000-11-10,10.75,10.75,10.5,10.5
2000-11-13,9.45,9.45,9.45,9.45
2000-11-14,8.875,9.875,8.875,9.0
2000-11-15,8.6,8.75,8.6,8.75
2000-11-16,8.75,8.75,8.75,8.75
2000-11-17,8.925,8.925,8.925,8.925
2000-11-21,10.125,10.125,10.125,10.125
2000-11-23,8.05,8.05,8.05,8.05
2000-11-24,8.05,8.25,8.0,8.0
2000-11-27,8.05,8.275,8.05,8.275
2000-11-28,8.925,8.925,8.925,8.925
2000-11-29,8.75,8.75,8.75,8.75
2000-11-30,8.625,8.625,8.625,8.625
2000-12-04,9.0,9.0,8.05,8.3
2000-12-05,8.25,8.25,8.25,8.25
2000-12-06,8.3,8.625,8.25,8.25
2000-12-07,8.45,8.45,8.45,8.45
2000-12-08,7.875,7.875,7.875,7.875
2000-12-20,7.875,8.05,7.875,8.05
2000-12-21,7.875,7.875,7.875,7.875
2000-12-26,7.875,7.875,7.875,7.875
2000-12-27,9.25,9.25,9.25,9.25
2000-12-29,8.5,8.5,8.5,8.5
2001-01-02,7.875,7.875,7.875,7.875
2001-01-03,8.25,8.25,8.25,8.25
2001-01-08,7.875,10.5,7.875,10.5
2001-01-17,9.5,10.25,9.5,10.25
2001-01-18,10.0,10.0,10.0,10.0
2001-01-22,9.95,9.95,9.75,9.75
2001-01-23,9.625,9.625,9.5,9.5
2001-01-30,7.5,8.75,7.5,8.75
2001-02-01,8.25,8.55,8.25,8.5
2001-02-22,8.5,8.5,8.5,8.5
2001-03-09,8.375,8.375,8.125,8.125
2001-04-24,8.75,8.75,8.75,8.75
2001-04-25,11.0,11.25,11.0,11.25
2001-05-02,10.25,10.25,10.0,10.0
2001-05-11,9.25,9.25,9.25,9.25
2001-05-24,8.5,8.5,8.5,8.5
2001-06-13,8.625,8.75,8.625,8.75
2001-08-14,9.825,9.825,9.825,9.825
2001-08-24,10.325,10.325,10.325,10.325
2001-10-10,9.5,9.5,9.5,9.5
2001-10-29,8.5,8.5,8.5,8.5
2001-11-15,7.5,7.5,7.0,7.0
2001-11-19,6.875,6.875,6.625,6.625
2001-11-20,6.875,7.0,6.875,7.0
2001-11-28,7.275,7.65,7.275,7.5
2001-11-29,7.5,8.25,7.5,8.25
2001-11-30,8.5,8.5,7.5,7.5
2001-12-03,8.25,8.25,7.0,7.0
2001-12-04,7.0,7.125,7.0,7.125
2001-12-05,7.0,7.0,7.0,7.0
2001-12-07,7.0,7.5,7.0,7.2
2001-12-12,7.125,7.125,7.125,7.125
2001-12-17,6.75,7.0,6.75,7.0
