Date,Last Price
2010-03-23,7.8103
2010-03-24,7.7978
2010-03-25,7.7712
2010-03-26,7.7858
2010-03-29,7.7878
2010-03-30,7.7748
2010-03-31,7.7874
2010-04-01,7.759
2010-04-02,7.7475
2010-04-05,7.687
2010-04-06,7.653
2010-04-07,7.5646
2010-04-08,7.5695
2010-04-09,7.5521
2010-04-12,7.4261
2010-04-13,7.4203
2010-04-14,7.3551
2010-04-15,7.4022
2010-04-16,7.4148
2010-04-19,7.4402
2010-04-20,7.4589
2010-04-21,7.4423
2010-04-22,7.4521
2010-04-23,7.4631
2010-04-26,7.4532
2010-04-27,7.4872
2010-04-28,7.6037
2010-04-29,7.7
2010-04-30,7.6934
2010-05-04,7.6988
2010-05-05,7.697
2010-05-06,7.7385
2010-05-07,7.7347
2010-05-11,7.7372
2010-05-12,7.829
2010-05-13,7.8184
2010-05-14,7.8128
2010-05-17,7.7935
2010-05-18,7.7674
2010-05-19,7.8401
2010-05-20,7.9441
2010-05-21,7.9323
2010-05-24,7.9254
2010-05-25,7.9063
2010-05-26,7.9281
2010-05-27,7.8962
2010-05-28,7.8919
2010-05-31,7.8894
2010-06-01,7.882
2010-06-02,7.8387
2010-06-03,7.8231
2010-06-04,7.8071
2010-06-07,7.8019
2010-06-08,7.8169
2010-06-09,7.8312
2010-06-10,7.7279
2010-06-11,7.7252
2010-06-15,7.7165
2010-06-16,7.7018
2010-06-17,7.6546
2010-06-18,7.6475
2010-06-21,7.6165
2010-06-22,7.6153
2010-06-23,7.6203
2010-06-24,7.6256
2010-06-25,7.6241
2010-06-28,7.6146
2010-06-29,7.6177
2010-06-30,7.6218
2010-07-01,7.616
2010-07-02,7.6287
2010-07-05,7.6293
2010-07-06,7.6004
2010-07-07,7.5902
2010-07-08,7.5843
2010-07-09,7.5851
2010-07-12,7.5982
2010-07-13,7.5671
2010-07-14,7.5659
2010-07-15,7.5658
2010-07-16,7.5904
2010-07-19,7.598
2010-07-20,7.6066
2010-07-21,7.6413
2010-07-22,7.6173
2010-07-23,7.6143
2010-07-26,7.5492
2010-07-27,7.5504
2010-07-28,7.5531
2010-07-29,7.5784
2010-07-30,7.5788
2010-08-02,7.5809
2010-08-03,7.6436
2010-08-04,7.6327
2010-08-05,7.6771
2010-08-06,7.7043
2010-08-09,7.7048
2010-08-10,7.7168
2010-08-11,7.6875
2010-08-12,7.6872
2010-08-13,7.6782
2010-08-16,7.6912
2010-08-17,7.7202
2010-08-18,7.6899
2010-08-19,7.6993
2010-08-20,7.6758
2010-08-23,7.6845
2010-08-24,7.7018
2010-08-25,7.7392
2010-08-26,7.7297
2010-08-27,7.7329
2010-08-30,7.7322
2010-08-31,7.7249
2010-09-01,7.7329
2010-09-02,7.7202
2010-09-03,7.7125
2010-09-06,7.7199
2010-09-07,7.6911
2010-09-08,7.681
2010-09-09,7.6804
2010-09-10,7.6777
2010-09-13,7.6894
2010-09-14,7.6964
2010-09-15,7.6532
2010-09-16,7.6761
2010-09-17,7.669
2010-09-20,7.6965
2010-09-21,7.7245
2010-09-22,7.7019
2010-09-23,7.6999
2010-09-24,7.6963
2010-09-27,7.7158
2010-09-28,7.7238
2010-09-29,7.7256
2010-09-30,7.722
2010-10-01,7.7208
2010-10-04,7.7212
2010-10-05,7.7367
2010-10-06,7.7336
2010-10-07,7.7247
2010-10-08,7.7249
2010-10-11,7.7211
2010-10-12,7.7135
2010-10-13,7.7213
2010-10-14,7.722
2010-10-15,7.7152
2010-10-18,7.6971
2010-10-19,7.6969
2010-10-20,7.6949
2010-10-21,7.698
2010-10-22,7.6941
2010-10-25,7.697
2010-10-26,7.6777
2010-10-27,7.6872
2010-10-28,7.6919
2010-10-29,7.6924
2010-11-01,7.7181
2010-11-02,7.7379
2010-11-08,7.7437
2010-11-09,7.755
2010-11-10,7.7519
2010-11-11,7.7507
2010-11-12,7.73
2010-11-15,7.7521
2010-11-16,7.7576
2010-11-17,7.7578
2010-11-18,7.7613
2010-11-19,7.7764
2010-11-22,7.7849
2010-11-23,7.8104
2010-11-24,7.824
2010-11-25,7.8372
2010-11-26,7.806
2010-11-29,7.7921
2010-11-30,7.8043
2010-12-01,7.829
2010-12-02,7.8026
2010-12-03,7.8036
2010-12-06,7.8063
2010-12-07,7.8207
2010-12-08,7.8715
2010-12-09,7.8709
2010-12-10,8.189
2010-12-13,8.3149
2010-12-14,8.5475
2010-12-15,8.4341
2010-12-16,8.271
2010-12-17,8.4184
2010-12-20,8.4097
2010-12-21,8.4335
2010-12-22,8.4544
2010-12-23,8.4809
2010-12-24,8.431
2010-12-27,8.4104
2010-12-28,8.2817
2010-12-29,8.3597
2010-12-30,8.2324
2011-01-11,8.2651
2011-01-12,8.3898
2011-01-13,8.3201
2011-01-14,8.4375
2011-01-17,8.4164
2011-01-18,8.4235
2011-01-19,8.3322
2011-01-20,8.3387
2011-01-21,8.4762
2011-01-24,8.475
2011-01-25,8.3991
2011-01-26,8.4474
2011-01-27,8.4596
2011-01-28,8.4886
2011-01-31,8.3716
2011-02-01,8.3774
2011-02-02,8.4273
2011-02-03,8.3828
2011-02-04,8.4144
2011-02-07,8.403
2011-02-08,8.3928
2011-02-09,8.3918
2011-02-10,8.4023
2011-02-11,8.3066
2011-02-14,8.2061
2011-02-15,8.2899
2011-02-16,8.332
2011-02-17,8.2517
2011-02-18,8.2971
2011-02-21,8.2856
2011-02-22,8.3126
2011-02-24,8.3188
2011-02-25,8.3048
2011-02-28,8.2811
2011-03-01,8.2964
2011-03-02,8.3028
2011-03-03,8.3008
2011-03-04,8.2524
2011-03-07,8.2894
2011-03-09,8.2061
2011-03-10,8.2829
2011-03-11,8.319
2011-03-14,8.2606
2011-03-15,8.3272
2011-03-16,8.3141
2011-03-17,8.3025
2011-03-18,8.2995
2011-03-21,8.3063
2011-03-22,8.292
2011-03-23,8.2834
2011-03-24,8.2578
2011-03-25,8.2766
2011-03-28,8.2784
2011-03-29,8.2872
2011-03-30,8.266
2011-03-31,8.2337
2011-04-01,8.2061
2011-04-04,8.1705
2011-04-05,8.1384
2011-04-06,8.0987
2011-04-07,8.0813
2011-04-08,8.0738
2011-04-11,8.0633
