Date,Open,High,Low,Close
2000-10-12,900.0,903.75,896.25,900.0
2000-10-20,887.5,891.25,883.75,887.5
2000-10-23,1000.0,1003.75,996.25,1000.0
2000-10-24,962.5,966.25,958.75,962.5
2000-10-25,962.5,966.25,958.75,962.5
2000-10-26,970.0,973.75,966.25,970.0
2000-10-27,962.5,966.25,958.75,962.5
2000-10-30,950.0,953.75,946.25,950.0
2000-10-31,902.5,906.25,898.75,902.5
2000-11-01,894.0,897.75,890.25,894.0
2000-11-02,890.0,893.75,886.25,890.0
2000-11-03,883.75,887.5,880.0,883.75
2000-11-06,883.75,887.5,880.0,883.75
2000-11-07,902.5,906.25,898.75,902.5
2000-11-08,921.25,925.0,917.5,921.25
2000-11-09,1015.0,1018.75,1011.25,1015.0
2000-11-10,998.75,1002.5,995.0,998.75
2000-11-13,1005.0,1008.75,1001.25,1005.0
2000-11-14,1005.0,1008.75,1001.25,1005.0
2000-11-15,950.0,953.75,946.25,950.0
2000-11-16,945.0,948.75,941.25,945.0
2000-11-17,950.0,953.75,946.25,950.0
2000-11-20,950.0,953.75,946.25,950.0
2000-11-21,950.0,953.75,946.25,950.0
2000-11-22,955.0,958.75,951.25,955.0
2000-11-24,955.0,958.75,951.25,955.0
2000-11-27,955.0,958.75,951.25,955.0
2000-11-28,955.0,958.75,951.25,955.0
2000-11-29,955.0,958.75,951.25,955.0
2000-11-30,1017.5,1021.25,1013.75,1017.5
2000-12-01,1017.5,1021.25,1013.75,1017.5
2000-12-04,1017.5,1021.25,1013.75,1017.5
2000-12-05,1017.5,1021.25,1013.75,1017.5
2000-12-06,1002.5,1006.25,998.75,1002.5
2000-12-07,1007.5,1011.25,1003.75,1007.5
2000-12-08,1007.5,1011.25,1003.75,1007.5
2000-12-11,1002.5,1006.25,998.75,1002.5
2000-12-12,1002.5,1006.25,998.75,1002.5
2000-12-13,1022.5,1026.25,1018.75,1022.5
2000-12-14,1025.0,1028.75,1021.25,1025.0
2000-12-15,1025.0,1028.75,1021.25,1025.0
2000-12-18,1025.0,1028.75,1021.25,1025.0
2000-12-19,1025.0,1028.75,1021.25,1025.0
2000-12-20,1025.0,1028.75,1021.25,1025.0
2000-12-21,1015.0,1018.75,1011.25,1015.0
2000-12-22,1015.0,1018.75,1011.25,1015.0
2000-12-26,1015.0,1018.75,1011.25,1015.0
2000-12-27,1015.0,1018.75,1011.25,1015.0
2000-12-28,1015.0,1018.75,1011.25,1015.0
2000-12-29,1015.0,1018.75,1011.25,1015.0
2001-01-02,1050.0,1053.75,1046.25,1050.0
2001-01-03,1050.0,1053.75,1046.25,1050.0
2001-01-04,1040.0,1043.75,1036.25,1040.0
2001-01-05,1015.0,1018.75,1011.25,1015.0
2001-01-08,1025.0,1028.75,1021.25,1025.0
2001-01-09,1025.0,1028.75,1021.25,1025.0
2001-01-10,1020.0,1023.75,1016.25,1020.0
2001-01-11,1020.0,1023.75,1016.25,1020.0
2001-01-12,1022.5,1026.25,1018.75,1022.5
2001-01-16,1000.0,1003.75,996.25,1000.0
2001-01-17,965.0,968.75,961.25,965.0
2001-01-18,955.0,958.75,951.25,955.0
2001-01-19,955.0,958.75,951.25,955.0
2001-01-22,955.0,958.75,951.25,955.0
2001-01-23,955.0,958.75,951.25,955.0
2001-01-24,945.0,948.75,941.25,945.0
2001-01-25,945.0,948.75,941.25,945.0
2001-01-26,940.0,943.75,936.25,940.0
2001-01-29,930.0,933.75,926.25,930.0
2001-01-30,925.0,928.75,921.25,925.0
2001-01-31,915.0,918.75,911.25,915.0
2001-02-01,915.0,918.75,911.25,915.0
2001-02-02,915.0,918.75,911.25,915.0
2001-02-05,877.5,881.25,873.75,877.5
2001-02-06,877.5,881.25,873.75,877.5
2001-02-07,877.5,881.25,873.75,877.5
2001-02-08,877.5,881.25,873.75,877.5
2001-02-09,872.5,876.25,868.75,872.5
2001-02-12,865.042,868.792,861.292,865.042
2001-02-13,890.0,893.75,886.25,890.0
2001-02-14,882.5,886.25,878.75,882.5
2001-02-15,880.0,883.75,876.25,880.0
2001-02-16,880.0,883.75,876.25,880.0
2001-02-20,900.0,903.75,896.25,900.0
2001-02-21,917.461,921.211,913.711,917.461
2001-02-22,917.461,921.211,913.711,917.461
2001-02-23,917.461,921.211,913.711,917.461
2001-02-26,910.461,914.211,906.711,910.461
2001-02-27,910.461,914.211,906.711,910.461
2001-02-28,907.961,911.711,904.211,907.961
2001-03-01,907.961,911.711,904.211,907.961
2001-03-02,897.961,901.711,894.211,897.961
2001-03-05,887.036,890.786,883.286,887.036
2001-03-06,887.036,890.786,883.286,887.036
2001-03-07,887.036,890.786,883.286,887.036
2001-03-08,887.036,890.786,883.286,887.036
2001-03-09,890.0,893.75,886.25,890.0
2001-03-12,880.0,883.75,876.25,880.0
2001-03-13,877.5,881.25,873.75,877.5
2001-03-14,885.0,888.75,881.25,885.0
2001-03-15,882.5,886.25,878.75,882.5
2001-03-16,918.5,922.25,914.75,918.5
2001-03-19,928.874,932.624,925.124,928.874
2001-03-20,933.874,937.624,930.124,933.874
2001-03-21,935.413,939.163,931.663,935.413
2001-03-22,949.875,953.625,946.125,949.875
2001-03-23,969.875,973.625,966.125,969.875
2001-03-26,944.875,948.625,941.125,944.875
2001-03-27,937.375,941.125,933.625,937.375
2001-03-28,939.875,943.625,936.125,939.875
2001-03-29,957.5,961.25,953.75,957.5
2001-03-30,945.156,948.906,941.406,945.156
2001-04-02,945.156,948.906,941.406,945.156
2001-04-03,947.656,951.406,943.906,947.656
2001-04-04,947.5,951.25,943.75,947.5
2001-04-05,945.0,948.75,941.25,945.0
2001-04-06,955.0,958.75,951.25,955.0
2001-04-09,955.0,958.75,951.25,955.0
2001-04-10,962.5,966.25,958.75,962.5
2001-04-11,947.5,951.25,943.75,947.5
2001-04-12,950.0,953.75,946.25,950.0
2001-04-17,950.0,953.75,946.25,950.0
2001-04-18,930.0,933.75,926.25,930.0
2001-04-19,930.0,933.75,926.25,930.0
2001-04-20,942.5,946.25,938.75,942.5
2001-04-23,962.5,966.25,958.75,962.5
2001-04-24,952.5,956.25,948.75,952.5
2001-04-25,955.0,958.75,951.25,955.0
