Date,Open,High,Low,Close
2021-03-26,76.192,76.3233,75.6019,75.6514
2021-03-25,76.594,76.7209,75.7419,76.2236
2021-03-24,76.4023,76.9661,75.7012,76.573
2021-03-23,74.7666,76.4276,74.7534,76.4147
2021-03-22,74.4991,75.0903,74.2154,74.7615
2021-03-19,74.2861,74.4675,73.741,74.0953
2021-03-18,73.6692,74.4053,73.4362,74.2683
2021-03-17,72.7783,74.2193,72.6881,73.6673
2021-03-16,72.8274,73.062,72.5378,72.8027
2021-03-15,73.3782,73.5031,72.7468,72.8282
2021-03-12,73.3496,73.7358,73.228,73.2652
2021-03-11,73.5985,73.8693,73.1831,73.3822
2021-03-10,74.046,74.405,73.5667,73.6315
2021-03-09,74.5836,74.6332,73.7798,74.0585
2021-03-08,74.2826,74.8754,73.8095,74.4516
2021-03-05,74.6211,74.7825,74.1055,74.3401
2021-03-04,73.8718,74.9615,73.3471,74.6091
2021-03-03,73.8107,74.1848,73.4001,73.9453
2021-03-02,74.2697,74.7327,73.6041,73.7883
2021-03-01,74.475,74.9034,73.9012,74.2657
2021-02-26,74.6803,74.9277,74.2544,74.5656
2021-02-25,73.4985,74.8555,73.3607,74.7434
2021-02-24,74.0146,74.267,73.4069,73.4921
2021-02-23,74.3257,74.3468,73.7141,74.026
2021-02-22,73.7415,75.0692,73.6776,74.3478
2021-02-19,73.8582,74.2051,73.8005,74.0488
2021-02-18,73.7532,74.1689,73.5154,73.87
2021-02-17,73.6028,74.1951,73.4812,73.7293
2021-02-16,73.3255,73.9109,73.1483,73.6207
2021-02-15,73.6693,73.7882,73.1495,73.2582
2021-02-12,73.6763,74.4673,73.5184,73.6422
2021-02-11,73.9138,73.9977,73.531,73.6882
2021-02-10,73.9263,74.0552,73.6208,73.8733
2021-02-09,74.3072,74.4566,73.8756,73.9242
2021-02-08,74.688,74.8329,74.1513,74.3072
2021-02-05,75.552,75.7243,74.5188,74.6495
2021-02-04,76.0043,76.0471,75.3066,75.5584
2021-02-03,76.1908,76.3634,75.7713,75.9818
2021-02-02,75.9793,76.3184,75.3144,76.291
2021-02-01,75.7584,76.2094,75.227,76.1978
2021-01-29,75.9961,76.3521,75.2339,75.8779
2021-01-28,75.8256,76.5024,75.6834,76.0318
2021-01-27,75.1215,75.9787,74.809,75.8271
2021-01-26,75.3741,75.7867,74.9359,75.1756
2021-01-25,75.3735,75.8614,74.4622,75.3777
2021-01-22,73.9256,75.3639,73.8626,75.2894
2021-01-21,73.4711,74.0996,73.186,73.9174
2021-01-20,73.8073,73.9141,73.2144,73.4702
2021-01-19,73.979,74.0962,73.5959,73.8364
2021-01-18,73.5445,74.5151,73.5223,74.0422
2021-01-15,73.3026,73.8848,73.1942,73.55
2021-01-14,73.8322,74.0078,73.1096,73.2896
2021-01-13,73.4968,73.9801,73.3862,73.8339
2021-01-12,74.7111,74.7809,73.4553,73.4745
2021-01-11,74.1075,74.9979,73.9394,74.6071
2021-01-08,74.6545,74.845,73.8168,74.0644
2021-01-07,73.9473,74.9627,73.627,74.7361
2021-01-06,74.1925,74.3414,73.3971,73.9332
2021-01-05,74.4235,75.2809,73.8476,74.2128
2021-01-04,74.0938,74.5945,73.0649,74.419
2021-01-01,74.0247,74.062,74.0239,74.0261
2020-12-31,74.3922,75.2572,73.7606,74.0369
2020-12-30,73.9941,75.0502,73.3748,74.3461
2020-12-29,73.8892,74.3039,73.375,73.9938
2020-12-28,74.0757,74.4578,73.5332,73.74
2020-12-25,73.9545,74.2232,73.6315,74.1109
2020-12-24,75.0013,75.2784,73.8822,73.9168
2020-12-23,75.8663,76.0275,74.7306,75.002
2020-12-22,74.6963,76.0048,74.5493,75.8905
2020-12-21,73.875,75.4642,73.3869,74.6849
2020-12-18,72.9425,73.8922,72.8848,73.4438
2020-12-17,73.3252,73.6303,72.655,72.8993
2020-12-16,73.2627,73.7088,73.2219,73.3266
