Date,Open,High,Low,Close
2005-11-23,5.16,5.16,5.16,5.16
2005-11-24,5.16,5.26,4.86,4.86
2005-11-25,5.28,5.47,4.98,5.1
2005-11-28,5.07,5.58,5.03,5.28
2005-11-29,5.22,5.57,4.99,5.27
2005-11-30,5.17,5.56,5.03,5.19
2005-12-01,5.39,5.39,4.89,4.89
2005-12-02,4.89,5.54,4.89,5.16
2005-12-05,5.16,5.31,5.13,5.13
2005-12-06,5.13,6.3,5.13,5.42
2005-12-07,5.36,6.51,5.36,5.73
2005-12-09,6.0,6.0,6.0,6.0
2005-12-12,6.5,6.5,5.64,5.64
2005-12-13,6.5,6.5,5.65,5.76
2005-12-14,5.38,6.45,5.38,6.45
2005-12-15,6.43,6.74,5.35,6.21
2005-12-16,6.68,6.68,6.65,6.65
2005-12-19,6.76,6.76,6.76,6.46
2005-12-20,6.83,6.83,6.07,6.83
2005-12-21,7.09,7.09,6.38,6.38
2005-12-22,6.6,6.6,6.6,6.6
2005-12-23,7.15,7.15,5.67,5.67
2005-12-26,5.65,5.65,5.65,5.65
2005-12-27,5.65,5.65,5.65,5.65
2005-12-28,6.83,6.83,5.94,5.94
2005-12-29,5.89,5.89,5.19,5.19
2005-12-30,5.19,5.19,5.19,5.19
2006-01-02,5.19,5.19,5.19,5.19
2006-01-03,5.19,5.19,5.19,5.19
2006-01-04,5.19,5.19,5.19,5.19
2006-01-05,5.19,5.19,5.19,5.19
2006-01-06,5.19,5.19,5.19,5.19
2006-01-09,5.19,5.19,5.19,5.19
2006-01-10,5.19,5.19,4.34,4.48
2006-01-11,4.45,4.45,3.66,3.66
2006-01-12,3.58,3.58,2.76,3.05
2006-01-13,2.79,3.31,2.79,3.87
2006-01-16,3.39,3.39,3.39,3.39
2006-01-17,3.39,3.51,3.1,3.51
2006-01-18,3.51,3.51,3.19,3.19
2006-01-19,3.19,3.19,3.19,3.19
2006-01-20,3.31,3.51,3.31,3.4
2006-01-23,3.4,3.61,3.36,3.36
2006-01-24,3.36,3.66,3.36,3.66
2006-01-25,3.56,3.79,3.56,3.79
2006-01-26,4.09,4.51,4.09,4.51
2006-01-27,4.93,4.93,4.78,4.78
2006-01-30,4.88,4.91,4.61,4.61
2006-01-31,4.93,4.93,4.55,4.55
2006-02-01,4.43,4.51,4.15,4.15
2006-02-02,4.31,4.31,3.98,3.98
2006-02-03,4.31,4.34,4.31,4.34
2006-02-06,4.43,4.55,4.1,4.1
2006-02-07,4.11,4.11,4.11,4.11
2006-02-08,4.11,4.11,3.47,3.47
