Date,Open,High,Low,Close
2007-03-30,4.1782,4.1782,4.1782,4.1782
2007-04-02,4.1588,4.1588,4.1588,4.1588
2007-04-03,3.6373,3.6373,3.6373,3.6373
2007-04-04,3.5738,3.5738,3.5738,3.5738
2007-04-05,3.8317,3.8317,3.8317,3.8317
2007-04-06,3.7998,3.7998,3.7998,3.7998
2007-04-09,3.7477,3.7477,3.7477,3.7477
2007-04-10,3.7618,3.7618,3.7618,3.7618
2007-04-11,3.7093,3.7093,3.7093,3.7093
2007-04-12,3.8491,3.8491,3.8491,3.8491
2007-04-13,3.8766,3.8766,3.8766,3.8766
2007-04-16,3.8717,3.8717,3.8717,3.8717
2007-04-17,3.9673,3.9673,3.9673,3.9673
2007-04-18,4.0886,4.0886,4.0886,4.0886
2007-04-19,3.9485,3.9485,3.9485,3.9485
2007-04-20,3.8757,3.8757,3.8757,3.8757
2007-04-23,3.8755,3.8755,3.8755,3.8755
2007-04-24,3.8669,3.8669,3.8669,3.8669
2007-04-25,3.8781,3.8781,3.8781,3.8781
2007-04-26,3.943,3.943,3.943,3.943
2007-04-27,3.9978,3.9978,3.9978,3.9978
2007-04-30,3.9616,3.9616,3.9616,3.9616
2007-05-01,4.0612,4.0612,4.0612,4.0612
2007-05-02,4.1058,4.1058,4.1058,4.1058
2007-05-03,4.1847,4.1847,4.1847,4.1847
2007-05-04,3.9874,3.9874,3.9874,3.9874
2007-05-07,3.9515,3.9515,3.9515,3.9515
2007-05-08,4.1318,4.1318,4.1318,4.1318
2007-05-09,3.8619,3.8619,3.8619,3.8619
2007-05-10,3.9587,3.9587,3.9587,3.9587
2007-05-11,3.7744,3.7744,3.7744,3.7744
2007-05-14,3.7422,3.7422,3.7422,3.7422
2007-05-15,3.8459,3.8459,3.8459,3.8459
2007-05-16,4.0474,4.0474,4.0474,4.0474
2007-05-17,3.952,3.952,3.952,3.952
2007-05-18,3.9434,3.9434,3.9434,3.9434
2007-05-21,3.9695,3.9695,3.9695,3.9695
2007-05-22,3.9567,3.9567,3.9567,3.9567
2007-05-23,3.8485,3.8485,3.8485,3.8485
2007-05-24,3.9021,3.9021,3.9021,3.9021
2007-05-25,3.8047,3.8047,3.8047,3.8047
2007-05-28,3.7224,3.7224,3.7224,3.7224
2007-05-29,3.7214,3.7214,3.7214,3.7214
2007-05-30,3.6389,3.6389,3.6389,3.6389
2007-05-31,3.6008,3.6008,3.6008,3.6008
2007-06-01,3.4687,3.4687,3.4687,3.4687
2007-06-04,3.4931,3.4931,3.4931,3.4931
2007-06-05,3.5626,3.5626,3.5626,3.5626
2007-06-06,3.3288,3.3288,3.3288,3.3288
2007-06-07,3.6001,3.6001,3.6001,3.6001
2007-06-08,3.5609,3.5609,3.5609,3.5609
2007-06-11,3.5582,3.5582,3.5582,3.5582
2007-06-12,3.7058,3.7058,3.7058,3.7058
2007-06-13,3.5894,3.5894,3.5894,3.5894
2007-06-14,3.2461,3.2461,3.2461,3.2461
2007-06-15,3.2305,3.2305,3.2305,3.2305
2007-06-18,3.2863,3.2863,3.2863,3.2863
2007-06-19,3.2619,3.2619,3.2619,3.2619
2007-06-20,3.2934,3.2934,3.2934,3.2934
2007-06-21,3.2557,3.2557,3.2557,3.2557
2007-06-22,3.2196,3.2196,3.2196,3.2196
2007-06-25,3.2054,3.2054,3.2054,3.2054
2007-06-26,3.8984,3.8984,3.8984,3.8984
2007-06-27,3.9375,3.9375,3.9375,3.9375
2007-06-28,3.925,3.925,3.925,3.925
2007-06-29,3.9499,3.9499,3.9499,3.9499
2007-07-02,4.4427,4.4427,4.4427,4.4427
2007-07-03,4.4343,4.4343,4.4343,4.4343
2007-07-04,4.4048,4.4048,4.4048,4.4048
2007-07-05,4.4958,4.4958,4.4958,4.4958
2007-07-06,4.3634,4.3634,4.3634,4.3634
2007-07-09,4.3856,4.3856,4.3856,4.3856
2007-07-10,4.4228,4.4228,4.4228,4.4228
2007-07-11,4.3237,4.3237,4.3237,4.3237
2007-07-12,4.3179,4.3179,4.3179,4.3179
2007-07-13,4.338,4.338,4.338,4.338
2007-07-16,4.3522,4.3522,4.3522,4.3522
2007-07-17,4.3106,4.3106,4.3106,4.3106
2007-07-18,4.3645,4.3645,4.3645,4.3645
2007-07-19,4.3841,4.3841,4.3841,4.3841
2007-07-20,4.3768,4.3768,4.3768,4.3768
