Date,Open,High,Low,Close
1997-01-02,16.32,16.32,16.32,16.32
1997-01-03,16.32,16.32,16.32,16.32
1997-01-06,16.32,16.32,16.32,16.32
1997-01-07,16.18,16.18,16.18,16.18
1997-01-08,16.06,16.06,16.06,16.06
1997-01-09,16.07,16.07,16.07,16.07
1997-01-10,15.94,15.94,15.94,15.94
1997-01-13,15.91,15.91,15.91,15.91
1997-01-14,15.85,15.85,15.85,15.85
1997-01-15,15.75,15.75,15.75,15.75
1997-01-16,15.78,15.78,15.78,15.78
1997-01-17,15.82,15.82,15.82,15.82
1997-01-20,15.72,15.72,15.72,15.72
1997-01-21,15.78,15.78,15.78,15.78
1997-01-22,15.67,15.67,15.67,15.67
1997-01-23,15.6,15.6,15.6,15.6
1997-01-24,15.7,15.7,15.7,15.7
1997-01-27,15.58,15.58,15.58,15.58
1997-01-28,15.58,15.58,15.58,15.58
1997-01-29,15.65,15.65,15.65,15.65
1997-01-30,15.58,15.58,15.58,15.58
1997-01-31,15.4,15.4,15.4,15.4
1997-02-03,15.3,15.3,15.3,15.3
1997-02-04,15.28,15.28,15.28,15.28
1997-02-05,15.32,15.32,15.32,15.32
1997-02-06,15.23,15.23,15.23,15.23
1997-02-07,15.25,15.25,15.25,15.25
1997-02-10,15.13,15.13,15.13,15.13
1997-02-11,15.14,15.14,15.14,15.14
1997-02-12,15.21,15.21,15.21,15.21
1997-02-13,15.14,15.14,15.14,15.14
1997-02-14,14.94,14.94,14.94,14.94
1997-02-17,14.92,14.92,14.92,14.92
1997-02-18,14.85,14.85,14.85,14.85
1997-02-19,14.96,14.96,14.96,14.96
1997-02-20,14.93,14.93,14.93,14.93
1997-02-21,14.82,14.82,14.82,14.82
1997-02-24,14.83,14.83,14.83,14.83
1997-02-25,14.83,14.83,14.83,14.83
1997-02-26,14.68,14.68,14.68,14.68
1997-02-27,14.68,14.68,14.68,14.68
1997-02-28,14.68,14.68,14.68,14.68
1997-03-03,15.06,15.06,15.06,15.06
1997-03-04,15.21,15.21,15.21,15.21
1997-03-05,15.26,15.26,15.26,15.26
1997-03-06,15.16,15.16,15.16,15.16
1997-03-07,15.23,15.23,15.23,15.23
