Date,Open,High,Low,Close
2000-10-06,180.0,185.0,175.0,180.0
2000-10-12,187.5,192.5,182.5,187.5
2000-10-20,191.25,196.25,186.25,191.25
2000-10-24,191.25,196.25,186.25,191.25
2000-10-25,191.25,196.25,186.25,191.25
2000-10-26,191.25,196.25,186.25,191.25
2000-10-27,190.0,195.0,185.0,190.0
2000-10-30,190.0,195.0,185.0,190.0
2000-10-31,190.0,195.0,185.0,190.0
2000-11-01,190.0,195.0,185.0,190.0
2000-11-02,200.0,205.0,195.0,200.0
2000-11-03,200.0,205.0,195.0,200.0
2000-11-06,200.0,205.0,195.0,200.0
2000-11-07,200.0,205.0,195.0,200.0
2000-11-08,200.0,205.0,195.0,200.0
2000-11-09,200.0,205.0,195.0,200.0
2000-11-10,200.0,205.0,195.0,200.0
2000-11-13,200.0,205.0,195.0,200.0
2000-11-14,200.0,205.0,195.0,200.0
2000-11-15,200.0,205.0,195.0,200.0
2000-11-16,200.0,205.0,195.0,200.0
2000-11-17,200.0,205.0,195.0,200.0
2000-11-20,200.0,205.0,195.0,200.0
2000-11-21,200.0,205.0,195.0,200.0
2000-11-22,200.0,205.0,195.0,200.0
2000-11-24,200.0,205.0,195.0,200.0
2000-11-27,200.0,205.0,195.0,200.0
2000-11-28,200.0,205.0,195.0,200.0
2000-11-29,200.0,205.0,195.0,200.0
2000-11-30,200.0,205.0,195.0,200.0
2000-12-01,200.0,205.0,195.0,200.0
2000-12-04,200.0,205.0,195.0,200.0
2000-12-05,200.0,205.0,195.0,200.0
2000-12-06,200.0,205.0,195.0,200.0
2000-12-07,200.0,205.0,195.0,200.0
2000-12-08,200.0,205.0,195.0,200.0
2000-12-11,200.0,205.0,195.0,200.0
2000-12-12,200.0,205.0,195.0,200.0
2000-12-13,200.0,205.0,195.0,200.0
2000-12-14,202.5,207.5,197.5,202.5
2000-12-15,202.5,207.5,197.5,202.5
2000-12-18,210.0,215.0,205.0,210.0
2000-12-19,202.5,207.5,197.5,202.5
2000-12-20,202.5,207.5,197.5,202.5
2000-12-21,202.5,207.5,197.5,202.5
2000-12-22,202.5,207.5,197.5,202.5
2000-12-26,202.5,207.5,197.5,202.5
2000-12-27,202.5,207.5,197.5,202.5
2000-12-28,202.5,207.5,197.5,202.5
2000-12-29,202.5,207.5,197.5,202.5
2001-01-02,202.5,207.5,197.5,202.5
2001-01-03,202.5,207.5,197.5,202.5
2001-01-04,205.0,210.0,200.0,205.0
2001-01-05,202.5,207.5,197.5,202.5
2001-01-08,202.5,207.5,197.5,202.5
2001-01-09,202.5,207.5,197.5,202.5
2001-01-10,202.5,207.5,197.5,202.5
2001-01-11,202.5,207.5,197.5,202.5
2001-01-12,202.5,207.5,197.5,202.5
2001-01-16,202.5,207.5,197.5,202.5
2001-01-17,202.5,207.5,197.5,202.5
2001-01-18,202.5,207.5,197.5,202.5
2001-01-19,202.5,207.5,197.5,202.5
2001-01-22,202.5,207.5,197.5,202.5
2001-01-23,202.5,207.5,197.5,202.5
2001-01-24,202.5,207.5,197.5,202.5
2001-01-25,202.5,207.5,197.5,202.5
2001-01-26,202.5,207.5,197.5,202.5
2001-01-29,202.5,207.5,197.5,202.5
2001-01-30,202.5,207.5,197.5,202.5
2001-01-31,202.5,207.5,197.5,202.5
