Date,Open,High,Low,Close,Volume
1995-06-30,4674.8,4674.8,4674.8,4674.8,
1995-07-03,4614.89,4614.89,4614.89,4614.89,
1995-07-04,4665.21,4665.21,4665.21,4665.21,
1995-07-05,4642.68,4642.68,4642.68,4642.68,
1995-07-06,4647.24,4647.24,4647.24,4647.24,
1995-07-07,4714.43,4714.43,4714.43,4714.43,
1995-07-10,4697.56,4697.56,4697.56,4697.56,
1995-07-11,4663.38,4663.38,4663.38,4663.38,
1995-07-12,4699.71,4699.71,4699.71,4699.71,
1995-07-13,4735.6,4735.6,4735.6,4735.6,
1995-07-14,4715.17,4715.17,4715.17,4715.17,
1995-07-17,4747.53,4747.53,4747.53,4747.53,
1995-07-18,4802.62,4802.62,4802.62,4802.62,
1995-07-19,4776.64,4776.64,4776.64,4776.64,
1995-07-20,4720.88,4720.88,4720.88,4720.88,
1995-07-21,4697.55,4697.55,4697.55,4697.55,
1995-07-24,4707.58,4707.58,4707.58,4707.58,
1995-07-25,4711.23,4711.23,4711.23,4711.23,
1995-07-26,4686.84,4686.84,4686.84,4686.84,
1995-07-27,4697.51,4697.51,4697.51,4697.51,
1995-07-28,4677.63,4677.63,4677.63,4677.63,
1995-07-31,4710.23,4710.23,4710.23,4710.23,
1995-08-01,4713.0,4713.0,4713.0,4713.0,
1995-08-02,4792.09,4792.09,4792.09,4792.09,
1995-08-03,4791.68,4791.68,4791.68,4791.68,
1995-08-04,4803.76,4803.76,4803.76,4803.76,
1995-08-07,4825.65,4825.65,4825.65,4825.65,
1995-08-08,4857.02,4857.02,4857.02,4857.02,
1995-08-10,4852.54,4852.54,4852.54,4852.54,
1995-08-11,4828.15,4828.15,4828.15,4828.15,
1995-08-14,4804.83,4804.83,4804.83,4804.83,
1995-08-15,4845.28,4845.28,4845.28,4845.28,
1995-08-16,4814.66,4814.66,4814.66,4814.66,
1995-08-17,4832.53,4832.53,4832.53,4832.53,
1995-08-18,4832.36,4832.36,4832.36,4832.36,
1995-08-21,4837.68,4837.68,4837.68,4837.68,
1995-08-22,4827.33,4827.33,4827.33,4827.33,
1995-08-23,4819.16,4819.16,4819.16,4819.16,
1995-08-24,4823.45,4823.45,4823.45,4823.45,
1995-08-25,4802.93,4802.93,4802.93,4802.93,
1995-08-28,4782.77,4782.77,4782.77,4782.77,
1995-08-29,4786.87,4786.87,4786.87,4786.87,
1995-08-30,4786.31,4786.31,4786.31,4786.31,
1995-08-31,4786.74,4786.74,4786.74,4786.74,
1995-09-01,4779.91,4779.91,4779.91,4779.91,
1995-09-04,4758.15,4758.15,4758.15,4758.15,
1995-09-05,4748.78,4748.78,4748.78,4748.78,
1995-09-06,4782.25,4782.25,4782.25,4782.25,
1995-09-07,4817.49,4817.49,4817.49,4817.49,
1995-09-08,4824.38,4824.38,4824.38,4824.38,
1995-09-11,4849.86,4849.86,4849.86,4849.86,
1995-09-12,4861.54,4861.54,4861.54,4861.54,
1995-09-13,4872.46,4872.46,4872.46,4872.46,
1995-09-14,4897.13,4897.13,4897.13,4897.13,
1995-09-15,4900.49,4900.49,4900.49,4900.49,
1995-09-18,4882.19,4882.19,4882.19,4882.19,
1995-09-19,4885.51,4885.51,4885.51,4885.51,
1995-09-20,4878.06,4878.06,4878.06,4878.06,
1995-09-21,4876.39,4876.39,4876.39,4876.39,
1995-09-22,4880.55,4880.55,4880.55,4880.55,
1995-09-26,4887.27,4887.27,4887.27,4887.27,
1995-09-27,4865.4,4865.4,4865.4,4865.4,
1995-09-28,4853.72,4853.72,4853.72,4853.72,
1995-09-29,4880.28,4880.28,4880.28,4880.28,
1995-10-02,4876.87,4876.87,4876.87,4876.87,
1995-10-03,4879.83,4879.83,4879.83,4879.83,
1995-10-04,4903.0,4903.0,4903.0,4903.0,
1995-10-05,4952.13,4952.13,4952.13,4952.13,
1995-10-06,4972.68,4972.68,4972.68,4972.68,
1995-10-09,5011.7,5011.7,5011.7,5011.7,
1995-10-10,4949.83,4949.83,4949.83,4949.83,
1995-10-11,4992.27,4992.27,4992.27,4992.27,
1995-10-12,5034.9,5034.9,5034.9,5034.9,
1995-10-13,5039.35,5039.35,5039.35,5039.35,
1995-10-16,5047.0,5047.0,5047.0,5047.0,
1995-10-17,5054.3,5054.3,5054.3,5054.3,
1995-10-18,5128.22,5128.22,5128.22,5128.22,
1995-10-19,5076.77,5076.77,5076.77,5076.77,
1995-10-20,5046.54,5046.54,5046.54,5046.54,
1995-10-23,5051.98,5051.98,5051.98,5051.98,
1995-10-24,5029.04,5029.04,5029.04,5029.04,
1995-10-25,5068.02,5068.02,5068.02,5068.02,
1995-10-26,5015.88,5015.88,5015.88,5015.88,
1995-10-27,4956.05,4956.05,4956.05,4956.05,
1995-10-30,4941.33,4941.33,4941.33,4941.33,
1995-10-31,4981.99,4981.99,4981.99,4981.99,
1995-11-02,5006.37,5006.37,5006.37,5006.37,
1995-11-03,5037.45,5037.45,5037.45,5037.45,
1995-11-06,5084.73,5084.73,5084.73,5084.73,
1995-11-07,5126.53,5126.53,5126.53,5126.53,
1995-11-08,5165.4,5165.4,5165.4,5165.4,
1995-11-09,5188.8,5188.8,5188.8,5188.8,
1995-11-10,5186.45,5186.45,5186.45,5186.45,
1995-11-13,5202.98,5202.98,5202.98,5202.98,
1995-11-14,5182.39,5182.39,5182.39,5182.39,
1995-11-15,5154.35,5154.35,5154.35,5154.35,
1995-11-16,5177.89,5177.89,5177.89,5177.89,
1995-11-17,5198.31,5198.31,5198.31,5198.31,
1995-11-20,5222.85,5222.85,5222.85,5222.85,
1995-11-21,5202.24,5202.24,5202.24,5202.24,
1995-11-22,5164.91,5164.91,5164.91,5164.91,
1995-11-23,5121.79,5121.79,5121.79,5121.79,
1995-11-24,5145.38,5145.38,5145.38,5145.38,
1995-11-27,5111.58,5111.58,5111.58,5111.58,
1995-11-28,5151.14,5151.14,5151.14,5151.14,
1995-11-29,5112.42,5112.42,5112.42,5112.42,
1995-11-30,5098.63,5098.63,5098.63,5098.63,
1995-12-01,5112.63,5112.63,5112.63,5112.63,
1995-12-04,5131.18,5131.18,5131.18,5131.18,
1995-12-05,5209.56,5209.56,5209.56,5209.56,
1995-12-06,5316.69,5316.69,5316.69,5316.69,
