Date,Open,High,Low,Close
2001-09-19,8.9332,8.9332,8.9332,8.9332
2001-09-20,9.2055,9.2055,9.2055,9.2055
2001-09-21,9.3647,9.3647,9.3647,9.3647
2001-09-24,9.3622,9.3622,9.3622,9.3622
2001-09-25,9.2493,9.2493,9.2493,9.2493
2001-09-26,9.1895,9.1895,9.1895,9.1895
2001-09-27,9.1807,9.1807,9.1807,9.1807
2001-09-28,9.2013,9.2013,9.2013,9.2013
2001-10-01,9.2057,9.2057,9.2057,9.2057
2001-10-02,9.2849,9.2849,9.2849,9.2849
2001-10-03,9.4326,9.4326,9.4326,9.4326
2001-10-04,9.456,9.456,9.456,9.456
2001-10-05,9.5578,9.5578,9.5578,9.5578
2001-10-08,9.6741,9.6741,9.6741,9.6741
2001-10-09,9.6214,9.6214,9.6214,9.6214
2001-10-10,9.6682,9.6682,9.6682,9.6682
2001-10-11,9.5166,9.5166,9.5166,9.5166
2001-10-12,9.5054,9.5054,9.5054,9.5054
2001-10-15,9.3183,9.3183,9.3183,9.3183
2001-10-16,9.5486,9.5486,9.5486,9.5486
2001-10-17,9.5244,9.5244,9.5244,9.5244
2001-10-18,9.3566,9.3566,9.3566,9.3566
2001-10-19,9.2438,9.2438,9.2438,9.2438
2001-10-22,9.2998,9.2998,9.2998,9.2998
2001-10-23,9.2651,9.2651,9.2651,9.2651
2001-10-24,9.1693,9.1693,9.1693,9.1693
2001-10-25,9.1536,9.1536,9.1536,9.1536
2001-10-26,9.1653,9.1653,9.1653,9.1653
2001-10-29,9.0844,9.0844,9.0844,9.0844
2001-10-30,9.1081,9.1081,9.1081,9.1081
2001-10-31,9.1295,9.1295,9.1295,9.1295
2001-11-01,9.1108,9.1108,9.1108,9.1108
2001-11-02,9.1107,9.1107,9.1107,9.1107
2001-11-05,9.1245,9.1245,9.1245,9.1245
2001-11-06,8.8871,8.8871,8.8871,8.8871
2001-11-07,8.8221,8.8221,8.8221,8.8221
2001-11-08,8.7861,8.7861,8.7861,8.7861
2001-11-09,8.7214,8.7214,8.7214,8.7214
2001-11-12,8.7785,8.7785,8.7785,8.7785
2001-11-13,8.7585,8.7585,8.7585,8.7585
2001-11-14,8.8373,8.8373,8.8373,8.8373
2001-11-15,9.1297,9.1297,9.1297,9.1297
2001-11-16,9.146,9.146,9.146,9.146
2001-11-19,8.9189,8.9189,8.9189,8.9189
2001-11-20,9.0578,9.0578,9.0578,9.0578
2001-11-21,9.0401,9.0401,9.0401,9.0401
2001-11-22,9.0431,9.0431,9.0431,9.0431
2001-11-23,9.0914,9.0914,9.0914,9.0914
2001-11-26,9.134,9.134,9.134,9.134
2001-11-27,8.7457,8.7457,8.7457,8.7457
2001-11-28,8.9272,8.9272,8.9272,8.9272
2001-11-29,8.5373,8.5373,8.5373,8.5373
2001-11-30,9.399,9.399,9.399,9.399
2001-12-13,10.5178,10.5178,10.5178,10.5178
