Date,Open,High,Low,Close
2005-12-05,7.3065,7.3065,7.3065,7.3065
2005-12-06,7.2447,7.2447,7.2447,7.2447
2005-12-07,7.2362,7.2362,7.2362,7.2362
2005-12-08,7.22,7.22,7.22,7.22
2005-12-09,7.2387,7.2387,7.2387,7.2387
2005-12-12,7.2085,7.2085,7.2085,7.2085
2005-12-13,7.1562,7.1562,7.1562,7.1562
2005-12-14,7.1188,7.1188,7.1188,7.1188
2005-12-15,7.1899,7.1899,7.1899,7.1899
2005-12-16,7.192,7.192,7.192,7.192
2005-12-19,7.2048,7.2048,7.2048,7.2048
2005-12-20,7.2111,7.2111,7.2111,7.2111
2005-12-21,7.2098,7.2098,7.2098,7.2098
2005-12-22,7.2073,7.2073,7.2073,7.2073
2005-12-23,7.2137,7.2137,7.2137,7.2137
2005-12-26,7.2075,7.2075,7.2075,7.2075
2005-12-27,7.2042,7.2042,7.2042,7.2042
2005-12-28,7.2543,7.2543,7.2543,7.2543
2005-12-29,7.1915,7.1915,7.1915,7.1915
2005-12-30,7.1716,7.1716,7.1716,7.1716
2006-01-02,7.1703,7.1703,7.1703,7.1703
2006-01-03,7.1736,7.1736,7.1736,7.1736
2006-01-04,7.1241,7.1241,7.1241,7.1241
2006-01-05,7.0845,7.0845,7.0845,7.0845
2006-01-06,7.0538,7.0538,7.0538,7.0538
2006-01-09,7.0353,7.0353,7.0353,7.0353
2006-01-10,7.0407,7.0407,7.0407,7.0407
2006-01-11,7.0592,7.0592,7.0592,7.0592
2006-01-12,7.0138,7.0138,7.0138,7.0138
2006-01-13,7.0034,7.0034,7.0034,7.0034
2006-01-16,7.003,7.003,7.003,7.003
2006-01-17,7.0564,7.0564,7.0564,7.0564
2006-01-18,7.0867,7.0867,7.0867,7.0867
2006-01-19,7.0575,7.0575,7.0575,7.0575
2006-01-20,7.0599,7.0599,7.0599,7.0599
2006-01-23,7.0513,7.0513,7.0513,7.0513
2006-01-24,7.1434,7.1434,7.1434,7.1434
2006-01-25,7.2004,7.2004,7.2004,7.2004
2006-01-26,7.2034,7.2034,7.2034,7.2034
2006-01-27,7.2522,7.2522,7.2522,7.2522
2006-01-30,7.1768,7.1768,7.1768,7.1768
2006-01-31,7.1566,7.1566,7.1566,7.1566
2006-02-01,7.1765,7.1765,7.1765,7.1765
2006-02-02,7.1878,7.1878,7.1878,7.1878
2006-02-03,7.1934,7.1934,7.1934,7.1934
2006-02-06,7.2027,7.2027,7.2027,7.2027
2006-02-07,7.1695,7.1695,7.1695,7.1695
2006-02-08,7.2231,7.2231,7.2231,7.2231
2006-02-09,7.2311,7.2311,7.2311,7.2311
2006-02-10,7.2167,7.2167,7.2167,7.2167
2006-02-13,7.2517,7.2517,7.2517,7.2517
2006-02-14,7.2644,7.2644,7.2644,7.2644
2006-02-15,7.2481,7.2481,7.2481,7.2481
2006-02-16,7.2404,7.2404,7.2404,7.2404
2006-02-17,7.2674,7.2674,7.2674,7.2674
2006-02-20,7.2432,7.2432,7.2432,7.2432
2006-02-21,7.2775,7.2775,7.2775,7.2775
2006-02-22,7.2978,7.2978,7.2978,7.2978
2006-02-23,7.2326,7.2326,7.2326,7.2326
2006-02-24,7.2682,7.2682,7.2682,7.2682
2006-02-27,7.3201,7.3201,7.3201,7.3201
2006-02-28,7.3124,7.3124,7.3124,7.3124
2006-03-01,7.3223,7.3223,7.3223,7.3223
2006-03-02,7.363,7.363,7.363,7.363
2006-03-03,7.2867,7.2867,7.2867,7.2867
2006-03-06,7.2733,7.2733,7.2733,7.2733
2006-03-07,7.2816,7.2816,7.2816,7.2816
2006-03-08,7.2554,7.2554,7.2554,7.2554
2006-03-09,7.2174,7.2174,7.2174,7.2174
2006-03-10,7.245,7.245,7.245,7.245
2006-03-13,7.2029,7.2029,7.2029,7.2029
2006-03-14,7.2164,7.2164,7.2164,7.2164
2006-03-15,7.2028,7.2028,7.2028,7.2028
2006-03-16,7.1994,7.1994,7.1994,7.1994
2006-03-17,7.2199,7.2199,7.2199,7.2199
2006-03-20,7.2383,7.2383,7.2383,7.2383
2006-03-21,7.2301,7.2301,7.2301,7.2301
2006-03-22,7.2797,7.2797,7.2797,7.2797
2006-03-23,7.2273,7.2273,7.2273,7.2273
2006-03-24,7.2556,7.2556,7.2556,7.2556
2006-03-27,7.2565,7.2565,7.2565,7.2565
2006-03-28,7.2828,7.2828,7.2828,7.2828
2006-03-29,7.3244,7.3244,7.3244,7.3244
2006-03-30,7.3224,7.3224,7.3224,7.3224
2006-03-31,7.3432,7.3432,7.3432,7.3432
2006-04-03,7.2474,7.2474,7.2474,7.2474
2006-04-04,7.2085,7.2085,7.2085,7.2085
2006-04-05,7.2098,7.2098,7.2098,7.2098
2006-04-06,7.2231,7.2231,7.2231,7.2231
2006-04-07,7.2597,7.2597,7.2597,7.2597
2006-04-10,7.2602,7.2602,7.2602,7.2602
2006-04-11,7.2709,7.2709,7.2709,7.2709
2006-04-12,7.2999,7.2999,7.2999,7.2999
2006-04-13,7.3038,7.3038,7.3038,7.3038
2006-04-14,7.3015,7.3015,7.3015,7.3015
2006-04-17,7.3259,7.3259,7.3259,7.3259
2006-04-18,7.2871,7.2871,7.2871,7.2871
2006-04-19,7.2482,7.2482,7.2482,7.2482
2006-04-20,7.2343,7.2343,7.2343,7.2343
2006-04-21,7.283,7.283,7.283,7.283
2006-04-24,7.2481,7.2481,7.2481,7.2481
2006-04-25,7.2306,7.2306,7.2306,7.2306
2006-04-26,7.2424,7.2424,7.2424,7.2424
2006-04-27,7.2387,7.2387,7.2387,7.2387
2006-04-28,7.259,7.259,7.259,7.259
2006-05-01,7.2663,7.2663,7.2663,7.2663
2006-05-02,7.2949,7.2949,7.2949,7.2949
2006-05-03,7.2859,7.2859,7.2859,7.2859
2006-05-04,7.3125,7.3125,7.3125,7.3125
2006-05-05,7.3041,7.3041,7.3041,7.3041
2006-05-08,7.2936,7.2936,7.2936,7.2936
2006-05-09,7.2954,7.2954,7.2954,7.2954
2006-05-10,7.2698,7.2698,7.2698,7.2698
2006-05-11,7.2658,7.2658,7.2658,7.2658
2006-05-12,7.2566,7.2566,7.2566,7.2566
2006-05-15,7.3559,7.3559,7.3559,7.3559
