Date,Mid Price
2007-03-27,8.61
2007-03-28,8.59
2007-03-29,8.6
2007-03-30,8.62
2007-04-02,8.6
2007-04-03,8.59
2007-04-04,8.6
2007-04-05,8.59
2007-04-10,8.59
2007-04-11,8.59
2007-04-12,8.59
2007-04-13,8.58
2007-04-16,8.55
2007-04-17,8.56
2007-04-18,8.58
2007-04-19,8.55
2007-04-20,8.59
2007-04-23,8.6
2007-04-24,8.59
2007-04-25,8.58
2007-04-30,8.58
2007-05-02,8.62
2007-05-03,8.61
2007-05-04,8.59
2007-05-07,8.59
2007-05-08,8.6
2007-05-09,8.6
2007-05-10,8.6
2007-05-11,8.62
2007-05-14,8.64
2007-05-15,8.61
2007-05-16,8.61
2007-05-17,8.61
2007-05-18,8.61
2007-05-21,8.61
2007-05-22,8.61
2007-05-23,8.61
2007-05-24,8.61
2007-05-25,8.61
2007-05-28,8.59
2007-05-29,8.61
2007-05-31,8.63
2007-06-01,8.6
2007-06-04,8.61
2007-06-05,8.61
2007-06-06,8.6
2007-06-07,8.61
2007-06-08,8.98
2007-06-11,9.04
2007-06-12,9.05
2007-06-13,9.09
2007-06-14,9.09
2007-06-15,9.08
2007-06-18,9.08
2007-06-19,9.09
2007-06-20,9.09
2007-06-21,9.1
2007-06-22,9.1
2007-06-25,9.11
2007-06-26,9.1
2007-06-27,9.1
2007-06-28,9.11
2007-06-29,9.24
2007-07-02,9.16
2007-07-03,9.11
2007-07-04,9.09
2007-07-05,9.13
2007-07-06,9.12
2007-07-09,9.11
2007-07-10,9.12
2007-07-11,9.12
2007-07-12,9.12
2007-07-13,9.11
2007-07-16,9.12
2007-07-17,9.12
2007-07-18,9.11
2007-07-19,9.11
2007-07-20,9.11
2007-07-23,9.11
2007-07-24,9.11
2007-07-25,9.11
2007-07-26,9.11
2007-07-27,9.13
2007-07-30,9.14
2007-07-31,9.35
2007-08-01,9.19
2007-08-02,9.23
2007-08-03,9.15
2007-08-06,9.13
2007-08-07,9.13
2007-08-08,9.12
2007-08-10,9.14
2007-08-13,9.14
2007-08-14,9.13
2007-08-15,9.13
2007-08-16,9.17
2007-08-17,9.49
2007-08-20,9.59
2007-08-21,9.59
2007-08-22,9.59
2007-08-23,9.59
2007-08-24,9.59
2007-08-27,9.6
2007-08-28,9.61
2007-08-29,9.61
2007-08-30,9.6
2007-08-31,9.6
2007-09-03,9.59
2007-09-04,9.6
2007-09-05,9.6
2007-09-06,9.59
2007-09-07,9.59
2007-09-10,9.58
2007-09-11,9.6
2007-09-12,9.61
2007-09-13,9.61
2007-09-14,9.63
2007-09-17,9.63
2007-09-18,9.63
2007-09-19,9.58
2007-09-20,9.58
2007-09-21,9.58
2007-09-25,9.51
2007-09-26,9.55
2007-09-27,9.62
2007-09-28,9.63
2007-10-01,9.62
2007-10-02,9.63
2007-10-03,9.63
2007-10-04,9.62
2007-10-05,9.63
2007-10-08,9.61
2007-10-09,9.63
2007-10-10,9.64
2007-10-11,9.64
2007-10-12,10.06
2007-10-15,10.08
2007-10-16,10.08
2007-10-17,10.08
2007-10-18,10.11
2007-10-19,10.12
2007-10-22,10.11
2007-10-23,10.12
2007-10-24,10.12
2007-10-25,10.1
2007-10-26,10.1
2007-10-30,10.11
2007-10-31,10.11
2007-11-01,10.11
2007-11-02,10.11
2007-11-05,10.1
2007-11-06,10.11
2007-11-07,10.12
2007-11-08,10.12
2007-11-09,10.12
2007-11-12,10.11
2007-11-13,10.12
2007-11-14,10.13
2007-11-15,10.13
2007-11-16,10.13
2007-11-19,10.13
2007-11-20,10.13
2007-11-21,10.14
2007-11-22,10.14
2007-11-23,10.13
2007-11-26,10.14
2007-11-27,10.09
2007-11-28,10.12
2007-11-29,10.1
2007-11-30,10.1
2007-12-03,10.11
2007-12-04,10.14
2007-12-05,10.15
2007-12-06,10.5
2007-12-07,10.56
2007-12-10,10.59
2007-12-11,10.59
2007-12-12,10.6
2007-12-13,10.59
2007-12-14,10.57
2007-12-18,10.59
2007-12-19,10.6
2007-12-20,10.57
2007-12-21,10.54
2007-12-24,10.62
2007-12-27,10.64
2007-12-28,10.63
2007-12-31,10.61
2008-01-02,10.67
2008-01-03,10.63
2008-01-04,10.63
2008-01-07,10.64
2008-01-08,10.65
2008-01-09,10.62
2008-01-10,10.64
2008-01-11,10.64
2008-01-14,10.34
2008-01-15,10.64
2008-01-16,10.64
2008-01-17,10.64
2008-01-18,10.65
2008-01-21,10.63
2008-01-22,10.65
2008-01-23,10.65
2008-01-24,10.64
2008-01-25,10.64
2008-01-28,10.63
2008-01-29,10.64
2008-01-30,10.65
2008-01-31,10.64
2008-02-01,10.64
2008-02-04,10.65
2008-02-05,10.65
2008-02-06,10.64
2008-02-07,10.65
2008-02-08,10.65
2008-02-11,10.66
2008-02-12,10.65
2008-02-13,10.66
2008-02-14,10.67
2008-02-15,10.68
2008-02-18,10.68
2008-02-19,10.68
2008-02-20,10.67
2008-02-21,10.67
2008-02-22,10.67
2008-02-25,10.67
2008-02-26,10.67
2008-02-27,10.67
2008-02-28,10.65
2008-02-29,10.67
2008-03-03,10.67
2008-03-04,10.67
2008-03-05,10.68
2008-03-06,10.69
2008-03-07,10.69
2008-03-10,10.71
2008-03-11,10.69
2008-03-12,10.74
2008-03-13,10.71
2008-03-14,10.69
2008-03-17,10.93
2008-03-18,10.67
2008-03-19,10.68
2008-03-20,10.69
2008-03-25,10.7
2008-03-26,10.7
2008-03-27,10.71
2008-03-28,10.71
2008-03-31,10.67
2008-04-01,10.69
2008-04-02,10.72
2008-04-03,10.72
2008-04-04,10.72
2008-04-07,10.71
2008-04-08,10.72
2008-04-09,10.71
2008-04-10,10.71
2008-04-11,10.86
2008-04-14,11.12
2008-04-15,11.18
2008-04-16,11.16
2008-04-17,11.18
2008-04-18,11.19
2008-04-21,11.17
2008-04-22,11.17
2008-04-23,11.17
2008-04-24,11.15
2008-04-29,11.19
2008-04-30,11.19
2008-05-05,11.19
2008-05-06,11.19
2008-05-07,11.19
2008-05-08,11.18
2008-05-09,11.18
2008-05-12,11.18
2008-05-13,11.2
2008-05-14,11.21
2008-05-15,11.2
2008-05-16,11.2
2008-05-19,11.2
2008-05-20,11.21
2008-05-21,11.2
2008-05-22,11.2
2008-05-23,11.2
2008-05-26,11.19
2008-05-27,11.23
2008-05-28,11.22
2008-05-29,11.22
2008-05-30,11.23
2008-06-02,11.22
2008-06-03,11.48
2008-06-04,11.23
2008-06-05,11.23
2008-06-06,11.22
2008-06-09,11.22
2008-06-10,11.24
2008-06-11,11.25
2008-06-12,11.25
2008-06-13,11.62
2008-06-17,11.67
2008-06-18,11.69
2008-06-19,11.69
2008-06-20,11.69
2008-06-24,11.69
2008-06-25,11.68
2008-06-26,11.67
2008-06-27,11.7
2008-06-30,11.69
2008-07-01,11.67
2008-07-02,11.67
2008-07-03,11.67
2008-07-07,11.7
2008-07-08,11.7
2008-07-09,11.72
2008-07-10,11.7
2008-07-11,11.71
2008-07-14,11.7
2008-07-15,11.69
2008-07-16,11.7
2008-07-17,11.67
2008-07-18,11.67
2008-07-21,11.7
2008-07-22,11.7
2008-07-23,11.69
2008-07-24,11.71
2008-07-25,11.71
2008-07-28,11.72
2008-07-29,11.72
2008-07-30,11.73
2008-07-31,11.73
2008-08-01,11.71
2008-08-04,11.71
2008-08-05,11.7
2008-08-06,11.72
2008-08-07,11.71
2008-08-08,11.72
2008-08-11,11.71
2008-08-12,11.71
2008-08-13,11.72
2008-08-14,11.73
2008-08-15,11.68
2008-08-18,11.66
