Date,Open,High,Low,Close
2007-03-30,23.9387,23.9387,23.9387,23.9387
2007-04-02,23.8289,23.8289,23.8289,23.8289
2007-04-03,23.8019,23.8019,23.8019,23.8019
2007-04-04,22.6885,22.6885,22.6885,22.6885
2007-04-05,22.4171,22.4171,22.4171,22.4171
2007-04-06,21.702,21.702,21.702,21.702
2007-04-09,21.347,21.347,21.347,21.347
2007-04-10,21.3655,21.3655,21.3655,21.3655
2007-04-11,18.7341,18.7341,18.7341,18.7341
2007-04-12,18.1332,18.1332,18.1332,18.1332
2007-04-13,18.1751,18.1751,18.1751,18.1751
2007-04-16,19.0097,19.0097,19.0097,19.0097
2007-04-17,19.699,19.699,19.699,19.699
2007-04-18,19.4492,19.4492,19.4492,19.4492
2007-04-19,18.1734,18.1734,18.1734,18.1734
2007-04-20,17.1995,17.1995,17.1995,17.1995
2007-04-23,17.4599,17.4599,17.4599,17.4599
2007-04-24,18.2264,18.2264,18.2264,18.2264
2007-04-25,18.5363,18.5363,18.5363,18.5363
2007-04-26,18.9324,18.9324,18.9324,18.9324
2007-04-27,18.2426,18.2426,18.2426,18.2426
2007-04-30,18.0538,18.0538,18.0538,18.0538
2007-05-01,18.3774,18.3774,18.3774,18.3774
2007-05-02,17.5164,17.5164,17.5164,17.5164
2007-05-03,18.1041,18.1041,18.1041,18.1041
2007-05-04,18.3583,18.3583,18.3583,18.3583
2007-05-07,18.6974,18.6974,18.6974,18.6974
2007-05-08,18.8677,18.8677,18.8677,18.8677
2007-05-09,18.7324,18.7324,18.7324,18.7324
2007-05-10,21.0122,21.0122,21.0122,21.0122
2007-05-11,21.0263,21.0263,21.0263,21.0263
2007-05-14,21.2029,21.2029,21.2029,21.2029
2007-05-15,20.7029,20.7029,20.7029,20.7029
2007-05-16,20.2658,20.2658,20.2658,20.2658
2007-05-17,20.9725,20.9725,20.9725,20.9725
2007-05-18,20.7468,20.7468,20.7468,20.7468
2007-05-21,20.8275,20.8275,20.8275,20.8275
2007-05-22,21.169,21.169,21.169,21.169
2007-05-23,20.5196,20.5196,20.5196,20.5196
2007-05-24,20.643,20.643,20.643,20.643
2007-05-25,19.748,19.748,19.748,19.748
2007-05-28,19.6518,19.6518,19.6518,19.6518
2007-05-29,19.8625,19.8625,19.8625,19.8625
2007-05-30,19.5833,19.5833,19.5833,19.5833
2007-05-31,19.6009,19.6009,19.6009,19.6009
2007-06-01,18.9904,18.9904,18.9904,18.9904
2007-06-04,18.8655,18.8655,18.8655,18.8655
2007-06-05,18.8733,18.8733,18.8733,18.8733
2007-06-06,18.9238,18.9238,18.9238,18.9238
2007-06-07,19.7162,19.7162,19.7162,19.7162
2007-06-08,17.6878,17.6878,17.6878,17.6878
2007-06-11,17.6185,17.6185,17.6185,17.6185
2007-06-12,17.9129,17.9129,17.9129,17.9129
2007-06-13,17.9294,17.9294,17.9294,17.9294
2007-06-14,17.7379,17.7379,17.7379,17.7379
2007-06-15,16.9246,16.9246,16.9246,16.9246
2007-06-18,17.0935,17.0935,17.0935,17.0935
2007-06-19,17.0178,17.0178,17.0178,17.0178
2007-06-20,17.2763,17.2763,17.2763,17.2763
2007-06-21,17.513,17.513,17.513,17.513
2007-06-22,16.6746,16.6746,16.6746,16.6746
2007-06-25,16.6335,16.6335,16.6335,16.6335
2007-06-26,16.6351,16.6351,16.6351,16.6351
2007-06-27,16.7895,16.7895,16.7895,16.7895
2007-06-28,17.2157,17.2157,17.2157,17.2157
2007-06-29,17.2432,17.2432,17.2432,17.2432
2007-07-02,18.317,18.317,18.317,18.317
2007-07-03,18.4109,18.4109,18.4109,18.4109
2007-07-04,18.1637,18.1637,18.1637,18.1637
2007-07-05,18.3665,18.3665,18.3665,18.3665
2007-07-06,17.5126,17.5126,17.5126,17.5126
2007-07-09,17.1699,17.1699,17.1699,17.1699
2007-07-10,17.4915,17.4915,17.4915,17.4915
2007-07-11,16.9886,16.9886,16.9886,16.9886
2007-07-12,17.1584,17.1584,17.1584,17.1584
2007-07-13,16.921,16.921,16.921,16.921
2007-07-16,16.723,16.723,16.723,16.723
2007-07-17,16.5062,16.5062,16.5062,16.5062
2007-07-18,16.5568,16.5568,16.5568,16.5568
2007-07-19,16.297,16.297,16.297,16.297
2007-07-20,16.0068,16.0068,16.0068,16.0068
2007-07-23,16.8536,16.8536,16.8536,16.8536
2007-07-24,17.3464,17.3464,17.3464,17.3464
2007-07-25,17.5172,17.5172,17.5172,17.5172
2007-07-26,22.238,22.238,22.238,22.238
2007-07-27,22.2414,22.2414,22.2414,22.2414
2007-07-30,22.4378,22.4378,22.4378,22.4378
2007-07-31,21.9923,21.9923,21.9923,21.9923
2007-08-01,22.2583,22.2583,22.2583,22.2583
2007-08-02,22.3084,22.3084,22.3084,22.3084
2007-08-03,22.1234,22.1234,22.1234,22.1234
2007-08-06,23.7114,23.7114,23.7114,23.7114
2007-08-07,23.8244,23.8244,23.8244,23.8244
2007-08-08,23.6673,23.6673,23.6673,23.6673
2007-08-09,26.2018,26.2018,26.2018,26.2018
2007-08-10,26.2012,26.2012,26.2012,26.2012
2007-08-13,26.2786,26.2786,26.2786,26.2786
2007-08-14,28.1248,28.1248,28.1248,28.1248
2007-08-15,29.494,29.494,29.494,29.494
2007-08-16,30.1154,30.1154,30.1154,30.1154
2007-08-17,30.4485,30.4485,30.4485,30.4485
2007-08-20,30.8748,30.8748,30.8748,30.8748
2007-08-21,30.6244,30.6244,30.6244,30.6244
2007-08-22,31.9884,31.9884,31.9884,31.9884
2007-08-23,32.0387,32.0387,32.0387,32.0387
2007-08-24,28.7554,28.7554,28.7554,28.7554
2007-08-27,28.6789,28.6789,28.6789,28.6789
2007-08-28,29.0137,29.0137,29.0137,29.0137
2007-08-29,30.8377,30.8377,30.8377,30.8377
2007-08-30,30.6016,30.6016,30.6016,30.6016
2007-08-31,30.7402,30.7402,30.7402,30.7402
2007-09-03,31.0486,31.0486,31.0486,31.0486
2007-09-04,30.019,30.019,30.019,30.019
2007-09-05,30.0002,30.0002,30.0002,30.0002
2007-09-06,30.1237,30.1237,30.1237,30.1237
2007-09-07,27.9996,27.9996,27.9996,27.9996
2007-09-10,27.7691,27.7691,27.7691,27.7691
2007-09-11,27.7232,27.7232,27.7232,27.7232
2007-09-12,25.8982,25.8982,25.8982,25.8982
2007-09-13,24.264,24.264,24.264,24.264
2007-09-14,23.5311,23.5311,23.5311,23.5311
2007-09-17,22.6184,22.6184,22.6184,22.6184
2007-09-18,22.1167,22.1167,22.1167,22.1167
2007-09-19,21.8787,21.8787,21.8787,21.8787
2007-09-20,19.3652,19.3652,19.3652,19.3652
2007-09-21,19.1204,19.1204,19.1204,19.1204
2007-09-24,18.9748,18.9748,18.9748,18.9748
2007-09-25,18.674,18.674,18.674,18.674
2007-09-26,17.9159,17.9159,17.9159,17.9159
2007-09-27,14.1814,14.1814,14.1814,14.1814
2007-09-28,14.0973,14.0973,14.0973,14.0973
2007-10-01,13.8825,13.8825,13.8825,13.8825
2007-10-02,13.1515,13.1515,13.1515,13.1515
2007-10-03,12.8865,12.8865,12.8865,12.8865
2007-10-04,12.7358,12.7358,12.7358,12.7358
2007-10-05,12.1865,12.1865,12.1865,12.1865
2007-10-08,11.9329,11.9329,11.9329,11.9329
2007-10-09,11.7667,11.7667,11.7667,11.7667
2007-10-10,12.0319,12.0319,12.0319,12.0319
2007-10-11,12.6464,12.6464,12.6464,12.6464
2007-10-12,12.8336,12.8336,12.8336,12.8336
2007-10-15,13.4065,13.4065,13.4065,13.4065
2007-10-16,13.6066,13.6066,13.6066,13.6066
2007-10-17,13.8854,13.8854,13.8854,13.8854
2007-10-18,14.1683,14.1683,14.1683,14.1683
2007-10-19,14.3392,14.3392,14.3392,14.3392
2007-10-22,14.9381,14.9381,14.9381,14.9381
2007-10-23,15.3975,15.3975,15.3975,15.3975
2007-10-24,15.4833,15.4833,15.4833,15.4833
2007-10-25,15.7782,15.7782,15.7782,15.7782
2007-10-26,15.7068,15.7068,15.7068,15.7068
2007-10-29,15.7844,15.7844,15.7844,15.7844
2007-10-30,15.8115,15.8115,15.8115,15.8115
2007-10-31,16.0113,16.0113,16.0113,16.0113
2007-11-01,16.2751,16.2751,16.2751,16.2751
2007-11-02,16.5352,16.5352,16.5352,16.5352
2007-11-05,16.6873,16.6873,16.6873,16.6873
2007-11-06,16.8711,16.8711,16.8711,16.8711
2007-11-07,17.2666,17.2666,17.2666,17.2666
2007-11-08,17.6581,17.6581,17.6581,17.6581
2007-11-09,18.2002,18.2002,18.2002,18.2002
2007-11-12,18.645,18.645,18.645,18.645
2007-11-13,18.3753,18.3753,18.3753,18.3753
2007-11-14,18.8594,18.8594,18.8594,18.8594
2007-11-15,18.9843,18.9843,18.9843,18.9843
2007-11-16,19.2146,19.2146,19.2146,19.2146
2007-11-19,19.262,19.262,19.262,19.262
2007-11-20,19.153,19.153,19.153,19.153
2007-11-21,19.1504,19.1504,19.1504,19.1504
2007-11-22,19.0508,19.0508,19.0508,19.0508
2007-11-23,19.0082,19.0082,19.0082,19.0082
2007-11-26,19.3967,19.3967,19.3967,19.3967
2007-11-27,19.8222,19.8222,19.8222,19.8222
2007-11-28,20.0292,20.0292,20.0292,20.0292
2007-11-29,20.1095,20.1095,20.1095,20.1095
2007-11-30,20.2705,20.2705,20.2705,20.2705
2007-12-03,20.142,20.142,20.142,20.142
2007-12-04,20.114,20.114,20.114,20.114
2007-12-05,20.0695,20.0695,20.0695,20.0695
2007-12-06,19.7826,19.7826,19.7826,19.7826
2007-12-07,19.3124,19.3124,19.3124,19.3124
2007-12-10,18.4154,18.4154,18.4154,18.4154
2007-12-11,18.2311,18.2311,18.2311,18.2311
2007-12-12,18.3384,18.3384,18.3384,18.3384
2007-12-13,17.7966,17.7966,17.7966,17.7966
2007-12-14,17.5316,17.5316,17.5316,17.5316
2007-12-17,17.2609,17.2609,17.2609,17.2609
2007-12-18,17.3795,17.3795,17.3795,17.3795
2007-12-19,17.0556,17.0556,17.0556,17.0556
2007-12-20,16.6723,16.6723,16.6723,16.6723
2007-12-21,17.089,17.089,17.089,17.089
2007-12-24,16.9231,16.9231,16.9231,16.9231
2007-12-25,16.3481,16.3481,16.3481,16.3481
2007-12-26,15.8875,15.8875,15.8875,15.8875
2007-12-27,15.8448,15.8448,15.8448,15.8448
2007-12-28,15.6633,15.6633,15.6633,15.6633
2007-12-31,15.3562,15.3562,15.3562,15.3562
2008-01-01,15.3387,15.3387,15.3387,15.3387
2008-01-02,15.3013,15.3013,15.3013,15.3013
2008-01-03,15.2178,15.2178,15.2178,15.2178
2008-01-04,15.3167,15.3167,15.3167,15.3167
2008-01-07,15.298,15.298,15.298,15.298
2008-01-08,15.3796,15.3796,15.3796,15.3796
2008-01-09,15.1939,15.1939,15.1939,15.1939
2008-01-10,14.8375,14.8375,14.8375,14.8375
2008-01-11,14.9791,14.9791,14.9791,14.9791
2008-01-14,14.992,14.992,14.992,14.992
2008-01-15,14.7944,14.7944,14.7944,14.7944
2008-01-16,14.8922,14.8922,14.8922,14.8922
2008-01-17,15.392,15.392,15.392,15.392
2008-01-18,15.5816,15.5816,15.5816,15.5816
2008-01-21,15.464,15.464,15.464,15.464
2008-01-22,16.9705,16.9705,16.9705,16.9705
2008-01-23,18.0016,18.0016,18.0016,18.0016
2008-01-24,18.1288,18.1288,18.1288,18.1288
2008-01-25,18.7475,18.7475,18.7475,18.7475
2008-01-28,18.8838,18.8838,18.8838,18.8838
2008-01-29,18.9559,18.9559,18.9559,18.9559
2008-01-30,19.4837,19.4837,19.4837,19.4837
2008-01-31,20.4619,20.4619,20.4619,20.4619
2008-02-01,20.8157,20.8157,20.8157,20.8157
2008-02-04,20.9904,20.9904,20.9904,20.9904
2008-02-05,21.7379,21.7379,21.7379,21.7379
2008-02-06,22.0192,22.0192,22.0192,22.0192
2008-02-07,23.0759,23.0759,23.0759,23.0759
2008-02-08,23.6029,23.6029,23.6029,23.6029
2008-02-11,23.7939,23.7939,23.7939,23.7939
2008-02-12,24.0724,24.0724,24.0724,24.0724
2008-02-13,24.3601,24.3601,24.3601,24.3601
2008-02-14,24.2334,24.2334,24.2334,24.2334
2008-02-15,24.2047,24.2047,24.2047,24.2047
2008-02-18,24.1455,24.1455,24.1455,24.1455
2008-02-19,24.1867,24.1867,24.1867,24.1867
2008-02-20,23.6975,23.6975,23.6975,23.6975
2008-02-21,23.3533,23.3533,23.3533,23.3533
2008-02-22,23.457,23.457,23.457,23.457
2008-02-25,23.1251,23.1251,23.1251,23.1251
2008-02-26,23.0949,23.0949,23.0949,23.0949
2008-02-27,23.2112,23.2112,23.2112,23.2112
2008-02-28,22.7365,22.7365,22.7365,22.7365
2008-02-29,22.3011,22.3011,22.3011,22.3011
2008-03-03,23.0825,23.0825,23.0825,23.0825
2008-03-04,23.135,23.135,23.135,23.135
2008-03-05,22.7219,22.7219,22.7219,22.7219
2008-03-06,23.1625,23.1625,23.1625,23.1625
2008-03-07,22.874,22.874,22.874,22.874
2008-03-10,22.7024,22.7024,22.7024,22.7024
2008-03-11,22.9292,22.9292,22.9292,22.9292
2008-03-12,22.8823,22.8823,22.8823,22.8823
2008-03-13,22.7723,22.7723,22.7723,22.7723
2008-03-14,23.1332,23.1332,23.1332,23.1332
2008-03-17,24.1073,24.1073,24.1073,24.1073
2008-03-18,24.4212,24.4212,24.4212,24.4212
2008-03-19,24.7394,24.7394,24.7394,24.7394
2008-03-20,24.5034,24.5034,24.5034,24.5034
2008-03-21,24.1105,24.1105,24.1105,24.1105
2008-03-24,23.8867,23.8867,23.8867,23.8867
2008-03-25,23.6501,23.6501,23.6501,23.6501
2008-03-26,23.6099,23.6099,23.6099,23.6099
2008-03-27,23.5292,23.5292,23.5292,23.5292
2008-03-28,23.7434,23.7434,23.7434,23.7434
2008-03-31,23.4404,23.4404,23.4404,23.4404
2008-04-01,22.5545,22.5545,22.5545,22.5545
2008-04-02,22.7558,22.7558,22.7558,22.7558
2008-04-03,22.742,22.742,22.742,22.742
2008-04-04,22.3351,22.3351,22.3351,22.3351
2008-04-07,21.7367,21.7367,21.7367,21.7367
2008-04-08,21.3958,21.3958,21.3958,21.3958
2008-04-09,20.9034,20.9034,20.9034,20.9034
2008-04-10,21.0521,21.0521,21.0521,21.0521
2008-04-11,21.043,21.043,21.043,21.043
2008-04-14,20.6292,20.6292,20.6292,20.6292
2008-04-15,19.1517,19.1517,19.1517,19.1517
2008-04-16,18.8723,18.8723,18.8723,18.8723
2008-04-17,18.4248,18.4248,18.4248,18.4248
2008-04-18,18.0805,18.0805,18.0805,18.0805
2008-04-21,18.0838,18.0838,18.0838,18.0838
2008-04-22,18.1711,18.1711,18.1711,18.1711
2008-04-23,18.0867,18.0867,18.0867,18.0867
2008-04-24,18.2205,18.2205,18.2205,18.2205
2008-04-25,18.6604,18.6604,18.6604,18.6604
2008-04-28,18.2989,18.2989,18.2989,18.2989
2008-04-29,18.0528,18.0528,18.0528,18.0528
2008-04-30,17.882,17.882,17.882,17.882
2008-05-01,17.4209,17.4209,17.4209,17.4209
2008-05-02,17.2498,17.2498,17.2498,17.2498
2008-05-05,16.6855,16.6855,16.6855,16.6855
2008-05-06,16.4549,16.4549,16.4549,16.4549
2008-05-07,16.4298,16.4298,16.4298,16.4298
2008-05-08,16.6082,16.6082,16.6082,16.6082
2008-05-09,16.1177,16.1177,16.1177,16.1177
2008-05-12,15.976,15.976,15.976,15.976
2008-05-13,15.9767,15.9767,15.9767,15.9767
2008-05-14,16.1766,16.1766,16.1766,16.1766
2008-05-15,16.0039,16.0039,16.0039,16.0039
2008-05-16,15.8958,15.8958,15.8958,15.8958
2008-05-19,15.8635,15.8635,15.8635,15.8635
2008-05-20,16.2704,16.2704,16.2704,16.2704
2008-05-21,16.2951,16.2951,16.2951,16.2951
2008-05-22,16.677,16.677,16.677,16.677
2008-05-23,16.2948,16.2948,16.2948,16.2948
2008-05-26,15.2963,15.2963,15.2963,15.2963
2008-05-27,15.5195,15.5195,15.5195,15.5195
2008-05-28,15.7285,15.7285,15.7285,15.7285
2008-05-29,16.0244,16.0244,16.0244,16.0244
2008-05-30,16.0997,16.0997,16.0997,16.0997
2008-06-02,16.0849,16.0849,16.0849,16.0849
2008-06-03,16.4176,16.4176,16.4176,16.4176
2008-06-04,16.3769,16.3769,16.3769,16.3769
2008-06-05,16.9011,16.9011,16.9011,16.9011
2008-06-06,16.5024,16.5024,16.5024,16.5024
2008-06-09,16.8335,16.8335,16.8335,16.8335
2008-06-10,16.7376,16.7376,16.7376,16.7376
2008-06-11,16.6167,16.6167,16.6167,16.6167
2008-06-12,17.3392,17.3392,17.3392,17.3392
2008-06-13,17.4254,17.4254,17.4254,17.4254
2008-06-16,17.1812,17.1812,17.1812,17.1812
2008-06-17,17.1812,17.1812,17.1812,17.1812
2008-06-18,17.144,17.144,17.144,17.144
2008-06-19,16.9855,16.9855,16.9855,16.9855
2008-06-20,16.6649,16.6649,16.6649,16.6649
2008-06-23,17.0126,17.0126,17.0126,17.0126
2008-06-24,17.1816,17.1816,17.1816,17.1816
2008-06-25,17.1644,17.1644,17.1644,17.1644
2008-06-26,17.201,17.201,17.201,17.201
2008-06-27,17.1623,17.1623,17.1623,17.1623
2008-06-30,17.1101,17.1101,17.1101,17.1101
2008-07-01,17.0082,17.0082,17.0082,17.0082
2008-07-02,16.826,16.826,16.826,16.826
2008-07-03,16.9727,16.9727,16.9727,16.9727
2008-07-04,16.4669,16.4669,16.4669,16.4669
2008-07-07,16.5232,16.5232,16.5232,16.5232
2008-07-08,16.0754,16.0754,16.0754,16.0754
2008-07-09,16.179,16.179,16.179,16.179
2008-07-10,16.254,16.254,16.254,16.254
2008-07-11,15.3473,15.3473,15.3473,15.3473
2008-07-14,15.2335,15.2335,15.2335,15.2335
2008-07-15,15.3573,15.3573,15.3573,15.3573
2008-07-16,15.4943,15.4943,15.4943,15.4943
2008-07-17,15.1127,15.1127,15.1127,15.1127
2008-07-18,15.246,15.246,15.246,15.246
2008-07-21,15.157,15.157,15.157,15.157
2008-07-22,14.7799,14.7799,14.7799,14.7799
2008-07-23,14.7322,14.7322,14.7322,14.7322
2008-07-24,14.6834,14.6834,14.6834,14.6834
2008-07-25,14.4415,14.4415,14.4415,14.4415
2008-07-28,14.2045,14.2045,14.2045,14.2045
2008-07-29,14.2307,14.2307,14.2307,14.2307
2008-07-30,14.2551,14.2551,14.2551,14.2551
2008-07-31,14.2699,14.2699,14.2699,14.2699
2008-08-01,14.0979,14.0979,14.0979,14.0979
2008-08-04,14.2744,14.2744,14.2744,14.2744
2008-08-05,14.4742,14.4742,14.4742,14.4742
2008-08-06,14.571,14.571,14.571,14.571
2008-08-07,14.4954,14.4954,14.4954,14.4954
2008-08-08,15.1964,15.1964,15.1964,15.1964
2008-08-11,15.4244,15.4244,15.4244,15.4244
2008-08-12,15.5541,15.5541,15.5541,15.5541
2008-08-13,15.7108,15.7108,15.7108,15.7108
2008-08-14,15.8169,15.8169,15.8169,15.8169
2008-08-15,16.4219,16.4219,16.4219,16.4219
2008-08-18,16.5533,16.5533,16.5533,16.5533
2008-08-19,16.9857,16.9857,16.9857,16.9857
2008-08-20,17.063,17.063,17.063,17.063
2008-08-21,17.2005,17.2005,17.2005,17.2005
2008-08-22,17.0203,17.0203,17.0203,17.0203
2008-08-25,17.1513,17.1513,17.1513,17.1513
2008-08-26,17.0795,17.0795,17.0795,17.0795
