Date,Open,High,Low,Close
1999-02-08,16.45,16.45,16.45,16.45
1999-02-09,17.75,18.95,17.75,18.95
1999-02-11,18.7,18.7,18.45,18.45
1999-02-12,17.7,17.7,16.95,16.95
1999-02-18,16.25,16.25,16.25,16.25
1999-02-22,16.95,16.95,16.95,16.95
1999-02-23,16.75,16.75,15.75,15.95
1999-02-24,15.6,15.6,14.95,14.95
1999-03-08,14.0,14.0,13.45,13.45
1999-03-15,13.25,13.25,13.25,13.25
1999-03-17,13.1,13.1,12.95,12.95
1999-03-18,12.95,12.95,12.95,12.95
1999-03-22,11.45,11.45,11.45,11.45
1999-03-23,11.45,11.45,11.45,11.45
1999-03-24,11.2,11.4,10.95,11.4
1999-03-26,10.6,11.05,10.25,11.05
1999-03-29,9.95,10.25,9.95,10.25
1999-03-30,12.0,12.0,12.0,12.0
1999-04-01,10.05,10.05,10.05,10.05
1999-04-06,9.9,9.9,9.75,9.75
1999-04-07,10.5,10.5,9.45,9.45
1999-04-08,9.45,9.75,9.25,9.75
1999-04-09,9.55,9.55,9.55,9.55
1999-04-12,9.45,9.45,9.45,9.45
1999-04-13,8.55,8.55,8.55,8.55
1999-04-14,10.5,10.5,10.5,10.5
1999-04-15,9.45,9.45,9.45,9.45
1999-04-16,9.75,9.75,9.75,9.75
1999-04-19,9.25,9.45,9.25,9.45
1999-04-20,9.25,9.25,9.25,9.25
1999-04-21,9.75,10.175,9.75,10.175
1999-04-22,9.6,9.6,9.45,9.45
1999-04-26,9.4,9.4,9.25,9.25
1999-04-27,9.3,9.35,9.3,9.35
1999-04-28,9.25,9.55,9.25,9.55
1999-05-03,10.0,10.0,10.0,10.0
1999-05-04,10.0,10.0,10.0,10.0
1999-05-05,10.25,10.25,10.25,10.25
1999-05-06,10.75,10.75,10.3,10.3
1999-05-10,11.25,11.25,11.25,11.25
1999-05-11,11.35,11.45,11.35,11.45
1999-05-12,11.25,11.25,11.25,11.25
1999-05-13,11.95,11.95,11.95,11.95
1999-05-14,12.65,12.65,12.25,12.25
1999-05-17,11.95,11.95,11.95,11.95
1999-05-18,12.25,12.25,11.05,11.05
1999-05-19,11.9,11.9,11.55,11.55
1999-05-20,11.95,11.95,10.9,10.9
1999-05-21,11.95,11.95,10.2,10.2
1999-05-24,12.25,12.25,10.675,11.75
1999-05-25,12.5,12.5,11.75,11.75
1999-05-26,13.25,13.25,13.175,13.175
1999-05-27,12.75,12.8,12.75,12.8
1999-05-28,12.95,12.95,12.75,12.8
1999-05-31,12.6,12.6,12.45,12.45
1999-06-01,13.0,13.0,13.0,13.0
1999-06-02,12.45,12.45,12.45,12.45
1999-06-03,12.5,12.5,12.45,12.45
1999-06-04,11.95,11.95,11.1,11.1
1999-06-07,10.85,10.85,10.65,10.65
1999-06-08,10.5,10.5,10.5,10.5
1999-06-09,10.75,10.75,10.75,10.75
1999-06-10,10.75,10.75,10.3,10.5
1999-06-11,10.45,10.45,10.3,10.3
1999-06-14,13.0,13.0,11.45,11.45
1999-06-15,10.15,11.45,9.5,9.5
1999-06-22,9.25,9.25,9.0,9.0
1999-06-23,9.25,9.25,8.75,9.0
1999-06-24,10.0,10.0,10.0,10.0
1999-06-25,10.0,10.0,10.0,10.0
1999-06-29,10.0,10.0,10.0,10.0
1999-06-30,10.0,10.0,10.0,10.0
1999-07-02,9.75,9.75,9.125,9.125
1999-07-06,9.25,9.25,9.25,9.25
1999-07-12,9.25,9.25,9.25,9.25
1999-07-14,9.25,9.25,9.25,9.25
1999-07-15,9.5,9.5,9.5,9.5
1999-07-19,9.5,9.5,8.75,8.75
