Date,Open,High,Low,Close
2010-01-27,11.2,11.2,11.2,11.2
2010-01-28,11.22,11.22,11.22,11.22
2010-01-29,11.2,11.2,11.2,11.2
2010-02-01,11.19,11.19,11.19,11.19
2010-02-02,11.2,11.2,11.2,11.2
2010-02-03,11.18,11.18,11.18,11.18
2010-02-04,11.22,11.22,11.22,11.22
2010-02-05,11.3,11.3,11.3,11.3
2010-02-09,11.24,11.24,11.24,11.24
2010-02-10,11.23,11.23,11.23,11.23
2010-02-11,11.21,11.21,11.21,11.21
2010-02-12,11.18,11.18,11.18,11.18
2010-02-15,11.1,11.1,11.1,11.1
2010-02-17,10.9,10.9,10.9,10.9
2010-02-18,10.93,10.93,10.93,10.93
2010-02-25,10.94,10.94,10.94,10.94
2010-03-03,10.72,10.72,10.72,10.72
2010-03-05,10.83,10.83,10.83,10.83
2010-03-25,10.65,10.65,10.65,10.65
2010-03-26,10.65,10.65,10.65,10.65
2010-03-29,10.65,10.65,10.65,10.65
2010-03-31,10.54,10.54,10.54,10.54
2010-04-01,10.54,10.54,10.54,10.54
2010-04-02,10.54,10.54,10.54,10.54
2010-04-05,10.68,10.68,10.68,10.68
2010-04-06,10.92,10.92,10.92,10.92
2010-04-07,10.78,10.78,10.78,10.78
2010-04-08,10.81,10.81,10.81,10.81
2010-04-09,10.81,10.81,10.81,10.81
2010-04-12,10.81,10.81,10.81,10.81
2010-04-13,10.64,10.64,10.64,10.64
2010-04-14,10.64,10.64,10.64,10.64
2010-04-15,10.68,10.68,10.68,10.68
2010-04-16,10.68,10.68,10.68,10.68
2010-04-19,10.68,10.68,10.68,10.68
2010-04-20,10.68,10.68,10.68,10.68
2010-04-21,10.68,10.68,10.68,10.68
2010-04-22,10.7,10.7,10.7,10.7
2010-04-26,10.7,10.7,10.7,10.7
2010-04-28,10.82,10.82,10.82,10.82
2010-04-29,10.71,10.71,10.71,10.71
2010-04-30,10.75,10.75,10.75,10.75
2010-05-03,10.79,10.79,10.79,10.79
2010-05-04,10.79,10.79,10.79,10.79
2010-05-05,10.91,10.91,10.91,10.91
2010-05-06,10.94,10.94,10.94,10.94
2010-05-07,11.25,11.25,11.25,11.25
2010-05-10,11.25,11.25,11.25,11.25
2010-05-11,11.25,11.25,11.25,11.25
2010-05-12,10.77,10.77,10.77,10.77
2010-05-13,10.77,10.77,10.77,10.77
2010-05-14,10.77,10.77,10.77,10.77
2010-05-24,10.84,10.84,10.84,10.84
2010-05-25,10.89,10.89,10.89,10.89
2010-05-26,10.8,10.8,10.8,10.8
2010-05-27,10.78,10.78,10.78,10.78
2010-05-28,10.78,10.78,10.78,10.78
2010-05-31,10.78,10.78,10.78,10.78
2010-06-01,10.51,10.51,10.51,10.51
2010-06-02,10.51,10.51,10.51,10.51
2010-06-03,10.51,10.51,10.51,10.51
2010-06-04,10.43,10.43,10.43,10.43
2010-06-07,10.43,10.43,10.43,10.43
2010-06-08,10.43,10.43,10.43,10.43
2010-06-09,10.43,10.43,10.43,10.43
2010-06-10,10.33,10.33,10.33,10.33
2010-06-11,10.25,10.25,10.25,10.25
2010-06-14,10.08,10.08,10.08,10.08
2010-06-15,10.08,10.08,10.08,10.08
2010-06-16,9.88,9.88,9.88,9.88
2010-06-17,9.76,9.76,9.76,9.76
2010-06-18,9.81,9.81,9.81,9.81
2010-06-21,9.76,9.76,9.76,9.76
2010-06-22,9.84,9.84,9.84,9.84
2010-06-23,9.84,9.84,9.84,9.84
2010-06-24,9.84,9.84,9.84,9.84
2010-06-25,9.84,9.84,9.84,9.84
2010-06-29,9.84,9.84,9.84,9.84
2010-06-30,9.84,9.84,9.84,9.84
2010-07-01,9.82,9.82,9.82,9.82
