Date,Open,High,Low,Close
2000-10-12,425.0,431.25,418.75,425.0
2000-10-20,457.5,463.75,451.25,457.5
2000-10-24,462.5,468.75,456.25,462.5
2000-10-25,460.0,466.25,453.75,460.0
2000-10-26,452.5,458.75,446.25,452.5
2000-10-27,452.5,458.75,446.25,452.5
2000-10-30,437.5,443.75,431.25,437.5
2000-10-31,470.0,476.25,463.75,470.0
2000-11-01,470.0,476.25,463.75,470.0
2000-11-02,462.5,468.75,456.25,462.5
2000-11-03,460.0,466.25,453.75,460.0
2000-11-06,452.5,458.75,446.25,452.5
2000-11-07,452.5,458.75,446.25,452.5
2000-11-08,457.5,463.75,451.25,457.5
2000-11-09,462.5,468.75,456.25,462.5
2000-11-10,457.5,463.75,451.25,457.5
2000-11-13,457.5,463.75,451.25,457.5
2000-11-14,465.0,471.25,458.75,465.0
2000-11-15,460.0,466.25,453.75,460.0
2000-11-16,460.0,466.25,453.75,460.0
2000-11-17,462.5,468.75,456.25,462.5
2000-11-20,467.5,473.75,461.25,467.5
2000-11-21,480.0,486.25,473.75,480.0
2000-11-22,510.0,516.25,503.75,510.0
2000-11-24,577.5,583.75,571.25,577.5
2000-11-27,597.5,603.75,591.25,597.5
2000-11-28,715.0,721.25,708.75,715.0
2000-11-29,762.5,768.75,756.25,762.5
2000-11-30,800.0,806.25,793.75,800.0
2000-12-01,825.0,831.25,818.75,825.0
2000-12-04,880.0,886.25,873.75,880.0
2000-12-05,800.0,806.25,793.75,800.0
2000-12-06,742.5,748.75,736.25,742.5
2000-12-07,747.5,753.75,741.25,747.5
2000-12-08,742.5,748.75,736.25,742.5
2000-12-11,727.5,733.75,721.25,727.5
2000-12-12,720.0,726.25,713.75,720.0
2000-12-13,740.0,746.25,733.75,740.0
2000-12-14,752.5,758.75,746.25,752.5
2000-12-15,752.5,758.75,746.25,752.5
2000-12-18,735.0,741.25,728.75,735.0
2000-12-19,760.0,766.25,753.75,760.0
2000-12-20,760.0,766.25,753.75,760.0
2000-12-21,750.0,756.25,743.75,750.0
2000-12-22,750.0,756.25,743.75,750.0
2000-12-26,750.0,756.25,743.75,750.0
2000-12-27,750.0,756.25,743.75,750.0
2000-12-28,750.0,756.25,743.75,750.0
2000-12-29,750.0,756.25,743.75,750.0
2001-01-02,750.0,756.25,743.75,750.0
2001-01-03,760.0,766.25,753.75,760.0
2001-01-04,750.0,756.25,743.75,750.0
2001-01-05,697.5,703.75,691.25,697.5
2001-01-08,700.0,706.25,693.75,700.0
2001-01-09,700.0,706.25,693.75,700.0
2001-01-10,700.0,706.25,693.75,700.0
2001-01-11,690.0,696.25,683.75,690.0
2001-01-12,657.5,663.75,651.25,657.5
2001-01-16,637.5,643.75,631.25,637.5
2001-01-17,625.0,631.25,618.75,625.0
2001-01-18,617.5,623.75,611.25,617.5
2001-01-19,577.5,583.75,571.25,577.5
2001-01-22,582.5,588.75,576.25,582.5
2001-01-23,577.5,583.75,571.25,577.5
2001-01-24,550.0,556.25,543.75,550.0
2001-01-25,532.5,538.75,526.25,532.5
2001-01-26,532.5,538.75,526.25,532.5
2001-01-29,522.5,528.75,516.25,522.5
2001-01-30,522.5,528.75,516.25,522.5
2001-01-31,522.5,528.75,516.25,522.5
2001-02-01,522.5,528.75,516.25,522.5
2001-02-02,522.5,528.75,516.25,522.5
2001-02-05,540.0,546.25,533.75,540.0
2001-02-06,565.0,571.25,558.75,565.0
2001-02-07,640.0,646.25,633.75,640.0
2001-02-08,615.0,621.25,608.75,615.0
2001-02-09,610.0,616.25,603.75,610.0
2001-02-12,631.474,637.724,625.224,631.474
2001-02-13,650.0,656.25,643.75,650.0
2001-02-14,647.5,653.75,641.25,647.5
2001-02-15,642.5,648.75,636.25,642.5
2001-02-16,635.0,641.25,628.75,635.0
2001-02-20,790.0,796.25,783.75,790.0
2001-02-21,992.5,998.75,986.25,992.5
2001-02-22,967.5,973.75,961.25,967.5
2001-02-23,950.0,956.25,943.75,950.0
