Date,Open,High,Low,Close,Volume,SMAVG (15)
1988-01-04,0.07,0.07,0.07,0.07,,
1988-01-05,0.07,0.07,0.07,0.07,2490437888.0,2723427840.0
1988-01-06,0.07,0.07,0.07,0.07,2315175680.0,2735152128.0
1988-01-07,0.07,0.07,0.07,0.07,4190463232.0,2777677312.0
1988-01-08,0.07,0.07,0.07,0.07,2625140480.0,2732103680.0
1988-01-11,0.07,0.07,0.07,0.07,2863563776.0,2831933952.0
1988-01-12,0.07,0.07,0.07,0.07,2304204032.0,3023676928.0
1988-01-13,0.07,0.07,0.07,0.07,2874951936.0,3000478464.0
1988-01-14,0.08,0.08,0.08,0.08,2096631680.0,3021588480.0
1988-01-15,0.08,0.08,0.08,0.08,2778656256.0,3119924480.0
1988-01-18,0.08,0.08,0.08,0.08,2647194880.0,3125008384.0
1988-01-19,0.09,0.09,0.09,0.09,2562662144.0,3093501184.0
1988-01-20,0.08,0.08,0.08,0.08,2193425152.0,3062137344.0
1988-01-21,0.08,0.08,0.08,0.08,3171634688.0,3090837760.0
1988-01-22,0.08,0.08,0.08,0.08,2389183232.0,3086242560.0
1988-01-25,0.09,0.09,0.09,0.09,3348091392.0,3127125248.0
1988-01-26,0.08,0.08,0.08,0.08,2666302464.0,3107068672.0
1988-01-27,0.08,0.08,0.08,0.08,2953052416.0,3166474240.0
1988-01-28,0.08,0.08,0.08,0.08,3506861568.0,3196404480.0
1988-01-29,0.09,0.09,0.09,0.09,4122592256.0,3182369280.0
1988-02-01,0.09,0.09,0.09,0.09,5739708928.0,3186392832.0
1988-02-02,0.08,0.08,0.08,0.08,1956226816.0,3116760576.0
1988-02-03,0.08,0.08,0.08,0.08,3191601408.0,3202454272.0
1988-02-04,0.08,0.08,0.08,0.08,3571672832.0,3237160704.0
1988-02-05,0.08,0.08,0.08,0.08,2854913792.0,3294579968.0
1988-02-08,0.08,0.08,0.08,0.08,2174588416.0,3387835392.0
1988-02-09,0.07,0.07,0.07,0.07,2092203776.0,3582570240.0
1988-02-10,0.07,0.07,0.07,0.07,2623930880.0,3713000448.0
1988-02-11,0.07,0.07,0.07,0.07,3102707456.0,3820451584.0
1988-02-12,0.07,0.07,0.07,0.07,3002423296.0,3925634560.0
1988-02-15,0.07,0.07,0.07,0.07,3047242240.0,4062387200.0
1988-02-16,0.07,0.07,0.07,0.07,3557388288.0,4234311936.0
1988-02-17,0.07,0.07,0.07,0.07,3402004736.0,4194429952.0
1988-02-18,0.06,0.06,0.06,0.06,3296335104.0,4168756736.0
1988-02-19,0.06,0.06,0.06,0.06,4182945024.0,4171899392.0
1988-02-22,0.07,0.07,0.07,0.07,4695222784.0,4156625664.0
1988-02-23,0.07,0.07,0.07,0.07,3241634816.0,4205463296.0
1988-02-24,0.07,0.07,0.07,0.07,3712196352.0,4424234496.0
1988-02-25,0.07,0.07,0.07,0.07,4432962048.0,4431301120.0
1988-02-26,0.07,0.07,0.07,0.07,4253745920.0,4416955392.0
1988-02-29,0.07,0.07,0.07,0.07,5095610368.0,4475264000.0
1988-03-01,0.07,0.07,0.07,0.07,4048658944.0,4453433856.0
1988-03-02,0.07,0.07,0.07,0.07,4235697152.0,4438095872.0
1988-03-03,0.07,0.07,0.07,0.07,4680451584.0,4456488960.0
1988-03-04,0.07,0.07,0.07,0.07,5053711360.0,4533160448.0
1988-03-07,0.07,0.07,0.07,0.07,5626115072.0,4582199808.0
1988-03-08,0.07,0.07,0.07,0.07,2959156224.0,4560375808.0
1988-03-09,0.07,0.07,0.07,0.07,3016910080.0,4683884544.0
1988-03-10,0.07,0.07,0.07,0.07,3343473920.0,4795253248.0
1988-03-11,0.07,0.07,0.07,0.07,3953837056.0,4946515968.0
1988-03-14,0.07,0.07,0.07,0.07,5427787776.0,4986888192.0
1988-03-15,0.07,0.07,0.07,0.07,6523204096.0,4947549184.0
1988-03-16,0.07,0.07,0.07,0.07,3818195712.0,4824517120.0
1988-03-17,0.07,0.07,0.07,0.07,4217777664.0,4887478784.0
1988-03-18,0.07,0.07,0.07,0.07,5128373760.0,4927072768.0
1988-03-21,0.07,0.07,0.07,0.07,4768154624.0,4910412800.0
1988-03-22,0.07,0.07,0.07,0.07,3818595584.0,4937106432.0
1988-03-23,0.07,0.07,0.07,0.07,4511590400.0,5043124736.0
1988-03-24,0.07,0.07,0.07,0.07,5830524416.0,5109073920.0
1988-03-25,0.07,0.07,0.07,0.07,5789300736.0,5132098560.0
1988-03-28,0.07,0.07,0.07,0.07,5298756608.0,5101536768.0
1988-03-29,0.06,0.06,0.06,0.06,4811784704.0,5192231424.0
1988-03-30,0.06,0.06,0.06,0.06,4687438336.0,5216268288.0
1988-03-31,0.06,0.06,0.06,0.06,5612415488.0,5137886208.0
1988-04-01,0.06,0.06,0.06,0.06,4559421440.0,5043264000.0
1988-04-04,0.06,0.06,0.06,0.06,4837702144.0,4967360512.0
1988-04-05,0.06,0.06,0.06,0.06,4677723136.0,4843322368.0
1988-04-06,0.06,0.06,0.06,0.06,4762625536.0,4706714112.0
1988-04-07,0.06,0.06,0.06,0.06,4811686912.0,4740096000.0
1988-04-08,0.06,0.06,0.06,0.06,4878475264.0,4761061376.0
1988-04-11,0.06,0.06,0.06,0.06,5168557568.0,4736708096.0
1988-04-12,0.05,0.05,0.05,0.05,5408869376.0,4725535744.0
1988-04-13,0.05,0.05,0.05,0.05,5500828160.0,4662081536.0
1988-04-14,0.05,0.05,0.05,0.05,6175892480.0,4591896064.0
1988-04-15,0.05,0.05,0.05,0.05,5330873344.0,4515159040.0
1988-04-18,0.05,0.05,0.05,0.05,6659180032.0,4511764480.0
1988-04-19,0.05,0.05,0.05,0.05,5172334080.0,4376601600.0
1988-04-20,0.05,0.05,0.05,0.05,3511710720.0,4374983680.0
1988-04-21,0.05,0.05,0.05,0.05,4193081600.0,4533947392.0
1988-04-22,0.05,0.05,0.05,0.05,3420867072.0,4621703680.0
1988-04-25,0.05,0.05,0.05,0.05,2977132032.0,4747682816.0
1988-04-26,0.05,0.05,0.05,0.05,2628597504.0,4874515456.0
