Date,Open,High,Low,Close
2021-03-26,7.9446,8.1364,7.9346,8.1076
2021-03-25,7.9377,7.9962,7.8987,7.9446
2021-03-24,7.9336,8.0434,7.8472,7.9377
2021-03-23,7.8016,7.9725,7.7039,7.9336
2021-03-22,8.3505,8.4707,7.6958,7.8016
2021-03-19,7.3226,7.3622,7.1927,7.2185
2021-03-18,7.5029,7.5648,7.289,7.3226
2021-03-17,7.4933,7.6418,7.484,7.5029
2021-03-16,7.5377,7.5474,7.4686,7.4933
2021-03-15,7.5564,7.6196,7.5035,7.5375
2021-03-12,7.4827,7.6164,7.4714,7.5602
2021-03-11,7.5029,7.5531,7.4322,7.4832
2021-03-10,7.6195,7.6694,7.4932,7.5029
2021-03-09,7.7628,7.7839,7.5932,7.6195
2021-03-08,7.5298,7.7835,7.513,7.7633
2021-03-05,7.5172,7.5788,7.4745,7.5325
2021-03-04,7.4615,7.5835,7.4036,7.5172
2021-03-03,7.3584,7.499,7.2949,7.4612
2021-03-02,7.2895,7.4216,7.2791,7.3584
2021-03-01,7.4295,7.4416,7.222,7.2895
2021-02-26,7.3515,7.485,7.3038,7.4273
2021-02-25,7.1655,7.4401,7.158,7.3515
2021-02-24,7.1082,7.2489,7.0726,7.1655
2021-02-23,7.0189,7.1149,7.0064,7.1083
2021-02-22,6.968,7.0875,6.9585,7.0189
2021-02-19,6.9803,6.9992,6.9486,6.9652
2021-02-18,6.9794,7.01,6.9225,6.9803
2021-02-17,6.985,7.0578,6.9595,6.9794
2021-02-16,6.9642,7.0182,6.8974,6.985
2021-02-15,7.0332,7.0785,6.946,6.9642
2021-02-12,7.0224,7.0479,7.0104,7.0349
2021-02-11,7.0589,7.0661,7.0085,7.0224
2021-02-10,7.0667,7.0871,7.0315,7.0589
2021-02-09,7.0731,7.1408,7.0634,7.0667
2021-02-08,7.055,7.1229,7.031,7.0731
2021-02-05,7.138,7.1471,7.0298,7.058
2021-02-04,7.1573,7.1772,7.0978,7.138
2021-02-03,7.1866,7.203,7.1266,7.1573
2021-02-02,7.1929,7.2025,7.0929,7.1866
2021-02-01,7.3061,7.3169,7.1566,7.1929
2021-01-29,7.3463,7.3849,7.2786,7.3075
2021-01-28,7.3987,7.4318,7.3268,7.3463
2021-01-27,7.3478,7.4147,7.3392,7.3987
2021-01-26,7.4064,7.4337,7.3353,7.3478
2021-01-25,7.4101,7.4272,7.3659,7.4064
2021-01-22,7.371,7.4422,7.3667,7.417
2021-01-21,7.4244,7.436,7.3498,7.371
2021-01-20,7.4718,7.4859,7.3876,7.4248
2021-01-19,7.479,7.4889,7.4191,7.4718
2021-01-18,7.4631,7.5426,7.4523,7.479
2021-01-15,7.365,7.5099,7.3542,7.4726
2021-01-14,7.403,7.4559,7.3535,7.365
2021-01-13,7.4517,7.4747,7.3876,7.403
2021-01-12,7.4779,7.518,7.4251,7.4517
2021-01-11,7.3606,7.5226,7.3527,7.4779
2021-01-08,7.3201,7.4131,7.3111,7.3521
2021-01-07,7.3091,7.3935,7.2406,7.3201
2021-01-06,7.3913,7.3934,7.2674,7.3091
2021-01-05,7.4261,7.4322,7.3635,7.3908
2021-01-04,7.445,7.4477,7.3422,7.4261
2021-01-01,7.4406,7.4431,7.4388,7.4392
2020-12-31,7.3841,7.4924,7.3463,7.4404
2020-12-30,7.3869,7.396,7.3089,7.3841
