Date,Open,High,Low,Close
2001-04-24,82.5,82.5,82.5,82.5
2001-04-26,82.5,82.5,82.5,82.5
2001-04-27,82.5,82.5,72.5,72.5
2001-05-01,71.5,71.5,70.5,70.5
2001-05-03,68.5,68.5,68.5,68.5
2001-05-09,69.5,69.5,69.5,69.5
2001-05-10,69.5,69.5,69.5,69.5
2001-05-11,69.5,69.5,69.5,69.5
2001-05-14,69.5,69.5,69.5,69.5
2001-05-15,69.0,69.0,69.0,69.0
2001-05-16,68.5,68.5,63.5,65.0
2001-05-17,62.5,62.5,62.5,62.5
2001-05-21,61.5,61.5,61.5,61.5
2001-05-22,61.5,61.5,61.5,61.5
2001-05-23,61.5,61.5,61.5,61.5
2001-05-24,59.5,59.5,59.5,59.5
2001-05-25,59.5,59.5,59.5,59.5
2001-05-28,59.5,59.5,59.5,59.5
2001-05-29,59.5,59.5,59.5,59.5
2001-05-30,61.5,61.5,61.5,61.5
2001-05-31,63.0,63.0,63.0,63.0
2001-06-01,68.0,68.0,68.0,68.0
2001-06-04,61.5,61.5,61.5,61.5
2001-06-05,61.0,61.0,61.0,61.0
2001-06-06,60.5,65.0,60.5,65.0
2001-06-07,65.0,65.0,63.0,63.0
2001-06-08,63.0,63.0,63.0,63.0
2001-06-11,63.0,63.0,63.0,63.0
2001-06-12,65.0,65.0,65.0,65.0
2001-06-13,65.0,65.0,65.0,65.0
2001-06-18,64.0,64.0,64.0,64.0
2001-06-19,62.0,62.0,62.0,62.0
2001-06-20,62.0,62.0,62.0,62.0
2001-06-21,62.0,62.0,62.0,62.0
2001-06-27,65.0,65.0,65.0,65.0
2001-06-28,66.0,66.0,66.0,66.0
2001-07-02,66.0,66.0,66.0,66.0
2001-07-03,66.0,67.5,66.0,67.5
2001-07-04,76.5,77.5,76.5,77.5
2001-07-05,68.5,68.5,68.5,68.5
2001-07-06,68.5,68.5,68.5,68.5
2001-07-09,70.0,70.0,70.0,70.0
2001-07-10,69.5,69.5,69.5,69.5
2001-07-11,69.5,69.5,68.0,68.0
2001-07-12,130.0,130.0,130.0,130.0
2001-07-16,130.0,130.0,130.0,130.0
2001-07-17,130.0,130.0,130.0,130.0
2001-07-19,130.0,130.0,130.0,130.0
2001-07-20,135.0,135.0,135.0,135.0
2001-07-24,74.0,74.0,74.0,74.0
2001-07-30,73.0,74.0,73.0,74.0
2001-07-31,73.0,73.0,73.0,73.0
2001-08-01,73.0,73.0,73.0,73.0
2001-08-02,73.0,73.0,73.0,73.0
2001-08-06,68.0,68.0,68.0,68.0
2001-08-10,68.0,68.0,68.0,68.0
2001-08-14,73.0,73.0,73.0,73.0
2001-08-16,73.0,73.0,73.0,73.0
2001-08-17,73.0,73.0,73.0,73.0
2001-08-20,73.0,73.0,73.0,73.0
2001-08-21,73.0,73.0,73.0,73.0
2001-08-22,73.0,73.0,73.0,73.0
2001-08-23,73.0,73.0,70.0,70.0
2001-08-27,70.0,70.0,68.0,68.0
2001-08-28,68.0,68.0,68.0,68.0
2001-08-29,68.0,68.0,68.0,68.0
2001-08-31,68.0,68.0,68.0,68.0
2001-09-03,68.0,68.0,68.0,68.0
2001-09-04,68.0,68.0,66.5,66.5
2001-09-06,65.0,65.0,65.0,65.0
2001-09-11,65.0,65.0,65.0,65.0
2001-09-18,67.0,67.0,67.0,67.0
2001-09-19,67.0,68.0,67.0,68.0
2001-09-21,68.0,68.0,68.0,68.0
2001-09-24,68.0,68.0,68.0,68.0
2001-09-25,68.0,68.0,68.0,68.0
2001-09-27,68.0,68.0,68.0,68.0
2001-09-28,68.0,68.0,68.0,68.0
2001-10-08,68.0,68.0,68.0,68.0
2001-10-10,68.0,68.0,66.0,66.0
2001-10-15,66.0,66.0,66.0,66.0
2001-10-16,66.0,66.0,66.0,66.0
2001-10-17,66.0,66.0,66.0,66.0
2001-10-19,69.0,69.0,69.0,69.0
2001-10-24,68.0,68.0,68.0,68.0
2001-10-25,69.0,69.0,69.0,69.0
2001-10-26,59.0,59.0,59.0,59.0
