Date,Ask Price
2002-08-01,56.0
2002-08-02,56.0
2002-08-05,53.4286
2002-08-06,53.0
2002-08-07,52.8286
2002-08-08,52.7143
2002-08-09,52.8286
2002-08-12,51.0714
2002-08-13,51.0
2002-08-14,51.0
2002-08-15,51.0
2002-08-16,51.0
2002-08-19,51.0
2002-08-20,51.0
2002-08-21,51.0
2002-08-22,51.0
2002-08-23,51.0
2002-08-26,51.0
2002-08-27,51.0
2002-08-28,51.0
2002-08-29,51.0
2002-09-02,51.0
2002-09-03,51.0
2002-09-04,51.0
2002-09-05,51.0
2002-09-06,51.0
2002-09-09,51.9571
2002-09-10,52.675
2002-09-11,53.95
2002-09-12,53.75
2002-09-13,53.8786
2002-09-16,53.7286
2002-09-17,53.05
2002-09-18,53.6214
2002-09-19,53.1
2002-09-20,53.0714
2002-09-23,53.0
2002-09-24,52.9429
2002-09-25,52.9429
2002-09-26,52.9429
2002-09-27,52.9429
2002-09-30,52.9714
2002-10-01,53.0
2002-10-02,53.0429
2002-10-03,52.9
2002-10-04,52.6857
2002-10-07,52.9714
2002-10-08,52.7143
2002-10-09,52.7571
2002-10-10,52.9429
2002-10-11,52.7214
2002-10-14,52.8286
2002-10-15,52.8286
2002-10-16,52.5786
2002-10-17,52.3929
2002-10-18,51.9929
2002-10-21,51.8429
2002-10-22,51.5857
2002-10-23,51.65
2002-10-24,51.2429
2002-10-25,51.5286
2002-10-28,51.5286
2002-10-30,51.7143
2002-10-31,51.4643
2002-11-01,51.4
2002-11-04,51.9143
2002-11-05,50.2857
2002-11-06,49.6429
2002-11-07,49.6429
2002-11-08,49.5
2002-11-11,47.0786
2002-11-12,47.1214
2002-11-13,47.0
2002-11-14,46.9643
2002-11-15,46.9857
2002-11-18,46.0857
2002-11-19,46.0286
2002-11-20,46.0286
2002-11-21,46.0
2002-11-22,46.0571
2002-11-25,46.0
2002-11-26,46.0
2002-11-27,46.0
2002-11-28,46.0
2002-11-29,46.0
2002-12-02,46.0
2002-12-03,46.0
2002-12-04,46.0
2002-12-09,46.0
2002-12-10,45.9857
2002-12-11,46.0
2002-12-12,46.0
2002-12-13,46.0
2002-12-16,46.0
2002-12-17,46.0
2002-12-18,46.0229
2002-12-19,46.0571
2002-12-20,46.7143
2002-12-23,46.9643
2002-12-24,47.1286
2002-12-25,47.3257
2002-12-26,47.5286
2002-12-27,47.7786
2002-12-30,48.5143
2002-12-31,48.7571
2003-01-02,48.5143
2003-01-03,48.4657
2003-01-06,48.5
2003-01-07,49.2857
2003-01-08,49.4286
2003-01-09,49.5
2003-01-10,49.2143
2003-01-13,49.3571
2003-01-14,49.3571
2003-01-15,49.4286
2003-01-16,49.3571
2003-01-17,49.3571
2003-01-20,49.2857
2003-01-21,49.4286
2003-01-22,49.3429
2003-01-23,49.4
2003-01-24,49.2857
2003-01-27,49.3786
2003-01-28,49.2714
2003-01-29,49.2714
2003-01-30,49.3429
2003-01-31,49.3429
2003-02-03,49.3286
2003-02-04,48.6143
2003-02-05,48.6357
2003-02-06,48.4571
2003-02-07,48.4143
2003-02-10,48.4143
2003-02-17,48.4057
2003-02-18,48.4314
2003-02-19,48.4286
2003-02-20,48.42
2003-02-21,48.4029
2003-02-24,48.4171
2003-02-25,48.4286
2003-02-26,48.4343
2003-02-27,48.4
2003-02-28,48.3543
2003-03-03,51.0357
2003-03-04,49.9286
2003-03-05,49.2143
2003-03-06,48.6636
2003-03-07,48.4829
2003-03-10,48.4143
2003-03-11,48.4086
2003-03-12,48.5
2003-03-13,50.7714
2003-03-14,51.0386
2003-03-17,51.4786
2003-03-18,50.3429
2003-03-19,51.7286
2003-03-20,51.7314
2003-03-21,51.7286
2003-03-24,52.2857
2003-03-25,52.9357
2003-03-26,52.3357
2003-03-27,52.25
2003-03-28,52.0571
2003-03-31,51.75
2003-04-01,51.75
2003-04-02,52.1
2003-04-03,52.1
2003-04-04,52.1
2003-04-07,50.9286
