Date,Open,High,Low,Close
2018-12-28,23.8738,23.8738,23.8738,23.8738
2018-12-31,25.1258,25.1258,25.1258,25.1258
2019-01-02,23.0117,23.0117,23.0117,23.0117
2019-01-03,22.9463,22.9463,22.9463,22.9463
2019-01-04,23.357,23.357,23.357,23.357
2019-01-07,23.9456,23.9456,23.9456,23.9456
2019-01-08,24.0069,24.0069,24.0069,24.0069
2019-01-09,23.0986,23.0986,23.0986,23.0986
2019-01-10,22.7183,22.7183,22.7183,22.7183
2019-01-11,23.8305,23.8305,23.8305,23.8305
2019-01-14,24.1467,24.1467,24.1467,24.1467
2019-01-15,24.5377,24.5377,24.5377,24.5377
2019-01-16,24.0456,24.0456,24.0456,24.0456
2019-01-17,23.6874,23.6874,23.6874,23.6874
2019-01-18,23.9681,23.9681,23.9681,23.9681
2019-01-21,23.8993,23.8993,23.8993,23.8993
2019-01-22,23.3388,23.3388,23.3388,23.3388
2019-01-23,22.6843,22.6843,22.6843,22.6843
2019-01-24,24.1067,24.1067,24.1067,24.1067
2019-01-25,23.5292,23.5292,23.5292,23.5292
2019-01-28,23.5737,23.5737,23.5737,23.5737
2019-01-29,23.2172,23.2172,23.2172,23.2172
2019-01-30,23.313,23.313,23.313,23.313
2019-01-31,23.7039,23.7039,23.7039,23.7039
2019-02-01,23.9325,23.9325,23.9325,23.9325
2019-02-04,23.418,23.418,23.418,23.418
2019-02-05,23.5958,23.5958,23.5958,23.5958
2019-02-06,23.9827,23.9827,23.9827,23.9827
2019-02-07,23.4398,23.4398,23.4398,23.4398
2019-02-08,24.0725,24.0725,24.0725,24.0725
2019-02-11,23.9261,23.9261,23.9261,23.9261
2019-02-12,23.6569,23.6569,23.6569,23.6569
2019-02-13,23.6017,23.6017,23.6017,23.6017
2019-02-14,24.1054,24.1054,24.1054,24.1054
2019-02-15,24.1755,24.1755,24.1755,24.1755
2019-02-18,24.1831,24.1831,24.1831,24.1831
2019-02-19,24.0854,24.0854,24.0854,24.0854
2019-02-20,24.0789,24.0789,24.0789,24.0789
2019-02-21,23.9434,23.9434,23.9434,23.9434
2019-02-22,23.4228,23.4228,23.4228,23.4228
2019-02-25,23.7484,23.7484,23.7484,23.7484
2019-02-26,24.2578,24.2578,24.2578,24.2578
2019-02-27,24.0775,24.0775,24.0775,24.0775
2019-02-28,24.6192,24.6192,24.6192,24.6192
2019-03-01,24.4124,24.4124,24.4124,24.4124
2019-03-04,23.8145,23.8145,23.8145,23.8145
2019-03-05,22.75,22.75,22.75,22.75
2019-03-06,22.75,22.75,22.75,22.75
2019-03-07,22.75,22.75,22.75,22.75
2019-03-08,22.75,22.75,22.75,22.75
2019-03-11,22.75,22.75,22.75,22.75
2019-03-12,22.7507,22.7507,22.7507,22.7507
2019-03-13,22.75,22.75,22.75,22.75
2019-03-14,22.7501,22.7501,22.7501,22.7501
2019-03-15,22.9512,22.9512,22.9512,22.9512
2019-03-18,22.9505,22.9505,22.9505,22.9505
