Date,Open,High,Low,Close
2007-04-02,12.9397,12.9397,12.9397,12.9397
2007-04-03,10.7822,10.7822,10.7822,10.7822
2007-04-04,10.606,10.606,10.606,10.606
2007-04-05,10.4402,10.4402,10.4402,10.4402
2007-04-06,10.3705,10.3705,10.3705,10.3705
2007-04-09,9.932,9.932,9.932,9.932
2007-04-10,9.7071,9.7071,9.7071,9.7071
2007-04-11,9.4609,9.4609,9.4609,9.4609
2007-04-12,7.932,7.932,7.932,7.932
2007-04-13,7.4263,7.4263,7.4263,7.4263
2007-04-16,7.5451,7.5451,7.5451,7.5451
2007-04-17,7.7438,7.7438,7.7438,7.7438
2007-04-18,7.696,7.696,7.696,7.696
2007-04-19,7.7176,7.7176,7.7176,7.7176
2007-04-20,6.9264,6.9264,6.9264,6.9264
2007-04-23,6.9294,6.9294,6.9294,6.9294
2007-04-24,7.2251,7.2251,7.2251,7.2251
2007-04-25,7.1003,7.1003,7.1003,7.1003
2007-04-26,7.1035,7.1035,7.1035,7.1035
2007-04-27,7.152,7.152,7.152,7.152
2007-04-30,10.5678,10.5678,10.5678,10.5678
2007-05-01,11.1252,11.1252,11.1252,11.1252
2007-05-02,12.7969,12.7969,12.7969,12.7969
2007-05-03,12.9342,12.9342,12.9342,12.9342
2007-05-04,12.9834,12.9834,12.9834,12.9834
2007-05-07,13.0365,13.0365,13.0365,13.0365
2007-05-08,13.1729,13.1729,13.1729,13.1729
2007-05-09,13.2017,13.2017,13.2017,13.2017
2007-05-10,13.2749,13.2749,13.2749,13.2749
2007-05-11,13.3503,13.3503,13.3503,13.3503
2007-05-14,13.3927,13.3927,13.3927,13.3927
2007-05-15,13.3653,13.3653,13.3653,13.3653
2007-05-16,13.2494,13.2494,13.2494,13.2494
2007-05-17,13.2322,13.2322,13.2322,13.2322
2007-05-18,13.1957,13.1957,13.1957,13.1957
2007-05-21,13.2181,13.2181,13.2181,13.2181
2007-05-22,13.2242,13.2242,13.2242,13.2242
2007-05-23,13.1287,13.1287,13.1287,13.1287
2007-05-24,13.302,13.302,13.302,13.302
2007-05-25,13.3793,13.3793,13.3793,13.3793
2007-05-28,13.4095,13.4095,13.4095,13.4095
2007-05-29,10.8911,10.8911,10.8911,10.8911
2007-05-30,10.5181,10.5181,10.5181,10.5181
2007-05-31,8.0904,8.0904,8.0904,8.0904
2007-06-01,9.1259,9.1259,9.1259,9.1259
2007-06-04,9.0629,9.0629,9.0629,9.0629
2007-06-05,9.071,9.071,9.071,9.071
2007-06-06,8.9895,8.9895,8.9895,8.9895
2007-06-07,9.0471,9.0471,9.0471,9.0471
2007-06-08,11.2932,11.2932,11.2932,11.2932
2007-06-11,11.2287,11.2287,11.2287,11.2287
2007-06-12,11.3525,11.3525,11.3525,11.3525
2007-06-13,11.5559,11.5559,11.5559,11.5559
2007-06-14,11.613,11.613,11.613,11.613
2007-06-15,11.8188,11.8188,11.8188,11.8188
2007-06-18,11.9937,11.9937,11.9937,11.9937
2007-06-19,11.8908,11.8908,11.8908,11.8908
2007-06-20,11.9719,11.9719,11.9719,11.9719
2007-06-21,12.1927,12.1927,12.1927,12.1927
2007-06-22,12.0209,12.0209,12.0209,12.0209
2007-06-25,11.9689,11.9689,11.9689,11.9689
2007-06-26,12.0843,12.0843,12.0843,12.0843
2007-06-27,12.3587,12.3587,12.3587,12.3587
2007-06-28,12.4611,12.4611,12.4611,12.4611
2007-06-29,12.6311,12.6311,12.6311,12.6311
2007-07-02,11.8033,11.8033,11.8033,11.8033
2007-07-03,11.8512,11.8512,11.8512,11.8512
2007-07-04,11.8161,11.8161,11.8161,11.8161
2007-07-05,11.8037,11.8037,11.8037,11.8037
2007-07-06,11.769,11.769,11.769,11.769
2007-07-09,9.7132,9.7132,9.7132,9.7132
2007-07-10,9.5607,9.5607,9.5607,9.5607
2007-07-11,9.5319,9.5319,9.5319,9.5319
2007-07-12,9.2587,9.2587,9.2587,9.2587
2007-07-13,9.5932,9.5932,9.5932,9.5932
2007-07-16,9.3124,9.3124,9.3124,9.3124
2007-07-17,9.0719,9.0719,9.0719,9.0719
2007-07-18,9.1062,9.1062,9.1062,9.1062
2007-07-19,9.1078,9.1078,9.1078,9.1078
2007-07-20,8.7141,8.7141,8.7141,8.7141
2007-07-23,9.4917,9.4917,9.4917,9.4917
2007-07-24,9.5945,9.5945,9.5945,9.5945
2007-07-25,9.4408,9.4408,9.4408,9.4408
2007-07-26,10.495,10.495,10.495,10.495
2007-07-27,16.6251,16.6251,16.6251,16.6251
2007-07-30,16.9939,16.9939,16.9939,16.9939
2007-07-31,17.5793,17.5793,17.5793,17.5793
2007-08-01,20.3046,20.3046,20.3046,20.3046
2007-08-02,20.6004,20.6004,20.6004,20.6004
2007-08-03,20.639,20.639,20.639,20.639
2007-08-06,21.5195,21.5195,21.5195,21.5195
2007-08-07,21.6656,21.6656,21.6656,21.6656
2007-08-08,21.8973,21.8973,21.8973,21.8973
2007-08-09,22.2644,22.2644,22.2644,22.2644
2007-08-10,23.2973,23.2973,23.2973,23.2973
2007-08-13,23.5327,23.5327,23.5327,23.5327
2007-08-14,23.7546,23.7546,23.7546,23.7546
2007-08-15,25.7842,25.7842,25.7842,25.7842
2007-08-16,31.2421,31.2421,31.2421,31.2421
2007-08-17,32.7405,32.7405,32.7405,32.7405
2007-08-20,33.2992,33.2992,33.2992,33.2992
2007-08-21,33.3908,33.3908,33.3908,33.3908
2007-08-22,33.4546,33.4546,33.4546,33.4546
2007-08-23,33.65,33.65,33.65,33.65
2007-08-24,33.2863,33.2863,33.2863,33.2863
2007-08-27,30.8914,30.8914,30.8914,30.8914
2007-08-28,30.6601,30.6601,30.6601,30.6601
2007-08-29,30.4652,30.4652,30.4652,30.4652
2007-08-30,28.9002,28.9002,28.9002,28.9002
2007-08-31,28.8232,28.8232,28.8232,28.8232
2007-09-03,28.8088,28.8088,28.8088,28.8088
2007-09-04,28.2114,28.2114,28.2114,28.2114
2007-09-05,28.0549,28.0549,28.0549,28.0549
2007-09-06,27.8891,27.8891,27.8891,27.8891
2007-09-07,27.5749,27.5749,27.5749,27.5749
2007-09-10,26.8073,26.8073,26.8073,26.8073
2007-09-11,26.4738,26.4738,26.4738,26.4738
2007-09-12,26.3756,26.3756,26.3756,26.3756
2007-09-13,24.4419,24.4419,24.4419,24.4419
2007-09-14,16.956,16.956,16.956,16.956
2007-09-17,13.8447,13.8447,13.8447,13.8447
2007-09-18,12.5575,12.5575,12.5575,12.5575
2007-09-19,13.6082,13.6082,13.6082,13.6082
2007-09-20,13.4267,13.4267,13.4267,13.4267
2007-09-21,12.9279,12.9279,12.9279,12.9279
2007-09-24,12.8975,12.8975,12.8975,12.8975
2007-09-25,12.1104,12.1104,12.1104,12.1104
2007-09-26,12.269,12.269,12.269,12.269
2007-09-27,11.9289,11.9289,11.9289,11.9289
2007-09-28,11.4202,11.4202,11.4202,11.4202
2007-10-01,11.1778,11.1778,11.1778,11.1778
2007-10-02,11.1694,11.1694,11.1694,11.1694
2007-10-03,11.1127,11.1127,11.1127,11.1127
2007-10-04,11.1609,11.1609,11.1609,11.1609
2007-10-05,11.3586,11.3586,11.3586,11.3586
2007-10-08,11.3155,11.3155,11.3155,11.3155
2007-10-09,11.1436,11.1436,11.1436,11.1436
2007-10-10,11.1302,11.1302,11.1302,11.1302
2007-10-11,10.9406,10.9406,10.9406,10.9406
2007-10-12,11.1389,11.1389,11.1389,11.1389
2007-10-15,11.4153,11.4153,11.4153,11.4153
2007-10-16,12.9474,12.9474,12.9474,12.9474
2007-10-17,13.3175,13.3175,13.3175,13.3175
2007-10-18,11.9129,11.9129,11.9129,11.9129
2007-10-19,11.8694,11.8694,11.8694,11.8694
2007-10-22,15.9763,15.9763,15.9763,15.9763
2007-10-23,16.1675,16.1675,16.1675,16.1675
2007-10-24,16.252,16.252,16.252,16.252
2007-10-25,16.3747,16.3747,16.3747,16.3747
2007-10-26,16.6706,16.6706,16.6706,16.6706
2007-10-29,16.6714,16.6714,16.6714,16.6714
2007-10-30,16.6526,16.6526,16.6526,16.6526
2007-10-31,16.7195,16.7195,16.7195,16.7195
2007-11-01,17.0061,17.0061,17.0061,17.0061
2007-11-02,17.1498,17.1498,17.1498,17.1498
2007-11-05,17.1143,17.1143,17.1143,17.1143
2007-11-06,17.1735,17.1735,17.1735,17.1735
2007-11-07,17.3232,17.3232,17.3232,17.3232
2007-11-08,18.2472,18.2472,18.2472,18.2472
2007-11-09,18.8483,18.8483,18.8483,18.8483
2007-11-12,18.9806,18.9806,18.9806,18.9806
2007-11-13,18.8104,18.8104,18.8104,18.8104
2007-11-14,18.9092,18.9092,18.9092,18.9092
2007-11-15,18.7235,18.7235,18.7235,18.7235
2007-11-16,18.5178,18.5178,18.5178,18.5178
2007-11-19,18.5213,18.5213,18.5213,18.5213
2007-11-20,15.2042,15.2042,15.2042,15.2042
2007-11-21,15.3599,15.3599,15.3599,15.3599
2007-11-22,15.3065,15.3065,15.3065,15.3065
2007-11-23,15.108,15.108,15.108,15.108
2007-11-26,15.3264,15.3264,15.3264,15.3264
2007-11-27,16.4461,16.4461,16.4461,16.4461
2007-11-28,16.7234,16.7234,16.7234,16.7234
2007-11-29,16.9686,16.9686,16.9686,16.9686
2007-11-30,16.8427,16.8427,16.8427,16.8427
2007-12-03,16.6808,16.6808,16.6808,16.6808
2007-12-04,16.6135,16.6135,16.6135,16.6135
2007-12-05,16.6225,16.6225,16.6225,16.6225
2007-12-06,16.3778,16.3778,16.3778,16.3778
2007-12-07,15.2938,15.2938,15.2938,15.2938
2007-12-10,14.5192,14.5192,14.5192,14.5192
2007-12-11,14.087,14.087,14.087,14.087
2007-12-12,14.1481,14.1481,14.1481,14.1481
2007-12-13,12.6222,12.6222,12.6222,12.6222
2007-12-14,12.4908,12.4908,12.4908,12.4908
2007-12-17,12.4156,12.4156,12.4156,12.4156
2007-12-18,12.3314,12.3314,12.3314,12.3314
2007-12-19,12.2236,12.2236,12.2236,12.2236
2007-12-20,11.74,11.74,11.74,11.74
2007-12-21,11.6872,11.6872,11.6872,11.6872
2007-12-24,11.5325,11.5325,11.5325,11.5325
2007-12-25,10.9645,10.9645,10.9645,10.9645
2007-12-26,9.4453,9.4453,9.4453,9.4453
2007-12-27,9.0306,9.0306,9.0306,9.0306
2007-12-28,8.3439,8.3439,8.3439,8.3439
2007-12-31,7.8709,7.8709,7.8709,7.8709
2008-01-01,7.7423,7.7423,7.7423,7.7423
2008-01-02,7.7797,7.7797,7.7797,7.7797
2008-01-03,7.6419,7.6419,7.6419,7.6419
2008-01-04,7.7567,7.7567,7.7567,7.7567
2008-01-07,7.7958,7.7958,7.7958,7.7958
2008-01-08,7.9034,7.9034,7.9034,7.9034
2008-01-09,8.0251,8.0251,8.0251,8.0251
2008-01-10,7.8043,7.8043,7.8043,7.8043
2008-01-11,7.804,7.804,7.804,7.804
2008-01-14,7.7114,7.7114,7.7114,7.7114
2008-01-15,7.448,7.448,7.448,7.448
2008-01-16,9.961,9.961,9.961,9.961
2008-01-17,10.455,10.455,10.455,10.455
2008-01-18,10.659,10.659,10.659,10.659
2008-01-21,11.6597,11.6597,11.6597,11.6597
2008-01-22,15.7959,15.7959,15.7959,15.7959
2008-01-23,16.6691,16.6691,16.6691,16.6691
2008-01-24,17.0089,17.0089,17.0089,17.0089
2008-01-25,17.0979,17.0979,17.0979,17.0979
2008-01-28,17.8272,17.8272,17.8272,17.8272
2008-01-29,17.8608,17.8608,17.8608,17.8608
2008-01-30,17.9441,17.9441,17.9441,17.9441
2008-01-31,18.3874,18.3874,18.3874,18.3874
2008-02-01,18.5464,18.5464,18.5464,18.5464
2008-02-04,18.5147,18.5147,18.5147,18.5147
2008-02-05,18.5563,18.5563,18.5563,18.5563
2008-02-06,18.7621,18.7621,18.7621,18.7621
2008-02-07,19.0887,19.0887,19.0887,19.0887
2008-02-08,19.4699,19.4699,19.4699,19.4699
2008-02-11,20.1938,20.1938,20.1938,20.1938
2008-02-12,20.802,20.802,20.802,20.802
2008-02-13,20.9328,20.9328,20.9328,20.9328
2008-02-14,19.9653,19.9653,19.9653,19.9653
2008-02-15,19.7234,19.7234,19.7234,19.7234
2008-02-18,19.6286,19.6286,19.6286,19.6286
2008-02-19,19.1443,19.1443,19.1443,19.1443
2008-02-20,16.2725,16.2725,16.2725,16.2725
2008-02-21,15.4421,15.4421,15.4421,15.4421
2008-02-22,15.0532,15.0532,15.0532,15.0532
2008-02-25,15.2986,15.2986,15.2986,15.2986
2008-02-26,14.5866,14.5866,14.5866,14.5866
2008-02-27,14.7739,14.7739,14.7739,14.7739
2008-02-28,14.7172,14.7172,14.7172,14.7172
2008-02-29,14.3813,14.3813,14.3813,14.3813
2008-03-03,17.0287,17.0287,17.0287,17.0287
2008-03-04,17.3823,17.3823,17.3823,17.3823
2008-03-05,17.5046,17.5046,17.5046,17.5046
2008-03-06,17.8012,17.8012,17.8012,17.8012
2008-03-07,20.1213,20.1213,20.1213,20.1213
2008-03-10,20.198,20.198,20.198,20.198
2008-03-11,19.8918,19.8918,19.8918,19.8918
2008-03-12,19.7693,19.7693,19.7693,19.7693
2008-03-13,20.6784,20.6784,20.6784,20.6784
2008-03-14,21.5942,21.5942,21.5942,21.5942
2008-03-17,24.6732,24.6732,24.6732,24.6732
2008-03-18,24.8065,24.8065,24.8065,24.8065
2008-03-19,25.0684,25.0684,25.0684,25.0684
2008-03-20,25.0317,25.0317,25.0317,25.0317
2008-03-21,24.9285,24.9285,24.9285,24.9285
2008-03-24,24.8874,24.8874,24.8874,24.8874
2008-03-25,24.801,24.801,24.801,24.801
2008-03-26,25.0758,25.0758,25.0758,25.0758
2008-03-27,25.1866,25.1866,25.1866,25.1866
2008-03-28,25.5787,25.5787,25.5787,25.5787
2008-03-31,25.753,25.753,25.753,25.753
2008-04-01,24.3507,24.3507,24.3507,24.3507
2008-04-02,24.5264,24.5264,24.5264,24.5264
2008-04-03,24.6853,24.6853,24.6853,24.6853
2008-04-04,24.4364,24.4364,24.4364,24.4364
2008-04-07,22.4327,22.4327,22.4327,22.4327
2008-04-08,22.1976,22.1976,22.1976,22.1976
2008-04-09,21.8177,21.8177,21.8177,21.8177
2008-04-10,21.6732,21.6732,21.6732,21.6732
2008-04-11,21.0138,21.0138,21.0138,21.0138
2008-04-14,20.1352,20.1352,20.1352,20.1352
2008-04-15,16.2183,16.2183,16.2183,16.2183
2008-04-16,16.1509,16.1509,16.1509,16.1509
2008-04-17,15.849,15.849,15.849,15.849
2008-04-18,15.8063,15.8063,15.8063,15.8063
2008-04-21,15.8197,15.8197,15.8197,15.8197
2008-04-22,15.8729,15.8729,15.8729,15.8729
2008-04-23,15.7212,15.7212,15.7212,15.7212
2008-04-24,15.3345,15.3345,15.3345,15.3345
2008-04-25,14.936,14.936,14.936,14.936
2008-04-28,14.4746,14.4746,14.4746,14.4746
2008-04-29,13.8865,13.8865,13.8865,13.8865
2008-04-30,13.3552,13.3552,13.3552,13.3552
2008-05-01,12.6864,12.6864,12.6864,12.6864
2008-05-02,12.3955,12.3955,12.3955,12.3955
2008-05-05,12.1444,12.1444,12.1444,12.1444
2008-05-06,11.944,11.944,11.944,11.944
2008-05-07,11.86,11.86,11.86,11.86
2008-05-08,12.5339,12.5339,12.5339,12.5339
2008-05-09,12.0491,12.0491,12.0491,12.0491
2008-05-12,11.5623,11.5623,11.5623,11.5623
2008-05-13,11.5887,11.5887,11.5887,11.5887
2008-05-14,11.6444,11.6444,11.6444,11.6444
2008-05-15,11.5624,11.5624,11.5624,11.5624
2008-05-16,11.58,11.58,11.58,11.58
2008-05-19,11.2665,11.2665,11.2665,11.2665
2008-05-20,11.4472,11.4472,11.4472,11.4472
2008-05-21,11.4316,11.4316,11.4316,11.4316
2008-05-22,11.6058,11.6058,11.6058,11.6058
2008-05-23,11.3708,11.3708,11.3708,11.3708
2008-05-26,11.3416,11.3416,11.3416,11.3416
2008-05-27,11.2283,11.2283,11.2283,11.2283
2008-05-28,11.5128,11.5128,11.5128,11.5128
2008-05-29,11.4531,11.4531,11.4531,11.4531
2008-05-30,11.9179,11.9179,11.9179,11.9179
2008-06-02,11.7693,11.7693,11.7693,11.7693
2008-06-03,11.9987,11.9987,11.9987,11.9987
2008-06-04,12.2307,12.2307,12.2307,12.2307
2008-06-05,12.1334,12.1334,12.1334,12.1334
2008-06-06,11.9179,11.9179,11.9179,11.9179
2008-06-09,12.1019,12.1019,12.1019,12.1019
2008-06-10,12.2711,12.2711,12.2711,12.2711
2008-06-11,12.2221,12.2221,12.2221,12.2221
2008-06-12,12.4892,12.4892,12.4892,12.4892
2008-06-13,12.3567,12.3567,12.3567,12.3567
2008-06-16,12.1621,12.1621,12.1621,12.1621
2008-06-17,12.3754,12.3754,12.3754,12.3754
2008-06-18,12.2275,12.2275,12.2275,12.2275
2008-06-19,12.1842,12.1842,12.1842,12.1842
2008-06-20,11.9006,11.9006,11.9006,11.9006
2008-06-23,11.9912,11.9912,11.9912,11.9912
2008-06-24,12.0189,12.0189,12.0189,12.0189
2008-06-25,11.9908,11.9908,11.9908,11.9908
2008-06-26,11.8017,11.8017,11.8017,11.8017
2008-06-27,11.9918,11.9918,11.9918,11.9918
2008-06-30,11.43,11.43,11.43,11.43
2008-07-01,11.7031,11.7031,11.7031,11.7031
2008-07-02,11.4789,11.4789,11.4789,11.4789
2008-07-03,11.6996,11.6996,11.6996,11.6996
2008-07-04,11.8511,11.8511,11.8511,11.8511
2008-07-07,11.317,11.317,11.317,11.317
2008-07-08,11.3985,11.3985,11.3985,11.3985
2008-07-09,11.2544,11.2544,11.2544,11.2544
