Date,Open,High,Low,Close
1999-10-04,8.5,8.5,8.5,8.5
1999-10-05,8.5,8.5,8.5,8.5
1999-10-06,8.5,8.5,8.5,8.5
1999-10-07,8.5,8.5,8.5,8.5
1999-10-08,8.5,8.5,8.5,8.5
1999-10-11,8.5,8.5,8.5,8.5
1999-10-12,8.5,8.5,8.5,8.5
1999-10-13,8.5,8.5,8.5,8.5
1999-10-14,8.5,8.5,8.5,8.5
1999-10-15,8.5,8.5,8.5,8.5
1999-10-27,8.5,8.5,8.5,8.5
1999-10-28,8.5,8.5,8.5,8.5
1999-11-01,8.5,8.5,8.5,8.5
1999-11-03,8.5,8.5,8.5,8.5
1999-11-05,8.5,8.5,8.5,8.5
1999-11-08,8.5,8.5,8.5,8.5
1999-11-09,8.5,8.5,8.5,8.5
1999-11-12,8.5,8.5,8.5,8.5
1999-11-15,8.5,8.5,8.5,8.5
1999-11-16,8.5,8.5,8.5,8.5
1999-11-17,8.5,8.5,8.5,8.5
1999-11-18,8.5,8.5,8.5,8.5
1999-11-19,8.5,8.5,8.5,8.5
1999-11-22,8.5,8.5,8.5,8.5
1999-11-23,8.5,8.5,8.5,8.5
1999-11-24,8.5,8.5,8.5,8.5
1999-11-25,8.5,8.5,8.5,8.5
1999-11-26,8.5,8.5,8.5,8.5
1999-11-30,8.5,8.5,8.5,8.5
1999-12-01,8.5,8.5,8.5,8.5
1999-12-02,5.0,5.0,5.0,5.0
1999-12-03,5.0,5.0,5.0,5.0
1999-12-06,5.0,5.0,5.0,5.0
1999-12-07,5.0,5.0,5.0,5.0
1999-12-08,5.0,5.0,5.0,5.0
1999-12-09,5.0,5.0,5.0,5.0
1999-12-10,5.0,5.0,5.0,5.0
1999-12-13,5.0,5.0,5.0,5.0
1999-12-14,5.0,5.0,5.0,5.0
1999-12-15,5.0,5.0,5.0,5.0
1999-12-16,5.0,5.0,5.0,5.0
1999-12-17,5.0,5.0,5.0,5.0
1999-12-20,5.0,5.0,5.0,5.0
1999-12-21,5.0,5.0,5.0,5.0
1999-12-22,5.0,5.0,5.0,5.0
1999-12-23,5.0,5.0,5.0,5.0
1999-12-24,5.0,5.0,5.0,5.0
1999-12-27,5.0,5.0,5.0,5.0
1999-12-28,5.0,5.0,5.0,5.0
1999-12-29,5.0,5.0,5.0,5.0
1999-12-30,5.0,5.0,5.0,5.0
2000-01-03,8.5,8.5,8.5,8.5
2000-01-04,8.5,8.5,8.5,8.5
2000-01-11,8.5,8.5,8.5,8.5
2000-01-18,8.5,8.5,8.5,8.5
2000-01-25,8.5,8.5,8.5,8.5
2000-01-28,8.5,8.5,8.5,8.5
2000-01-31,8.5,8.5,8.5,8.5
2000-02-01,8.5,8.5,8.5,8.5
2000-02-15,8.5,8.5,8.5,8.5
2000-02-17,8.5,8.5,8.5,8.5
2000-02-22,8.5,8.5,8.5,8.5
2000-03-07,8.5,8.5,8.5,8.5
2000-03-22,8.5,8.5,8.5,8.5
2000-04-04,8.5,8.5,8.5,8.5
2000-04-12,8.5,8.5,8.5,8.5
2000-04-13,8.5,8.5,8.5,8.5
2000-04-17,8.5,8.5,8.5,8.5
2000-04-19,8.5,8.5,8.5,8.5
2000-04-24,8.5,8.5,8.5,8.5
2000-05-01,8.5,8.5,8.5,8.5
2000-05-15,8.5,8.5,8.5,8.5
2000-05-26,5.0,5.0,5.0,5.0
2000-06-02,8.5,8.5,8.5,8.5
2000-06-05,8.0,8.0,8.0,8.0
2000-06-09,5.5,5.5,5.5,5.5
2000-06-12,5.5,5.5,5.5,5.5
2000-06-22,4.0,4.0,4.0,4.0
2000-06-26,4.0,4.0,4.0,4.0
2000-07-27,8.5,8.5,8.5,8.5
2000-07-28,8.5,8.5,8.5,8.5
2003-12-12,15.0,15.0,15.0,15.0
2004-01-15,15.5,16.5,15.5,15.5
2004-01-16,15.51,17.001,15.5,16.0
2004-01-19,16.001,16.001,16.0,16.0
2004-01-20,14.501,15.751,14.501,15.75
2004-01-21,15.75,15.75,15.75,15.75
2004-01-22,15.0,15.5,15.0,15.5
2004-01-26,15.5,15.5,15.5,15.5
2004-01-28,15.5,15.5,15.5,15.5
2004-02-09,15.0,15.0,15.0,15.0
2004-02-11,15.0,15.0,15.0,15.0
2004-02-16,15.0,15.0,15.0,15.0
2004-02-17,15.5,16.0,15.5,15.5
2004-02-18,16.0,16.0,15.75,15.75
2004-02-19,15.5,15.5,14.75,15.25
2004-02-20,15.25,15.25,14.75,14.75
2004-02-24,14.25,14.25,13.75,14.0
2004-02-25,13.0,13.0,13.0,13.0
2004-02-26,13.5,13.75,13.5,13.75
2004-02-27,13.5,13.5,13.0,13.0
2004-03-01,13.0,13.0,13.0,13.0
2004-03-03,11.0,11.0,11.0,11.0
2004-03-04,11.0,11.0,11.0,11.0
2004-03-05,11.0,11.0,11.0,11.0
2004-03-08,11.0,11.0,11.0,11.0
2004-03-11,11.0,11.0,11.0,11.0
2004-03-12,10.0,10.0,10.0,10.0
2004-03-16,10.0,10.0,10.0,10.0
2004-03-17,10.0,10.0,10.0,10.0
2004-03-18,10.75,10.75,10.75,10.75
2004-03-26,9.0,9.0,9.0,9.0
2004-03-29,9.5,9.5,9.5,9.5
2004-03-30,9.5,10.0,9.5,10.0
2004-03-31,10.0,10.25,9.5,10.25
2004-04-01,10.25,10.25,10.25,10.25
2004-04-02,10.25,11.0,10.25,11.0
2004-04-05,11.0,11.0,11.0,11.0
2004-04-06,11.0,11.75,11.0,11.0
2004-04-07,11.0,11.0,11.0,11.0
2004-04-08,11.0,11.0,11.0,11.0
2004-04-09,11.0,11.0,11.0,11.0
2004-04-12,11.0,11.0,11.0,11.0
2004-04-13,11.0,11.0,11.0,11.0
2004-04-14,16.0,16.0,16.0,16.0
2004-04-15,15.0,15.0,14.5,14.5
2004-04-16,14.5,14.5,14.5,14.5
2004-04-19,14.5,15.0,14.5,15.0
2004-04-20,15.0,15.75,15.0,15.0
2004-04-21,15.0,16.0,15.0,16.0
2004-04-22,16.0,17.0,16.0,17.0
2004-04-23,18.0,18.0,18.0,18.0
2004-04-26,17.0,17.0,17.0,17.0
2004-04-27,17.0,18.0,17.0,18.0
2004-04-28,18.0,18.0,18.0,18.0
2004-04-29,18.0,19.0,18.0,19.0
2004-04-30,19.0,19.0,19.0,19.0
2004-05-03,19.0,19.0,19.0,19.0
2004-05-04,19.0,21.0,19.0,21.0
2004-05-05,21.0,21.0,21.0,21.0
2004-05-06,21.0,21.0,19.5,19.5
2004-05-07,19.5,24.0,19.5,23.5
2004-05-10,23.5,23.5,23.5,23.5
2004-05-11,23.5,25.0,23.5,24.0
2004-05-12,24.0,24.0,23.0,23.0
2004-05-13,23.0,24.5,23.0,24.5
2004-05-14,24.5,24.5,24.5,24.5
2004-05-17,24.5,24.5,24.0,24.0
2004-05-18,24.0,24.0,24.0,24.0
2004-05-19,24.0,24.0,24.0,24.0
2004-05-20,24.0,25.0,24.0,24.5
2004-05-21,24.5,24.5,24.5,24.5
2004-05-24,24.5,24.5,22.5,22.5
2004-05-25,22.5,22.5,20.5,20.5
2004-05-26,20.5,20.5,20.5,20.5
2004-05-27,20.5,20.5,20.5,20.5
2004-05-28,20.5,20.5,20.0,20.0
2004-05-31,20.0,20.0,20.0,20.0
2004-06-01,20.0,20.0,20.0,20.0
2004-06-02,20.0,20.0,20.0,20.0
2004-06-03,20.0,20.5,20.0,20.5
2004-06-04,20.5,20.5,18.0,18.0
2004-06-07,18.0,18.0,18.0,18.0
2004-06-08,18.0,18.0,17.0,17.0
2004-06-09,17.0,17.0,17.0,17.0
2004-06-10,17.0,18.0,17.0,17.0
2004-06-11,17.0,17.0,17.0,17.0
2004-06-14,17.0,18.0,17.0,18.0
2004-06-15,18.0,18.5,18.0,18.0
2004-06-16,18.0,18.0,17.5,17.5
2004-06-17,17.5,17.5,17.0,17.0
2004-06-18,17.0,17.0,17.0,17.0
2004-06-21,17.0,17.0,16.0,16.0
2004-06-22,16.0,16.0,15.0,15.0
2004-06-23,15.0,15.5,15.0,15.5
2004-06-24,15.5,15.5,15.0,15.5
2004-06-25,15.5,15.5,15.5,15.5
2004-06-28,15.5,15.5,15.0,15.0
2004-06-29,15.0,15.0,15.0,15.0
2004-06-30,15.0,15.0,15.0,15.0
2004-07-01,15.0,15.0,15.0,15.0
2004-07-02,15.0,15.0,15.0,15.0
2004-07-05,15.0,15.0,15.0,15.0
2004-07-06,15.0,15.0,15.0,15.0
2004-07-07,15.0,15.0,15.0,15.0
2004-07-08,15.0,15.0,15.0,15.0
2004-07-09,15.0,15.0,15.0,15.0
2004-07-12,15.0,15.0,15.0,15.0
2004-07-13,15.0,15.0,14.0,15.0
2004-07-14,15.0,15.0,15.0,15.0
2004-07-15,15.0,15.0,15.0,15.0
2004-07-16,15.0,15.0,15.0,15.0
2004-07-19,15.0,15.0,15.0,15.0
2004-07-20,15.0,15.0,15.0,15.0
2004-07-21,15.0,15.0,15.0,15.0
2004-07-22,15.0,15.0,15.0,15.0
2004-07-23,15.0,15.0,15.0,15.0
2004-07-26,15.0,15.0,15.0,15.0
2004-07-27,15.0,15.0,15.0,15.0
2004-07-28,15.0,15.0,15.0,15.0
2004-07-29,15.0,15.0,15.0,15.0
2004-07-30,15.0,15.0,15.0,15.0
2004-08-02,15.0,15.0,15.0,15.0
2004-08-03,15.0,15.0,15.0,15.0
2004-08-04,15.0,16.5,15.0,15.0
2004-08-05,15.0,16.0,15.0,16.0
2004-08-06,16.0,16.25,16.0,16.25
2004-08-09,16.25,16.25,16.0,16.0
2004-08-10,16.0,16.0,15.5,15.5
2004-08-11,15.5,15.5,15.5,15.5
2004-08-12,15.5,15.5,15.5,15.5
2004-08-13,15.5,15.5,15.5,15.5
2004-08-16,15.5,15.5,15.5,15.5
2004-08-17,15.5,15.5,15.0,15.0
2004-08-18,15.0,15.0,15.0,15.0
2004-08-19,15.0,15.0,15.0,15.0
2004-08-23,15.0,15.0,15.0,15.0
2004-08-24,15.0,15.0,15.0,15.0
2004-09-02,18.625,18.625,18.0,18.0
2004-09-03,18.0,18.0,18.0,18.0
2004-09-06,18.0,18.0,18.0,18.0
2004-09-07,18.0,18.0,18.0,18.0
2004-09-20,16.5,17.0,16.5,17.0
2004-09-21,17.0,17.0,17.0,17.0
2004-09-22,16.5,16.5,15.75,15.75
2004-09-23,16.5,16.5,15.0,15.0
2004-09-24,15.25,15.25,15.0,15.0
2004-09-27,15.0,15.0,15.0,15.0
2004-09-28,15.0,15.0,15.0,15.0
2004-09-29,15.0,15.0,14.5,14.5
2004-09-30,14.5,14.5,14.0,14.5
2004-10-01,14.5,14.5,14.5,14.5
2004-10-04,14.5,14.5,14.5,14.5
2004-10-05,14.5,14.5,14.5,14.5
2004-10-06,14.5,14.5,13.5,13.5
2004-10-07,13.5,13.5,13.5,13.5
2004-10-08,12.75,12.75,12.75,12.75
2004-10-11,10.0,10.0,10.0,10.0
2004-10-12,11.0,11.0,11.0,11.0
2004-10-13,11.0,11.0,11.0,11.0
2004-10-14,11.0,11.0,11.0,11.0
2004-10-15,11.0,13.0,11.0,13.0
2004-10-19,11.0,11.0,11.0,11.0
2004-10-20,11.0,11.0,11.0,11.0
2004-10-21,11.0,11.0,11.0,11.0
2004-10-22,11.0,11.0,11.0,11.0
2004-10-25,11.0,11.0,11.0,11.0
2004-10-26,11.0,11.0,10.75,10.75
2004-10-27,10.75,10.75,10.75,10.75
2004-10-28,10.75,10.75,10.75,10.75
2004-11-01,10.75,10.75,10.5,10.75
2004-11-02,10.75,10.75,10.75,10.75
2004-11-03,10.75,10.75,10.75,10.75
2004-11-04,10.75,10.75,10.5,10.5
2004-11-05,10.5,10.5,10.5,10.5
2004-11-08,9.5,10.5,9.5,10.5
2004-11-09,10.5,10.5,10.0,10.0
2004-11-10,10.0,10.0,10.0,10.0
2004-11-11,10.0,10.0,9.5,10.0
2004-11-12,10.0,10.0,10.0,10.0
2004-11-15,10.0,10.0,10.0,10.0
2004-11-16,10.0,10.0,10.0,10.0
2004-11-17,10.0,11.5,10.0,10.5
2004-11-18,10.5,11.5,10.5,10.5
2004-11-19,10.5,12.5,10.5,12.5
2004-11-22,11.75,11.75,11.75,11.75
2004-11-23,11.75,12.0,10.5,12.0
2004-11-24,12.0,12.0,12.0,12.0
2004-11-25,11.75,12.0,11.75,12.0
2004-11-26,12.0,12.5,12.0,12.5
2004-11-29,11.75,13.0,11.75,13.0
2004-11-30,12.0,15.0,12.0,15.0
2004-12-01,15.0,15.0,15.0,15.0
2004-12-02,15.0,16.0,14.5,14.5
2004-12-03,14.5,15.5,14.5,14.5
2004-12-06,11.75,14.5,11.75,14.5
2004-12-07,11.75,14.5,11.75,14.0
2004-12-08,14.0,15.0,14.0,14.0
2004-12-09,14.0,14.0,14.0,14.0
2004-12-10,14.0,14.0,14.0,14.0
2004-12-13,11.75,15.0,11.75,14.0
2004-12-14,14.0,14.0,14.0,14.0
2004-12-15,14.0,16.5,14.0,16.5
2004-12-16,16.5,16.5,15.0,15.0
2004-12-17,15.0,15.0,15.0,15.0
2004-12-20,15.0,15.0,13.0,13.0
2004-12-21,12.0,14.0,12.0,13.0
2004-12-22,13.0,13.0,11.0,11.0
2004-12-23,11.25,11.25,11.0,11.0
2004-12-24,11.25,11.25,11.0,11.0
2004-12-27,11.75,11.75,11.0,11.0
2004-12-28,11.0,11.0,11.0,11.0
2004-12-29,12.0,12.0,11.25,11.5
2004-12-30,10.5,11.25,10.5,11.25
2004-12-31,11.75,11.75,11.25,11.25
2005-01-03,11.75,12.25,10.75,10.75
2005-01-04,11.25,12.25,10.75,12.0
2005-01-05,12.0,14.25,12.0,12.0
2005-01-06,11.75,15.75,11.75,15.25
2005-01-07,15.25,15.25,15.25,15.25
2005-01-10,11.75,15.25,11.75,15.25
2005-01-11,11.75,15.25,11.75,15.25
2005-01-12,15.25,15.25,13.75,13.75
2005-01-13,13.75,13.75,13.75,13.75
2005-01-14,11.75,11.75,11.75,11.75
2005-01-17,11.75,13.75,11.75,13.75
2005-01-18,11.75,13.75,11.75,13.75
2005-01-19,13.75,13.75,13.75,13.75
2005-01-20,13.75,13.75,13.75,13.75
2005-01-21,13.75,13.75,13.75,13.75
2005-01-24,13.75,13.75,13.75,13.75
2005-01-25,13.75,13.75,13.0,13.0
2005-01-26,12.375,13.0,12.375,13.0
2005-01-27,13.0,13.0,13.0,13.0
2005-01-28,12.5,13.0,12.5,13.0
2005-01-31,13.0,13.0,12.25,12.5
2005-02-01,12.5,13.0,12.5,13.0
2005-02-02,13.0,13.0,12.5,12.625
2005-02-03,12.875,12.875,12.5,12.5
2005-02-04,12.375,12.5,11.5,11.5
2005-02-07,10.75,11.5,10.75,11.5
2005-02-08,11.5,11.5,11.4463,11.4463
2005-02-09,11.5,11.5,11.5,11.5
2005-02-10,12.25,12.375,11.5,11.5
2005-02-11,11.875,13.0,11.5,12.1925
2005-02-14,13.0,13.0,11.5,12.0
2005-02-15,12.0,12.0,11.5,11.5
2005-02-16,12.0,12.185,11.5,12.0
2005-02-17,12.0,12.0,11.75,12.0
2005-02-18,12.0,12.0,11.4886,11.4886
2005-02-21,11.75,12.0,11.75,12.0
2005-02-22,12.0,12.0,11.75,11.75
2005-02-23,11.0,12.0,11.0,12.0
2005-02-24,12.0,12.0,11.75,11.75
2005-02-25,12.0,12.0,11.75,11.875
2005-02-28,12.0,12.0,11.1375,11.75
2005-03-01,11.875,12.0,11.5,11.5
2005-03-02,11.875,12.25,11.875,12.25
2005-03-03,11.75,12.0,11.75,12.0
2005-03-04,12.0,12.25,11.75,12.0
2005-03-07,12.0,12.0,11.875,12.0
2005-03-08,11.75,12.75,11.75,12.25
2005-03-09,12.0,12.75,11.75,12.255
2005-03-10,11.75,13.0,11.75,13.0
2005-03-11,12.0,13.0,11.875,12.5
