Date,Open,High,Low,Close
1995-02-13,14.45,14.45,14.45,14.45
1995-02-14,14.5,14.5,14.5,14.5
1995-02-15,14.55,14.55,14.55,14.55
1995-02-16,14.45,14.45,14.45,14.45
1995-02-17,14.45,14.45,14.45,14.45
1995-02-20,14.55,14.55,14.55,14.55
1995-02-21,14.75,14.75,14.75,14.75
1995-02-22,14.65,14.65,14.65,14.65
1995-02-23,14.75,14.75,14.75,14.75
1995-02-24,14.85,14.85,14.85,14.85
1995-02-27,14.85,14.85,14.85,14.85
1995-02-28,14.75,14.75,14.75,14.75
1995-03-01,14.65,14.65,14.65,14.65
1995-03-02,14.625,14.625,14.625,14.625
1995-03-03,14.65,14.65,14.65,14.65
1995-03-06,14.55,14.55,14.55,14.55
1995-03-07,14.6,14.6,14.6,14.6
1995-03-08,14.6,14.6,14.6,14.6
1995-03-09,14.65,14.65,14.65,14.65
1995-03-10,14.65,14.65,14.65,14.65
1995-03-13,14.8,14.8,14.8,14.8
1995-03-14,14.7,14.7,14.7,14.7
1995-03-15,14.65,14.65,14.65,14.65
1995-03-16,14.625,14.625,14.625,14.625
1995-03-17,14.525,14.525,14.525,14.525
1995-03-20,14.6,14.6,14.6,14.6
1995-03-22,14.65,14.65,14.65,14.65
1995-03-23,14.6,14.6,14.6,14.6
1995-03-24,14.6,14.6,14.6,14.6
1995-03-28,14.65,14.65,14.65,14.65
1995-03-30,14.3,14.3,14.3,14.3
1995-04-03,14.45,14.45,14.45,14.45
1995-04-04,14.4,14.4,14.4,14.4
1995-04-06,14.4,14.4,14.4,14.4
1995-04-07,14.45,14.45,14.45,14.45
1995-04-10,14.45,14.45,14.45,14.45
1995-04-11,14.4,14.4,14.4,14.4
1995-04-12,14.35,14.35,14.35,14.35
1995-04-18,14.5,14.5,14.5,14.5
1995-04-19,14.55,14.55,14.55,14.55
1995-04-20,14.65,14.65,14.65,14.65
1995-04-21,14.65,14.65,14.65,14.65
1995-04-24,14.6,14.6,14.6,14.6
1995-04-25,14.65,14.65,14.65,14.65
1995-04-26,14.7,14.7,14.7,14.7
1995-04-28,14.8,14.8,14.8,14.8
1995-05-02,14.95,14.95,14.95,14.95
1995-05-03,15.0,15.0,15.0,15.0
1995-05-04,15.0,15.0,15.0,15.0
1995-05-05,14.95,14.95,14.95,14.95
1995-05-08,14.85,14.85,14.85,14.85
1995-05-10,14.85,14.85,14.85,14.85
1995-05-12,14.9,14.9,14.9,14.9
1995-05-15,15.0,15.0,15.0,15.0
1995-05-16,15.0,15.0,15.0,15.0
