Date,Open,High,Low,Close
2002-08-12,68.5,68.5,68.5,68.5
2002-08-13,66.0,66.0,66.0,66.0
2002-08-26,66.0,66.0,66.0,66.0
2002-09-25,68.0,68.0,68.0,68.0
2002-09-30,68.0,68.0,68.0,68.0
2002-11-06,57.0,57.0,57.0,57.0
2002-12-18,57.0,57.0,57.0,57.0
2003-01-30,57.0,57.0,57.0,57.0
2003-02-17,57.0,57.0,57.0,57.0
2003-02-24,57.0,57.0,57.0,57.0
2003-03-03,57.0,57.0,57.0,57.0
2003-03-10,57.0,57.0,57.0,57.0
2003-03-20,57.0,57.0,57.0,57.0
2003-04-01,57.0,57.0,57.0,57.0
2003-04-02,57.0,57.0,57.0,57.0
2003-04-14,57.0,57.0,57.0,57.0
2003-04-30,68.0,68.0,68.0,68.0
2003-05-05,48.0,48.0,48.0,48.0
2003-05-15,48.0,48.0,48.0,48.0
2003-07-16,58.0,58.0,58.0,58.0
2004-12-07,22.15,22.15,22.15,22.15
2004-12-08,23.0,23.0,23.0,23.0
2004-12-10,22.7,22.7,22.7,22.7
2004-12-13,22.9,22.9,22.3,22.35
2004-12-14,22.35,22.35,22.1,22.15
2004-12-15,22.0,22.05,21.9,21.9
2004-12-16,21.9,21.9,21.4,21.6
2004-12-17,21.2,21.25,20.65,20.9
2004-12-20,20.65,20.65,20.0,20.05
2004-12-21,20.05,20.05,19.35,19.4
2004-12-22,19.4,19.4,19.35,19.4
2004-12-23,19.4,19.55,19.35,19.55
2004-12-24,19.55,19.55,19.55,19.55
2004-12-27,19.3,19.3,19.3,19.3
2004-12-28,19.35,19.35,19.35,19.35
2004-12-29,19.35,19.35,19.05,19.05
2004-12-30,18.95,18.95,18.6,18.6
2004-12-31,18.5,18.55,18.5,18.55
2005-01-03,18.35,18.35,18.35,18.35
2005-01-04,18.1,18.65,18.1,18.65
2005-01-05,18.55,18.85,18.55,18.85
2005-01-06,18.8,18.8,18.8,18.8
2005-01-07,19.4,19.4,19.4,19.4
2005-01-10,19.15,19.25,19.15,19.25
2005-01-11,18.55,18.55,18.55,18.55
2005-01-12,18.1,19.7,18.1,18.4
2005-01-13,17.8,17.8,17.75,17.75
2005-01-14,16.95,16.95,16.95,16.95
2005-01-17,16.9,16.9,16.9,16.9
2005-01-18,17.0,17.0,17.0,17.0
2005-01-19,16.8,16.8,16.8,16.8
2005-01-20,16.8,16.8,16.75,16.75
2005-01-21,16.75,16.75,16.75,16.75
2005-01-24,16.65,16.65,16.65,16.65
2005-01-25,16.7,16.7,16.7,16.7
2005-01-26,16.95,16.95,16.95,16.95
2005-01-27,17.2,17.35,17.2,17.35
2005-01-28,17.2,17.35,16.8,16.8
2005-01-31,16.8,17.05,16.8,17.05
2005-02-01,17.05,17.05,17.05,17.05
2005-02-02,16.55,16.55,16.55,16.55
2005-02-03,18.6,18.6,18.5,18.5
2005-02-04,18.125,18.125,18.125,18.125
2005-02-07,17.675,17.675,17.675,17.675
2005-02-08,17.775,17.775,17.775,17.775
2005-02-09,17.675,17.675,17.5,17.55
2005-02-10,17.55,17.65,17.55,17.65
2005-02-11,17.65,17.65,17.65,17.65
2005-02-14,17.45,17.45,17.45,17.45
2005-02-15,17.6,17.6,17.6,17.6
2005-02-16,17.55,17.55,17.45,17.45
2005-02-17,17.45,17.55,17.4,17.55
2005-02-18,17.55,17.55,17.25,17.3
2005-02-21,17.3,17.5,17.2,17.2
2005-02-22,17.2,17.2,17.2,17.2
2005-02-23,16.8871,17.525,16.8871,17.25
2005-02-24,16.8871,17.425,16.8871,17.425
2005-02-25,16.8871,16.8871,16.8871,16.8871
2005-02-28,16.8871,16.8871,16.8871,16.8871
2005-03-01,16.8871,16.8871,16.8871,16.8871
2005-03-02,16.8871,16.8871,16.8871,16.8871
2005-03-03,16.9,16.9,16.9,16.9
2005-03-04,16.3961,16.3961,16.3961,16.3961
2005-03-07,16.3961,16.3961,16.3961,16.3961
2005-03-08,16.3961,16.3961,16.3961,16.3961
2005-03-09,16.2,16.2,16.2,16.2
2005-03-10,16.3961,16.3961,16.3961,16.3961
2005-03-11,16.3961,16.3961,16.3961,16.3961
2005-03-14,16.3961,16.3961,16.3961,16.3961
2005-03-15,15.3754,15.3754,15.3754,15.3754
2005-03-16,15.3754,16.2,15.3754,16.1
2005-03-17,15.3754,16.3,15.3754,16.3
2005-03-18,15.3754,16.3,15.3754,16.05
2005-03-21,15.3754,16.4,15.3754,16.4
2005-03-22,15.3754,16.45,15.3754,16.45
2005-03-23,15.3754,16.85,15.3754,16.85
2005-03-24,17.4,17.4,16.85,17.15
2005-03-25,17.7361,17.7361,16.8933,16.95
2005-03-28,16.8933,17.05,16.8933,17.05
2005-03-29,17.05,17.05,17.05,17.05
2005-03-30,17.05,17.15,16.9,17.15
2005-03-31,16.8933,17.05,16.8933,17.05
2005-04-01,16.8933,16.9,16.55,16.6
2005-04-04,16.6,16.8,16.6,16.8
2005-04-05,16.8,17.0,16.8,17.0
2005-04-06,16.8933,16.8933,16.8933,16.8933
2005-04-07,16.8933,16.9,16.85,16.9
2005-04-08,16.9,16.9,16.6,16.65
2005-04-11,16.65,16.65,16.4,16.4
2005-04-12,16.8933,16.8933,16.3,16.3
2005-04-13,16.6919,16.6919,16.025,16.025
2005-04-14,16.6919,16.6919,16.2001,16.2001
2005-04-15,16.6919,16.6919,16.3501,16.3501
2005-04-18,16.25,16.25,16.25,16.25
2005-04-19,16.7912,16.7912,16.7912,16.7912
2005-04-20,16.7912,16.7912,16.25,16.25
2005-04-21,16.7912,16.7912,16.2,16.2
2005-04-22,16.7912,16.7912,16.2,16.2
2005-04-25,16.7912,16.7912,16.05,16.1
2005-04-26,16.7912,16.7912,16.05,16.175
2005-04-27,16.7912,16.7912,16.7912,16.7912
2005-04-28,16.7912,16.7912,16.15,16.4
2005-04-29,16.7912,16.7912,16.5495,16.5495
2005-05-02,16.65,16.8871,16.65,16.8389
2005-05-03,16.65,16.65,16.5,16.5
2005-05-04,16.5,16.5,16.25,16.25
2005-05-05,16.25,16.3491,16.15,16.15
2005-05-06,16.7905,16.7905,16.15,16.2
2005-05-09,16.7905,16.7905,16.6371,16.6371
2005-05-10,16.4852,16.4852,15.85,15.95
2005-05-11,15.95,15.95,15.95,15.95
2005-05-12,16.4852,16.4852,15.95,15.95
2005-05-13,16.4852,16.4852,16.4852,16.4852
2005-05-16,16.4852,16.4852,15.8,15.85
2005-05-17,15.85,15.85,15.85,15.85
2005-05-18,16.4852,16.4852,15.8,15.8
2005-05-19,15.85,15.85,15.85,15.85
2005-05-20,16.4852,16.4852,15.8,15.8
2005-05-23,16.4852,16.4852,16.4852,16.4852
2005-05-24,16.4852,16.4852,16.0223,16.0223
2005-05-25,16.0,16.0723,16.0,16.0723
